SSC_CODE_2016,P_EducTrain_GD_GC,P_EducTrain_BD,P_EducTrain_AdD_D,P_EducTrain_Cert,P_EducTrain_ID_NS,P_EducTrain_ToT,P_HealthCareSocA_PD,P_HealthCareSocA_GD_GC,P_HealthCareSocA_BD,P_HealthCareSocA_AdD_D,P_HealthCareSocA_Cert,P_HealthCareSocA_ID_NS,P_HealthCareSocA_ToT,P_ArtRecServ_PD,P_ArtRecServ_GD_GC,P_ArtRecServ_BD,P_ArtRecServ_AdD_D,P_ArtRecServ_Cert,P_ArtRecServ_ID_NS,P_ArtRecServ_ToT,P_OthServ_PD,P_OthServ_GD_GC,P_OthServ_BD,P_OthServ_AdD_D,P_OthServ_Cert,P_OthServ_ID_NS,P_OthServ_ToT,P_ID_NS_PD,P_ID_NS_GD_GC,P_ID_NS_BD,P_ID_NS_AdD_D,P_ID_NS_Cert,P_ID_NS_ID_NS,P_ID_NS_ToT,P_ToT_PD,P_ToT_GD_GC,P_ToT_BD,P_ToT_AdD_D,P_ToT_Cert,P_ToT_ID_NS,P_ToT_ToT
SSC41345,0,4,0,0,0,3,0,0,0,4,5,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,7,38,0,57
SSC41346,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SSC41347,0,0,0,0,0,0,0,0,3,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,3,6,0,18
SSC41348,0,0,0,0,0,3,3,0,3,0,3,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,4,0,4,6,14,4,38
SSC41349,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,8,6,0,26
SSC41350,0,7,0,0,0,11,18,0,17,0,3,3,44,0,0,0,0,0,0,3,0,0,3,0,4,0,7,0,0,3,4,0,0,7,29,13,86,20,18,8,180
SSC41351,0,8,0,6,0,12,0,0,4,6,15,0,23,0,0,0,0,0,0,3,0,0,0,0,6,0,11,0,0,0,3,3,3,9,6,3,32,30,96,12,181
SSC41352,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,4,0,9
SSC41353,14,60,25,27,4,149,21,12,99,58,84,3,271,0,0,0,7,7,0,13,0,0,6,9,53,7,72,0,0,3,4,17,0,25,60,57,326,258,591,38,1330
SSC41354,8,41,4,12,0,80,26,4,72,22,24,3,146,0,0,9,3,3,0,11,0,0,7,7,14,3,28,3,0,5,0,8,0,21,73,34,285,128,207,18,749
SSC41355,8,29,3,3,0,62,31,3,86,10,4,3,146,0,0,4,0,5,0,6,0,0,0,0,3,0,9,0,0,6,3,3,0,18,114,33,265,63,69,12,554
SSC41356,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,3,0,3,0,7
SSC41357,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3
SSC41358,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,11,0,17
SSC41359,0,0,3,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,5,3,0,9
SSC41360,7,34,7,10,0,91,17,7,89,44,34,3,193,0,0,6,5,0,0,15,0,0,11,3,24,0,43,0,0,9,7,10,0,25,97,30,319,129,253,29,861
SSC41361,7,26,6,4,3,59,7,9,39,15,10,3,89,0,0,3,0,0,0,4,0,0,4,6,10,3,25,0,0,0,3,7,3,15,55,34,187,80,131,20,510
SSC41362,24,67,18,5,3,163,75,24,170,26,17,6,314,0,6,12,0,3,0,18,4,3,8,7,13,3,31,7,5,10,0,4,0,26,225,83,587,163,181,37,1278
SSC41363,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,5,0,11
SSC41364,0,9,0,0,0,9,0,0,3,4,10,0,21,0,0,0,0,0,0,0,0,0,0,0,5,0,3,0,0,4,0,7,0,10,3,0,26,25,66,12,130
SSC41365,5,3,4,4,0,18,0,0,0,9,6,0,13,0,0,0,0,0,0,0,0,0,0,0,9,0,9,0,0,0,0,4,0,4,0,7,16,29,53,11,110
SSC41366,0,0,0,0,0,3,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,3,0,7
SSC41367,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SSC41368,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SSC41369,0,25,5,7,0,48,12,7,37,6,6,3,66,0,0,4,0,3,0,9,0,0,5,3,12,0,18,0,0,0,0,0,0,5,45,35,165,48,57,15,368
SSC41370,0,0,0,0,0,3,0,0,4,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,4,13,0,21
SSC41371,24,62,22,8,3,163,49,9,109,32,11,7,222,4,0,9,3,3,0,19,9,3,12,0,4,0,29,4,0,6,3,8,0,21,198,84,441,163,172,23,1085
SSC41372,3,30,12,19,0,65,7,10,32,18,29,3,94,0,0,0,0,0,0,0,0,0,0,0,22,0,23,0,0,0,0,5,0,5,10,16,89,94,384,27,617
SSC41373,0,0,0,0,0,5,0,0,0,0,5,0,10,0,0,0,0,0,0,0,0,0,0,0,6,0,6,0,0,0,0,0,5,5,0,0,10,10,30,8,58
SSC41374,0,7,7,3,0,19,3,0,4,5,5,0,21,0,0,0,0,0,0,0,0,0,0,0,5,0,5,0,0,0,0,7,0,9,3,3,17,26,92,3,144
SSC41375,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
SSC41376,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SSC41377,0,0,3,0,0,4,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,7,0,0,16
SSC41378,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,10,0,11
SSC41379,0,0,0,0,0,7,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,15,8,15,4,38
SSC41380,7,25,9,0,0,64,26,9,47,7,0,0,80,3,0,0,0,0,0,5,3,0,3,0,3,0,10,5,0,9,3,0,0,20,108,33,211,60,50,5,469
SSC41381,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,5
SSC41382,16,66,39,35,0,166,21,12,90,91,135,15,358,0,0,3,4,10,0,21,0,3,10,9,61,4,83,0,0,5,4,22,9,45,61,47,327,332,872,89,1724
SSC41383,6,22,7,11,0,49,3,0,19,17,22,3,68,0,0,0,3,3,0,3,0,0,3,0,19,0,22,0,0,0,0,0,9,8,3,14,72,46,188,30,359
SSC41384,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,4,0,4,0,0,0,0,0,0,0,0,0,3,4,7,0,13
SSC41385,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SSC41386,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SSC41387,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SSC41388,3,43,5,3,3,79,30,10,71,21,43,7,177,3,0,3,3,3,0,14,0,0,3,3,18,0,31,4,0,6,3,5,5,23,87,32,264,104,215,32,724
SSC41389,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,4
SSC41390,7,15,3,3,3,40,7,3,18,3,12,0,48,0,0,3,0,0,0,3,0,0,3,0,0,0,3,3,0,0,0,3,0,8,35,13,88,32,72,6,248
SSC41391,0,0,0,0,0,0,0,3,0,3,3,0,8,0,0,0,0,0,0,0,0,0,0,0,4,0,4,0,0,0,0,3,0,3,3,3,12,8,55,8,89
SSC41392,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,6
SSC41393,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,12
SSC41394,0,0,0,0,0,3,0,0,4,0,3,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,3,16,0,34
SSC41395,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,6,0,13
SSC41396,7,60,25,18,0,131,5,11,62,41,69,7,187,0,0,3,3,7,0,15,0,0,6,4,37,0,50,0,0,0,4,10,3,15,34,25,231,212,543,37,1075
SSC41397,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,5,0,8
SSC41398,4,15,8,3,4,30,0,3,11,9,8,0,31,0,0,0,0,0,0,0,0,0,0,5,10,0,8,0,0,0,0,3,0,5,3,9,35,28,113,10,195
SSC41399,0,0,0,0,0,3,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,4,0,5,0,0,0,0,0,0,0,3,0,19,9,30,4,61
SSC41400,0,0,0,0,0,4,0,0,3,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,13,6,20,0,46
