SSC_CODE_2016,P_EducTrain_GD_GC,P_EducTrain_BD,P_EducTrain_AdD_D,P_EducTrain_Cert,P_EducTrain_ID_NS,P_EducTrain_ToT,P_HealthCareSocA_PD,P_HealthCareSocA_GD_GC,P_HealthCareSocA_BD,P_HealthCareSocA_AdD_D,P_HealthCareSocA_Cert,P_HealthCareSocA_ID_NS,P_HealthCareSocA_ToT,P_ArtRecServ_PD,P_ArtRecServ_GD_GC,P_ArtRecServ_BD,P_ArtRecServ_AdD_D,P_ArtRecServ_Cert,P_ArtRecServ_ID_NS,P_ArtRecServ_ToT,P_OthServ_PD,P_OthServ_GD_GC,P_OthServ_BD,P_OthServ_AdD_D,P_OthServ_Cert,P_OthServ_ID_NS,P_OthServ_ToT,P_ID_NS_PD,P_ID_NS_GD_GC,P_ID_NS_BD,P_ID_NS_AdD_D,P_ID_NS_Cert,P_ID_NS_ID_NS,P_ID_NS_ToT,P_ToT_PD,P_ToT_GD_GC,P_ToT_BD,P_ToT_AdD_D,P_ToT_Cert,P_ToT_ID_NS,P_ToT_ToT
SSC41447,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SSC41448,15,60,11,9,4,143,40,23,130,18,24,0,232,0,0,9,3,0,0,14,4,0,16,0,16,3,37,3,0,4,3,6,4,22,164,64,471,127,160,26,1019
SSC41449,0,0,0,0,0,4,0,0,0,3,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,13,3,31
SSC41450,20,76,17,21,3,184,34,21,112,22,22,5,223,6,3,19,6,7,0,41,5,0,14,9,20,0,47,3,0,6,7,8,8,31,190,70,542,194,332,45,1377
SSC41451,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,7
SSC41452,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,5
SSC41453,0,0,0,0,0,0,0,0,3,0,3,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,11,19,3,41
SSC41454,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,10
SSC41455,17,70,21,10,4,168,28,18,122,36,31,6,244,3,0,4,3,7,0,16,6,0,9,8,32,0,60,4,3,9,5,12,5,35,185,75,536,209,287,50,1338
SSC41456,3,33,9,4,0,73,9,6,48,4,11,0,78,0,0,0,0,0,0,3,0,0,3,7,16,0,26,0,0,3,3,0,0,8,52,33,201,72,112,11,476
SSC41457,13,54,22,17,5,116,14,4,67,50,60,6,200,0,0,3,0,5,0,11,0,0,5,4,53,3,65,0,0,3,3,15,4,27,38,30,253,212,494,41,1063
SSC41458,0,3,0,4,0,7,0,0,7,4,14,0,23,0,0,0,0,0,0,0,0,0,0,0,8,0,11,0,0,0,0,4,3,6,3,3,25,17,116,10,173
SSC41459,0,0,3,0,0,4,3,0,5,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,3,0,0,13,8,15,6,48
SSC41460,4,23,3,0,0,39,3,3,15,13,21,8,61,0,0,0,0,4,0,7,0,0,0,3,19,0,22,0,0,0,3,6,3,7,9,8,60,48,196,25,349
SSC41461,0,3,0,0,0,0,0,0,3,0,4,0,9,0,0,0,0,0,0,0,0,0,0,0,3,0,4,0,0,0,0,0,0,0,0,0,17,13,43,3,79
SSC41462,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
SSC41463,8,34,13,7,0,86,26,4,73,6,7,0,125,0,0,4,0,0,0,9,0,0,7,0,4,0,17,3,0,8,0,0,0,13,107,41,269,59,69,18,562
SSC41464,3,21,11,19,0,53,0,3,22,28,40,3,95,0,0,3,0,0,0,4,0,0,0,6,28,0,39,0,0,0,0,16,3,18,10,8,80,97,375,36,606
SSC41465,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
SSC41466,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
SSC41467,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SSC41468,0,3,0,4,0,10,3,0,3,6,4,0,17,0,0,0,0,0,0,0,0,0,0,3,4,0,5,0,0,0,3,3,0,3,9,3,25,28,54,3,113
SSC41469,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SSC41470,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,3,3,0,15
SSC41471,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,3,0,13
SSC41472,5,38,8,8,0,78,25,3,54,27,28,6,140,4,3,0,0,7,0,16,0,0,8,3,19,0,31,3,0,3,3,11,6,25,108,35,239,141,225,32,782
SSC41473,0,5,0,0,0,5,0,0,0,0,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,11,4,24,0,36
SSC41474,20,77,15,11,4,192,59,30,153,30,18,11,307,7,0,23,8,3,3,34,0,6,12,16,18,0,52,3,3,20,3,14,7,52,301,116,699,209,243,49,1608
SSC41475,6,27,3,3,0,51,42,10,65,9,3,7,126,0,0,0,0,0,0,4,0,4,3,3,6,0,13,4,0,11,3,0,3,22,115,24,233,61,65,17,514
SSC41476,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SSC41477,0,3,0,0,0,10,3,0,3,0,5,0,16,0,0,0,0,0,0,0,0,0,0,0,4,3,6,0,0,0,0,3,0,3,3,0,15,13,40,8,79
SSC41478,4,26,15,7,3,68,9,6,29,12,3,3,63,0,0,4,0,5,0,9,0,0,3,0,9,0,13,0,0,0,0,0,0,6,41,20,124,65,96,5,357
SSC41479,0,13,0,4,0,25,11,3,14,6,5,0,40,0,0,0,0,0,0,0,0,0,0,0,8,0,8,0,0,3,4,3,0,9,23,13,61,40,67,3,201
SSC41480,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,8,0,17
SSC41481,3,22,8,5,0,58,10,5,40,8,3,0,67,0,0,0,0,0,0,3,0,0,0,3,0,0,8,0,0,0,0,0,3,10,71,22,148,52,53,7,356
SSC41482,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,3
SSC41483,9,43,16,4,0,99,30,12,71,10,17,6,137,0,0,3,3,3,0,9,3,0,4,7,16,0,21,4,0,7,4,3,3,23,126,37,280,127,148,16,741
SSC41484,16,64,21,27,3,173,30,20,124,64,94,11,340,3,0,5,3,9,0,21,3,0,13,16,49,3,87,3,0,13,9,18,9,52,134,61,444,276,739,72,1721
SSC41485,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
SSC41486,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,7,0,14
SSC41487,0,4,3,0,0,13,3,0,5,0,0,0,8,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,3,11,3,28,17,21,0,76
SSC41488,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,9,3,11,0,26
SSC41489,5,35,21,10,3,81,10,14,63,38,59,4,184,3,0,3,0,0,0,5,3,3,7,12,24,0,43,0,0,5,4,13,6,32,31,30,163,156,402,48,839
SSC41490,0,0,0,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,5,10,3,28
SSC41491,3,20,8,5,0,41,0,0,14,21,7,0,44,0,0,0,0,0,0,0,0,0,3,0,15,0,12,0,0,3,0,18,4,25,8,3,66,68,190,26,364
SSC41492,5,19,11,4,0,44,0,0,23,15,12,4,54,0,0,0,0,0,0,0,0,0,0,3,13,0,19,0,0,0,3,0,0,7,20,13,79,62,131,12,318
SSC41493,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,7,8,0,27
SSC41494,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,5,0,7
SSC41495,4,38,15,13,6,89,3,8,15,37,40,0,103,0,0,0,0,3,0,7,0,0,3,8,20,0,27,0,0,0,0,11,8,18,22,23,80,102,297,38,561
SSC41496,0,3,3,0,0,8,3,3,14,3,4,0,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,6,26,21,32,3,87
SSC41497,0,3,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,3,4,0,13
SSC41498,13,53,10,7,0,111,43,11,108,24,6,12,212,3,0,3,3,3,0,16,3,0,3,0,6,0,12,0,0,11,0,6,3,20,162,52,414,126,113,26,893
SSC41499,18,57,16,17,6,130,24,9,84,43,37,0,193,0,0,0,3,3,0,8,3,0,0,4,22,3,30,0,0,3,5,12,6,33,81,52,292,174,364,32,996
SSC41500,0,3,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,3,8,0,17
SSC41501,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,6
SSC41502,3,25,12,16,0,58,4,0,48,21,65,9,153,0,0,0,0,0,0,0,0,0,0,3,27,3,32,0,0,0,0,15,5,23,13,5,98,82,365,41,598
SSC41503,0,0,4,3,0,6,0,0,0,0,3,0,6,0,0,0,0,0,0,0,0,0,0,0,4,0,4,0,0,0,0,3,0,3,0,0,5,15,54,3,81
SSC41504,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,6,6,0,14
SSC41505,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SSC41506,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
SSC41507,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,4,3,10
SSC41508,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3
SSC41509,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,4,5
SSC41510,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,6
SSC41511,0,0,4,0,0,9,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,9,11,3,31
SSC41512,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,9
SSC41513,0,0,0,0,0,5,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,4,28,0,42
SSC41514,0,3,3,0,0,4,0,0,3,5,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,5,10,15,5,40
SSC41515,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,6,3,11,3,18
SSC41516,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,10,0,8,3,20
SSC41517,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3
SSC41518,0,0,0,4,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,3,0,0,10,0,9,5,19
SSC41519,0,0,0,0,0,0,0,0,3,0,7,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,8,17,6,39
SSC41520,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,7,0,16
SSC41521,0,3,0,4,0,5,0,3,4,3,4,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,5,3,23,3,43
SSC41522,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SSC41523,0,0,3,0,0,9,0,0,3,3,3,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,4,4,0,0,12,12,48,8,83
SSC41524,27,103,26,28,0,228,38,31,133,47,62,13,319,0,0,11,4,7,0,28,0,0,3,13,48,0,72,3,0,5,3,16,9,43,159,85,535,280,586,59,1699
SSC41525,0,0,0,0,0,3,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,6,3,0,14
SSC41526,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,3
SSC41527,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,6
SSC41528,5,13,3,3,0,18,0,3,7,3,18,0,32,0,0,3,0,0,0,3,0,0,0,0,10,0,11,0,0,0,0,0,0,5,0,4,48,26,108,9,203
SSC41529,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SSC41530,0,0,0,0,0,3,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,5,0,13
SSC41531,0,3,0,0,0,4,5,0,7,3,0,0,14,0,0,3,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,28,7,10,0,53
SSC41532,0,3,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,7,0,15
SSC41533,0,6,0,4,0,9,0,0,0,11,4,0,17,0,0,0,0,0,0,0,0,0,0,0,4,0,4,0,0,0,3,3,5,9,6,0,22,26,71,15,141
SSC41534,0,3,5,3,0,9,0,0,3,0,5,0,13,0,0,0,0,0,0,0,0,0,0,0,3,0,9,0,0,0,0,3,0,5,5,10,27,19,42,6,104
SSC41535,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SSC41536,0,0,0,0,0,0,0,0,0,0,5,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,11,26,8,44
SSC41537,7,44,7,3,0,86,33,9,78,10,10,6,142,0,0,3,0,0,0,3,0,3,4,0,7,0,18,4,0,3,0,0,0,13,123,42,298,63,72,24,617
SSC41538,0,8,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,13,7,25
SSC41539,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,4,0,8
SSC41540,0,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,11
SSC41541,7,44,9,0,0,90,23,9,73,18,9,3,138,0,0,8,3,3,0,15,0,0,5,5,10,0,18,3,0,0,3,0,0,12,146,53,351,87,98,26,754
SSC41542,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,10
SSC41543,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SSC41544,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,4,9,0,15
SSC41545,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,6,5,0,21
SSC41546,5,13,8,6,0,33,4,3,27,7,6,0,53,0,0,0,0,0,0,0,0,0,0,0,9,0,13,0,0,0,6,0,3,11,16,12,89,42,89,12,268
SSC41547,0,0,0,0,0,3,0,0,0,3,3,0,3,0,0,0,0,3,0,4,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,0,5,6,29,3,48
SSC41548,0,0,0,0,0,3,0,0,3,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,7,18,0,35
SSC41549,0,0,0,0,0,0,0,0,0,3,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,5,3,0,11
SSC41550,20,89,22,23,4,192,40,14,117,49,38,5,261,0,0,6,5,11,4,28,3,3,8,7,46,0,72,10,0,12,3,18,5,45,162,78,581,286,551,63,1718
SSC41551,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,3
SSC41552,16,99,27,15,3,187,21,11,100,42,41,10,226,0,3,5,3,4,0,20,3,0,7,5,32,3,54,0,0,12,6,14,4,36,113,76,494,206,401,52,1332
SSC41553,7,38,10,6,0,79,13,9,30,14,13,4,73,0,0,7,3,0,0,9,0,0,6,0,11,0,22,6,0,5,3,3,7,18,74,34,191,89,141,20,557
SSC41554,10,87,34,20,6,195,47,11,106,47,61,16,279,0,0,10,10,16,0,35,0,0,10,11,48,4,70,0,0,8,8,19,5,44,150,58,484,303,579,72,1658
SSC41555,8,57,18,14,0,112,16,10,50,37,34,3,147,4,0,6,0,5,0,16,0,4,10,11,36,3,60,0,0,4,4,11,5,27,67,33,276,177,375,31,965
SSC41556,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,4
SSC41557,0,12,0,3,0,25,4,4,23,11,20,5,63,0,0,0,0,4,0,7,0,0,3,0,5,0,9,0,0,0,0,3,0,5,17,9,102,46,118,15,310
SSC41558,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,6
SSC41559,14,60,9,6,0,123,41,22,98,28,19,9,205,0,0,10,3,3,0,12,4,0,10,0,10,0,25,3,0,6,3,4,0,23,119,74,405,132,171,21,916
SSC41560,0,0,0,0,0,0,0,0,4,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,11,13,4,33
SSC41561,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,5
SSC41562,0,3,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,3,0,6
SSC41563,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,4,16,5,29
SSC41564,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,11
SSC41565,0,0,0,0,0,4,0,0,0,3,0,3,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,0,5,4,25,6,41
SSC41566,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4
SSC41567,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,6,0,11
SSC41568,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,7,0,12
SSC41569,0,3,0,3,0,10,0,3,5,0,8,3,21,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,0,3,0,7,3,3,21,18,43,11,102
SSC41570,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,7
SSC41571,6,63,15,24,0,139,5,9,101,40,44,6,207,0,0,5,0,7,0,15,3,0,0,0,37,0,41,0,0,0,5,15,3,22,65,27,278,167,545,38,1120
SSC41572,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SSC41573,3,48,6,5,0,72,12,3,34,18,40,0,104,0,0,0,0,0,0,0,0,0,0,5,18,0,23,0,0,8,0,13,3,23,26,11,149,88,319,24,616
SSC41574,10,68,16,40,6,146,7,11,79,45,101,8,253,0,0,3,3,5,0,10,0,0,0,3,39,4,42,0,0,0,0,24,13,40,32,28,232,146,795,69,1294
SSC41575,9,55,16,28,0,115,9,6,66,29,34,4,137,0,0,0,0,0,0,0,0,0,4,4,30,0,30,0,0,0,0,15,0,21,26,22,172,93,420,21,754
SSC41576,6,59,22,26,7,134,3,4,33,61,87,8,193,0,0,0,0,10,3,13,0,0,0,7,39,4,45,0,0,0,4,19,8,34,21,9,150,171,717,61,1132
SSC41577,0,0,0,0,0,3,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,12,3,20
SSC41578,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9
SSC41579,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SSC41580,0,0,3,0,0,4,0,0,0,3,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,16,28,0,58
SSC41581,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,4,10,3,26
SSC41582,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,4,0,7
SSC41583,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,7,3,3,20
SSC41584,0,3,0,0,0,3,0,0,0,0,4,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,8,23,3,40
SSC41585,0,3,0,0,0,7,0,0,0,0,4,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,3,14,0,22
SSC41586,3,31,28,29,3,106,10,5,36,38,78,13,176,0,0,0,0,6,0,9,0,0,3,7,36,3,44,0,0,0,7,14,8,25,33,17,138,165,515,41,914
SSC41587,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
SSC41588,15,50,13,17,0,109,3,10,26,29,55,6,128,3,0,0,3,7,0,10,0,0,0,0,19,0,23,0,3,3,4,10,3,25,27,32,164,156,460,38,874
SSC41589,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,3
SSC41590,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
SSC41591,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,3
SSC41592,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,6,0,13
SSC41593,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,10
SSC41594,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SSC41595,18,47,26,15,0,126,11,11,51,20,37,3,133,0,0,5,3,0,0,10,0,0,3,0,15,0,21,0,0,3,3,9,6,25,47,44,216,127,279,35,740
SSC41596,0,0,0,0,0,3,0,0,4,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,3,15,9,26,0,54
SSC41597,3,8,0,3,3,19,0,0,11,11,3,0,23,0,0,0,0,0,0,3,0,0,0,0,3,0,5,0,0,0,0,0,0,4,9,5,43,29,55,8,147
SSC41598,0,3,3,5,0,9,0,0,3,4,3,3,17,0,0,0,0,0,0,6,0,0,0,0,10,0,10,0,0,0,0,0,0,0,3,0,19,22,58,3,99
