SSC_CODE_2016,Age_yr_55_P,Age_yr_56_M,Age_yr_56_F,Age_yr_56_P,Age_yr_57_M,Age_yr_57_F,Age_yr_57_P,Age_yr_58_M,Age_yr_58_F,Age_yr_58_P,Age_yr_59_M,Age_yr_59_F,Age_yr_59_P,Age_yr_55_59_M,Age_yr_55_59_F,Age_yr_55_59_P,Age_yr_60_M,Age_yr_60_F,Age_yr_60_P,Age_yr_61_M,Age_yr_61_F,Age_yr_61_P,Age_yr_62_M,Age_yr_62_F,Age_yr_62_P,Age_yr_63_M,Age_yr_63_F,Age_yr_63_P,Age_yr_64_M,Age_yr_64_F,Age_yr_64_P,Age_yr_60_64_M,Age_yr_60_64_F,Age_yr_60_64_P,Age_yr_65_M,Age_yr_65_F,Age_yr_65_P,Age_yr_66_M,Age_yr_66_F,Age_yr_66_P,Age_yr_67_M,Age_yr_67_F,Age_yr_67_P,Age_yr_68_M,Age_yr_68_F,Age_yr_68_P,Age_yr_69_M,Age_yr_69_F,Age_yr_69_P,Age_yr_65_69_M,Age_yr_65_69_F,Age_yr_65_69_P,Age_yr_70_M,Age_yr_70_F,Age_yr_70_P,Age_yr_71_M,Age_yr_71_F,Age_yr_71_P,Age_yr_72_M,Age_yr_72_F,Age_yr_72_P,Age_yr_73_M,Age_yr_73_F,Age_yr_73_P,Age_yr_74_M,Age_yr_74_F,Age_yr_74_P,Age_yr_70_74_M,Age_yr_70_74_F,Age_yr_70_74_P,Age_yr_75_M,Age_yr_75_F,Age_yr_75_P,Age_yr_76_M,Age_yr_76_F,Age_yr_76_P,Age_yr_77_M,Age_yr_77_F,Age_yr_77_P,Age_yr_78_M,Age_yr_78_F,Age_yr_78_P,Age_yr_79_M,Age_yr_79_F,Age_yr_79_P,Age_yr_75_79_M,Age_yr_75_79_F,Age_yr_75_79_P,Age_yr_80_84_M,Age_yr_80_84_F,Age_yr_80_84_P,Age_yr_85_89_M,Age_yr_85_89_F,Age_yr_85_89_P,Age_yr_90_94_M,Age_yr_90_94_F,Age_yr_90_94_P,Age_yr_95_99_M,Age_yr_95_99_F,Age_yr_95_99_P,Age_yr_100_yr_over_M,Age_yr_100_yr_over_F,Age_yr_100_yr_over_P,Tot_M,Tot_F,Tot_P
SSC40001,189,72,94,167,55,107,162,83,107,190,94,85,173,389,485,870,74,85,156,84,92,176,87,89,177,72,65,138,72,72,143,391,393,788,72,74,147,60,57,122,54,44,97,57,62,114,53,55,108,300,294,592,41,56,96,33,31,67,31,31,60,23,39,57,27,32,57,156,192,349,25,29,51,18,27,43,19,32,51,18,27,48,20,31,55,99,148,248,84,106,182,63,99,161,14,56,74,7,15,24,0,0,0,5364,5682,11039
SSC40002,117,86,48,131,76,67,141,59,58,121,66,61,124,349,281,635,70,58,128,79,58,130,57,55,110,65,64,124,62,39,103,323,268,597,57,71,129,62,43,107,64,56,118,56,54,116,62,62,125,303,286,591,38,45,90,60,37,91,36,28,60,25,22,46,33,22,55,190,157,346,27,26,53,18,29,45,29,19,52,19,24,40,19,16,39,106,120,223,58,70,121,43,51,86,10,18,24,5,9,11,0,0,0,7919,7194,15115
SSC40003,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SSC40004,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,4,0,4,0,3,3,0,0,0,0,0,0,0,0,0,3,3,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,48,42,96
SSC40005,3,0,0,0,0,0,0,0,0,0,0,0,3,3,4,8,3,0,5,0,0,0,0,0,0,0,0,0,3,0,3,7,0,5,0,0,3,0,0,3,0,0,0,0,0,0,0,0,0,3,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,19,18,39
SSC40006,15,12,14,23,13,6,26,13,7,21,13,17,32,63,56,122,5,14,25,5,13,24,10,10,14,9,15,28,9,6,17,35,61,99,9,0,9,11,5,16,4,18,19,3,5,13,4,11,19,33,41,73,4,13,16,0,4,6,3,10,8,10,3,12,6,0,9,21,28,50,0,12,7,7,4,14,6,3,8,0,7,7,3,6,4,13,26,45,19,34,48,10,8,20,0,7,14,0,0,0,0,0,0,825,906,1724
SSC40007,29,12,7,22,17,18,38,15,18,32,20,11,34,82,76,151,15,13,28,18,16,36,11,17,28,15,16,27,6,6,15,61,71,131,15,10,22,15,8,26,16,8,26,3,7,11,11,17,26,62,49,107,14,10,22,6,10,16,3,11,10,12,10,13,6,3,10,40,42,76,6,5,7,3,12,17,0,7,6,3,5,12,8,3,6,21,30,45,24,28,55,11,18,32,8,4,11,0,3,3,0,0,0,902,915,1818
SSC40008,64,28,26,56,29,23,53,24,27,54,29,27,55,141,133,274,24,35,52,23,28,49,15,37,57,23,24,48,40,33,69,121,156,276,27,28,55,20,29,52,22,31,51,30,26,54,28,37,63,128,154,278,29,16,47,26,26,55,17,18,28,24,13,44,6,10,14,99,86,183,20,11,23,16,9,24,7,7,19,9,5,12,6,5,12,57,38,94,16,22,42,14,25,33,3,7,11,0,4,4,0,0,0,1633,1728,3361
SSC40009,11,4,3,7,3,4,7,3,0,3,3,3,4,21,18,42,4,3,6,3,9,10,7,3,6,4,3,8,5,6,13,26,24,47,0,10,10,4,0,4,6,0,4,4,10,15,3,4,4,18,25,37,3,3,8,4,4,7,3,4,10,3,3,8,0,3,9,16,16,33,3,0,3,0,0,3,0,4,4,5,4,11,3,0,3,10,9,20,7,8,9,0,3,3,0,0,0,0,0,0,0,0,0,288,282,573
SSC40010,117,55,49,110,51,53,104,39,69,103,46,60,106,252,287,537,55,58,110,43,54,100,59,65,125,70,51,118,45,54,98,268,282,547,52,61,111,45,45,89,44,52,96,45,61,103,49,64,115,232,273,507,38,43,77,50,36,82,30,36,70,31,42,71,27,36,61,171,197,369,36,37,73,33,35,65,21,31,50,19,12,35,19,28,45,133,136,271,72,94,165,50,57,105,15,44,53,13,13,18,0,3,4,5058,5502,10557
SSC40011,8,0,0,0,0,0,0,0,0,0,0,0,0,6,4,8,0,0,4,0,0,3,3,0,3,0,0,0,3,0,9,11,9,20,0,3,3,0,0,3,0,3,4,0,0,3,0,3,8,5,8,15,3,0,3,0,0,0,3,0,3,0,0,0,0,0,0,11,0,11,0,0,0,3,0,3,0,0,0,0,0,0,0,0,0,3,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,95,60,158
SSC40012,28,7,21,32,19,25,37,16,10,28,6,8,18,62,85,141,16,19,34,14,12,34,12,8,23,9,11,19,11,13,23,64,64,133,9,11,15,9,15,22,4,10,19,9,7,16,8,8,21,43,51,94,10,6,19,4,16,13,8,9,13,3,9,9,7,3,10,31,36,67,8,4,12,3,5,7,4,3,10,3,3,13,8,9,16,27,28,56,13,22,40,6,10,20,7,0,6,0,0,0,0,0,0,919,951,1868
SSC40013,7,0,7,8,3,0,4,4,0,4,5,3,7,17,11,29,0,3,4,4,3,6,0,3,7,6,0,5,4,4,7,17,19,33,6,3,10,0,0,3,0,0,3,0,0,3,3,3,5,16,11,24,0,0,3,0,0,0,7,0,7,0,0,0,0,4,4,4,4,10,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0,3,3,0,0,0,0,3,3,0,0,0,0,0,0,0,0,0,248,230,472
SSC40014,3,0,7,8,0,0,3,0,0,3,0,4,3,4,10,17,3,0,3,0,0,0,3,3,4,0,0,0,3,0,3,7,6,17,3,0,3,0,0,0,0,4,3,0,0,0,0,3,3,8,9,13,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,3,3,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,78,70,147
SSC40015,0,0,0,0,0,0,0,0,0,3,0,0,0,3,0,3,0,0,0,0,3,4,0,0,0,0,0,0,0,0,0,3,4,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,3,6,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40,36,75
SSC40016,3,0,4,4,0,0,0,3,6,4,8,0,5,11,9,25,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,4,4,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,3,3,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0,0,0,0,0,0,70,62,131
SSC40017,0,0,3,3,3,3,4,0,0,3,0,0,0,3,5,13,4,0,5,0,0,4,0,0,0,0,0,0,0,3,4,3,5,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,3,3,0,0,3,4,0,4,0,0,0,3,3,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,3,0,0,0,0,0,0,0,0,0,207,252,455
SSC40018,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,6
SSC40019,4,0,4,4,0,3,4,5,0,8,3,0,3,13,13,22,3,0,4,0,7,5,0,3,3,0,0,4,3,0,4,13,13,22,0,0,0,8,7,10,0,0,0,3,3,6,3,9,17,15,21,37,4,4,9,7,0,7,4,3,5,0,3,8,3,3,3,20,9,32,0,0,0,0,0,5,0,0,3,0,3,3,0,0,0,6,3,14,3,0,3,0,3,5,0,0,0,0,0,0,0,0,0,120,122,238
SSC40020,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5
SSC40021,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,5,14
SSC40022,0,0,4,4,4,0,4,0,3,3,3,0,6,10,6,16,3,3,8,0,0,3,0,3,3,0,0,3,4,0,4,16,4,22,3,5,5,0,0,0,0,0,0,6,0,7,3,0,3,6,6,11,0,0,0,0,0,3,0,0,4,0,0,0,0,0,0,7,5,11,0,0,0,3,0,3,0,0,4,0,0,0,0,0,0,0,3,9,3,0,4,0,0,3,0,0,0,0,0,0,0,0,0,123,104,226
SSC40023,4,0,0,6,0,3,6,3,0,8,3,0,3,17,7,25,0,4,3,0,8,6,3,0,3,5,4,10,6,0,3,16,16,30,8,0,10,6,0,6,0,0,0,0,0,0,3,0,7,16,6,24,0,0,7,0,3,3,0,3,7,9,0,11,3,0,3,20,11,24,3,0,3,3,0,3,0,0,3,0,0,3,0,0,0,11,8,18,9,7,14,0,0,3,3,3,4,0,0,0,0,0,0,172,144,316
SSC40024,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,4
SSC40025,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,3,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,0,0,0,0,0,0,20,16,37
SSC40026,61,35,33,64,30,38,69,32,28,54,33,18,52,168,137,300,24,31,51,20,18,40,13,17,34,13,19,31,18,20,39,82,106,187,17,11,24,14,18,31,8,7,18,10,19,33,12,10,18,54,66,126,11,15,29,13,10,21,6,10,14,10,11,21,9,7,13,49,50,99,3,8,11,9,5,13,9,3,11,4,0,6,8,0,5,25,17,50,4,15,25,5,3,11,0,4,3,3,0,3,0,0,0,3893,4155,8043
SSC40027,0,0,3,3,0,0,0,3,4,3,0,0,0,4,4,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,0,3,0,0,0,0,0,3,0,0,0,0,0,0,3,4,8,3,0,3,0,0,0,0,0,0,0,0,0,0,3,3,3,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,37,31,65
SSC40028,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,5,0,5,0,4,3,0,0,0,0,0,0,0,0,0,0,0,0,0,8,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27,24,47
SSC40029,29,16,20,37,13,15,30,11,17,29,17,21,33,77,78,152,17,17,36,13,9,22,9,13,21,7,18,26,13,15,28,67,73,139,8,10,26,8,8,22,13,10,22,18,19,34,11,14,29,66,66,134,11,15,32,9,10,17,11,10,25,8,6,16,10,16,18,49,55,106,14,12,20,4,3,6,10,5,17,4,9,13,4,5,16,45,35,77,32,16,47,16,18,28,3,3,8,0,0,0,0,0,0,1032,1064,2095
SSC40030,22,9,10,18,8,12,22,10,9,16,11,7,22,50,45,96,4,4,8,9,5,17,4,10,14,10,4,10,5,9,19,35,32,67,5,9,14,3,0,4,11,3,13,3,9,15,3,7,9,25,32,56,11,7,19,6,4,11,3,4,4,0,3,3,3,5,7,26,21,43,0,7,8,3,3,3,7,6,11,9,5,17,3,4,4,19,30,47,13,25,39,24,30,55,12,32,37,0,9,10,0,3,3,743,818,1563
SSC40031,41,27,11,39,13,14,29,14,6,25,11,14,30,90,60,155,16,14,27,22,6,26,6,11,18,10,10,27,9,10,20,60,54,115,9,13,23,10,11,17,20,11,26,11,8,18,11,12,24,59,59,117,5,14,20,9,11,20,4,6,13,3,14,20,6,14,20,34,62,92,5,5,16,7,7,14,4,3,10,3,7,13,6,3,15,32,27,63,18,12,28,8,5,19,3,4,6,0,0,0,0,0,0,1488,1438,2923
SSC40032,0,0,0,4,0,0,0,0,0,0,0,0,0,3,3,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28,13,44
SSC40033,0,0,0,0,0,0,0,0,0,0,0,0,4,4,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,5,8
SSC40034,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,3,8
SSC40035,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,14,32
SSC40036,3,3,0,3,0,0,0,3,0,4,0,0,0,3,4,12,0,0,0,0,3,0,4,0,4,0,0,0,0,0,0,3,6,9,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,3,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,49,42,83
SSC40037,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,10
SSC40038,19,15,7,26,7,20,24,8,7,18,8,10,20,53,57,110,8,8,20,11,14,20,17,12,28,12,23,29,13,13,28,61,61,122,9,9,14,11,15,19,17,15,32,14,16,31,8,13,25,58,63,116,18,10,26,11,9,22,15,9,18,4,10,18,10,12,19,55,52,104,9,9,14,7,8,18,7,13,17,5,9,16,7,17,16,39,52,90,37,36,79,18,27,49,4,12,19,0,4,4,0,0,0,583,585,1167
SSC40039,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,4,0,0,0,3,0,3,0,0,0,0,0,0,0,0,0,3,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40,14,54
SSC40040,6,8,5,7,4,5,5,3,4,3,0,0,3,9,15,26,4,3,5,3,3,10,4,0,9,0,4,4,7,0,6,15,20,30,0,5,7,0,3,4,4,0,3,3,0,3,6,3,3,15,14,27,7,0,7,0,3,3,3,0,3,3,3,3,0,0,3,13,3,15,0,0,0,3,3,4,0,0,0,0,0,0,0,0,0,0,3,7,7,5,7,0,0,0,0,0,0,0,0,0,0,0,0,183,180,362
SSC40041,10,3,3,5,6,3,8,6,3,10,3,3,4,22,11,36,4,0,5,3,0,3,7,3,8,3,6,9,0,3,3,13,17,27,4,4,5,0,0,0,3,3,3,3,0,5,3,9,12,16,17,31,0,4,6,0,0,4,0,0,3,3,3,3,7,0,8,14,11,23,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,7,3,11,0,0,5,0,3,6,0,0,0,0,0,0,0,0,0,176,156,331
SSC40042,0,3,3,3,3,5,8,0,0,0,0,3,4,9,6,20,0,0,0,3,0,4,0,0,0,0,0,0,0,0,0,3,6,7,0,0,0,0,0,0,0,3,6,0,0,0,0,0,3,3,3,13,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,5,3,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,4,0,0,0,0,4,4,0,0,0,0,0,0,0,0,0,75,69,148
SSC40043,29,18,18,40,8,18,26,11,14,21,23,21,40,76,81,158,18,15,29,8,16,23,24,20,42,17,19,39,9,12,22,71,84,153,13,21,30,15,15,29,12,15,28,11,16,25,16,19,38,60,87,147,9,10,18,9,7,20,11,24,32,9,10,17,11,13,23,50,66,115,10,13,20,6,13,26,3,15,21,8,13,15,7,9,20,31,68,96,19,46,70,18,31,48,6,11,12,0,3,3,0,0,0,1608,1679,3293
SSC40044,4,3,3,8,6,5,6,4,3,3,6,5,14,19,16,36,4,0,4,3,3,4,4,6,8,0,0,0,3,0,3,11,12,24,3,0,5,3,6,9,0,0,0,0,0,3,0,0,3,10,11,21,0,0,0,3,0,3,0,3,3,0,0,0,3,0,3,10,11,20,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,143,136,281
SSC40045,7,3,3,8,3,3,8,4,4,9,9,4,8,24,19,43,4,3,9,0,8,9,3,4,5,3,4,12,4,3,3,15,20,37,4,5,10,0,10,6,3,5,13,4,5,9,4,4,6,19,24,47,0,5,5,8,3,12,3,10,11,3,8,6,3,9,11,19,35,51,3,5,12,5,9,12,3,3,6,3,8,7,5,4,10,20,27,44,14,22,41,21,26,47,3,7,10,0,0,0,0,0,0,454,510,959
SSC40046,9,4,4,4,5,7,18,3,3,11,12,11,16,35,31,64,7,4,11,3,0,6,6,5,4,4,5,6,4,3,6,20,22,36,3,0,5,0,3,8,4,7,11,3,3,5,6,5,6,17,22,40,3,3,6,0,3,3,3,0,6,3,0,3,3,0,5,18,7,25,0,0,3,0,0,0,0,0,0,3,3,6,3,0,3,4,4,14,3,4,4,4,4,7,0,0,0,0,0,0,0,0,0,261,247,511
SSC40047,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,17,10,34
SSC40048,163,75,73,144,82,68,147,56,70,127,41,74,115,324,377,699,63,62,124,63,61,124,62,63,120,71,66,136,54,59,111,306,308,614,61,69,129,42,42,90,67,64,132,48,48,99,58,67,124,273,302,569,49,44,100,38,42,86,32,36,75,40,61,94,38,39,77,205,229,428,38,37,76,40,27,69,30,34,61,33,35,69,26,21,45,163,160,324,92,83,174,36,33,71,9,20,29,3,0,3,0,0,0,4548,4601,9152
SSC40049,17,7,13,25,15,13,21,9,9,16,10,11,24,52,53,102,10,13,26,4,5,14,13,4,21,3,10,18,8,10,12,37,49,84,5,8,8,8,3,11,8,7,16,13,4,18,3,3,6,32,30,65,3,0,4,8,3,9,9,7,12,6,3,5,0,3,9,24,13,40,6,7,8,3,0,3,3,3,10,3,3,6,3,3,6,16,11,26,6,11,17,13,12,19,3,6,13,0,0,0,0,0,0,1047,1032,2084
SSC40050,14,10,13,22,5,5,15,7,4,10,4,6,14,40,37,76,7,12,13,0,3,5,12,10,25,7,10,9,11,11,22,31,38,72,6,0,6,3,6,10,7,10,10,6,3,13,11,4,17,32,22,61,0,4,8,6,0,8,5,3,6,0,3,4,3,8,11,13,18,37,0,3,3,4,0,7,3,3,5,4,0,5,0,3,7,14,12,26,11,4,10,6,6,11,3,0,3,0,0,0,0,0,0,336,322,661
SSC40051,14,6,9,17,10,3,10,5,5,11,11,6,10,32,38,73,4,7,14,7,8,12,3,7,12,8,4,12,3,6,11,25,30,61,7,6,8,5,4,11,6,8,13,0,6,8,3,7,4,17,28,45,4,3,5,4,4,12,8,3,9,8,3,14,0,0,3,25,12,35,3,3,9,3,0,4,4,3,7,3,5,6,3,0,3,17,9,32,6,3,9,6,3,9,0,3,5,0,0,0,0,0,0,317,308,625
SSC40052,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,10,26
SSC40053,0,0,0,0,3,0,3,0,0,0,0,3,3,4,3,10,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,4,4,7,0,3,3,0,0,3,0,0,0,0,0,0,0,0,3,3,5,10,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,62,52,111
SSC40054,3,0,3,3,0,0,0,0,0,0,0,3,3,0,8,11,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,7,3,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,0,0,0,0,0,0,0,4,4,0,0,0,0,4,4,0,0,3,3,0,3,0,0,0,0,0,0,0,0,0,74,68,143
SSC40055,0,0,0,3,0,0,0,0,0,0,0,0,3,3,3,3,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,3,7,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29,37,64
SSC40056,4,0,3,3,3,0,3,0,4,7,0,3,3,3,12,19,3,0,4,0,0,0,4,0,3,0,0,0,3,4,8,5,6,14,5,3,6,3,0,7,4,0,7,3,3,6,0,3,3,14,11,25,3,3,3,0,0,0,0,0,0,3,0,5,0,0,0,9,11,12,0,0,0,0,3,3,0,0,0,0,0,0,0,0,0,0,6,8,3,0,3,0,0,3,0,0,0,0,0,0,0,0,0,71,91,161
SSC40057,0,0,0,4,4,0,4,0,0,0,0,4,4,4,3,9,0,0,0,3,0,0,0,0,0,3,0,3,0,0,0,8,3,6,0,0,0,3,0,3,0,0,0,0,0,0,0,0,0,3,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,4,0,0,0,0,0,0,0,0,0,0,0,0,43,41,84
SSC40058,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,3
