SSC_CODE_2016,Age_yr_55_P,Age_yr_56_M,Age_yr_56_F,Age_yr_56_P,Age_yr_57_M,Age_yr_57_F,Age_yr_57_P,Age_yr_58_M,Age_yr_58_F,Age_yr_58_P,Age_yr_59_M,Age_yr_59_F,Age_yr_59_P,Age_yr_55_59_M,Age_yr_55_59_F,Age_yr_55_59_P,Age_yr_60_M,Age_yr_60_F,Age_yr_60_P,Age_yr_61_M,Age_yr_61_F,Age_yr_61_P,Age_yr_62_M,Age_yr_62_F,Age_yr_62_P,Age_yr_63_M,Age_yr_63_F,Age_yr_63_P,Age_yr_64_M,Age_yr_64_F,Age_yr_64_P,Age_yr_60_64_M,Age_yr_60_64_F,Age_yr_60_64_P,Age_yr_65_M,Age_yr_65_F,Age_yr_65_P,Age_yr_66_M,Age_yr_66_F,Age_yr_66_P,Age_yr_67_M,Age_yr_67_F,Age_yr_67_P,Age_yr_68_M,Age_yr_68_F,Age_yr_68_P,Age_yr_69_M,Age_yr_69_F,Age_yr_69_P,Age_yr_65_69_M,Age_yr_65_69_F,Age_yr_65_69_P,Age_yr_70_M,Age_yr_70_F,Age_yr_70_P,Age_yr_71_M,Age_yr_71_F,Age_yr_71_P,Age_yr_72_M,Age_yr_72_F,Age_yr_72_P,Age_yr_73_M,Age_yr_73_F,Age_yr_73_P,Age_yr_74_M,Age_yr_74_F,Age_yr_74_P,Age_yr_70_74_M,Age_yr_70_74_F,Age_yr_70_74_P,Age_yr_75_M,Age_yr_75_F,Age_yr_75_P,Age_yr_76_M,Age_yr_76_F,Age_yr_76_P,Age_yr_77_M,Age_yr_77_F,Age_yr_77_P,Age_yr_78_M,Age_yr_78_F,Age_yr_78_P,Age_yr_79_M,Age_yr_79_F,Age_yr_79_P,Age_yr_75_79_M,Age_yr_75_79_F,Age_yr_75_79_P,Age_yr_80_84_M,Age_yr_80_84_F,Age_yr_80_84_P,Age_yr_85_89_M,Age_yr_85_89_F,Age_yr_85_89_P,Age_yr_90_94_M,Age_yr_90_94_F,Age_yr_90_94_P,Age_yr_95_99_M,Age_yr_95_99_F,Age_yr_95_99_P,Age_yr_100_yr_over_M,Age_yr_100_yr_over_F,Age_yr_100_yr_over_P,Tot_M,Tot_F,Tot_P
SSC41423,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,12,21
SSC41424,16,8,12,21,7,8,13,7,8,12,5,3,7,38,31,70,0,10,13,7,4,15,8,5,18,5,11,13,4,6,12,31,39,70,3,4,7,4,3,12,3,0,10,11,9,16,13,8,21,33,28,57,4,3,6,3,4,13,4,5,7,7,3,5,3,3,3,22,22,43,0,4,8,6,7,9,3,3,6,3,0,3,0,0,0,14,16,30,6,10,17,4,4,3,0,0,0,0,0,0,0,0,0,410,415,820
SSC41425,3,0,0,3,3,0,3,3,0,3,0,0,3,11,3,17,0,0,0,3,4,7,0,0,3,0,0,0,0,0,0,3,9,10,0,0,0,0,0,4,0,0,0,5,0,5,3,0,3,4,5,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,4,0,4,0,0,0,0,0,0,0,0,0,4,0,4,0,0,0,0,4,3,0,0,0,0,0,0,0,0,0,67,66,131
SSC41426,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,11,21
SSC41427,0,0,3,7,0,0,0,0,0,0,0,0,0,3,7,10,0,3,3,3,0,3,3,0,3,8,3,5,0,4,6,13,9,19,0,0,0,0,0,3,0,3,4,3,0,3,0,4,6,6,6,14,0,0,3,0,0,0,3,0,3,0,0,3,0,3,3,3,5,10,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,3,3,7,4,0,6,0,0,0,0,0,0,0,0,0,0,0,0,63,44,111
SSC41428,3,3,3,4,3,0,3,3,3,8,3,0,6,13,7,23,0,0,0,0,0,0,3,0,4,0,4,7,0,0,0,3,5,9,0,3,3,0,0,0,4,0,4,0,0,0,0,0,0,5,3,11,0,0,3,0,3,5,3,0,0,0,0,0,0,0,0,7,3,11,3,0,4,0,0,0,0,0,0,0,0,3,0,0,0,7,3,4,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,83,68,149
SSC41429,24,11,7,17,6,8,15,10,10,14,3,7,15,33,49,79,6,5,13,9,9,15,3,11,9,7,7,10,7,7,16,37,33,66,8,7,15,9,0,12,11,9,22,12,0,9,6,4,14,47,30,80,6,3,12,3,3,6,3,4,8,4,3,3,3,3,9,19,16,36,3,6,9,8,3,7,7,3,6,3,3,4,0,3,3,18,23,35,20,18,40,8,13,23,4,3,9,0,3,3,0,0,0,724,700,1431
SSC41430,10,3,4,3,7,4,8,3,4,9,9,3,13,22,22,43,0,6,11,7,4,10,7,4,12,7,3,9,5,0,10,29,19,50,4,0,5,7,0,6,6,4,10,4,4,6,9,3,9,25,20,39,5,3,4,0,3,6,0,3,3,0,3,3,0,3,5,10,8,17,5,0,3,0,0,0,0,4,3,0,0,0,0,0,0,6,4,8,0,0,0,3,8,13,0,0,3,0,0,0,0,0,0,279,278,559
SSC41431,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23,17,41
SSC41432,4,0,3,3,3,4,4,3,0,3,4,0,4,13,5,18,0,3,6,4,0,7,5,0,6,0,0,0,3,0,4,17,5,24,0,0,0,3,3,3,0,0,3,0,0,0,3,3,6,7,3,9,0,0,3,3,0,3,3,3,4,0,0,0,0,0,0,6,6,8,0,3,3,0,0,0,3,0,3,3,3,8,0,0,0,3,3,8,0,0,0,3,0,3,0,0,0,0,0,0,0,0,0,113,94,201
