SSC_CODE_2016,All_inc_NS_Emp_AW,All_inc_NS_E_T,All_inc_NS_UnE_lfw_FTW,All_inc_NS_UnE_lfw_PTW,All_inc_NS_UnE_lfw_Tot,All_inc_NS_T_LF,All_inc_NS_Notin_LF,All_inc_NS_LF_sta_NS,All_inc_NS_Tot,Tot_Emp_WFT,Tot_Emp_WPT,Tot_Emp_AW,Tot_E_T,Tot_UnE_lfw_FTW,Tot_UnE_lfw_PTW,Tot_UnE_lfw_Tot,Tot_T_LF,Tot_Notin_LF,Tot_LF_sta_NS,Tot_Tot
SSC41508,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SSC41509,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SSC41510,0,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,3,0,0,3
SSC41511,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SSC41512,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SSC41513,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
SSC41514,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,4,3,0,8
SSC41515,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,3,0,0,3
SSC41516,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
SSC41517,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SSC41518,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SSC41519,0,0,0,0,0,0,0,0,0,0,5,0,5,0,0,0,5,0,0,3
SSC41520,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SSC41521,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,4
SSC41522,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SSC41523,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,10,0,12
SSC41524,0,3,0,0,0,3,0,0,3,86,58,6,147,7,4,12,162,65,0,224
SSC41525,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SSC41526,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SSC41527,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SSC41528,0,0,0,0,0,0,0,0,0,6,0,0,5,3,0,3,7,0,0,11
SSC41529,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SSC41530,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SSC41531,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,3,0,0,3
SSC41532,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4
SSC41533,0,0,0,0,0,0,3,0,3,4,0,3,8,0,0,0,8,17,0,26
SSC41534,0,0,0,0,0,0,0,0,0,0,3,0,4,0,0,0,4,0,0,8
SSC41535,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SSC41536,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,3,0,0,7
SSC41537,0,0,0,0,0,0,0,0,0,25,9,0,37,0,3,3,41,29,0,72
SSC41538,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SSC41539,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SSC41540,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SSC41541,0,0,0,0,0,0,0,0,0,20,11,0,27,0,0,0,24,17,0,40
SSC41542,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
SSC41543,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SSC41544,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5
SSC41545,0,0,0,0,0,0,0,0,0,4,0,0,4,0,0,0,4,0,0,4
SSC41546,0,0,0,0,0,0,3,0,3,13,10,0,20,0,0,0,20,16,0,42
SSC41547,0,0,0,0,0,0,0,0,0,4,0,0,4,0,0,0,4,0,0,4
SSC41548,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,7
SSC41549,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SSC41550,0,0,0,0,0,0,0,0,0,47,36,3,86,3,6,13,95,49,0,150
SSC41551,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SSC41552,0,0,0,0,0,0,0,3,3,48,43,4,101,0,3,9,104,64,3,171
SSC41553,0,0,0,0,0,0,0,0,0,22,18,0,42,3,3,6,44,22,0,73
SSC41554,0,0,0,0,0,0,0,0,0,54,51,3,107,4,9,8,116,71,0,189
SSC41555,0,0,0,0,0,0,0,0,0,36,29,3,65,0,0,3,67,32,0,102
SSC41556,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SSC41557,0,0,0,0,0,0,0,0,0,15,8,0,27,0,0,0,27,29,0,55
SSC41558,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SSC41559,0,0,0,0,0,0,0,0,0,25,24,0,48,0,0,3,56,16,0,68
SSC41560,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4
SSC41561,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
SSC41562,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SSC41563,0,0,0,0,0,0,0,0,0,3,3,0,5,0,0,0,5,4,0,8
SSC41564,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SSC41565,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
SSC41566,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SSC41567,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,3
SSC41568,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SSC41569,0,0,0,0,0,0,0,0,0,0,9,0,7,0,0,0,7,0,0,12
SSC41570,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3
SSC41571,0,0,0,0,0,0,0,0,3,37,27,3,64,3,5,11,73,37,0,117
SSC41572,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SSC41573,0,0,0,0,0,0,0,0,0,20,25,0,40,0,5,9,43,26,3,75
SSC41574,0,3,0,0,0,3,10,7,17,77,99,16,187,32,16,50,240,181,10,434
SSC41575,0,0,0,0,0,0,0,0,0,33,20,3,54,3,0,4,58,26,0,88
SSC41576,0,6,0,0,0,6,16,6,31,60,76,11,145,25,24,52,191,276,15,476
SSC41577,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SSC41578,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SSC41579,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SSC41580,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SSC41581,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,6,4,0,9
SSC41582,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SSC41583,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SSC41584,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SSC41585,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SSC41586,0,0,0,0,0,0,0,0,4,72,53,7,127,3,5,8,139,79,3,219
SSC41587,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SSC41588,0,0,0,0,0,0,0,0,0,22,24,6,53,7,0,3,55,24,0,82
SSC41589,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SSC41590,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SSC41591,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SSC41592,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SSC41593,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SSC41594,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SSC41595,0,0,0,0,0,0,0,0,0,28,37,0,67,4,3,3,73,18,0,85
SSC41596,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SSC41597,0,0,0,0,0,0,0,0,0,3,3,0,10,0,0,0,10,0,0,10
SSC41598,0,0,0,0,0,0,0,0,0,3,4,0,7,0,0,0,7,3,0,6
SSC41599,0,0,0,0,0,0,0,0,0,0,3,0,9,0,0,0,8,0,0,14
SSC41600,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,9
SSC41601,0,0,0,0,0,0,0,0,4,74,53,8,133,5,8,14,147,109,3,253
SSC41602,0,0,0,0,0,0,0,0,0,4,6,3,11,0,0,0,13,19,0,35
SSC41603,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,6,0,11
SSC41604,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SSC41605,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4
SSC41606,0,0,0,0,0,0,0,0,0,3,0,0,3,0,0,0,3,10,0,10
SSC41607,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SSC41608,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SSC41609,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,6
SSC41610,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,4
SSC41611,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SSC41612,0,0,0,0,0,0,0,0,0,4,0,0,6,0,0,0,6,0,0,9
SSC41613,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SSC41614,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
SSC41615,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,3,3,0,10
SSC41616,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SSC41617,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SSC41618,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SSC41619,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SSC41620,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
SSC41621,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,6,0,0,6
SSC41622,0,3,0,0,0,3,0,0,4,166,153,10,330,12,10,25,350,105,0,454
SSC41623,0,0,0,0,0,0,0,0,0,5,4,0,11,0,0,0,11,3,0,14
SSC41624,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SSC41625,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,4
SSC41626,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
SSC41627,0,0,0,0,0,0,0,0,0,42,27,0,68,0,3,0,72,22,0,96
SSC41628,0,0,0,0,0,0,0,0,0,23,13,0,37,0,0,3,47,40,0,83
SSC41629,0,0,0,0,0,0,0,0,3,28,22,0,47,4,8,10,61,88,0,153
SSC41630,0,0,0,0,0,0,0,0,0,28,26,8,62,3,0,5,68,60,0,132
SSC41631,0,0,0,0,0,0,0,3,4,15,20,0,37,3,3,4,42,28,3,71
SSC41632,0,0,0,0,0,0,0,0,0,44,31,0,79,3,3,3,80,61,3,146
SSC41633,0,0,0,0,0,0,3,0,3,31,38,3,66,3,3,7,73,61,0,136
SSC41634,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3
SSC41635,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SSC41636,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SSC41637,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SSC41638,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SSC41639,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SSC41640,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SSC41641,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SSC41642,0,0,0,0,0,0,0,0,0,6,6,0,11,0,0,0,11,3,0,17
SSC41643,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SSC41644,0,0,0,0,0,0,0,0,0,10,8,0,12,0,0,0,13,5,0,19
SSC41645,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SSC41646,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SSC41647,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
SSC41648,0,0,0,0,0,0,0,0,3,154,113,14,276,10,5,23,296,101,5,401
SSC41649,0,0,0,0,0,0,0,0,0,3,0,0,3,0,0,0,4,3,0,5
SSC41650,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,4,0,0,5
SSC41651,0,0,0,0,0,0,0,0,0,4,3,3,11,0,3,3,10,7,0,16
SSC41652,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SSC41653,0,0,0,0,0,4,5,3,8,3,0,0,5,0,0,0,5,6,3,18
SSC41654,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,8
SSC41655,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SSC41656,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SSC41657,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SSC41658,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SSC41659,0,0,0,0,0,0,0,0,0,7,6,0,15,0,0,0,15,10,0,25
SSC41660,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,3,0,0,3
SSC41661,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SSC41662,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SSC41663,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SSC41664,0,0,0,0,0,0,0,0,0,3,0,0,3,0,0,0,3,0,0,3
SSC41665,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SSC41666,0,0,0,0,0,0,0,0,0,5,0,0,4,0,0,0,5,0,0,5
SSC41667,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,3,0,0,3
SSC41668,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SSC41669,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
SSC41670,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SSC41671,0,0,0,0,0,0,0,0,0,3,0,0,6,0,0,0,6,4,0,5
SSC41672,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SSC41673,0,0,0,0,0,0,0,0,0,7,13,0,15,0,3,4,19,18,0,39
SSC41674,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SSC41675,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SSC41676,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
SSC41677,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SSC41678,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SSC41679,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,3
SSC41680,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SSC49494,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SSC49797,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
