SSC_CODE_2016,One_method_Train_M,One_method_Train_F,One_method_Train_P,One_method_Bus_M,One_method_Bus_F,One_method_Bus_P,One_method_Ferry_M,One_method_Ferry_F,One_method_Ferry_P,One_met_Tram_incl_lt_rail_M,One_met_Tram_incl_lt_rail_F,One_met_Tram_incl_lt_rail_P,One_method_Taxi_M,One_method_Taxi_F,One_method_Taxi_P,One_method_Car_as_driver_M,One_method_Car_as_driver_F,One_method_Car_as_driver_P,One_method_Car_as_passenger_M,One_method_Car_as_passenger_F,One_method_Car_as_passenger_P,One_method_Truck_M,One_method_Truck_F,One_method_Truck_P,One_method_Motorbike_scootr_M,One_method_Motorbike_scootr_F,One_method_Motorbike_scootr_P,One_method_Bicycle_M,One_method_Bicycle_F,One_method_Bicycle_P,One_method_Other_M,One_method_Other_F,One_method_Other_P,One_method_Walked_only_M,One_method_Walked_only_F,One_method_Walked_only_P,One_method_Tot_one_method_M,One_method_Tot_one_method_F,One_method_Tot_one_method_P,Two_methods_Train_Bus_M,Two_methods_Train_Bus_F,Two_methods_Train_Bus_P,Two_methods_Train_Ferry_M,Two_methods_Train_Ferry_F,Two_methods_Train_Ferry_P,Two_mt_trn_Trm_incl_lt_rl_M,Two_mt_trn_Trm_incl_lt_rl_F,Two_mt_trn_Trm_incl_lt_rl_P,Two_methods_Trn_Car_as_drvr_M,Two_methods_Trn_Car_as_drvr_F,Two_methods_Trn_Car_as_drvr_P,Two_methods_Trn_Car_as_pass_M,Two_methods_Trn_Car_as_pass_F,Two_methods_Trn_Car_as_pass_P,Two_methods_Train_Other_M,Two_methods_Train_Other_F,Two_methods_Train_Other_P,Two_methods_Train_Tot_M,Two_methods_Train_Tot_F,Two_methods_Train_Tot_P,Two_methods_Bus_Ferry_M,Two_methods_Bus_Ferry_F,Two_methods_Bus_Ferry_P,Two_mth_Bu_Trm_inc_lt_rl_M,Two_mth_Bu_Trm_inc_lt_rl_F,Two_mth_Bu_Trm_inc_lt_rl_P,Two_methods_Bus_Car_as_drvr_M,Two_methods_Bus_Car_as_drvr_F,Two_methods_Bus_Car_as_drvr_P,Two_methods_Bus_Car_as_pass_M,Two_methods_Bus_Car_as_pass_F,Two_methods_Bus_Car_as_pass_P,Two_methods_Bus_Other_M,Two_methods_Bus_Other_F,Two_methods_Bus_Other_P,Two_methods_Bus_Tot_M,Two_methods_Bus_Tot_F,Two_methods_Bus_Tot_P,Two_methds_Othr_two_methds_M,Two_methds_Othr_two_methds_F,Two_methds_Othr_two_methds_P,Two_methods_Tot_two_methods_M,Two_methods_Tot_two_methods_F,Two_methods_Tot_two_methods_P,Three_meth_Trn_two_othr_met_M,Three_meth_Trn_two_othr_met_F,Three_meth_Trn_two_othr_met_P,Three_met_Bs_2_ot_met_ex_tr_M,Three_met_Bs_2_ot_met_ex_tr_F,Three_met_Bs_2_ot_met_ex_tr_P,Three_meth_Othr_three_meth_M,Three_meth_Othr_three_meth_F,Three_meth_Othr_three_meth_P,Three_meth_Tot_three_meth_M,Three_meth_Tot_three_meth_F,Three_meth_Tot_three_meth_P,Worked_home_M,Worked_home_F,Worked_home_P,Did_not_go_to_work_M,Did_not_go_to_work_F,Did_not_go_to_work_P,Method_travel_to_work_ns_M,Method_travel_to_work_ns_F,Method_travel_to_work_ns_P,Tot_M,Tot_F,Tot_P
SSC40001,20,32,55,116,111,229,0,0,0,3,0,4,0,0,3,2146,1880,4023,93,133,224,19,0,21,23,3,25,7,0,8,29,3,31,22,16,40,2481,2187,4670,6,0,7,0,0,0,0,0,0,17,19,35,0,4,3,0,0,0,26,28,49,0,0,0,0,0,0,6,14,23,8,3,7,0,0,0,11,19,34,21,23,44,62,68,132,3,0,7,3,0,3,0,0,0,3,5,8,62,108,169,224,419,648,20,15,33,2859,2806,5663
SSC40002,27,21,48,192,241,432,0,0,0,87,91,173,7,9,17,1038,706,1742,63,102,165,0,0,0,28,6,35,150,90,247,30,31,58,1033,980,2005,2657,2275,4929,14,5,19,0,0,0,0,0,0,0,0,0,0,0,3,0,0,3,22,12,30,0,0,0,5,9,14,0,7,5,5,3,10,4,0,7,18,16,34,20,15,35,58,40,99,10,0,7,0,3,5,3,0,3,10,5,14,141,119,258,278,352,627,30,21,47,3160,2811,5972
SSC40003,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SSC40004,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,3,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,5,19,5,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,8,17,3,0,3,0,0,0,31,16,46
SSC40005,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,3,11,0,0,0,0,0,0,8,4,16
SSC40006,14,14,21,8,13,27,0,0,0,0,3,3,0,0,0,315,256,575,14,22,37,10,0,10,0,0,0,3,0,3,4,0,4,7,0,11,373,322,693,0,0,0,0,0,0,0,0,0,3,3,4,0,0,0,0,0,0,5,4,7,0,0,0,0,0,0,0,0,0,0,3,4,0,0,0,3,3,3,6,3,8,7,11,19,0,0,0,0,0,0,0,0,0,0,0,0,3,10,10,23,66,90,0,0,3,411,402,814
SSC40007,22,35,63,10,7,10,0,0,0,0,0,0,3,0,3,317,272,590,18,22,37,3,0,3,6,0,6,13,0,14,3,0,6,8,6,16,403,344,748,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,3,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,3,0,3,3,8,9,7,14,23,3,0,5,0,0,0,0,0,0,3,0,5,11,12,26,32,56,93,0,0,0,456,431,888
SSC40008,0,3,3,48,38,87,0,0,0,0,0,0,0,0,0,569,471,1037,23,45,71,3,0,3,3,0,3,6,0,12,3,3,5,5,6,15,673,572,1242,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,0,0,0,9,10,14,0,3,4,0,0,0,15,13,19,3,8,15,20,16,36,0,0,0,0,0,0,0,0,0,3,0,3,58,80,140,54,111,164,3,7,4,813,779,1590
SSC40009,0,3,4,0,0,0,0,0,0,0,0,0,0,0,0,80,58,135,7,3,10,9,0,9,0,0,0,3,0,3,4,0,4,5,5,19,108,74,180,0,0,0,0,0,0,0,0,0,3,0,6,0,0,0,0,0,0,5,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,3,11,0,0,3,0,0,0,0,0,0,0,0,3,10,15,22,16,19,41,0,0,4,140,119,257
SSC40010,20,19,39,14,4,23,3,0,3,0,0,0,4,3,7,1550,1328,2876,87,95,186,33,0,33,12,3,15,3,3,7,22,5,32,31,36,64,1780,1495,3277,5,11,19,0,0,0,0,0,0,13,29,40,4,0,4,0,0,0,24,41,65,0,0,0,0,0,0,0,5,5,0,3,5,0,0,0,0,7,9,16,10,25,44,59,101,5,6,10,0,0,0,0,0,0,5,6,11,56,100,158,240,398,635,13,21,34,2138,2077,4217
SSC40011,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,16,41,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,7,0,10,31,17,48,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,7,10,3,10,13,0,0,0,38,33,73
SSC40012,4,0,11,26,26,54,0,0,0,7,12,20,0,0,0,339,295,629,21,28,48,6,0,6,5,0,5,17,9,21,8,0,12,9,6,18,440,376,818,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,4,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,4,3,8,11,10,21,18,11,25,0,0,0,0,0,0,0,0,0,0,0,3,6,16,29,40,63,100,3,0,8,509,475,977
SSC40013,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,73,55,131,0,5,8,6,0,6,0,0,0,0,0,0,0,0,3,3,0,7,85,66,153,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,13,17,11,16,29,0,0,0,108,98,204
SSC40014,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,18,34,0,0,0,3,0,3,0,0,0,0,0,0,0,0,0,3,7,11,25,25,47,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,6,14,0,3,4,0,0,0,33,32,67
SSC40015,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,14,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,13,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,8,0,4,7,0,0,0,13,21,38
SSC40016,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,14,37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27,16,43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,6,0,5,7,0,0,0,36,22,54
SSC40017,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,5,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,38,55,28,51,72,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,8,9,31,52,88
SSC40018,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SSC40019,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,20,38,0,3,4,0,0,0,0,0,0,0,0,0,0,0,0,3,7,3,28,26,49,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,9,8,6,15,0,0,0,34,36,64
SSC40020,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7
SSC40021,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,4,3,4
SSC40022,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,13,34,0,4,10,0,0,0,0,0,0,0,0,0,0,0,0,9,15,24,38,30,67,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,4,37,30,70
SSC40023,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,47,34,77,4,3,5,3,0,3,0,0,0,0,0,0,0,0,0,0,4,5,50,40,91,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,7,10,8,7,18,0,0,0,68,53,116
SSC40024,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,4
SSC40025,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,6,3,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,4,8,0,0,0,0,0,0,14,10,26
SSC40026,21,54,74,15,14,29,0,0,0,0,0,0,0,0,0,1394,1078,2472,73,68,142,15,0,17,13,0,13,8,0,5,15,5,18,8,6,17,1559,1237,2796,10,15,30,0,0,0,0,0,3,4,14,22,3,0,3,0,0,0,23,28,53,0,0,0,0,0,0,0,8,10,0,3,3,0,0,0,4,13,13,19,6,22,41,47,89,0,5,12,0,0,0,0,0,0,4,5,10,7,30,42,108,210,318,11,11,18,1733,1539,3275
SSC40027,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,8,18,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,9,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,9,0,3,3,0,0,0,18,14,30
SSC40028,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,5,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,7,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,4,0,0,0,7,8,19
SSC40029,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,368,308,678,23,22,41,14,0,11,5,0,5,3,0,3,7,7,8,23,13,37,442,352,788,0,3,3,0,0,0,0,0,0,0,3,4,0,0,0,0,0,0,3,4,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,6,6,6,13,0,0,0,0,0,0,0,0,0,0,0,0,38,34,64,39,67,107,8,7,11,532,460,986
SSC40030,0,0,0,6,18,24,0,0,0,0,0,0,0,0,0,210,143,353,12,32,40,3,0,3,4,0,4,4,0,4,5,0,5,3,9,12,247,202,445,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,3,5,9,7,3,13,12,7,18,0,0,0,0,0,0,0,0,0,0,0,0,5,0,6,18,39,52,3,3,6,277,250,528
SSC40031,3,14,17,3,0,3,0,0,0,0,0,0,0,0,0,603,485,1091,34,17,49,39,0,36,4,0,4,0,0,0,8,3,7,10,5,17,704,530,1228,0,0,0,0,0,0,0,0,0,3,5,8,0,0,0,0,0,0,4,8,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,4,15,14,10,25,0,8,8,0,0,0,0,0,0,0,5,5,15,41,53,54,77,131,6,9,14,791,674,1468
SSC40032,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,6,0,0,3,12,7,14
SSC40033,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,5,0,3
SSC40034,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,7
SSC40035,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,3,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,3,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,4,7,0,0,0,8,5,14
SSC40036,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,10,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,10,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,8,15,0,3,3,0,0,0,21,16,38
SSC40037,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,6
SSC40038,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,134,109,246,4,6,16,6,0,6,0,0,0,0,0,0,0,0,0,16,9,27,157,125,287,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,4,10,12,20,29,53,0,0,0,186,172,360
SSC40039,0,0,0,7,0,8,0,0,0,0,0,0,0,0,0,9,3,10,0,0,0,0,0,0,0,0,0,0,0,0,6,3,8,8,3,12,35,12,46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,4,0,0,3,0,0,0,39,14,50
SSC40040,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,68,66,136,9,8,15,0,0,0,0,0,0,0,0,0,0,3,3,4,0,8,79,79,162,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,7,19,9,10,24,0,0,0,106,97,200
SSC40041,0,0,0,3,0,3,0,0,0,0,0,0,0,0,0,51,41,86,0,3,5,3,0,3,0,0,0,0,0,0,0,0,0,6,6,14,64,44,115,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,5,17,14,10,21,0,0,3,90,64,155
SSC40042,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,15,43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,4,27,20,43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,5,12,7,3,11,3,0,3,43,30,73
SSC40043,51,47,100,47,47,93,0,0,0,3,9,12,3,0,3,533,474,1002,19,49,72,3,0,3,10,0,11,18,0,17,10,0,10,10,13,27,705,642,1347,14,4,21,0,0,0,0,0,0,3,3,4,0,0,0,0,0,0,19,9,28,0,0,0,0,0,4,3,8,6,0,0,0,0,0,4,3,12,14,4,8,15,30,22,49,6,0,5,0,0,0,3,0,3,11,4,9,22,22,41,50,106,157,7,9,17,826,799,1622
SSC40044,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,43,43,90,3,0,7,0,0,0,0,0,0,0,0,0,5,3,6,3,3,7,58,50,109,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,6,13,9,5,18,0,0,0,78,69,144
SSC40045,0,0,0,26,32,60,0,0,0,0,0,0,0,3,3,132,113,242,5,11,18,3,0,3,4,0,9,8,0,7,0,0,0,11,17,30,190,181,370,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,3,0,3,7,0,4,8,3,11,0,0,0,0,0,0,0,0,0,0,0,0,14,8,14,20,19,41,8,9,11,233,216,451
SSC40046,0,0,0,3,5,3,0,0,0,0,0,0,0,0,0,89,81,163,7,6,8,0,0,0,0,0,0,0,0,0,0,0,0,4,4,12,99,96,194,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,3,0,4,0,0,0,3,0,6,0,0,0,0,0,0,0,0,0,0,0,0,12,12,21,17,22,39,0,0,0,139,128,267
SSC40047,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,6,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,8,6,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,8,5,19
SSC40048,0,0,0,134,171,300,0,0,0,0,0,0,6,0,6,1747,1475,3223,82,144,228,30,0,36,21,3,25,24,0,21,27,7,34,12,15,27,2078,1826,3898,3,0,4,0,0,0,0,0,0,3,0,3,0,0,0,0,0,0,4,3,4,0,0,0,0,0,4,45,39,80,5,6,14,0,0,0,53,51,98,26,3,26,80,60,136,3,0,3,5,4,8,0,0,0,8,6,10,87,105,191,176,287,464,26,21,42,2449,2295,4743
SSC40049,3,7,6,24,25,51,0,0,0,3,3,3,3,0,3,331,214,543,28,22,49,3,0,3,8,0,8,8,0,8,0,0,3,6,5,8,409,276,684,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0,6,5,5,6,13,7,10,19,0,0,3,0,4,4,0,0,0,0,4,4,8,12,16,33,41,75,0,4,3,462,348,813
SSC40050,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,111,95,211,7,3,13,0,0,0,0,0,0,0,0,0,0,0,0,3,3,6,127,103,236,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,18,26,23,26,51,0,3,3,162,156,320
SSC40051,0,0,0,4,3,9,0,0,0,0,0,0,0,0,0,131,89,212,3,6,14,3,0,3,0,0,0,0,0,0,0,0,0,0,3,6,147,98,250,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0,0,0,0,3,3,4,3,3,3,5,9,0,0,0,0,0,0,0,0,0,0,0,0,5,9,19,13,18,31,0,0,3,174,137,311
SSC40052,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,7,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,7,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,5,0,0,0,0,0,0,6,6,15
SSC40053,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,10,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,13,10,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,13,32,0,6,8,0,0,0,31,28,60
SSC40054,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34,23,58,3,3,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30,30,58,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,4,3,7,0,0,0,35,35,69
SSC40055,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,5,16,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,3,3,6,14,8,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,4,0,0,0,19,17,31
