SSC_CODE_2016,Num_Psns_UR_1_FamHhold,Num_Psns_UR_1_NonFamHhold,Num_Psns_UR_1_Total,Num_Psns_UR_2_FamHhold,Num_Psns_UR_2_NonFamHhold,Num_Psns_UR_2_Total,Num_Psns_UR_3_FamHhold,Num_Psns_UR_3_NonFamHhold,Num_Psns_UR_3_Total,Num_Psns_UR_4_FamHhold,Num_Psns_UR_4_NonFamHhold,Num_Psns_UR_4_Total,Num_Psns_UR_5_FamHhold,Num_Psns_UR_5_NonFamHhold,Num_Psns_UR_5_Total,Num_Psns_UR_6mo_FamHhold,Num_Psns_UR_6mo_NonFamHhold,Num_Psns_UR_6mo_Total,Total_FamHhold,Total_NonFamHhold,Total_Total
SSC40232,..,7,7,14,0,14,0,0,0,0,0,0,0,0,0,0,0,0,12,7,22
SSC40233,..,0,0,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3
SSC40234,..,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SSC40235,..,4,4,8,0,8,4,0,4,0,0,0,0,0,0,0,0,0,18,4,22
SSC40236,..,217,217,230,15,245,96,0,91,78,0,78,40,0,40,17,0,17,464,231,691
SSC40237,..,6,6,18,0,19,8,0,8,7,0,7,4,0,4,0,0,0,43,10,48
SSC40238,..,17,17,27,0,25,14,0,14,4,0,4,6,0,6,5,0,5,51,19,70
SSC40239,..,4,4,0,0,0,0,0,0,4,0,4,0,0,0,0,0,0,4,4,5
SSC40240,..,3,3,0,0,0,0,0,0,3,0,3,0,0,0,0,0,0,10,3,11
SSC40241,..,18,18,88,0,88,41,0,41,54,0,54,26,0,26,10,0,10,216,18,236
SSC40242,..,5,5,18,0,18,11,0,11,3,0,4,3,0,3,0,0,0,36,8,45
SSC40243,..,0,0,4,0,4,0,0,0,0,0,0,3,0,3,0,0,0,9,0,10
SSC40244,..,31,31,46,3,50,47,0,47,47,0,47,11,0,11,3,0,3,148,33,178
SSC40245,..,0,0,4,0,4,0,0,0,0,0,0,0,0,0,0,0,0,10,0,6
SSC40246,..,0,0,0,0,0,4,0,4,3,0,3,0,0,0,0,0,0,7,0,7
SSC40247,..,263,263,249,21,267,123,0,123,131,3,133,55,0,55,20,0,20,574,289,861
SSC40248,..,22,22,65,3,61,36,0,36,43,0,43,15,0,15,8,0,8,169,29,195
SSC40249,..,9,9,14,0,19,11,0,11,11,0,11,4,0,4,0,0,0,36,6,44
SSC40250,..,0,0,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3
SSC40251,..,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
SSC40252,..,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3
SSC40253,..,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SSC40254,..,764,764,614,65,679,307,19,326,186,3,189,105,0,105,42,0,46,1252,851,2104
SSC40255,..,693,693,735,88,823,287,5,301,244,0,249,81,0,81,36,0,36,1388,790,2183
SSC40256,..,134,134,172,13,181,79,0,81,128,0,128,33,0,33,14,0,14,423,148,578
SSC40257,..,426,426,489,19,509,134,8,142,127,0,127,68,0,68,22,0,22,838,454,1286
SSC40258,..,185,185,207,31,237,133,8,139,193,5,197,64,0,64,13,0,13,606,230,837
SSC40259,..,330,330,295,42,333,139,10,148,161,7,162,53,3,53,7,0,12,653,394,1047
SSC40260,..,33,33,88,0,91,31,0,37,34,0,34,22,0,22,6,0,6,183,36,219
SSC40261,..,4,4,3,0,3,0,0,0,0,0,0,5,0,5,0,0,0,9,4,10
SSC40262,..,0,0,0,0,0,0,0,0,3,0,3,0,0,0,0,0,0,3,0,3
SSC40263,..,68,68,65,8,79,26,0,27,4,0,4,4,0,4,0,0,0,97,78,178
SSC40264,..,440,440,390,54,445,223,6,232,199,6,200,71,0,72,44,5,52,924,508,1433
SSC40265,..,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SSC40266,..,3,3,7,0,7,3,0,3,4,0,4,0,0,0,0,0,0,15,3,17
SSC40267,..,146,146,143,8,158,38,0,38,41,0,41,15,0,15,5,0,5,242,156,398
