SSC_CODE_2016,Num_Psns_UR_1_FamHhold,Num_Psns_UR_1_NonFamHhold,Num_Psns_UR_1_Total,Num_Psns_UR_2_FamHhold,Num_Psns_UR_2_NonFamHhold,Num_Psns_UR_2_Total,Num_Psns_UR_3_FamHhold,Num_Psns_UR_3_NonFamHhold,Num_Psns_UR_3_Total,Num_Psns_UR_4_FamHhold,Num_Psns_UR_4_NonFamHhold,Num_Psns_UR_4_Total,Num_Psns_UR_5_FamHhold,Num_Psns_UR_5_NonFamHhold,Num_Psns_UR_5_Total,Num_Psns_UR_6mo_FamHhold,Num_Psns_UR_6mo_NonFamHhold,Num_Psns_UR_6mo_Total,Total_FamHhold,Total_NonFamHhold,Total_Total
SSC40419,..,303,303,508,18,527,265,0,265,272,3,274,109,0,109,42,0,42,1198,321,1517
SSC40420,..,32,32,31,4,33,24,0,24,22,0,22,6,0,11,0,0,0,81,42,121
SSC40421,..,3,3,3,0,3,3,0,3,0,0,0,0,0,0,0,0,0,12,3,13
SSC40422,..,184,184,111,23,137,59,3,59,37,0,44,21,0,21,3,0,3,234,209,447
SSC40423,..,189,189,155,25,174,58,0,61,49,0,46,17,0,17,0,0,0,278,215,484
SSC40424,..,244,244,500,17,514,209,0,215,242,0,242,75,0,75,24,0,24,1055,261,1322
SSC40425,..,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3
SSC40426,..,5,5,3,0,3,0,0,3,3,0,3,0,0,0,0,0,0,8,8,11
SSC40427,..,21,21,32,3,30,7,0,7,13,0,13,7,0,7,7,0,7,58,24,82
SSC40428,..,301,301,282,34,314,124,7,133,104,7,113,38,3,39,10,3,14,560,353,912
SSC40429,..,425,425,362,31,392,234,15,255,243,5,247,89,0,89,80,4,82,1003,491,1492
SSC40430,..,9,9,6,0,6,8,0,8,3,0,3,5,0,5,0,0,0,23,9,29
SSC40431,..,811,811,751,78,827,384,18,406,348,5,355,86,3,93,53,4,55,1622,915,2544
SSC40432,..,21,21,48,0,49,13,0,13,21,0,21,6,0,6,0,0,0,88,22,114
SSC40433,..,185,185,168,21,190,90,5,92,80,8,84,31,0,32,13,0,13,371,223,588
SSC40434,..,3,3,8,0,7,3,0,4,3,0,3,4,0,4,0,0,0,16,6,23
SSC40435,..,17,17,5,3,6,4,0,4,0,0,0,0,0,0,0,0,0,9,20,28
SSC40436,..,40,40,24,0,24,4,0,4,0,0,0,0,0,0,0,0,0,36,40,74
SSC40437,..,55,55,70,12,80,51,4,55,47,0,51,19,0,19,5,0,5,193,67,265
SSC40438,..,0,0,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,3,0,5
SSC40439,..,495,495,1243,41,1281,604,9,611,697,0,696,258,0,258,84,0,84,2883,541,3428
SSC40440,..,10,10,17,3,21,15,0,15,15,0,15,3,0,3,0,0,0,46,11,58
SSC40441,..,14,14,39,0,39,4,0,4,18,0,18,10,0,10,0,0,0,70,14,84
SSC40442,..,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SSC40443,..,442,442,577,32,608,304,13,319,335,3,339,94,0,94,39,0,37,1354,496,1849
SSC40444,..,11,11,17,0,16,4,0,4,4,0,4,3,0,3,0,0,0,23,11,29
SSC40445,..,0,0,0,0,0,3,0,3,0,0,0,0,0,0,0,0,0,3,0,5
SSC40446,..,9,9,9,0,9,6,0,6,5,0,5,3,0,3,0,0,0,16,9,24
SSC40447,..,27,27,29,0,29,3,0,3,14,0,14,9,0,9,0,0,0,56,27,86
SSC40448,..,161,161,150,33,185,90,6,95,91,0,92,21,0,24,4,0,3,357,206,563
SSC40449,..,16,16,51,3,55,23,0,23,22,0,22,7,0,7,3,0,3,106,21,128
SSC40450,..,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,4
SSC40451,..,11,11,4,0,4,0,0,0,0,0,0,0,0,0,0,0,0,11,11,23
SSC40452,..,0,0,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3
SSC40453,..,0,0,12,0,12,4,0,4,4,0,4,0,0,0,0,0,0,15,0,15
SSC40454,..,0,0,10,0,10,4,0,4,3,0,3,0,0,0,3,0,3,18,0,18
SSC40455,..,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SSC40456,..,14,14,13,0,13,3,3,7,4,0,4,0,0,0,0,0,0,19,15,35
SSC40457,..,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3
SSC40458,..,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,7
SSC40459,..,0,0,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3
SSC40460,..,127,127,252,8,259,120,0,123,146,0,146,59,0,59,31,0,31,612,132,748
SSC40461,..,91,91,72,16,88,47,3,50,64,0,67,20,0,25,3,0,3,212,110,318
SSC40462,..,309,309,333,9,347,149,4,151,143,0,143,66,0,66,21,0,21,719,328,1040
SSC40463,..,552,552,834,44,877,345,17,360,405,3,413,134,0,136,35,0,35,1761,614,2376
SSC40464,..,624,624,470,45,521,188,11,200,218,0,217,77,0,80,25,0,24,985,684,1670
SSC40465,..,9,9,21,0,21,10,0,10,0,0,0,0,0,0,0,0,0,34,9,44
SSC40466,..,3,3,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,4,3,4
SSC40467,..,0,0,3,0,4,0,0,0,0,0,0,0,0,0,0,0,0,4,3,3
SSC40468,..,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SSC40469,..,165,165,78,7,90,23,0,23,23,0,23,8,0,8,3,0,3,139,177,318
SSC40470,..,22,22,75,0,82,55,0,55,57,0,57,33,0,33,9,0,9,238,26,263
SSC40471,..,466,466,738,29,766,291,8,298,265,0,265,103,0,103,48,0,48,1454,505,1953
SSC40472,..,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SSC40473,..,4,4,11,0,16,3,0,4,3,0,3,7,0,7,0,0,0,30,8,38
SSC40474,..,367,367,311,33,342,138,4,141,128,0,128,46,0,46,15,0,15,633,406,1035
SSC40475,..,173,173,113,15,132,48,0,44,33,0,33,18,0,18,13,0,13,224,196,419
SSC40476,..,3,3,12,0,14,7,0,7,0,0,0,0,0,0,0,0,0,30,3,34
SSC40477,..,20,20,27,5,25,3,0,7,10,0,10,3,0,3,0,0,0,43,30,66
SSC40478,..,45,45,71,10,81,31,3,33,32,0,32,15,0,15,15,0,15,170,57,223
SSC40479,..,16,16,21,0,23,4,0,4,3,0,3,4,0,4,3,0,3,27,18,43
SSC40480,..,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0
SSC40481,..,3,3,4,0,4,3,0,3,0,0,0,0,0,0,0,0,0,6,3,10
SSC40482,..,0,0,5,0,7,3,0,3,0,0,0,3,0,3,0,0,0,12,3,15
SSC40483,..,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SSC40484,..,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SSC40485,..,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3
SSC40486,..,4,4,4,0,7,0,0,0,0,0,0,3,0,3,0,0,0,7,3,13
SSC40487,..,259,259,204,34,232,62,13,78,46,3,46,23,3,25,9,0,9,337,308,649
SSC40488,..,3,3,4,0,4,0,0,0,0,0,0,0,0,0,0,0,0,3,3,9
SSC40489,..,7,7,15,0,15,3,0,3,3,0,3,3,0,3,0,0,0,27,7,32
SSC40490,..,422,422,384,41,427,193,13,211,189,4,190,74,0,76,44,3,45,885,489,1370
SSC40491,..,20,20,7,0,8,0,0,3,3,0,3,0,0,0,5,0,5,16,21,38
SSC40492,..,90,90,120,5,124,37,0,37,29,0,29,15,0,15,10,0,10,206,93,307
SSC40493,..,368,368,313,40,351,167,19,187,171,14,186,64,0,62,21,0,25,735,443,1171
SSC40494,..,124,124,91,7,101,49,0,44,25,0,25,8,0,8,0,0,0,169,133,305
SSC40495,..,124,124,200,10,216,98,0,98,119,3,125,58,0,58,22,0,22,497,142,639
SSC40496,..,150,150,268,9,273,116,0,114,142,0,144,34,0,34,18,0,18,574,160,734
SSC40497,..,22,22,48,3,53,12,0,12,24,0,24,15,0,15,4,0,4,106,24,129
SSC40498,..,39,39,85,0,85,38,0,38,43,0,43,14,0,14,7,0,7,185,43,227
SSC40499,..,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SSC40500,..,685,685,509,66,571,122,11,137,79,3,81,29,0,29,12,0,12,742,773,1517
SSC40501,..,577,577,499,46,545,206,10,213,212,3,214,78,0,78,10,0,7,992,642,1637
SSC40502,..,883,883,891,87,983,343,16,355,308,8,322,86,0,85,19,0,21,1651,1002,2653
SSC40503,..,374,374,336,28,370,93,0,97,98,0,98,21,0,21,9,0,9,557,404,967
SSC40504,..,685,685,681,41,719,317,19,330,328,5,334,87,0,87,19,0,19,1428,745,2173
SSC40505,..,4,4,8,0,8,0,0,0,9,0,9,7,0,7,0,0,0,25,4,24
SSC40506,..,571,571,283,21,304,107,5,117,119,0,117,39,0,40,12,0,13,560,601,1157
SSC40507,..,191,191,263,12,276,116,10,123,136,0,134,45,3,43,11,0,11,565,212,778
SSC40508,..,21,21,54,0,52,21,0,21,13,0,13,9,0,9,5,0,5,106,22,126
SSC40509,..,85,85,132,7,139,53,0,53,50,0,50,26,0,26,8,0,8,269,91,359
SSC40510,..,338,338,246,22,267,80,3,85,85,3,83,29,0,29,15,4,17,453,373,826
SSC40511,..,786,786,1302,46,1346,601,6,611,709,0,709,238,0,239,75,0,75,2922,839,3763
SSC40512,..,31,31,49,0,49,10,0,10,7,0,7,10,0,10,0,0,0,74,31,108
SSC40513,..,0,0,5,0,5,3,0,3,3,0,3,0,0,0,0,0,0,11,0,19
SSC40514,..,4,4,4,0,4,0,0,0,0,0,0,0,0,0,0,0,0,3,4,9
SSC40515,..,350,350,369,51,426,152,20,176,171,8,183,39,0,39,16,0,16,745,432,1181
SSC40516,..,462,462,430,17,449,78,0,78,48,0,48,21,0,21,4,0,4,589,481,1066
SSC40517,..,278,278,394,20,416,90,0,90,86,0,86,31,0,31,16,0,16,615,296,912
SSC40518,..,113,113,211,13,220,27,0,26,35,0,35,12,0,12,3,0,3,289,124,414
SSC40519,..,174,174,185,6,194,52,0,52,18,0,25,5,0,5,3,0,3,271,185,454
SSC40520,..,5,5,4,0,4,0,0,0,4,0,4,0,0,0,0,0,0,9,7,9
SSC40521,..,10,10,20,0,20,21,0,21,18,0,18,6,0,6,5,0,5,62,13,80
SSC40522,..,4,4,6,0,6,3,0,3,3,0,3,0,0,0,0,0,0,10,4,13
SSC40523,..,0,0,5,0,5,0,0,0,0,0,0,4,0,4,0,0,0,12,0,19
SSC40524,..,689,689,786,59,847,282,12,290,347,0,350,123,0,123,29,0,29,1558,763,2325
SSC40525,..,9,9,18,3,25,8,0,8,14,0,14,3,0,3,0,0,0,48,6,56
SSC40526,..,9,9,13,0,13,5,0,5,4,0,4,0,0,0,0,0,0,20,9,26
SSC40527,..,3,3,4,0,4,3,0,3,3,0,3,0,0,0,0,0,0,13,3,16
SSC40528,..,286,286,278,36,316,193,22,209,146,3,152,53,3,53,29,0,35,700,352,1050
SSC40529,..,24,24,43,0,43,30,0,30,47,0,47,3,0,3,4,0,4,128,24,150
SSC40530,..,58,58,145,0,146,65,0,64,76,0,76,24,0,24,13,0,13,316,59,373
SSC40531,..,8,8,8,0,8,0,0,0,0,0,0,0,0,0,0,0,0,10,8,20
SSC40532,..,652,652,1016,52,1068,531,0,531,670,0,670,241,0,241,72,0,72,2532,703,3230
SSC40533,..,165,165,363,17,377,229,3,233,277,0,282,107,0,107,40,0,40,1020,185,1199
SSC40534,..,14,14,7,0,7,4,0,4,8,0,8,3,0,3,0,0,0,20,14,38
SSC40535,..,0,0,7,0,7,0,0,0,0,0,0,0,0,0,0,0,0,6,0,5
SSC40536,..,70,70,107,6,116,54,0,54,43,0,43,16,0,16,6,0,6,223,77,300
SSC40537,..,8,8,7,0,13,3,0,3,7,0,7,0,0,0,0,0,0,22,9,30
SSC40538,..,395,395,548,46,600,218,4,228,193,0,193,75,0,75,21,0,21,1064,443,1511
SSC40539,..,491,491,455,46,495,215,5,222,157,3,154,58,0,58,32,0,32,911,549,1457
SSC40540,..,0,0,6,0,6,0,0,0,0,0,0,0,0,0,0,0,0,9,0,9
SSC40541,..,130,130,59,12,68,19,7,29,16,3,20,3,0,3,0,0,0,98,154,247
SSC40542,..,220,220,352,11,361,116,0,118,138,0,140,62,0,62,14,0,14,684,231,919
SSC40543,..,9,9,17,0,13,10,0,10,8,0,8,3,0,3,3,0,3,38,5,47
SSC40544,..,23,23,19,0,27,6,0,6,8,0,8,7,0,7,8,0,8,46,27,68
SSC40545,..,3,3,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,5,3,3
SSC40546,..,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SSC40547,..,19,19,22,0,24,3,0,6,13,0,13,3,0,3,0,0,0,42,25,68
SSC40548,..,763,763,1594,69,1665,815,9,828,876,8,877,252,0,252,104,0,104,3643,852,4496
SSC40549,..,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SSC40550,..,4,4,16,0,19,9,0,9,0,0,0,3,0,3,0,0,0,27,5,34
SSC40551,..,4,4,4,0,4,0,0,0,0,0,0,0,0,0,0,0,0,4,4,9
SSC40552,..,69,69,89,9,95,43,0,43,21,0,21,20,0,20,10,0,10,183,75,257
SSC40553,..,0,0,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,3,0,4
SSC40554,..,7,7,5,0,10,3,0,3,8,0,8,3,0,3,0,0,0,21,5,29
SSC40555,..,183,183,162,23,181,84,10,92,81,0,85,25,0,26,11,0,7,361,220,576
SSC40556,..,5,5,5,0,5,0,0,0,0,0,0,0,0,0,0,0,0,13,5,15
SSC40557,..,3,3,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,4,3,4
SSC40558,..,960,960,1506,68,1572,643,9,652,742,0,739,232,0,232,74,0,74,3191,1036,4228
SSC40559,..,20,20,22,0,22,6,0,6,3,0,3,0,0,0,0,0,0,34,20,54
SSC40560,..,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SSC40561,..,26,26,48,0,47,17,0,17,31,0,31,11,0,11,3,0,3,108,25,134
SSC40562,..,4,4,6,0,6,0,0,0,3,0,3,0,0,0,0,0,0,13,4,15
SSC40563,..,7,7,21,0,24,5,0,5,7,0,7,5,0,5,0,0,0,44,10,57
SSC40564,..,3,3,9,0,9,0,0,0,3,0,3,0,0,0,3,0,3,20,3,24
SSC40565,..,13,13,30,0,31,11,0,11,3,0,3,0,0,0,0,0,0,44,15,58
SSC40566,..,49,49,51,0,50,9,0,9,9,0,9,5,0,5,3,0,3,75,46,121
SSC40567,..,9,9,16,0,16,5,0,5,5,0,5,3,0,3,0,0,0,35,9,40
SSC40568,..,212,212,233,17,253,101,0,101,160,3,163,70,0,67,8,0,8,578,237,811
SSC40569,..,217,217,369,15,385,178,0,181,255,0,252,95,0,95,19,0,19,917,236,1154
SSC40570,..,3,3,12,0,12,0,0,0,3,0,3,0,0,0,0,0,0,16,3,19
SSC40571,..,0,0,3,0,3,7,0,7,0,0,0,0,0,0,0,0,0,7,0,12
SSC40572,..,239,239,375,26,398,103,0,103,113,0,113,40,0,40,11,0,11,640,261,905
SSC40573,..,203,203,205,3,205,107,0,105,137,3,143,55,0,55,14,0,13,510,218,722
SSC40574,..,66,66,109,3,108,55,3,56,70,0,66,31,0,31,7,0,7,265,71,337
SSC40575,..,57,57,62,0,59,27,0,27,43,0,43,5,0,5,3,0,3,134,61,190
SSC40576,..,492,492,473,47,520,239,5,244,217,7,220,49,3,54,28,0,28,1007,553,1563
SSC40577,..,167,167,118,14,135,65,0,72,55,0,55,26,0,26,8,0,8,278,182,459
SSC40578,..,756,756,717,47,768,320,9,329,394,5,400,111,0,111,34,0,36,1579,825,2404
SSC40579,..,334,334,302,26,327,135,6,138,185,3,186,59,0,59,14,0,16,691,370,1058
SSC40580,..,76,76,225,3,233,168,0,168,242,0,242,110,0,110,39,0,39,787,82,869
SSC40581,..,377,377,856,23,872,410,5,410,435,5,443,164,0,164,60,0,60,1926,411,2335
SSC40582,..,149,149,142,7,146,73,0,74,125,0,125,48,0,48,8,0,8,394,162,558
SSC40583,..,23,23,42,0,47,12,0,12,22,0,22,12,0,12,0,0,0,94,23,119
SSC40584,..,4,4,16,0,16,4,0,4,3,0,3,0,0,0,0,0,0,28,4,36
SSC40585,..,310,310,589,30,613,286,6,290,307,3,313,110,0,110,44,0,44,1337,343,1677
SSC40586,..,339,339,358,38,402,231,12,243,201,0,209,67,3,71,30,0,27,894,401,1290
SSC40587,..,170,170,143,4,149,17,0,17,18,0,18,4,0,4,4,0,4,194,171,362
SSC40588,..,3,3,3,0,7,0,0,0,3,0,3,4,0,4,0,0,0,13,7,20
SSC40589,..,91,91,96,22,121,40,15,56,48,7,51,10,0,10,3,3,6,200,137,336
SSC40590,..,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SSC40591,..,27,27,18,8,20,11,3,14,5,3,7,0,0,0,0,0,0,32,43,76
SSC40592,..,151,151,290,16,303,40,0,41,52,0,50,24,0,24,11,0,11,420,162,584
SSC40593,..,6,6,15,0,15,5,0,5,10,0,10,0,0,0,0,0,0,27,9,36
SSC40594,..,27,27,67,3,75,24,0,24,35,0,35,5,0,5,5,0,5,141,33,174
SSC40595,..,425,425,375,55,430,221,3,225,170,0,170,46,0,46,42,0,42,847,482,1328
SSC40596,..,10,10,22,0,23,0,0,0,3,0,3,0,0,0,0,0,0,25,9,34
SSC40597,..,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3
SSC40598,..,9,9,3,0,3,0,0,0,3,0,3,0,0,0,0,0,0,11,9,21
SSC40599,..,8,8,11,0,13,13,0,13,12,0,12,5,0,5,0,0,0,33,9,41
SSC40600,..,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SSC40601,..,1019,1019,1052,58,1114,408,4,408,374,4,374,155,0,158,42,0,42,2031,1093,3120
SSC40602,..,4,4,6,0,6,4,0,4,0,0,0,3,0,3,0,0,0,7,4,14
SSC40603,..,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3
SSC40604,..,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,5,0,3
SSC40605,..,26,26,60,0,58,32,0,32,30,0,30,11,0,11,9,0,9,144,23,168
SSC40606,..,468,468,399,23,428,122,3,133,139,0,143,66,0,66,9,0,9,747,504,1251
SSC40607,..,9,9,17,0,17,8,0,8,9,0,9,0,0,0,0,0,0,35,9,39
SSC40608,..,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,8
SSC40609,..,17,17,57,0,57,25,0,25,23,0,23,14,0,14,5,0,5,120,17,139
SSC40610,..,389,389,503,50,555,274,9,280,202,0,210,75,0,75,36,0,36,1100,445,1542
SSC40611,..,156,156,220,18,243,104,8,115,80,4,81,42,0,47,3,0,3,453,180,633
SSC40612,..,13,13,26,0,25,7,0,7,13,0,13,0,0,0,0,0,0,46,14,53
SSC40613,..,890,890,1172,107,1275,522,9,528,452,9,456,145,3,144,89,0,91,2376,1008,3390
SSC40614,..,13,13,43,4,49,13,0,13,29,0,29,15,0,15,6,0,6,106,17,120
SSC40615,..,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6
SSC40616,..,3,3,4,0,4,0,0,0,0,0,0,0,0,0,0,0,0,11,3,9
SSC40617,..,0,0,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,3,0,6
SSC40618,..,20,20,56,4,62,13,0,13,18,0,18,7,0,7,5,0,5,100,29,125
SSC40619,..,3,3,6,0,6,0,0,0,0,0,0,0,0,0,0,0,0,3,3,5
SSC40620,..,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SSC40621,..,41,41,23,0,25,8,0,8,0,0,0,0,0,0,4,0,4,33,41,72
SSC40622,..,16,16,48,0,56,35,0,35,38,0,38,21,0,21,7,0,7,150,17,167
SSC40623,..,0,0,4,0,4,0,0,0,0,0,0,0,0,0,0,0,0,5,0,6
SSC40624,..,3,3,6,0,12,0,0,0,0,0,0,0,0,0,0,0,0,6,6,12
SSC40625,..,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SSC40626,..,13,13,5,0,8,4,0,4,3,0,3,4,0,4,11,0,11,34,16,50
SSC40627,..,6,6,5,0,5,4,0,4,0,0,0,4,0,4,0,0,0,19,6,21
SSC40628,..,11,11,7,0,6,0,0,0,0,0,0,0,0,0,0,0,0,8,13,20
SSC40629,..,221,221,247,19,264,68,0,64,60,0,60,38,0,38,8,0,8,421,244,664
SSC40630,..,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SSC40631,..,3,3,4,0,5,0,0,0,0,0,0,0,0,0,0,0,0,4,4,7
SSC40632,..,28,28,39,0,39,24,0,25,25,0,25,12,0,12,8,0,8,103,27,131
SSC40633,..,23,23,31,0,30,16,0,16,18,0,18,7,0,7,8,0,8,74,26,97
SSC40634,..,6,6,16,0,16,4,0,4,9,0,9,5,0,5,0,0,0,25,6,34
SSC40635,..,0,0,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3
SSC40636,..,102,102,106,15,118,66,0,70,88,7,93,31,0,31,4,0,4,296,117,415
SSC40637,..,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SSC40638,..,3,3,0,0,0,3,0,3,0,0,0,0,0,0,0,0,0,8,3,14
SSC40639,..,12,12,25,0,30,9,0,9,15,0,15,11,0,11,3,0,3,64,12,84
SSC40640,..,388,388,423,17,439,127,0,130,109,0,116,53,0,53,21,0,21,734,408,1143
SSC40641,..,0,0,3,0,6,7,0,7,0,0,0,3,0,3,0,0,0,14,3,14
SSC40642,..,5,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,5,6
SSC40643,..,0,0,8,0,8,0,0,0,0,0,0,0,0,0,0,0,0,11,0,10
SSC40644,..,49,49,68,0,68,26,0,30,19,0,19,13,0,13,3,0,3,127,49,182
SSC40645,..,21,21,50,3,57,13,0,13,28,0,28,12,0,12,3,0,3,106,27,134
SSC40646,..,0,0,6,0,6,0,0,0,0,0,0,4,0,4,0,0,0,13,0,9
SSC40647,..,3,3,0,0,0,0,0,0,0,0,0,3,0,3,5,0,5,13,3,12
SSC40648,..,0,0,0,0,0,3,0,3,0,0,0,0,0,0,0,0,0,3,0,4
SSC40649,..,5,5,5,0,11,11,0,11,6,0,6,3,0,3,10,0,10,41,8,55
SSC40650,..,46,46,123,3,128,58,0,58,56,0,56,19,0,19,10,0,10,266,51,320
SSC40651,..,3,3,12,0,15,9,0,9,5,0,5,4,0,4,0,0,0,28,7,37
SSC40652,..,3,3,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,7,3,8
SSC40653,..,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
SSC40654,..,38,38,70,7,77,41,0,41,50,0,50,18,0,18,10,0,10,194,42,238
SSC40655,..,3,3,3,0,3,0,0,0,3,0,3,0,0,0,0,0,0,11,3,16
SSC40656,..,0,0,0,0,0,0,0,0,3,0,3,0,0,0,0,0,0,10,0,10
SSC40657,..,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3
SSC40658,..,4,4,3,0,3,3,0,3,5,0,5,0,0,0,3,0,3,7,4,13
SSC40659,..,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SSC40660,..,382,382,423,21,444,130,3,132,139,0,139,68,0,68,28,0,28,797,412,1206
SSC40661,..,10,10,3,0,3,0,0,0,4,0,4,0,0,0,3,0,3,16,10,26
SSC40662,..,0,0,4,0,4,0,0,0,0,0,0,0,0,0,0,0,0,4,0,4
SSC40663,..,0,0,14,0,14,3,0,3,0,0,0,3,0,3,0,0,0,18,0,18
SSC40664,..,64,64,78,3,83,25,0,25,23,0,23,12,0,12,3,0,3,138,68,202
SSC40665,..,3,3,7,0,3,0,0,0,0,0,0,0,0,0,0,0,0,9,7,15
SSC40666,..,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SSC40667,..,8,8,8,0,8,3,0,3,3,0,3,7,0,7,0,0,0,17,10,25
SSC40668,..,155,155,203,6,210,45,0,45,53,0,53,38,0,38,13,0,13,349,165,512
SSC40669,..,3,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,9
SSC40670,..,3,3,11,0,10,3,0,3,0,0,0,3,0,3,0,0,0,17,4,19
SSC40671,..,394,394,222,40,261,100,7,106,63,3,69,15,0,19,3,0,3,406,446,846
SSC40672,..,376,376,321,26,344,121,10,128,130,0,130,47,5,46,16,0,16,630,412,1038
SSC40673,..,236,236,277,27,295,160,5,163,166,0,168,60,3,62,14,0,14,675,270,943
SSC40674,..,239,239,154,40,195,37,9,48,26,3,28,6,0,10,0,0,0,229,292,520
SSC40675,..,10,10,37,0,37,15,0,15,27,0,27,5,0,5,3,0,3,81,10,91
SSC40676,..,7,7,9,0,9,7,0,7,3,0,3,0,0,0,0,0,0,17,7,18
SSC40677,..,6,6,8,0,8,3,0,3,4,0,4,3,0,3,0,0,0,18,6,24
SSC40678,..,59,59,158,3,161,68,0,68,66,0,66,28,0,28,13,0,13,329,58,389
SSC40679,..,95,95,87,12,96,52,13,61,35,5,39,11,0,9,3,0,3,186,120,302
SSC40680,..,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SSC40681,..,18,18,42,4,45,21,0,21,13,0,13,9,0,9,3,0,3,89,21,106
SSC40682,..,6,6,11,0,13,0,0,0,3,0,3,0,0,0,0,0,0,11,6,20
SSC40683,..,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,3,0,3
SSC40684,..,311,311,487,24,503,200,5,202,198,4,201,73,0,75,21,0,22,974,340,1321
SSC40685,..,8,8,3,0,3,0,0,0,4,0,4,4,0,4,0,0,0,12,8,18
SSC40686,..,623,623,434,70,501,283,30,313,251,19,271,102,14,115,89,13,99,1151,771,1922
SSC40687,..,197,197,175,30,203,95,4,98,79,3,87,32,7,40,21,0,19,405,240,641
SSC40688,..,87,87,99,3,105,23,0,23,26,0,26,12,0,12,3,0,3,166,93,252
SSC40689,..,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,4
SSC40690,..,97,97,76,3,75,18,0,20,40,0,40,6,0,10,3,0,3,139,98,243
SSC40691,..,280,280,262,23,288,97,0,97,43,0,46,31,0,31,11,0,11,451,301,754
SSC40692,..,0,0,8,0,8,3,0,3,0,0,0,0,0,0,3,0,3,14,0,16
SSC40693,..,28,28,53,0,55,14,0,14,19,0,19,7,0,7,4,0,4,90,30,121
SSC40694,..,65,65,72,5,82,36,3,39,23,0,23,6,0,6,0,0,0,142,71,214
SSC40695,..,197,197,235,3,234,57,0,57,60,0,60,25,0,25,4,0,4,371,201,578
SSC40696,..,237,237,259,20,280,114,6,123,153,3,159,60,0,60,15,0,15,607,264,866
SSC40697,..,819,819,740,81,822,369,54,426,295,7,307,102,0,100,34,5,37,1539,971,2506
SSC40698,..,3,3,3,0,3,3,0,3,3,0,3,0,0,0,0,0,0,11,3,11
SSC40699,..,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SSC40700,..,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
