SSC_CODE_2016,P_Tot_55_64,P_Tot_65_74,P_Tot_75_84,P_Tot_85ov,P_Tot_Tot
SSC40170,12,3,0,0,35
SSC40171,3,0,0,0,28
SSC40172,22,28,4,0,114
SSC40173,4,0,0,0,3
SSC40174,43,23,4,0,218
SSC40175,3,0,0,0,6
SSC40176,17,21,6,0,84
SSC40177,0,0,0,0,8
SSC40178,14,9,0,0,80
SSC40179,4,0,0,0,17
SSC40180,3,0,0,0,12
SSC40181,28,18,5,7,120
SSC40182,10,3,0,0,63
SSC40183,6,0,0,0,14
SSC40184,0,0,0,0,3
SSC40185,3,3,0,0,7
SSC40186,3,0,0,0,16
SSC40187,0,0,0,0,3
SSC40188,10,8,4,0,47
SSC40189,0,0,0,0,7
SSC40190,17,8,0,0,77
SSC40191,0,0,0,0,0
SSC40192,288,236,126,41,1629
SSC40193,110,106,32,11,487
SSC40194,4,0,0,0,6
SSC40195,10,0,3,0,45
SSC40196,221,71,47,22,2125
SSC40197,20,22,4,7,128
SSC40198,3,0,0,0,25
SSC40199,60,30,4,0,341
SSC40200,5,3,0,0,20
SSC40201,3,0,0,0,5
SSC40202,0,0,0,0,7
SSC40203,61,24,16,0,291
SSC40204,0,0,0,0,12
SSC40205,12,8,0,0,51
SSC40206,10,8,9,4,62
SSC40207,0,0,0,0,6
SSC40208,7,0,0,0,15
SSC40209,33,25,7,7,129
SSC40210,155,140,73,25,1622
SSC40211,419,315,297,119,3756
SSC40212,3,0,0,0,11
SSC40213,15,4,3,0,74
SSC40214,0,0,0,0,3
SSC40215,0,3,0,0,17
SSC40216,0,7,0,0,11
SSC40217,0,0,0,0,6
SSC40218,7,4,0,0,24
SSC40219,8,8,0,0,21
SSC40220,35,21,8,3,117
SSC40221,4,0,0,0,6
SSC40222,0,0,0,0,0
SSC40223,0,0,0,0,3
SSC40224,0,0,0,0,11
SSC40225,81,43,9,0,253
SSC40226,0,0,0,0,7
SSC40227,12,3,4,0,41
SSC40228,46,53,17,3,194
SSC40229,11,7,3,0,20
SSC40230,8,10,0,0,38
SSC40231,0,0,3,0,10
SSC40232,5,0,0,0,11
SSC40233,0,4,0,0,18
SSC40234,0,0,0,0,3
SSC40235,5,0,0,0,18
SSC40236,108,71,32,23,759
SSC40237,10,4,0,0,52
SSC40238,14,13,0,0,58
SSC40239,3,0,0,0,14
SSC40240,0,0,0,0,12
SSC40241,73,47,18,0,375
SSC40242,12,8,0,0,60
SSC40243,0,0,0,0,14
SSC40244,53,28,0,3,260
SSC40245,6,0,0,0,5
SSC40246,0,0,0,0,7
SSC40247,196,101,45,10,1015
SSC40248,71,61,16,0,307
SSC40249,12,15,4,0,76
SSC40250,0,0,0,0,0
SSC40251,0,0,0,0,4
SSC40252,0,0,0,0,0
SSC40253,0,0,0,0,0
SSC40254,279,267,130,38,2037
SSC40255,371,278,197,120,2591
SSC40256,135,94,37,27,852
SSC40257,244,182,88,42,1385
SSC40258,160,55,42,15,1163
SSC40259,227,127,37,16,1393
SSC40260,90,45,19,4,332
SSC40261,3,0,4,0,15
SSC40262,0,0,0,0,4
SSC40263,47,70,13,3,202
SSC40264,197,129,46,31,1752
SSC40265,3,0,0,0,6
SSC40266,0,0,0,0,18
SSC40267,78,37,25,20,378
SSC40268,0,0,0,0,9
SSC40269,30,40,13,0,121
SSC40270,4,0,0,0,10
SSC40271,186,86,65,24,1552
SSC40272,33,8,0,4,143
SSC40273,0,0,0,0,0
SSC40274,6,0,0,0,32
SSC40275,68,37,9,4,340
SSC40276,8,0,0,3,28
SSC40277,60,63,20,3,291
SSC40278,0,3,0,0,25
SSC40279,3,0,0,0,17
SSC40280,92,48,22,11,458
SSC40281,3,0,0,0,16
SSC40282,0,0,0,0,0
SSC40283,0,0,0,0,0
SSC40284,118,77,30,13,812
SSC40285,370,167,41,14,1758
SSC40286,4,0,0,0,10
SSC40287,0,3,0,0,12
SSC40288,59,29,3,0,131
SSC40289,50,30,10,0,299
SSC40290,16,14,6,3,84
SSC40291,7,3,0,0,26
SSC40292,8,0,0,0,19
SSC40293,156,132,61,6,872
SSC40294,19,23,12,4,110
SSC40295,5,3,0,0,30
SSC40296,0,0,0,0,3
SSC40297,17,18,0,0,115
SSC40298,4,4,6,0,41
SSC40299,0,4,0,0,23
SSC40300,0,0,0,0,6
SSC40301,14,3,3,0,58
SSC40302,25,7,4,0,126
SSC40303,13,3,0,0,40
SSC40304,14,11,0,0,73
SSC40305,8,6,0,0,24
SSC40306,0,0,0,0,12
SSC40307,4,0,0,0,12
SSC40308,9,3,0,0,36
SSC40309,12,11,0,0,44
SSC40310,50,50,5,0,210
SSC40311,429,298,84,21,2285
SSC40312,0,3,0,0,25
SSC40313,0,0,0,0,6
SSC40314,14,3,0,0,71
SSC40315,73,47,35,34,692
SSC40316,93,73,15,16,428
SSC40317,11,7,3,0,54
SSC40318,8,0,0,0,15
SSC40319,246,188,54,20,1138
SSC40320,122,102,26,9,684
SSC40321,228,123,53,5,1190
SSC40322,611,300,147,78,4127
SSC40323,4,11,3,0,71
SSC40324,17,22,3,0,94
SSC40325,13,15,3,0,45
SSC40326,93,30,14,5,585
SSC40327,174,109,46,52,1601
SSC40328,129,97,44,14,637
SSC40329,49,26,10,0,198
SSC40330,3,4,0,0,16
SSC40331,0,0,0,0,0
SSC40332,209,120,54,27,1335
SSC40333,52,30,20,24,386
SSC40334,3,0,0,0,4
SSC40335,0,0,3,0,25
SSC40336,3,3,0,0,29
SSC40337,0,0,0,0,3
SSC40338,16,18,9,5,114
SSC40339,34,29,7,0,198
SSC40340,0,4,0,0,5
SSC40341,0,0,0,0,3
SSC40342,11,0,0,0,36
SSC40343,3,0,3,0,4
SSC40344,3,0,0,0,9
SSC40345,0,0,0,0,0
SSC40346,5,4,0,0,24
SSC40347,74,54,24,14,600
SSC40348,14,3,0,0,67
SSC40349,8,0,5,0,29
SSC40350,257,160,123,23,2042
SSC40351,166,79,48,63,1307
SSC40352,32,13,3,0,142
SSC40353,0,0,0,0,0
SSC40354,6,0,0,0,13
SSC40355,3,3,0,0,16
SSC40356,0,3,0,0,11
SSC40357,25,21,0,3,80
SSC40358,14,7,0,0,52
SSC40359,308,248,130,28,1919
SSC40360,0,4,0,0,15
SSC40361,74,19,14,3,439
SSC40362,11,3,0,0,42
SSC40363,15,8,3,0,258
SSC40364,11,0,0,0,22
SSC40365,18,9,9,0,44
SSC40366,0,0,0,0,0
SSC40367,216,117,87,25,1364
SSC40368,8,0,0,0,17
SSC40369,12,15,0,0,81
SSC40370,28,13,4,0,133
SSC40371,38,20,12,3,230
SSC40372,11,4,0,0,29
SSC40373,46,25,9,12,249
SSC40374,4,0,0,0,13
SSC40375,182,138,24,8,991
SSC40376,4,0,0,0,31
SSC40377,14,5,0,0,58
SSC40378,3,0,0,0,9
SSC40379,15,10,0,0,71
SSC40380,94,77,17,3,494
SSC40381,0,0,0,0,4
SSC40382,3,4,3,0,12
SSC40383,8,4,3,0,57
SSC40384,125,79,7,0,579
SSC40385,298,260,89,28,1726
SSC40386,50,28,7,0,176
SSC40387,8,3,0,0,54
SSC40388,0,0,0,0,149
SSC40389,0,0,0,0,0
SSC40390,50,66,20,7,226
SSC40391,328,142,93,38,2167
SSC40392,11,10,3,0,81
SSC40393,59,41,20,15,422
SSC40394,250,140,97,37,1668
SSC40395,223,159,155,105,1610
SSC40396,120,89,70,19,825
SSC40397,158,88,91,20,1185
SSC40398,150,134,106,36,1334
SSC40399,101,78,75,30,948
SSC40400,176,139,156,72,1356
SSC40401,46,24,8,5,175
SSC40402,3,0,0,0,13
SSC40403,27,9,7,0,57
SSC40404,3,3,0,0,21
SSC40405,9,11,3,0,40
SSC40406,390,676,383,128,2317
SSC40407,265,142,104,95,2462
SSC40408,132,94,40,9,646
SSC40409,4,0,3,0,20
SSC40410,0,0,0,0,0
SSC40411,111,65,14,6,707
SSC40412,3,0,0,0,27
SSC40413,61,34,31,10,297
SSC40414,0,0,0,0,9
SSC40415,0,0,0,0,5
SSC40416,101,40,30,3,732
SSC40417,111,84,52,26,906
SSC40418,92,50,15,3,759
SSC40419,294,175,107,58,1830
SSC40420,25,13,4,0,161
SSC40421,3,3,0,0,16
SSC40422,75,44,40,35,593
SSC40423,127,57,15,10,580
SSC40424,252,241,96,18,1706
SSC40425,0,0,0,0,3
SSC40426,6,0,0,0,17
SSC40427,27,12,6,0,112
SSC40428,162,140,77,45,1136
SSC40429,157,100,45,12,1497
SSC40430,11,3,5,0,44
SSC40431,292,192,138,62,2713
SSC40432,30,21,11,0,140
SSC40433,78,54,29,13,708
SSC40434,8,5,0,0,24
SSC40435,4,5,0,0,25
SSC40436,17,22,5,0,61
SSC40437,88,62,30,6,439
SSC40438,0,0,0,0,3
SSC40439,941,718,185,58,5139
SSC40440,12,6,8,0,91
SSC40441,26,22,6,0,124
SSC40442,0,0,0,0,0
SSC40443,268,188,112,47,2148
SSC40444,19,18,0,0,64
SSC40445,0,0,0,0,7
SSC40446,15,0,0,0,38
SSC40447,28,15,3,3,109
SSC40448,133,59,17,10,800
SSC40449,39,27,6,0,211
SSC40450,0,0,3,0,9
SSC40451,9,6,0,0,24
SSC40452,0,0,0,0,0
SSC40453,0,4,0,0,18
SSC40454,0,3,0,0,20
SSC40455,0,0,0,0,4
SSC40456,5,0,0,0,21
SSC40457,0,0,0,0,0
SSC40458,0,0,0,0,9
SSC40459,0,0,0,0,4
SSC40460,137,67,17,10,872
SSC40461,54,51,13,4,486
SSC40462,234,115,111,74,1315
SSC40463,364,333,206,49,2773
SSC40464,371,305,168,151,2412
SSC40465,16,0,0,0,47
SSC40466,0,0,0,0,7
SSC40467,0,0,0,0,3
SSC40468,0,0,0,0,0
SSC40469,65,65,32,9,308
SSC40470,78,37,11,3,430
SSC40471,456,306,160,79,2491
SSC40472,0,0,0,0,0
SSC40473,12,4,0,0,46
SSC40474,198,120,60,20,1135
SSC40475,75,47,15,9,372
SSC40476,21,9,0,0,48
SSC40477,14,12,3,0,72
SSC40478,23,41,14,3,254
SSC40479,13,5,3,0,45
SSC40480,0,0,0,0,3
SSC40481,0,3,0,0,14
SSC40482,3,0,0,0,17
SSC40483,0,0,0,0,3
SSC40484,0,0,0,0,3
SSC40485,16,3,0,0,140
SSC40486,3,0,0,0,16
SSC40487,167,131,67,19,920
SSC40488,9,0,0,0,9
SSC40489,11,9,0,0,44
SSC40490,198,128,55,28,1584
SSC40491,7,3,0,0,33
SSC40492,60,53,13,5,285
SSC40493,253,120,32,11,1528
SSC40494,41,26,7,0,286
SSC40495,198,157,70,86,1068
SSC40496,187,166,101,14,1117
SSC40497,28,17,7,0,164
SSC40498,53,26,5,4,283
