SSC_CODE_2016,P_Tot_55_64,P_Tot_65_74,P_Tot_75_84,P_Tot_85ov,P_Tot_Tot
SSC40848,131,82,54,59,1100
SSC40849,0,4,0,0,13
SSC40850,6,0,0,0,9
SSC40851,83,65,36,11,421
SSC40852,3,0,0,0,8
SSC40853,3,0,0,0,14
SSC40854,3,7,0,0,31
SSC40855,3,0,0,0,5
SSC40856,0,0,0,0,5
SSC40857,3,0,0,0,12
SSC40858,7,3,0,0,21
SSC40859,6,5,3,0,34
SSC40860,3,3,0,0,14
SSC40861,0,0,0,0,3
SSC40862,142,95,41,8,587
SSC40863,0,0,0,0,4
SSC40864,26,12,3,0,152
SSC40865,86,92,23,5,433
SSC40866,283,135,51,12,2313
SSC40867,0,0,0,0,14
SSC40868,5,0,0,0,15
SSC40869,14,4,0,0,59
SSC40870,360,238,136,98,1980
SSC40871,267,181,61,13,1196
SSC40872,0,0,0,0,24
SSC40873,9,4,0,0,95
SSC40874,9,0,0,0,19
SSC40875,0,0,0,0,0
SSC40876,0,0,0,0,6
SSC40877,10,0,0,0,45
SSC40878,10,7,0,0,53
SSC40879,87,80,47,37,459
SSC40880,21,16,3,0,69
SSC40881,16,25,5,0,98
SSC40882,3,0,0,0,5
SSC40883,10,0,0,0,25
SSC40884,211,149,81,52,1029
SSC40885,3,0,0,0,13
SSC40886,325,251,158,41,2584
SSC40887,0,0,0,0,10
SSC40888,262,114,61,18,1277
SSC40889,0,0,0,0,3
SSC40890,23,10,0,0,99
SSC40891,252,226,164,56,2429
SSC40892,516,324,134,29,3054
SSC40893,399,292,124,31,2656
SSC40894,0,0,0,0,3
SSC40895,11,10,9,0,103
SSC40896,21,10,0,0,85
SSC40897,109,52,18,7,452
SSC40898,12,4,0,0,44
SSC40899,0,0,0,0,3
SSC40900,37,26,15,3,169
SSC40901,3,0,0,0,7
SSC40902,9,12,0,0,52
SSC40903,0,0,0,0,4
SSC40904,0,0,0,0,9
SSC40905,0,0,0,0,0
SSC40906,58,61,42,9,264
SSC40907,208,221,85,24,993
SSC40908,22,15,3,0,88
SSC40909,119,59,14,10,789
SSC40910,4,0,0,0,21
SSC40911,12,7,9,0,67
SSC40912,22,12,4,0,62
SSC40913,6,0,3,0,31
SSC40914,3,0,0,0,9
SSC40915,54,40,20,3,201
SSC40916,0,0,0,0,4
SSC40917,1432,1245,517,187,9998
SSC40918,0,0,0,0,3
SSC40919,197,148,92,105,1517
SSC40920,0,0,0,0,8
SSC40921,0,0,0,0,6
SSC40922,7,13,3,0,66
SSC40923,926,670,322,122,6521
SSC40924,0,0,0,0,0
SSC40925,16,8,3,0,81
SSC40926,18,8,8,0,56
SSC40927,3,5,3,0,62
SSC40928,12,10,3,0,53
SSC40929,0,0,0,0,0
SSC40930,37,14,6,3,112
SSC40931,7,0,0,0,20
SSC40932,0,3,0,0,7
SSC40933,126,89,26,3,664
SSC40934,0,0,0,0,4
SSC40935,22,10,3,0,68
SSC40936,0,0,0,0,5
SSC40937,0,0,0,0,7
SSC40938,10,0,4,0,20
SSC40939,17,0,0,0,146
SSC40940,1538,1079,586,258,10205
SSC40941,44,32,7,3,166
SSC40942,3,4,0,0,20
SSC40943,17,15,3,3,81
SSC40944,0,0,0,0,0
SSC40945,5,7,0,0,66
SSC40946,3,10,0,0,34
SSC40947,3,0,4,0,8
SSC40948,3,4,0,0,30
SSC40949,5,3,0,0,32
SSC40950,0,0,0,0,4
SSC40951,57,44,14,3,231
SSC40952,98,66,37,17,479
SSC40953,10,14,0,0,88
SSC40954,3,0,0,0,8
SSC40955,3,0,0,0,7
SSC40956,80,43,3,0,335
SSC40957,0,0,0,0,10
SSC40958,4,0,0,0,14
SSC40959,7,0,0,0,20
SSC40960,8,4,0,0,44
SSC40961,4,0,0,0,19
SSC40962,23,7,0,0,114
SSC40963,0,0,0,0,0
SSC40964,3,7,0,0,20
SSC40965,0,0,0,0,0
SSC40966,5,7,3,0,42
SSC40967,31,15,3,0,170
SSC40968,7,0,0,0,31
SSC40969,4,3,0,0,35
SSC40970,177,88,19,3,1390
SSC40971,6,11,0,0,69
SSC40972,149,65,17,0,2141
SSC40973,9,15,0,0,36
SSC40974,0,0,0,0,19
SSC40975,0,0,0,0,3
SSC40976,0,8,3,0,18
SSC40977,3,3,0,0,14
SSC40978,0,0,0,0,9
SSC40979,724,615,347,127,5596
SSC40980,102,50,19,3,467
SSC40981,12,9,0,0,56
SSC40982,10,3,3,0,81
SSC40983,3,4,6,0,28
SSC40984,15,16,0,0,87
SSC40985,3,3,0,0,8
SSC40986,151,86,27,10,640
SSC40987,40,23,4,4,187
SSC40988,53,27,13,3,316
SSC40989,15,5,0,0,27
SSC40990,267,199,168,209,1605
SSC40991,0,0,0,0,3
SSC40992,0,0,0,0,3
SSC40993,0,0,0,0,0
SSC40994,196,71,25,8,1087
SSC40995,0,0,0,0,8
SSC40996,320,212,63,12,2362
SSC40997,0,0,0,0,4
SSC40998,33,13,4,3,112
SSC40999,30,15,5,0,153
SSC41000,3,4,0,0,20
SSC41001,64,37,12,0,286
SSC41002,326,229,131,76,2336
SSC41003,10,4,0,0,38
SSC41004,23,10,0,0,69
SSC41005,0,0,0,0,9
SSC41006,10,0,0,0,26
SSC41007,3,3,0,0,13
SSC41008,20,9,0,0,65
SSC41009,8,10,0,0,36
SSC41010,5,3,0,0,37
SSC41011,9,15,3,0,62
SSC41012,149,120,36,24,818
SSC41013,3,0,0,0,14
SSC41014,77,76,94,45,780
SSC41015,44,28,3,0,400
SSC41016,0,0,0,0,22
SSC41017,78,44,27,0,474
SSC41018,0,0,0,0,9
SSC41019,6,0,0,0,24
SSC41020,265,175,94,20,2081
SSC41021,6,0,0,0,19
SSC41022,0,0,0,0,0
SSC41023,19,11,3,0,71
SSC41024,0,0,0,0,19
SSC41025,12,12,8,0,109
SSC41026,274,161,63,17,1668
SSC41027,7,8,3,0,21
SSC41028,208,212,90,15,813
SSC41029,608,600,268,171,4442
SSC41030,59,42,18,4,229
SSC41031,5,0,0,0,17
SSC41032,241,173,64,50,1163
SSC41033,0,3,0,0,3
SSC41034,633,368,144,52,2642
SSC41035,32,61,36,20,221
SSC41036,164,111,140,245,1702
SSC41037,40,23,10,3,159
SSC41038,5,0,0,0,7
SSC41039,7,0,0,0,9
SSC41040,28,13,3,0,99
SSC41041,198,141,103,39,2584
SSC41042,295,173,57,34,3300
SSC41043,54,42,7,3,269
SSC41044,568,459,189,66,3780
SSC41045,0,0,0,0,0
SSC41046,201,173,93,31,1087
SSC41047,0,3,0,0,26
SSC41048,0,0,0,0,13
SSC41049,414,362,151,64,2651
SSC41050,3,0,0,0,16
SSC41051,6,0,0,0,12
SSC41052,226,170,59,7,1355
SSC41053,124,134,46,11,805
SSC41054,109,66,18,8,454
SSC41055,258,189,110,44,1848
SSC41056,0,0,0,0,4
SSC41057,228,183,88,93,1895
SSC41058,25,33,7,3,167
SSC41059,0,0,0,0,4
SSC41060,0,3,0,0,3
SSC41061,108,79,27,4,622
SSC41062,220,133,82,67,1511
SSC41063,0,0,0,0,3
SSC41064,0,0,0,0,6
SSC41065,113,63,19,8,533
SSC41066,257,140,38,3,1224
SSC41067,0,0,0,0,0
SSC41068,19,12,3,3,107
SSC41069,44,33,19,12,244
SSC41070,135,77,50,7,805
SSC41071,129,75,24,14,917
SSC41072,0,4,0,0,9
SSC41073,3,10,0,0,18
SSC41074,65,28,14,4,367
SSC41075,36,20,10,3,187
SSC41076,20,14,6,0,134
SSC41077,29,21,5,0,114
SSC41078,13,11,7,0,88
SSC41079,6,4,5,0,32
SSC41080,0,0,0,0,4
SSC41081,10,4,0,0,32
SSC41082,12,4,0,3,74
SSC41083,0,0,0,0,0
SSC41084,198,179,105,36,1223
SSC41085,356,249,163,34,2784
SSC41086,180,122,61,24,1288
SSC41087,161,160,59,15,1247
SSC41088,5,0,0,0,7
SSC41089,37,53,8,0,218
SSC41090,421,306,210,94,3093
SSC41091,0,0,0,0,71
SSC41092,744,465,250,59,6136
SSC41093,745,307,79,26,5526
SSC41094,0,4,0,0,3
SSC41095,0,0,0,0,0
SSC41096,18,6,0,0,36
SSC41097,19,13,3,0,88
SSC41098,12,6,0,0,82
SSC41099,104,57,20,11,478
SSC41100,34,17,3,0,104
SSC41101,141,115,67,48,1372
SSC41102,429,253,79,67,2870
SSC41103,0,0,0,0,0
SSC41104,7,6,0,3,57
SSC41105,5,3,6,0,37
SSC41106,5,0,0,0,15
SSC41107,213,194,184,94,1498
SSC41108,6,17,3,0,72
SSC41109,3,0,0,0,21
SSC41110,167,89,65,44,1281
SSC41111,77,70,40,23,828
SSC41112,16,10,0,0,36
SSC41113,4,0,0,0,26
SSC41114,5,0,0,0,11
SSC41115,3,0,0,0,10
SSC41116,13,0,3,0,37
SSC41117,6,12,3,0,35
SSC41118,19,6,3,0,35
SSC41119,0,0,0,0,3
SSC41120,42,30,35,3,283
SSC41121,11,5,7,4,91
SSC41122,21,30,17,3,139
SSC41123,200,106,55,43,1397
SSC41124,104,82,35,21,666
SSC41125,29,3,3,0,109
SSC41126,46,20,11,0,205
SSC41127,27,3,0,0,74
SSC41128,10,4,3,0,20
SSC41129,0,0,0,0,13
SSC41130,153,79,46,19,521
SSC41131,59,40,27,4,470
SSC41132,6,4,0,0,29
SSC41133,0,0,0,0,12
SSC41134,3,0,0,0,12
SSC41135,4,4,0,0,33
SSC41136,19,5,0,0,50
SSC41137,44,25,5,0,194
SSC41138,0,0,0,0,6
SSC41139,3,0,3,0,21
SSC41140,0,3,0,0,10
SSC41141,6,0,0,0,6
SSC41142,0,0,0,0,0
SSC41143,7,9,0,0,26
SSC41144,5,3,0,0,32
SSC41145,13,3,3,5,39
SSC41146,0,0,0,0,15
SSC41147,6,3,0,0,36
SSC41148,9,8,0,0,26
SSC41149,42,25,7,7,281
SSC41150,6,3,0,0,69
SSC41151,0,4,0,0,18
SSC41152,3,3,0,0,20
SSC41153,257,163,123,37,2534
SSC41154,218,107,50,37,1610
SSC41155,0,0,0,0,13
SSC41156,3,3,0,0,16
SSC41157,18,10,0,0,47
SSC41158,5,0,0,0,17
SSC41159,5,3,0,0,17
SSC41160,10,6,0,0,34
SSC41161,29,32,8,0,130
SSC41162,0,0,0,0,3
SSC41163,5,7,0,0,17
SSC41164,3,0,0,0,20
SSC41165,3,3,0,0,16
SSC41166,8,3,0,0,36
SSC41167,3,3,0,0,17
SSC41168,0,0,0,0,20
SSC41169,0,0,3,0,9
SSC41170,17,8,0,0,88
SSC41171,386,257,141,51,2903
SSC41172,0,0,0,0,3
SSC41173,123,68,36,6,593
SSC41174,0,0,0,0,0
SSC41175,447,338,142,52,2644
SSC41176,270,198,75,30,1691
SSC41177,0,6,0,0,6
SSC41178,100,98,64,29,491
SSC41179,0,0,0,0,0
SSC41180,220,244,179,83,1089
SSC41181,3,0,3,0,20
SSC41182,38,43,15,3,177
SSC41183,5,0,0,0,6
SSC41184,57,58,8,3,242
SSC41185,4,11,4,0,22
SSC41186,6,3,0,0,18
SSC41187,998,645,341,123,6026
SSC41188,65,57,22,7,355
SSC41189,16,29,7,6,91
SSC41190,13,15,3,0,36
SSC41191,16,10,6,0,84
SSC41192,283,169,126,92,1458
SSC41193,210,161,60,12,1352
SSC41194,4,0,0,0,29
SSC41195,6,4,15,11,70
SSC41196,258,143,83,27,1474
SSC41197,144,110,67,22,864
SSC41198,7,9,3,0,21
SSC41199,32,36,19,7,146
SSC41200,47,71,45,5,231
SSC41201,25,27,10,3,202
SSC41202,139,122,62,15,851
SSC41203,0,0,0,0,4
SSC41204,22,24,9,0,68
SSC41205,0,0,0,0,3
SSC41206,1102,517,178,104,6969
SSC41207,12,6,0,4,82
SSC41208,26,6,3,3,128
SSC41209,0,0,0,0,4
SSC41210,3,0,0,0,17
SSC41211,8,3,0,0,17
SSC41212,0,0,0,0,0
SSC41213,4,5,0,0,10
SSC41214,11,4,0,0,62
SSC41215,0,4,0,0,16
SSC41216,4,0,0,0,19
SSC41217,3,0,3,0,22
SSC41218,132,88,49,11,845
SSC41219,0,0,0,0,5
SSC41220,111,74,38,7,532
SSC41221,3,3,0,0,14
SSC41222,15,14,0,0,67
SSC41223,6,7,0,0,47
SSC41224,9,0,3,0,33
SSC41225,5,0,0,0,8
SSC41226,13,6,0,0,65
SSC41227,13,6,0,0,73
SSC41228,6,3,4,0,46
SSC41229,457,247,91,20,2526
SSC41230,7,11,0,0,40
SSC41231,3,9,0,0,57
SSC41232,7,20,25,24,99
SSC41233,21,7,3,0,178
SSC41234,15,5,3,0,68
SSC41235,243,220,159,102,1760
SSC41236,41,13,3,0,218
SSC41237,31,17,10,3,151
SSC41238,97,63,13,3,556
SSC41239,96,49,38,5,795
SSC41240,273,224,86,28,2123
SSC41241,155,137,57,29,940
SSC41242,28,7,4,3,61
SSC41243,174,87,61,37,1632
SSC41244,217,203,172,84,1867
SSC41245,69,39,14,3,609
SSC41246,220,185,93,39,1402
SSC41247,143,99,36,21,884
SSC41248,65,56,23,9,349
SSC41249,0,3,0,0,5
SSC41250,90,96,33,24,451
SSC41251,116,94,40,25,558
SSC41252,22,23,13,0,92
SSC41253,0,0,0,0,3
SSC41254,27,23,0,3,124
SSC41255,14,7,0,0,54
SSC41256,9,3,0,0,48
SSC41257,0,0,0,0,7
SSC41258,0,0,0,0,0
SSC41259,4,4,0,0,17
SSC41260,179,114,43,6,791
SSC41261,31,7,3,3,93
SSC41262,11,8,3,0,67
SSC41263,215,120,47,16,1412
SSC41264,67,24,12,4,440
SSC41265,163,146,62,33,833
SSC41266,497,393,331,100,3769
SSC41267,18,10,9,0,87
SSC41268,188,25,5,3,1850
SSC41269,163,115,58,16,1305
SSC41270,157,86,16,5,658
SSC41271,3,3,0,0,37
SSC41272,5,0,0,0,47
SSC41273,58,32,18,7,215
SSC41274,0,0,0,0,0
SSC41275,376,296,227,101,2987
SSC41276,328,178,107,28,2129
SSC41277,510,404,252,109,3555
SSC41278,413,209,60,21,2275
SSC41279,437,277,133,30,3283
SSC41280,154,103,54,9,879
SSC41281,63,35,27,12,441
SSC41282,3,4,15,25,50
SSC41283,3,3,0,0,18
SSC41284,8,0,0,0,25
SSC41285,4,0,0,0,4
SSC41286,9,7,11,0,65
SSC41287,3,4,0,0,20
SSC41288,9,8,0,0,36
SSC41289,10,5,0,0,48
SSC41290,8,0,0,0,37
SSC41291,3,6,0,0,11
SSC41292,23,10,0,0,133
SSC41293,5,3,3,0,39
SSC41294,9,3,0,0,18
SSC41295,8,3,0,0,14
SSC41296,0,0,0,0,3
SSC41297,28,21,3,0,120
SSC41298,270,160,52,23,1165
SSC41299,230,145,61,24,1342
SSC41300,188,122,72,31,1463
SSC41301,110,87,42,8,723
SSC41302,324,235,166,113,2077
SSC41303,3,0,0,0,31
SSC41304,114,70,22,3,1705
SSC41305,376,269,104,44,2678
SSC41306,0,0,0,0,0
SSC41307,577,397,265,189,4430
SSC41308,206,159,88,23,1310
SSC41309,0,3,0,0,22
SSC41310,32,20,5,0,80
SSC41311,19,9,0,0,83
SSC41312,3,9,3,0,41
SSC41313,99,36,16,15,569
SSC41314,207,128,42,4,1237
SSC41315,31,29,3,0,147
SSC41316,300,155,56,37,1504
SSC41317,353,254,122,54,1970
SSC41318,91,61,27,9,534
SSC41319,10,0,0,0,56
SSC41320,18,8,6,0,75
SSC41321,9,10,4,0,67
SSC41322,3,0,0,0,7
SSC41323,11,9,5,0,58
SSC41324,6,4,0,0,13
SSC41325,477,175,35,14,3119
SSC41326,3,0,0,0,5
SSC41327,5,0,0,0,19
SSC41328,8,3,0,0,41
SSC41329,0,0,0,0,4
SSC41330,5,3,0,0,19
SSC41331,29,22,9,0,163
SSC41332,9,0,3,0,26
SSC41333,107,72,47,36,841
SSC41334,98,57,30,5,940
SSC41335,42,10,5,0,102
SSC41336,42,22,8,8,155
SSC41337,3,0,0,0,16
SSC41338,52,33,39,10,401
SSC41339,525,391,230,135,2974
SSC41340,204,179,99,62,1350
SSC41341,5,0,0,0,11
SSC41342,5,0,3,0,16
SSC41343,268,184,91,61,2129
SSC41344,17,8,6,3,114
SSC41345,24,11,3,0,108
SSC41346,0,0,0,0,0
SSC41347,5,0,0,0,15
SSC41348,13,6,3,0,51
SSC41349,3,3,0,0,26
SSC41350,58,49,26,17,281
SSC41351,79,40,12,3,326
SSC41352,0,4,0,0,15
SSC41353,362,255,86,32,1986
SSC41354,87,31,7,3,986
SSC41355,147,142,72,17,885
SSC41356,3,4,0,0,14
SSC41357,0,0,0,0,5
SSC41358,12,4,3,0,32
SSC41359,3,3,0,0,18
SSC41360,138,98,46,18,1384
SSC41361,105,92,33,16,763
SSC41362,391,219,91,25,1882
SSC41363,8,3,0,0,17
SSC41364,42,18,11,0,197
SSC41365,66,64,21,18,260
SSC41366,0,0,0,0,9
SSC41367,0,0,0,0,3
SSC41368,0,0,0,0,0
SSC41369,60,57,22,12,536
SSC41370,5,3,0,0,29
SSC41371,344,290,130,37,1727
SSC41372,193,71,20,7,1413
SSC41373,16,17,4,0,115
SSC41374,45,11,0,0,191
SSC41375,0,0,0,0,3
SSC41376,0,0,0,0,4
SSC41377,6,5,4,0,21
SSC41378,0,3,0,0,14
SSC41379,23,11,5,0,55
SSC41380,136,111,39,10,692
SSC41381,0,0,0,0,5
SSC41382,530,465,207,89,3027
SSC41383,135,69,30,16,595
SSC41384,5,0,0,0,23
SSC41385,6,0,0,0,4
SSC41386,0,0,0,0,0
SSC41387,0,0,0,0,0
SSC41388,166,144,71,24,1262
SSC41389,0,0,0,0,14
SSC41390,93,50,7,3,358
SSC41391,31,30,3,4,160
SSC41392,0,0,0,0,6
SSC41393,7,11,0,0,20
SSC41394,8,7,3,0,48
SSC41395,3,3,0,0,14
SSC41396,229,145,64,18,1548
SSC41397,7,4,0,0,13
SSC41398,54,19,4,3,252
SSC41399,22,17,12,0,111
SSC41400,19,9,0,0,69
SSC41401,0,0,0,0,4
SSC41402,98,82,41,17,580
SSC41403,0,0,0,0,15
SSC41404,0,0,0,0,3
SSC41405,39,20,6,0,193
SSC41406,414,235,124,93,2169
SSC41407,201,127,54,5,1202
SSC41408,0,4,0,0,15
SSC41409,6,0,0,0,21
SSC41410,0,0,0,0,0
SSC41411,6,0,0,0,22
SSC41412,21,20,8,0,124
SSC41413,0,0,0,0,7
SSC41414,24,17,3,0,133
SSC41415,34,12,3,3,111
SSC41416,0,0,0,0,3
SSC41417,24,11,0,0,115
SSC41418,223,216,113,24,1613
SSC41419,0,0,0,0,3
SSC41420,9,4,3,0,43
SSC41421,5,9,0,0,59
SSC41422,136,124,43,13,685
SSC41423,0,0,0,0,10
SSC41424,95,75,26,4,463
SSC41425,8,7,4,0,51
SSC41426,0,0,0,0,11
SSC41427,13,15,0,0,51
SSC41428,16,18,6,0,84
SSC41429,95,54,19,17,767
SSC41430,40,29,4,12,255
SSC41431,0,0,0,0,16
SSC41432,20,17,5,3,91
SSC41433,15,13,5,0,106
SSC41434,10,0,0,0,18
SSC41435,4,0,0,0,9
SSC41436,24,8,3,0,147
SSC41437,30,19,4,0,81
SSC41438,23,33,5,8,86
SSC41439,3,0,0,0,7
SSC41440,21,15,16,0,183
SSC41441,3,0,0,0,8
SSC41442,0,0,0,0,3
SSC41443,36,15,3,0,139
SSC41444,3,4,0,0,16
SSC41445,314,259,93,40,1539
SSC41446,0,0,0,0,14
SSC41447,0,0,0,0,0
SSC41448,311,197,74,40,1519
SSC41449,6,5,0,0,38
SSC41450,264,102,49,17,2036
SSC41451,3,0,0,0,7
SSC41452,0,3,0,0,5
SSC41453,19,9,3,0,56
SSC41454,9,0,0,0,13
SSC41455,318,183,84,43,1999
SSC41456,118,50,16,9,651
SSC41457,271,89,64,54,1494
SSC41458,45,21,4,3,241
SSC41459,12,8,5,0,65
SSC41460,132,107,54,37,657
SSC41461,26,15,3,0,151
SSC41462,0,3,0,0,5
SSC41463,158,141,42,22,836
SSC41464,137,93,25,17,961
SSC41465,0,0,0,0,3
SSC41466,0,0,0,0,3
SSC41467,0,0,0,0,0
SSC41468,39,20,3,0,143
SSC41469,0,0,0,0,0
SSC41470,5,0,0,0,15
SSC41471,3,4,0,0,16
SSC41472,160,67,30,12,1148
SSC41473,10,8,0,0,59
SSC41474,347,248,87,20,2297
SSC41475,156,139,49,13,812
SSC41476,0,0,0,0,0
SSC41477,30,31,14,0,136
SSC41478,127,82,15,3,528
SSC41479,59,29,5,12,269
SSC41480,7,0,0,0,29
SSC41481,123,77,47,8,561
SSC41482,0,0,0,0,3
SSC41483,215,157,77,41,1216
SSC41484,336,388,177,47,2846
SSC41485,0,0,0,0,5
SSC41486,10,10,0,0,33
SSC41487,33,17,8,0,110
SSC41488,0,0,0,0,31
SSC41489,400,417,260,165,2066
SSC41490,5,11,0,0,43
SSC41491,91,37,21,3,579
SSC41492,70,78,50,5,510
SSC41493,4,0,0,0,33
SSC41494,0,0,0,0,7
SSC41495,197,147,82,55,1038
SSC41496,38,39,7,0,170
SSC41497,12,18,8,0,52
SSC41498,267,212,124,85,1528
SSC41499,199,127,95,27,1489
SSC41500,3,4,0,0,29
SSC41501,0,0,0,0,11
SSC41502,256,243,148,71,1389
SSC41503,43,17,7,0,170
SSC41504,5,0,0,0,21
SSC41505,0,0,0,0,0
SSC41506,0,0,0,0,3
SSC41507,0,3,0,0,13
SSC41508,0,0,0,0,3
SSC41509,5,3,0,0,14
SSC41510,0,0,0,0,7
SSC41511,7,0,0,0,42
SSC41512,0,0,0,0,9
SSC41513,9,3,3,0,64
SSC41514,18,6,3,0,78
SSC41515,3,3,0,4,29
SSC41516,8,4,0,0,29
SSC41517,0,0,0,0,4
SSC41518,10,3,0,0,33
SSC41519,8,4,0,0,61
SSC41520,3,0,0,0,20
SSC41521,9,10,0,0,67
SSC41522,0,0,0,0,3
SSC41523,17,11,9,4,120
SSC41524,437,306,158,90,2713
SSC41525,3,4,4,0,32
SSC41526,5,0,0,0,7
SSC41527,0,7,0,0,12
SSC41528,53,14,4,3,323
SSC41529,0,0,0,0,0
SSC41530,0,3,0,0,13
SSC41531,9,7,3,0,78
SSC41532,6,0,0,0,32
SSC41533,66,81,56,11,414
SSC41534,36,22,0,0,154
SSC41535,0,0,0,0,0
SSC41536,13,10,3,3,69
SSC41537,188,114,78,34,995
SSC41538,3,0,0,0,29
SSC41539,0,0,0,0,14
SSC41540,5,4,0,0,23
SSC41541,133,95,37,58,1136
SSC41542,7,8,0,0,19
SSC41543,0,0,0,0,0
SSC41544,12,15,5,0,49
SSC41545,3,3,0,0,30
SSC41546,64,24,19,4,411
SSC41547,21,15,7,0,95
SSC41548,13,32,6,0,92
SSC41549,3,3,0,0,16
SSC41550,393,316,163,69,2601
SSC41551,0,0,0,0,3
SSC41552,295,126,40,32,1905
SSC41553,94,35,18,11,785
SSC41554,543,565,268,101,2847
SSC41555,309,244,102,35,1559
SSC41556,3,0,0,0,5
SSC41557,56,21,14,10,451
SSC41558,3,0,0,0,5
SSC41559,246,159,58,111,1433
SSC41560,6,3,0,0,39
SSC41561,0,0,0,0,12
SSC41562,0,0,0,0,9
SSC41563,13,0,3,0,37
SSC41564,0,0,0,0,9
SSC41565,17,14,3,0,70
SSC41566,0,0,0,0,3
SSC41567,0,0,0,0,11
SSC41568,0,0,0,0,12
SSC41569,25,16,5,3,136
SSC41570,0,0,3,0,15
SSC41571,332,172,113,57,1788
SSC41572,0,0,0,0,0
SSC41573,78,43,44,8,870
SSC41574,353,239,158,40,2600
SSC41575,206,151,72,29,1220
SSC41576,401,304,189,43,2494
SSC41577,9,7,0,0,34
SSC41578,0,0,0,0,16
SSC41579,0,0,0,0,0
SSC41580,10,12,5,0,67
SSC41581,7,3,0,0,48
SSC41582,4,0,0,0,7
SSC41583,6,0,3,0,28
SSC41584,11,4,0,0,56
SSC41585,13,0,0,4,27
SSC41586,245,135,85,37,1430
SSC41587,0,3,0,0,3
SSC41588,234,139,42,21,1285
SSC41589,3,0,0,0,9
SSC41590,0,0,0,0,5
SSC41591,0,0,0,0,3
SSC41592,3,0,0,0,13
SSC41593,3,4,0,0,13
SSC41594,0,0,0,0,0
SSC41595,242,154,74,19,1159
SSC41596,15,7,3,0,79
SSC41597,58,23,5,0,213
SSC41598,24,17,3,4,165
SSC41599,53,36,18,3,247
SSC41600,10,3,0,0,52
SSC41601,323,226,126,33,2652
SSC41602,25,16,3,0,155
SSC41603,46,18,3,5,146
SSC41604,0,0,0,0,0
SSC41605,0,0,0,0,19
SSC41606,66,27,10,4,176
SSC41607,0,0,0,0,0
SSC41608,3,0,0,0,16
SSC41609,28,19,5,0,90
SSC41610,5,0,0,0,32
SSC41611,11,6,0,0,50
SSC41612,35,28,4,3,136
SSC41613,0,0,0,0,0
SSC41614,0,0,0,0,20
SSC41615,11,4,5,0,60
SSC41616,0,0,0,0,0
SSC41617,7,6,0,0,22
SSC41618,7,3,0,0,21
SSC41619,0,0,0,0,0
SSC41620,0,3,0,0,19
SSC41621,13,18,0,0,108
SSC41622,728,448,273,92,4904
SSC41623,44,46,9,8,295
SSC41624,5,0,0,0,34
SSC41625,0,0,0,0,10
SSC41626,15,12,4,0,74
SSC41627,224,166,60,24,1279
SSC41628,158,84,28,13,984
SSC41629,100,68,33,10,881
SSC41630,116,49,37,11,981
SSC41631,124,55,20,3,799
SSC41632,211,96,46,41,1489
SSC41633,183,101,54,28,1435
SSC41634,14,18,0,0,54
SSC41635,0,0,0,0,6
SSC41636,9,0,0,0,20
SSC41637,3,0,3,0,11
SSC41638,9,0,3,0,35
SSC41639,0,0,0,0,4
SSC41640,25,5,0,0,89
SSC41641,0,0,0,0,3
SSC41642,50,29,21,0,390
SSC41643,10,4,0,0,23
SSC41644,40,23,4,13,239
SSC41645,9,0,0,0,24
SSC41646,3,9,3,0,37
SSC41647,5,8,0,0,21
SSC41648,719,375,117,35,3709
SSC41649,4,8,5,0,41
SSC41650,12,14,0,0,59
SSC41651,43,27,16,8,339
SSC41652,0,0,0,0,3
SSC41653,4,3,0,0,99
SSC41654,3,3,0,0,40
SSC41655,0,0,0,0,3
SSC41656,0,0,0,0,3
SSC41657,0,0,0,0,0
SSC41658,6,0,0,0,19
SSC41659,108,85,39,18,400
SSC41660,0,0,0,0,9
SSC41661,0,0,0,0,7
SSC41662,0,0,0,0,0
SSC41663,3,0,0,0,12
SSC41664,24,18,7,0,124
SSC41665,0,0,0,0,6
SSC41666,34,27,7,3,165
SSC41667,3,3,0,0,24
SSC41668,0,0,0,0,0
SSC41669,3,0,0,0,6
SSC41670,3,0,0,4,8
SSC41671,8,6,3,0,43
SSC41672,3,0,0,0,11
SSC41673,81,47,24,3,355
SSC41674,35,15,5,0,82
SSC41675,0,0,0,0,0
SSC41676,0,0,0,0,21
SSC41677,0,0,0,0,0
SSC41678,19,9,0,0,78
SSC41679,0,3,5,0,32
SSC41680,3,0,0,0,8
SSC49494,247,159,30,10,1595
SSC49797,0,0,0,0,3
