SSC_CODE_2016,IA_DS_Separate_house,IA_DS_SemD_ro_tr_h_th,IA_DS_Flat_or_Apart,IA_DS_Other_dwelling,IA_DS_Not_stated,IA_Total,I_NA_DS_Separate_house,I_NA_DS_SemD_ro_tr_h_th,I_NA_DS_Flat_or_Apart,I_NA_DS_Other_dwelling,I_NA_DS_Not_stated,I_NA_Total,IC_NS_DS_Separate_house,IC_NS_DS_SemD_ro_tr_h_th,IC_NS_DS_Flat_or_Apart,IC_NS_DS_Other_dwelling,IC_NS_DS_Not_stated,IC_not_stated_Total,Total_DS_Separate_house,Total_DS_SemD_ro_tr_h_th,Total_DS_Flat_or_Apart,Total_DS_Other_dwelling,Total_DS_Not_stated,Total_Total
SSC40233,3,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,3
SSC40234,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SSC40235,19,0,0,0,0,19,3,0,0,0,0,3,0,0,0,0,0,0,22,0,0,0,0,22
SSC40236,453,4,15,15,0,493,138,4,27,3,0,177,25,0,3,0,0,27,616,10,44,20,3,691
SSC40237,47,0,0,0,0,47,4,0,0,0,0,4,0,0,0,0,0,0,48,0,0,0,0,48
SSC40238,45,0,0,0,0,45,23,0,0,0,0,23,0,0,0,0,0,0,70,0,0,0,0,70
SSC40239,8,0,0,0,0,8,3,0,0,0,0,3,0,0,0,0,0,0,5,0,0,0,0,5
SSC40240,9,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,11
SSC40241,224,0,0,0,0,224,5,0,0,0,0,6,5,0,0,0,0,5,238,0,0,0,0,236
SSC40242,33,3,0,0,0,34,7,0,0,0,0,7,0,0,0,0,0,0,40,3,0,0,0,45
SSC40243,4,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,10
SSC40244,164,0,0,0,0,164,13,0,0,0,0,13,8,0,0,0,0,8,178,0,0,0,0,178
SSC40245,8,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,6
SSC40246,7,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,7
SSC40247,583,87,4,0,3,674,109,49,0,0,0,168,15,3,0,0,0,18,706,139,7,0,3,861
SSC40248,181,0,0,0,0,181,15,0,0,0,0,15,0,0,0,0,0,0,195,0,0,0,0,195
SSC40249,36,0,0,0,0,36,5,0,0,0,0,5,0,0,0,0,0,0,44,0,0,0,0,44
SSC40250,3,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,3
SSC40251,3,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,3
SSC40252,3,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,3
SSC40253,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SSC40254,1240,213,19,0,0,1481,301,219,8,0,0,535,28,56,4,0,0,90,1576,490,39,0,3,2104
SSC40255,1342,265,53,11,10,1671,333,106,15,5,0,452,38,16,3,0,0,60,1712,387,64,12,7,2183
SSC40256,438,48,12,0,0,499,61,7,4,0,0,64,8,0,0,0,0,8,509,54,15,0,0,578
SSC40257,911,41,9,6,19,985,205,47,9,0,3,269,31,3,0,0,0,38,1147,88,24,6,26,1286
SSC40258,630,39,54,0,0,719,64,3,28,0,0,95,16,0,3,0,0,14,706,43,87,0,0,837
SSC40259,604,46,254,0,0,904,65,8,55,0,0,120,15,0,6,0,0,21,676,54,317,0,0,1047
SSC40260,193,0,0,4,0,201,15,0,0,0,0,17,3,0,0,0,0,3,215,0,0,4,3,219
SSC40261,7,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,10
SSC40262,3,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,3
SSC40263,126,0,0,0,0,127,42,0,0,3,0,40,3,0,0,0,0,3,168,0,0,3,0,178
SSC40264,962,148,27,0,3,1137,192,58,4,0,0,256,31,9,0,0,0,42,1187,218,29,0,6,1433
SSC40265,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SSC40266,12,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,17,0,0,0,0,17
SSC40267,283,0,0,4,4,291,87,0,0,3,0,93,9,0,0,3,0,11,381,0,0,12,4,398
SSC40268,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SSC40269,83,0,0,3,0,93,44,3,0,0,0,46,0,0,0,0,0,0,131,3,0,3,3,143
SSC40270,6,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,6
SSC40271,664,363,8,0,3,1036,144,71,3,0,0,218,12,18,0,0,0,31,824,446,10,0,3,1286
SSC40272,100,0,0,0,3,108,26,0,0,0,0,26,3,0,0,0,0,3,128,0,3,0,3,140
SSC40273,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SSC40274,18,0,0,0,0,18,3,0,0,0,0,3,0,0,0,0,0,0,24,0,0,0,0,24
SSC40275,205,0,0,3,0,212,8,0,0,0,0,8,3,0,0,0,0,3,221,0,0,3,0,218
SSC40276,7,0,0,0,7,11,4,0,0,0,0,4,0,0,0,0,0,0,15,0,0,0,7,16
SSC40277,187,0,0,9,0,205,40,0,0,3,0,41,7,0,0,0,0,7,230,4,0,14,0,249
SSC40278,16,0,0,0,0,16,5,0,0,0,0,5,0,0,0,0,0,0,26,0,0,0,0,26
SSC40279,7,0,0,0,0,7,9,0,0,0,0,9,0,0,0,0,0,0,14,0,0,0,0,14
SSC40280,192,57,8,3,0,257,16,5,3,0,0,22,3,0,0,0,0,6,204,68,13,3,0,281
SSC40281,8,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,11
SSC40282,3,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,3
SSC40283,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SSC40284,236,144,110,0,0,489,23,30,27,0,0,81,3,0,4,0,0,8,266,181,139,0,0,583
SSC40285,944,51,20,7,3,1027,70,7,12,0,0,92,6,0,3,0,0,7,1027,59,35,7,3,1128
SSC40286,8,0,0,0,0,10,0,0,0,0,0,3,0,0,0,0,0,0,15,0,0,0,0,15
SSC40287,11,0,0,0,0,11,3,0,0,0,0,3,0,0,0,0,0,0,15,0,0,0,0,15
SSC40288,59,0,0,0,0,65,20,0,0,0,0,20,3,0,0,0,0,3,87,0,0,0,0,87
SSC40289,196,0,0,0,0,192,36,0,0,0,0,40,0,0,0,0,0,0,235,0,0,0,0,236
SSC40290,52,0,0,0,0,52,6,0,0,0,0,6,0,0,0,0,0,0,59,0,0,0,0,59
SSC40291,16,0,0,0,0,16,4,0,0,0,0,4,0,0,0,0,0,0,22,0,0,0,0,22
SSC40292,12,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,18,0,0,0,0,18
SSC40293,395,3,0,0,18,417,221,3,0,0,4,231,41,0,0,0,9,41,653,7,0,0,30,694
SSC40294,72,0,0,3,0,81,18,0,0,0,0,19,0,0,0,0,0,0,92,0,0,3,0,103
SSC40295,16,0,0,0,0,21,7,0,0,0,0,7,0,0,0,0,0,0,26,0,0,0,0,26
SSC40296,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,3
SSC40297,86,0,0,0,0,86,25,0,0,0,0,27,6,0,0,0,0,7,112,0,0,4,0,120
SSC40298,30,0,0,0,0,30,7,0,0,0,0,7,0,0,0,0,0,0,36,0,0,0,0,38
SSC40299,22,0,0,0,0,22,0,0,0,0,0,0,0,0,0,0,0,0,22,0,0,0,0,22
SSC40300,8,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,8
SSC40301,33,0,0,0,0,34,3,0,0,0,0,3,0,0,0,0,0,0,39,0,0,0,0,35
SSC40302,104,0,0,3,0,104,25,0,0,0,0,27,0,0,0,0,0,3,134,0,0,4,0,137
SSC40303,27,0,0,0,0,28,9,0,0,0,0,9,0,0,0,0,0,0,39,0,0,0,0,43
SSC40304,41,0,0,0,0,46,4,0,0,0,0,4,0,0,0,0,0,0,47,0,0,0,0,48
SSC40305,23,0,0,0,0,23,3,0,0,0,0,3,0,0,0,0,0,0,23,0,0,0,0,23
SSC40306,5,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,5
SSC40307,7,0,0,0,0,7,5,0,0,0,0,5,0,0,0,0,0,0,17,0,0,0,0,17
SSC40308,13,0,0,0,0,14,18,0,0,0,0,18,0,0,0,0,0,0,35,0,0,0,0,35
SSC40309,36,0,0,0,0,37,16,0,0,0,0,16,0,0,0,0,0,0,50,0,0,0,0,50
SSC40310,102,0,0,0,0,98,4,0,0,0,0,4,3,0,0,0,0,3,108,0,0,0,0,105
SSC40311,1350,15,0,0,0,1362,62,0,0,0,0,62,12,0,0,0,0,12,1429,15,0,0,0,1441
SSC40312,12,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,13,0,0,0,0,13
SSC40313,3,0,0,0,3,5,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,3,3
SSC40314,56,0,0,0,0,56,9,0,0,0,0,9,0,0,0,0,0,0,64,0,0,0,0,64
SSC40315,309,51,38,5,3,410,72,25,22,0,0,115,10,6,0,0,0,11,395,74,60,5,3,542
SSC40316,286,13,0,8,0,303,86,12,0,4,0,109,8,0,0,0,0,8,378,29,3,12,0,425
SSC40317,42,0,0,0,0,43,10,0,0,0,0,12,3,0,0,0,0,3,52,0,0,3,0,55
SSC40318,13,0,0,0,0,16,4,0,0,0,0,4,0,0,0,0,0,0,14,0,0,0,0,18
SSC40319,625,8,0,0,4,633,33,9,0,0,0,42,7,0,0,0,0,6,670,14,0,0,4,688
SSC40320,406,0,0,0,0,406,26,0,0,0,0,26,4,0,0,0,0,4,430,0,0,0,0,437
SSC40321,746,4,0,0,0,747,16,0,0,0,0,16,8,0,0,0,0,8,769,4,0,0,0,769
SSC40322,3172,10,4,0,0,3180,404,10,9,0,0,421,75,0,0,0,0,78,3656,16,13,0,0,3685
SSC40323,55,0,0,0,0,55,13,0,0,0,0,13,3,0,0,0,0,3,72,0,0,0,0,72
SSC40324,57,0,0,0,0,57,8,0,0,0,0,8,3,0,0,0,0,3,67,0,0,0,0,69
SSC40325,39,0,0,0,0,39,7,0,0,0,0,7,0,0,0,0,0,0,55,0,0,0,0,55
SSC40326,303,30,17,0,0,353,63,6,7,0,0,79,7,0,3,0,0,15,380,39,22,4,0,445
SSC40327,824,139,57,11,0,1028,247,91,23,0,0,364,31,11,3,0,3,52,1108,244,77,11,3,1445
SSC40328,430,7,0,8,5,449,121,8,0,0,0,137,20,0,0,0,0,22,570,19,0,5,3,605
SSC40329,121,0,0,0,0,123,19,0,0,0,0,19,3,0,0,0,0,4,142,0,0,0,0,143
SSC40330,25,0,0,0,0,25,0,0,0,0,0,3,0,0,0,0,0,0,26,0,0,0,0,29
SSC40331,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SSC40332,586,112,117,4,0,821,67,23,28,0,0,120,10,0,3,0,0,11,664,140,145,4,0,957
SSC40333,274,7,0,0,3,285,56,6,0,0,0,67,6,3,0,0,0,10,342,11,0,0,3,361
SSC40334,5,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,12
SSC40335,12,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,18,0,0,0,0,18
SSC40336,20,0,0,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,24,0,0,0,0,24
SSC40337,3,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,3
SSC40338,101,0,0,0,0,102,21,0,0,0,0,25,0,0,0,0,0,0,124,0,0,0,0,127
SSC40339,117,0,0,0,0,119,18,0,0,3,0,23,0,0,0,0,0,3,135,0,0,3,3,139
SSC40340,8,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,8
SSC40341,4,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,4
SSC40342,25,0,0,0,0,25,3,0,0,0,0,3,0,0,0,0,0,0,29,0,0,0,0,29
SSC40343,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
SSC40344,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SSC40345,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SSC40346,28,0,0,3,0,30,0,0,0,0,0,3,0,0,0,0,0,0,29,0,0,3,0,35
SSC40347,307,55,12,0,0,376,47,22,3,0,0,73,13,0,0,0,0,11,371,78,18,0,0,464
SSC40348,9,0,0,0,0,9,20,0,0,0,0,24,0,0,0,0,0,0,29,0,0,0,0,32
SSC40349,23,0,0,0,0,23,0,0,0,0,0,0,3,0,0,0,0,3,24,0,0,0,0,24
SSC40350,1140,396,28,0,0,1567,323,254,38,0,3,614,58,38,3,0,0,104,1525,687,67,0,3,2284
SSC40351,444,156,225,3,5,826,77,23,65,0,0,161,13,0,4,0,0,23,528,176,295,3,7,1011
SSC40352,90,0,0,0,0,90,3,0,0,0,0,3,0,0,0,0,0,0,95,0,0,0,0,95
SSC40353,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SSC40354,5,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,5
SSC40355,12,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,9
SSC40356,3,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,7
SSC40357,48,0,0,0,0,48,11,0,0,0,0,11,0,0,0,0,0,0,62,0,0,0,0,62
SSC40358,42,0,0,0,0,42,10,0,0,0,0,10,0,0,0,0,0,0,52,0,0,0,0,52
SSC40359,1126,76,3,0,0,1206,150,15,3,0,0,162,29,3,0,0,0,36,1303,84,11,0,4,1404
SSC40360,6,0,0,0,0,6,3,0,0,0,0,3,0,0,0,0,0,0,10,0,0,0,0,10
SSC40361,166,122,9,0,0,298,41,43,4,0,0,87,8,12,0,0,0,17,210,181,19,3,0,413
SSC40362,22,0,0,0,0,22,0,0,0,0,0,0,0,0,0,0,0,0,24,0,0,0,0,24
SSC40363,193,12,0,0,0,200,24,0,0,0,0,21,3,0,0,0,0,4,216,16,0,0,0,232
SSC40364,14,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0,0,17
SSC40365,25,0,0,0,0,25,14,0,0,0,0,14,3,0,0,0,0,3,50,0,0,0,0,50
SSC40366,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SSC40367,609,308,16,0,9,936,111,63,12,0,0,191,20,10,0,0,0,27,739,381,27,0,9,1154
SSC40368,15,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,18,0,0,0,0,18
SSC40369,48,20,0,0,0,68,22,6,0,0,0,26,0,0,0,0,0,0,67,26,0,0,0,94
SSC40370,108,0,0,4,0,113,37,0,0,0,0,40,3,0,0,0,0,3,154,0,0,4,0,155
SSC40371,31,0,0,0,0,31,3,0,0,0,0,3,0,0,0,0,0,0,35,0,0,0,0,35
SSC40372,19,0,0,0,0,18,4,0,0,0,0,4,0,0,0,0,0,0,17,0,0,0,0,23
SSC40373,111,56,0,0,0,170,41,36,0,0,0,85,3,3,0,0,0,7,163,97,0,0,0,258
SSC40374,10,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,6
SSC40375,426,153,13,0,0,598,30,18,0,0,0,52,5,3,0,0,0,11,458,182,14,0,0,657
SSC40376,23,0,0,0,0,21,3,0,0,0,0,3,0,0,0,0,0,0,27,0,0,0,0,25
SSC40377,35,0,0,0,0,35,9,0,0,0,0,9,0,0,0,0,0,3,46,0,0,0,0,46
SSC40378,6,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,3
SSC40379,42,0,0,0,0,42,10,0,0,0,0,13,0,0,0,0,0,3,59,0,0,0,0,65
SSC40380,125,63,111,0,0,302,16,11,21,0,0,42,3,0,3,0,0,6,142,72,133,0,0,349
SSC40381,3,0,0,0,0,3,0,0,0,0,0,3,0,0,0,0,0,0,3,0,0,0,0,4
SSC40382,8,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,12
SSC40383,47,0,0,0,0,47,7,0,0,0,0,7,0,0,0,0,0,0,57,0,0,0,0,57
SSC40384,358,0,0,0,0,363,21,0,0,0,0,22,4,0,0,0,0,4,386,0,0,0,0,389
SSC40385,902,52,7,0,0,957,84,10,0,0,0,89,17,0,0,0,0,17,1000,63,7,0,0,1067
SSC40386,117,0,0,7,0,128,22,0,0,7,0,30,0,0,0,0,0,0,139,0,0,11,0,156
SSC40387,44,0,0,0,0,44,4,0,0,0,0,4,0,0,0,0,0,0,46,0,0,0,0,46
SSC40388,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SSC40389,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SSC40390,123,3,0,14,0,138,78,8,0,9,0,86,8,0,0,0,0,9,206,13,0,21,0,239
SSC40391,843,310,230,5,7,1400,164,96,127,0,4,391,15,17,16,0,0,48,1029,427,376,4,14,1841
SSC40392,38,0,0,0,0,38,3,0,0,0,0,3,0,0,0,0,0,0,42,0,0,0,0,42
SSC40393,197,43,34,0,0,279,67,31,22,0,0,125,6,5,7,0,0,17,270,78,60,0,0,413
SSC40394,1126,230,19,0,5,1382,293,129,19,0,0,439,40,24,3,0,0,72,1459,387,37,0,6,1885
SSC40395,864,300,5,0,3,1169,195,242,3,0,0,443,38,38,5,0,0,81,1093,581,19,0,9,1694
SSC40396,289,312,0,0,0,598,107,206,0,0,0,317,13,31,0,0,0,42,405,553,0,0,3,956
SSC40397,466,464,13,0,0,939,168,249,12,0,0,434,29,32,0,0,0,59,658,749,26,0,0,1433
SSC40398,803,154,0,0,4,961,256,117,0,0,3,380,41,15,0,0,0,59,1099,295,0,0,7,1403
SSC40399,335,400,5,0,0,739,116,236,7,0,0,356,15,23,0,0,0,41,457,662,14,0,0,1131
SSC40400,651,262,86,0,0,1003,221,186,130,0,0,535,28,19,17,0,0,63,897,468,236,0,0,1601
SSC40401,108,0,0,4,0,114,27,0,0,8,0,28,0,0,0,0,0,0,138,0,4,12,0,151
SSC40402,24,0,0,0,0,24,3,0,0,0,0,3,0,0,0,0,0,0,30,0,0,0,0,30
SSC40403,42,0,0,0,0,42,5,0,0,0,0,5,0,0,0,0,0,0,46,0,0,0,0,46
SSC40404,14,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,14,0,0,0,0,14
SSC40405,27,0,0,0,0,27,3,0,0,0,0,3,0,0,0,0,0,0,32,0,0,0,0,32
SSC40406,1632,54,5,0,0,1694,382,11,5,0,0,397,50,5,0,0,0,53,2065,66,16,0,4,2147
SSC40407,1169,255,97,0,3,1526,269,104,52,0,4,424,36,15,7,0,0,66,1470,371,157,0,11,2012
SSC40408,321,51,0,0,0,375,19,9,0,0,0,27,7,0,0,0,0,7,344,60,0,0,0,414
SSC40409,12,0,0,0,0,12,3,0,0,0,0,3,0,0,0,0,0,0,14,0,0,0,0,14
SSC40410,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SSC40411,362,114,23,3,0,495,81,32,19,0,0,132,12,3,3,0,0,18,453,145,45,3,0,643
SSC40412,9,0,0,0,0,12,11,0,0,0,0,11,0,0,0,0,0,0,20,0,0,0,0,21
SSC40413,246,0,0,0,3,249,88,0,0,0,0,91,11,0,0,0,0,13,344,0,0,0,5,354
SSC40414,3,0,0,0,3,5,5,0,0,0,0,5,0,0,0,0,0,0,3,0,0,0,3,9
SSC40415,3,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,4
SSC40416,283,105,95,0,3,477,47,19,19,0,0,79,7,0,0,0,0,5,326,118,114,0,5,568
SSC40417,474,201,0,0,3,680,102,128,0,0,3,238,12,17,0,0,0,28,586,347,0,0,6,949
SSC40418,547,34,0,0,3,589,84,8,0,0,0,90,13,0,0,0,0,16,649,43,0,0,3,693
SSC40419,1296,9,0,0,0,1306,179,4,0,0,0,184,28,3,0,0,0,27,1505,8,0,0,0,1517
SSC40420,84,0,0,12,0,99,3,0,0,10,0,14,5,0,0,3,0,9,92,0,0,31,0,121
SSC40421,12,0,0,0,0,12,3,0,0,0,0,3,0,0,0,0,0,0,13,0,0,0,0,13
SSC40422,143,51,161,0,0,351,14,3,68,0,0,88,0,0,9,0,0,11,154,56,238,0,0,447
SSC40423,256,66,51,0,4,368,52,8,41,0,0,107,3,0,4,0,0,12,312,71,91,0,7,484
SSC40424,1176,12,0,0,0,1187,112,0,0,0,0,112,18,0,0,0,0,18,1305,12,0,0,0,1322
SSC40425,3,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,3
SSC40426,3,0,0,0,4,5,0,0,0,0,0,6,0,0,0,0,0,0,3,0,0,3,4,11
SSC40427,69,0,0,0,0,69,17,0,0,0,0,17,3,0,0,0,0,5,87,0,0,0,0,82
SSC40428,427,179,87,0,4,695,110,49,34,0,0,198,16,4,4,0,0,24,552,234,123,0,7,912
SSC40429,776,249,60,3,0,1093,159,147,45,0,0,361,18,14,6,0,0,35,958,409,116,0,4,1492
SSC40430,24,0,0,0,0,24,3,0,0,0,0,3,0,0,0,0,0,0,29,0,0,0,0,29
SSC40431,1217,396,204,4,12,1840,389,152,86,3,0,635,29,18,23,0,0,71,1639,565,316,3,13,2544
SSC40432,94,0,0,0,0,96,17,0,0,0,0,17,3,0,0,0,0,3,113,0,0,0,0,114
SSC40433,271,163,16,0,0,452,82,33,3,0,0,121,12,0,0,0,0,18,371,201,19,0,0,588
SSC40434,19,0,0,0,0,19,0,0,0,0,0,0,0,0,0,0,0,0,23,0,0,0,0,23
SSC40435,12,0,0,0,0,13,11,0,0,0,0,11,0,0,0,0,0,0,21,0,0,3,0,28
SSC40436,48,0,0,0,0,48,18,0,0,0,0,18,3,0,0,0,0,3,74,0,0,0,0,74
SSC40437,192,19,21,0,0,236,12,3,4,0,0,22,0,0,3,0,0,3,211,26,27,0,0,265
SSC40438,3,0,0,0,0,3,3,0,0,0,0,3,0,0,0,0,0,0,5,0,0,0,0,5
SSC40439,3084,47,5,35,3,3174,200,7,0,21,0,234,25,0,0,3,0,30,3308,58,10,55,3,3428
SSC40440,44,0,0,0,0,49,4,0,0,0,0,5,0,0,0,0,0,3,50,0,0,3,0,58
SSC40441,84,0,0,0,0,84,3,0,0,0,0,3,0,0,0,0,0,0,84,0,0,0,0,84
SSC40442,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SSC40443,1219,168,46,0,9,1444,314,30,23,0,0,362,33,10,3,0,0,45,1561,206,70,0,4,1849
SSC40444,8,0,0,10,0,26,3,0,0,3,0,6,0,0,0,0,0,0,8,0,0,19,0,29
SSC40445,3,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,5
SSC40446,20,0,0,0,0,20,4,0,0,0,0,4,0,0,0,0,0,0,24,0,0,0,0,24
SSC40447,74,0,0,0,0,74,7,0,0,0,0,7,3,0,0,0,0,3,86,0,0,0,0,86
SSC40448,272,122,95,0,0,492,36,21,4,0,0,59,0,5,3,0,0,8,311,146,104,0,0,563
SSC40449,116,0,0,0,0,116,12,0,0,0,0,12,0,0,0,0,0,3,125,0,0,0,0,128
SSC40450,3,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,4
SSC40451,14,0,0,0,0,16,3,0,0,0,0,3,0,0,0,0,0,0,23,0,0,0,0,23
SSC40452,3,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,3
SSC40453,10,0,0,0,0,17,0,0,0,0,0,3,0,0,0,0,0,0,14,0,0,0,0,15
SSC40454,17,0,0,0,0,17,0,0,0,0,0,0,0,0,0,0,0,0,18,0,0,0,0,18
SSC40455,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SSC40456,22,0,0,0,0,22,12,0,0,0,0,12,4,0,0,0,0,4,35,0,0,0,0,35
SSC40457,3,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,3
SSC40458,7,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,7
SSC40459,3,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,3
SSC40460,634,4,0,3,0,644,87,7,0,0,0,92,13,0,0,0,0,13,734,7,0,7,0,748
SSC40461,158,100,37,0,0,298,10,5,3,0,0,19,3,0,0,0,0,3,172,105,37,0,0,318
SSC40462,663,95,60,0,3,817,131,44,22,0,0,198,18,8,5,0,0,31,806,148,84,0,4,1040
SSC40463,1410,315,147,0,4,1880,333,65,52,0,0,449,25,13,4,0,0,44,1765,393,210,0,5,2376
SSC40464,751,390,257,0,0,1402,82,111,47,0,0,238,6,19,7,0,0,37,836,522,307,0,0,1670
SSC40465,31,0,0,0,0,31,12,0,0,0,0,12,0,0,0,0,0,0,44,0,0,0,0,44
SSC40466,4,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,4
SSC40467,3,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,3
SSC40468,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SSC40469,131,54,4,4,3,200,29,57,14,3,0,103,7,8,3,3,0,18,160,114,22,17,0,318
SSC40470,234,0,0,3,0,243,15,0,0,0,0,15,8,0,0,0,0,8,263,0,0,3,0,263
SSC40471,1492,99,36,0,0,1636,193,68,28,0,0,291,19,4,3,0,0,32,1704,170,76,0,0,1953
SSC40472,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SSC40473,32,0,0,0,0,32,6,0,0,0,0,6,3,0,0,0,0,3,38,0,0,0,0,38
SSC40474,602,151,13,3,0,768,128,105,8,0,0,240,13,15,3,0,0,30,745,265,22,3,3,1035
SSC40475,186,103,0,0,0,287,54,73,0,0,0,122,3,6,0,0,0,10,239,177,0,0,0,419
SSC40476,28,0,0,0,0,28,5,0,0,0,0,5,0,0,0,0,0,0,34,0,0,0,0,34
SSC40477,43,0,0,0,0,43,23,0,0,0,0,23,0,0,0,0,0,0,66,0,0,0,0,66
SSC40478,170,5,0,0,0,170,45,3,0,0,0,45,0,0,0,0,0,0,212,11,0,0,0,223
SSC40479,33,0,0,0,0,33,8,0,0,0,0,12,0,0,0,0,0,0,45,0,0,0,0,43
SSC40480,3,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SSC40481,5,0,0,0,0,5,4,0,0,0,0,4,0,0,0,0,0,0,10,0,0,0,0,10
SSC40482,11,0,0,0,0,11,5,0,0,0,0,5,0,0,0,0,0,0,15,0,0,0,0,15
