SSC_CODE_2016,IA_DS_Separate_house,IA_DS_SemD_ro_tr_h_th,IA_DS_Flat_or_Apart,IA_DS_Other_dwelling,IA_DS_Not_stated,IA_Total,I_NA_DS_Separate_house,I_NA_DS_SemD_ro_tr_h_th,I_NA_DS_Flat_or_Apart,I_NA_DS_Other_dwelling,I_NA_DS_Not_stated,I_NA_Total,IC_NS_DS_Separate_house,IC_NS_DS_SemD_ro_tr_h_th,IC_NS_DS_Flat_or_Apart,IC_NS_DS_Other_dwelling,IC_NS_DS_Not_stated,IC_not_stated_Total,Total_DS_Separate_house,Total_DS_SemD_ro_tr_h_th,Total_DS_Flat_or_Apart,Total_DS_Other_dwelling,Total_DS_Not_stated,Total_Total
SSC40067,13,0,0,0,0,13,5,0,0,0,0,5,0,0,0,0,0,0,27,0,0,0,0,27
SSC40068,17,0,0,0,0,17,3,0,0,0,0,3,0,0,0,0,0,0,15,0,0,0,0,15
SSC40069,1045,4,0,0,0,1052,113,0,0,0,0,113,18,0,0,0,0,18,1175,4,0,0,0,1181
SSC40070,27,0,0,0,0,32,3,0,0,0,0,3,0,0,0,0,0,0,35,0,0,0,0,37
SSC40071,6,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,11
SSC40072,748,38,32,14,3,832,218,50,37,3,0,310,41,8,6,0,0,53,1004,95,82,19,3,1199
SSC40073,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SSC40074,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SSC40075,17,0,0,0,0,17,6,0,0,0,0,6,0,0,0,0,0,0,21,0,0,0,0,21
SSC40076,16,0,0,0,0,16,3,0,0,0,0,3,0,0,0,0,0,0,20,0,0,0,0,20
SSC40077,11,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,8
SSC40078,98,0,0,0,0,98,6,0,0,0,0,6,3,0,0,0,0,3,106,0,0,0,0,106
SSC40079,20,0,0,0,3,22,0,0,0,0,0,0,0,0,0,0,0,0,24,0,0,0,3,25
SSC40080,13,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,17,0,0,0,0,17
SSC40081,177,0,4,3,0,189,42,0,0,0,0,43,4,0,0,0,0,4,221,0,5,3,0,232
