SSC_CODE_2016,Sme_Usl_ad_1_yr_ago_as_2016_M,Sme_Usl_ad_1_yr_ago_as_2016_F,Sme_Usl_ad_1_yr_ago_as_2016_P,Dif_Usl_ad_1_yr_ago_Sme_SA2_M,Dif_Usl_ad_1_yr_ago_Sme_SA2_F,Dif_Usl_ad_1_yr_ago_Sme_SA2_P,Dif_Us_ad_1_ago_Dif_SA2_NSW_M,Dif_Us_ad_1_ago_Dif_SA2_NSW_F,Dif_Us_ad_1_ago_Dif_SA2_NSW_P,Dif_Us_ad_1_ago_Dif_SA2_Vic_M,Dif_Us_ad_1_ago_Dif_SA2_Vic_F,Dif_Us_ad_1_ago_Dif_SA2_Vic_P,Dif_Us_ad_1_ago_Dif_SA2_Qld_M,Dif_Us_ad_1_ago_Dif_SA2_Qld_F,Dif_Us_ad_1_ago_Dif_SA2_Qld_P,Dif_Us_ad_1_ago_Dif_SA2_SA_M,Dif_Us_ad_1_ago_Dif_SA2_SA_F,Dif_Us_ad_1_ago_Dif_SA2_SA_P,Dif_Us_ad_1_ago_Dif_SA2_WA_M,Dif_Us_ad_1_ago_Dif_SA2_WA_F,Dif_Us_ad_1_ago_Dif_SA2_WA_P,Dif_Us_ad_1_ago_Dif_SA2_Tas_M,Dif_Us_ad_1_ago_Dif_SA2_Tas_F,Dif_Us_ad_1_ago_Dif_SA2_Tas_P,Dif_Us_ad_1_ago_Dif_SA2_NT_M,Dif_Us_ad_1_ago_Dif_SA2_NT_F,Dif_Us_ad_1_ago_Dif_SA2_NT_P,Dif_Us_ad_1_ago_Dif_SA2_ACT_M,Dif_Us_ad_1_ago_Dif_SA2_ACT_F,Dif_Us_ad_1_ago_Dif_SA2_ACT_P,Dif_Us_ad_1_ago_Dif_SA2_OT_M,Dif_Us_ad_1_ago_Dif_SA2_OT_F,Dif_Us_ad_1_ago_Dif_SA2_OT_P,Dif_Us_ad_1_ago_Dif_SA2_Tot_M,Dif_Us_ad_1_ago_Dif_SA2_Tot_F,Dif_Us_ad_1_ago_Dif_SA2_Tot_P,Difnt_Usl_add_1_yr_ago_OS_M,Difnt_Usl_add_1_yr_ago_OS_F,Difnt_Usl_add_1_yr_ago_OS_P,Difnt_Usl_add_1_yr_ago_Ns_M,Difnt_Usl_add_1_yr_ago_Ns_F,Difnt_Usl_add_1_yr_ago_Ns_P,Difnt_Usl_add_1_yr_ago_Tot_M,Difnt_Usl_add_1_yr_ago_Tot_F,Difnt_Usl_add_1_yr_ago_Tot_P,N_stated_M,N_stated_F,N_stated_P,Tot_M,Tot_F,Tot_P
SSC40001,4519,4776,9291,81,87,165,7,10,17,3,11,13,6,8,20,360,418,777,7,7,18,0,0,3,5,5,7,0,7,3,0,0,0,401,464,859,27,29,52,7,7,8,503,581,1083,283,265,544,5309,5618,10919
SSC40002,4115,3783,7892,532,620,1154,67,62,124,57,56,116,48,36,88,940,923,1862,27,24,49,3,9,10,16,13,26,6,3,6,0,0,0,1168,1127,2287,781,839,1617,17,18,36,2504,2593,5098,1257,767,2026,7872,7140,15017
SSC40003,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SSC40004,40,38,83,3,0,3,0,0,0,0,0,0,0,0,0,3,7,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,7,7,0,0,0,0,0,0,4,7,9,0,0,3,48,45,91
SSC40005,20,14,35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,18,39
SSC40006,659,730,1389,11,11,20,0,0,0,4,0,4,4,0,3,77,96,173,3,3,4,0,0,0,0,0,0,0,0,0,0,0,0,86,100,182,9,4,9,0,0,0,101,115,221,50,46,97,806,895,1697
SSC40007,741,731,1472,16,12,26,0,0,0,3,0,3,4,3,10,65,76,138,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,81,76,163,6,11,14,3,3,3,103,105,211,56,64,125,898,902,1800
SSC40008,1379,1451,2833,50,49,100,7,3,8,4,0,5,0,0,3,73,89,161,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,83,101,184,12,7,14,0,0,4,145,160,305,95,113,208,1620,1719,3343
SSC40009,237,231,465,11,16,26,0,0,0,0,0,3,0,0,0,15,23,35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,21,40,0,0,3,0,3,3,35,38,68,19,10,27,283,281,565
SSC40010,3870,4123,7990,227,291,524,14,24,36,18,12,27,12,12,25,366,447,811,3,3,3,0,0,3,6,5,14,0,0,0,0,0,0,418,504,925,22,26,41,7,21,28,678,839,1516,425,446,872,4972,5410,10383
SSC40011,76,57,129,0,0,0,0,0,0,0,0,0,0,0,0,7,5,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,5,11,0,0,0,0,0,0,7,7,9,13,7,12,95,60,158
SSC40012,753,790,1538,16,19,30,3,0,3,4,6,4,4,5,4,69,66,128,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,76,72,148,14,9,21,0,0,0,104,100,207,55,53,100,907,941,1847
SSC40013,201,166,366,8,16,22,0,3,0,3,9,6,0,0,0,4,18,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,25,36,0,0,0,0,0,0,21,36,57,20,22,40,243,220,461
SSC40014,72,70,142,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,6,79,70,151
SSC40015,33,28,63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,4,4,3,10,40,39,75
SSC40016,54,43,97,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,3,0,0,0,0,0,0,3,3,3,19,18,30,68,62,129
SSC40017,179,209,395,6,5,13,0,0,0,0,0,0,0,0,0,3,4,6,0,0,0,0,0,0,7,4,6,0,0,0,0,0,0,10,6,14,0,0,0,0,0,0,16,14,28,7,22,30,201,244,453
SSC40018,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,6
SSC40019,89,89,177,7,7,13,0,0,0,0,0,0,0,0,3,0,7,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,7,14,0,0,0,0,0,0,5,15,24,19,22,36,119,123,235
