SSC_CODE_2016,M_Tot_15_19,M_Tot_20_24,M_Tot_25_34,M_Tot_35_44,M_Tot_45_54,M_Tot_55_64,M_Tot_65_74,M_Tot_75_84,M_Tot_85ov,M_Tot_Tot,F_Ag_For_Fshg_15_19,F_Ag_For_Fshg_20_24,F_Ag_For_Fshg_25_34,F_Ag_For_Fshg_35_44,F_Ag_For_Fshg_45_54,F_Ag_For_Fshg_55_64,F_Ag_For_Fshg_65_74,F_Ag_For_Fshg_75_84,F_Ag_For_Fshg_85ov,F_Ag_For_Fshg_Tot,F_Mining_15_19,F_Mining_20_24,F_Mining_25_34,F_Mining_35_44,F_Mining_45_54,F_Mining_55_64,F_Mining_65_74,F_Mining_75_84,F_Mining_85ov,F_Mining_Tot,F_Manufact_15_19,F_Manufact_20_24,F_Manufact_25_34,F_Manufact_35_44,F_Manufact_45_54,F_Manufact_55_64,F_Manufact_65_74,F_Manufact_75_84,F_Manufact_85ov,F_Manufact_Tot,F_El_Gas_Wt_Waste_15_19,F_El_Gas_Wt_Waste_20_24,F_El_Gas_Wt_Waste_25_34,F_El_Gas_Wt_Waste_35_44,F_El_Gas_Wt_Waste_45_54,F_El_Gas_Wt_Waste_55_64,F_El_Gas_Wt_Waste_65_74,F_El_Gas_Wt_Waste_75_84,F_El_Gas_Wt_Waste_85ov,F_El_Gas_Wt_Waste_Tot,F_Constru_15_19,F_Constru_20_24,F_Constru_25_34,F_Constru_35_44,F_Constru_45_54,F_Constru_55_64,F_Constru_65_74,F_Constru_75_84,F_Constru_85ov,F_Constru_Tot,F_WhlesaleTde_15_19,F_WhlesaleTde_20_24,F_WhlesaleTde_25_34,F_WhlesaleTde_35_44,F_WhlesaleTde_45_54,F_WhlesaleTde_55_64,F_WhlesaleTde_65_74,F_WhlesaleTde_75_84,F_WhlesaleTde_85ov,F_WhlesaleTde_Tot,F_RetTde_15_19,F_RetTde_20_24,F_RetTde_25_34,F_RetTde_35_44,F_RetTde_45_54,F_RetTde_55_64,F_RetTde_65_74,F_RetTde_75_84,F_RetTde_85ov,F_RetTde_Tot,F_Accom_food_15_19,F_Accom_food_20_24,F_Accom_food_25_34,F_Accom_food_35_44,F_Accom_food_45_54,F_Accom_food_55_64,F_Accom_food_65_74,F_Accom_food_75_84,F_Accom_food_85ov,F_Accom_food_Tot,F_Trans_post_wrehsg_15_19,F_Trans_post_wrehsg_20_24,F_Trans_post_wrehsg_25_34,F_Trans_post_wrehsg_35_44,F_Trans_post_wrehsg_45_54,F_Trans_post_wrehsg_55_64,F_Trans_post_wrehsg_65_74,F_Trans_post_wrehsg_75_84,F_Trans_post_wrehsg_85ov,F_Trans_post_wrehsg_Tot,F_Info_media_teleco_15_19,F_Info_media_teleco_20_24,F_Info_media_teleco_25_34,F_Info_media_teleco_35_44,F_Info_media_teleco_45_54,F_Info_media_teleco_55_64,F_Info_media_teleco_65_74,F_Info_media_teleco_75_84,F_Info_media_teleco_85ov,F_Info_media_teleco_Tot,F_Fin_Insur_15_19,F_Fin_Insur_20_24,F_Fin_Insur_25_34,F_Fin_Insur_35_44,F_Fin_Insur_45_54,F_Fin_Insur_55_64,F_Fin_Insur_65_74,F_Fin_Insur_75_84,F_Fin_Insur_85ov,F_Fin_Insur_Tot,F_RtnHir_REst_15_19,F_RtnHir_REst_20_24,F_RtnHir_REst_25_34,F_RtnHir_REst_35_44,F_RtnHir_REst_45_54,F_RtnHir_REst_55_64,F_RtnHir_REst_65_74,F_RtnHir_REst_75_84,F_RtnHir_REst_85ov,F_RtnHir_REst_Tot,F_Pro_scien_tec_15_19,F_Pro_scien_tec_20_24,F_Pro_scien_tec_25_34,F_Pro_scien_tec_35_44,F_Pro_scien_tec_45_54,F_Pro_scien_tec_55_64,F_Pro_scien_tec_65_74,F_Pro_scien_tec_75_84,F_Pro_scien_tec_85ov,F_Pro_scien_tec_Tot,F_Admin_supp_15_19,F_Admin_supp_20_24,F_Admin_supp_25_34,F_Admin_supp_35_44,F_Admin_supp_45_54,F_Admin_supp_55_64,F_Admin_supp_65_74,F_Admin_supp_75_84,F_Admin_supp_85ov,F_Admin_supp_Tot,F_Public_admin_sfty_15_19,F_Public_admin_sfty_20_24,F_Public_admin_sfty_25_34,F_Public_admin_sfty_35_44,F_Public_admin_sfty_45_54,F_Public_admin_sfty_55_64,F_Public_admin_sfty_65_74,F_Public_admin_sfty_75_84,F_Public_admin_sfty_85ov,F_Public_admin_sfty_Tot,F_Educ_trng_15_19,F_Educ_trng_20_24,F_Educ_trng_25_34,F_Educ_trng_35_44,F_Educ_trng_45_54,F_Educ_trng_55_64,F_Educ_trng_65_74,F_Educ_trng_75_84,F_Educ_trng_85ov,F_Educ_trng_Tot,F_HlthCare_SocAs_15_19,F_HlthCare_SocAs_20_24,F_HlthCare_SocAs_25_34,F_HlthCare_SocAs_35_44,F_HlthCare_SocAs_45_54,F_HlthCare_SocAs_55_64,F_HlthCare_SocAs_65_74,F_HlthCare_SocAs_75_84,F_HlthCare_SocAs_85ov,F_HlthCare_SocAs_Tot,F_Art_recn_15_19,F_Art_recn_20_24,F_Art_recn_25_34,F_Art_recn_35_44,F_Art_recn_45_54,F_Art_recn_55_64,F_Art_recn_65_74,F_Art_recn_75_84,F_Art_recn_85ov,F_Art_recn_Tot,F_Oth_scs_15_19,F_Oth_scs_20_24,F_Oth_scs_25_34,F_Oth_scs_35_44,F_Oth_scs_45_54,F_Oth_scs_55_64,F_Oth_scs_65_74,F_Oth_scs_75_84,F_Oth_scs_85ov,F_Oth_scs_Tot
SSC40001,166,259,536,577,658,551,104,10,0,2859,0,0,0,0,3,0,0,0,0,4,0,0,6,3,0,0,0,0,0,10,12,8,11,23,27,24,0,0,0,96,0,0,6,4,0,4,0,0,0,20,0,5,8,4,21,13,0,0,0,55,0,3,13,7,9,10,0,0,0,38,72,68,51,43,61,39,7,0,0,341,67,44,23,12,8,12,0,0,0,161,0,3,4,9,17,14,0,0,0,54,3,4,6,9,3,3,0,0,0,30,0,11,36,37,32,26,3,0,0,144,0,4,12,4,6,10,4,0,0,39,3,6,30,39,30,21,5,0,0,127,3,4,14,17,28,27,5,0,0,103,0,7,27,57,46,30,3,0,0,175,10,25,63,66,128,98,6,0,0,395,17,66,133,167,225,189,24,3,0,816,0,9,6,9,3,6,0,0,0,45,5,13,16,24,33,18,3,0,0,106
SSC40002,57,367,1147,635,452,337,148,23,4,3160,0,3,0,5,3,0,0,0,0,8,0,0,8,7,0,0,0,0,0,12,0,12,32,15,9,7,3,0,0,76,0,0,3,3,0,0,0,0,0,8,0,9,14,4,3,7,0,0,0,44,0,6,25,11,4,0,3,0,0,49,17,81,80,24,26,22,3,0,0,264,35,175,156,35,12,9,3,0,0,421,0,0,13,3,4,3,0,0,0,22,0,9,26,11,3,3,4,0,0,57,0,5,53,19,21,15,6,0,0,117,0,4,12,10,7,4,3,0,0,41,0,32,133,60,27,35,19,0,0,308,0,12,34,17,5,8,3,0,0,81,0,14,91,46,52,35,12,0,0,242,0,15,115,72,59,59,21,6,0,351,3,43,192,88,66,61,21,0,0,476,0,9,30,11,5,4,0,3,0,62,4,18,24,19,18,8,0,0,0,94
SSC40003,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SSC40004,3,4,4,3,9,3,3,0,0,31,0,0,0,5,3,0,3,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SSC40005,0,0,3,0,3,3,0,0,0,8,0,0,0,0,0,4,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SSC40006,18,38,106,100,81,63,10,0,0,411,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,5,9,3,0,0,0,27,0,0,0,0,3,0,0,0,0,4,0,0,3,3,0,3,0,0,0,9,0,0,5,3,5,0,0,0,0,10,10,10,12,11,12,0,0,0,0,59,3,6,4,5,7,4,0,0,0,28,0,0,3,0,3,5,0,0,0,12,0,0,0,0,0,0,0,0,0,3,0,0,5,5,4,4,0,0,0,22,0,0,0,0,0,0,0,0,0,3,0,0,5,7,3,0,0,0,0,17,0,0,3,4,3,0,0,0,0,17,0,4,5,13,12,0,0,0,0,38,0,3,8,6,15,3,0,0,0,36,0,8,19,21,15,18,3,0,0,98,0,0,0,0,0,0,0,0,0,3,0,0,4,0,0,4,0,0,0,9
SSC40007,20,32,104,93,98,98,19,4,0,456,0,0,0,0,3,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,3,5,3,3,3,0,0,0,16,0,0,0,0,0,0,0,0,0,5,0,4,0,0,3,0,0,0,0,11,0,0,0,3,6,0,0,0,0,9,6,9,5,9,8,7,0,0,0,44,10,6,7,4,0,7,0,0,0,31,0,0,3,0,0,0,0,0,0,3,0,0,5,3,0,0,0,0,0,8,0,0,4,5,0,0,0,0,0,14,0,0,4,0,3,3,0,0,0,11,0,3,5,0,4,8,3,0,0,17,0,0,4,0,8,9,0,0,0,27,0,0,5,13,17,4,0,0,0,38,0,3,15,12,19,9,0,0,0,56,0,4,36,21,30,27,0,0,0,122,0,0,0,0,0,0,0,0,0,4,0,3,5,3,5,4,0,0,0,17
SSC40008,36,63,61,168,212,197,68,6,0,813,0,3,0,0,0,3,0,0,0,8,0,0,0,3,0,0,0,0,0,5,6,0,3,3,8,6,0,0,0,21,0,0,0,3,0,0,0,0,0,4,0,0,0,3,4,0,0,0,0,13,0,0,0,0,3,0,0,0,0,9,10,14,0,9,16,8,0,0,0,58,18,9,8,4,7,3,0,0,0,57,0,0,0,0,5,0,0,0,0,9,0,0,0,0,3,0,0,0,0,7,0,0,0,7,8,4,0,0,0,24,0,0,3,8,3,7,0,0,0,16,0,3,5,20,29,17,13,0,0,83,0,0,0,4,4,4,3,0,0,18,0,0,0,18,19,17,0,0,0,60,0,4,11,41,39,44,6,0,0,148,0,0,3,49,58,60,16,0,0,187,0,0,0,5,7,0,0,0,0,20,3,0,0,5,4,0,3,0,0,18
SSC40009,12,6,14,26,41,27,7,0,0,140,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,3,3,8,0,0,0,0,14,7,0,0,0,4,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,3,0,0,0,6,7,7,0,0,0,15,0,0,3,9,15,13,4,0,0,39,0,0,0,0,0,0,0,0,0,3,0,0,0,3,0,0,0,0,0,4
SSC40010,97,188,509,515,486,287,58,3,3,2138,0,3,3,8,4,7,0,0,0,22,0,0,0,0,0,0,0,0,0,0,3,7,25,24,17,13,0,0,0,95,0,0,4,3,3,3,0,0,0,12,0,8,6,8,6,3,0,0,0,37,0,3,13,7,8,3,3,0,0,28,40,33,83,56,62,26,3,0,0,314,59,33,26,24,17,5,0,0,0,171,0,0,7,10,10,3,0,0,0,30,0,0,3,4,8,3,0,0,0,18,0,6,22,20,20,7,0,0,0,69,0,7,3,3,5,3,0,0,0,25,0,7,19,21,11,17,3,0,0,86,0,6,13,37,42,25,3,0,0,122,0,3,26,34,22,19,3,0,0,110,3,8,43,75,44,36,5,0,0,213,10,40,114,140,146,94,17,0,0,553,0,3,4,6,3,0,0,0,0,17,4,13,26,17,16,8,0,0,0,88
