SSC_CODE_2016,M_Neg_Nil_income_15_19_yrs,M_Neg_Nil_income_20_24_yrs,M_Neg_Nil_income_25_34_yrs,M_Neg_Nil_income_35_44_yrs,M_Neg_Nil_income_45_54_yrs,M_Neg_Nil_income_55_64_yrs,M_Neg_Nil_income_65_74_yrs,M_Neg_Nil_income_75_84_yrs,M_Negtve_Nil_incme_85_yrs_ovr,M_Neg_Nil_income_Tot,M_1_149_15_19_yrs,M_1_149_20_24_yrs,M_1_149_25_34_yrs,M_1_149_35_44_yrs,M_1_149_45_54_yrs,M_1_149_55_64_yrs,M_1_149_65_74_yrs,M_1_149_75_84_yrs,M_1_149_85ov,M_1_149_Tot,M_150_299_15_19_yrs,M_150_299_20_24_yrs,M_150_299_25_34_yrs,M_150_299_35_44_yrs,M_150_299_45_54_yrs,M_150_299_55_64_yrs,M_150_299_65_74_yrs,M_150_299_75_84_yrs,M_150_299_85ov,M_150_299_Tot,M_300_399_15_19_yrs,M_300_399_20_24_yrs,M_300_399_25_34_yrs,M_300_399_35_44_yrs,M_300_399_45_54_yrs,M_300_399_55_64_yrs,M_300_399_65_74_yrs,M_300_399_75_84_yrs,M_300_399_85ov,M_300_399_Tot,M_400_499_15_19_yrs,M_400_499_20_24_yrs,M_400_499_25_34_yrs,M_400_499_35_44_yrs,M_400_499_45_54_yrs,M_400_499_55_64_yrs,M_400_499_65_74_yrs,M_400_499_75_84_yrs,M_400_499_85ov,M_400_499_Tot,M_500_649_15_19_yrs,M_500_649_20_24_yrs,M_500_649_25_34_yrs,M_500_649_35_44_yrs,M_500_649_45_54_yrs,M_500_649_55_64_yrs,M_500_649_65_74_yrs,M_500_649_75_84_yrs,M_500_649_85ov,M_500_649_Tot,M_650_799_15_19_yrs,M_650_799_20_24_yrs,M_650_799_25_34_yrs,M_650_799_35_44_yrs,M_650_799_45_54_yrs,M_650_799_55_64_yrs,M_650_799_65_74_yrs,M_650_799_75_84_yrs,M_650_799_85ov,M_650_799_Tot,M_800_999_15_19_yrs,M_800_999_20_24_yrs,M_800_999_25_34_yrs,M_800_999_35_44_yrs,M_800_999_45_54_yrs,M_800_999_55_64_yrs,M_800_999_65_74_yrs,M_800_999_75_84_yrs,M_800_999_85ov,M_800_999_Tot,M_1000_1249_15_19_yrs,M_1000_1249_20_24_yrs,M_1000_1249_25_34_yrs,M_1000_1249_35_44_yrs,M_1000_1249_45_54_yrs,M_1000_1249_55_64_yrs,M_1000_1249_65_74_yrs,M_1000_1249_75_84_yrs,M_1000_1249_85ov,M_1000_1249_Tot,M_1250_1499_15_19_yrs,M_1250_1499_20_24_yrs,M_1250_1499_25_34_yrs,M_1250_1499_35_44_yrs,M_1250_1499_45_54_yrs,M_1250_1499_55_64_yrs,M_1250_1499_65_74_yrs,M_1250_1499_75_84_yrs,M_1250_1499_85ov,M_1250_1499_Tot,M_1500_1749_15_19_yrs,M_1500_1749_20_24_yrs,M_1500_1749_25_34_yrs,M_1500_1749_35_44_yrs,M_1500_1749_45_54_yrs,M_1500_1749_55_64_yrs,M_1500_1749_65_74_yrs,M_1500_1749_75_84_yrs,M_1500_1749_85ov,M_1500_1749_Tot,M_1750_1999_15_19_yrs,M_1750_1999_20_24_yrs,M_1750_1999_25_34_yrs,M_1750_1999_35_44_yrs,M_1750_1999_45_54_yrs,M_1750_1999_55_64_yrs,M_1750_1999_65_74_yrs,M_1750_1999_75_84_yrs,M_1750_1999_85ov,M_1750_1999_Tot,M_2000_2999_15_19_yrs,M_2000_2999_20_24_yrs,M_2000_2999_25_34_yrs,M_2000_2999_35_44_yrs,M_2000_2999_45_54_yrs,M_2000_2999_55_64_yrs,M_2000_2999_65_74_yrs,M_2000_2999_75_84_yrs,M_2000_2999_85ov,M_2000_2999_Tot,M_3000_more_15_19_yrs,M_3000_more_20_24_yrs,M_3000_more_25_34_yrs,M_3000_more_35_44_yrs,M_3000_more_45_54_yrs,M_3000_more_55_64_yrs,M_3000_more_65_74_yrs,M_3000_more_75_84_yrs,M_3000_more_85ov,M_3000_more_Tot,M_PI_NS_15_19_yrs,M_PI_NS_ns_20_24_yrs,M_PI_NS_ns_25_34_yrs,M_PI_NS_ns_35_44_yrs,M_PI_NS_ns_45_54_yrs,M_PI_NS_ns_55_64_yrs,M_PI_NS_ns_65_74_yrs,M_PI_NS_ns_75_84_yrs,M_PI_NS_ns_85_yrs_ovr,M_PI_NS_ns_Tot,M_Tot_15_19_yrs,M_Tot_20_24_yrs,M_Tot_25_34_yrs,M_Tot_35_44_yrs,M_Tot_45_54_yrs,M_Tot_55_64_yrs,M_Tot_65_74_yrs,M_Tot_75_84_yrs,M_Tot_85ov,M_Tot_Tot,F_Neg_Nil_income_15_19_yrs,F_Neg_Nil_income_20_24_yrs,F_Neg_Nil_income_25_34_yrs,F_Neg_Nil_income_35_44_yrs,F_Neg_Nil_income_45_54_yrs,F_Neg_Nil_income_55_64_yrs,F_Neg_Nil_income_65_74_yrs,F_Neg_Nil_income_75_84_yrs,F_Neg_Nil_incme_85_yrs_ovr,F_Neg_Nil_income_Tot,F_1_149_15_19_yrs,F_1_149_20_24_yrs,F_1_149_25_34_yrs,F_1_149_35_44_yrs,F_1_149_45_54_yrs,F_1_149_55_64_yrs,F_1_149_65_74_yrs,F_1_149_75_84_yrs,F_1_149_85ov,F_1_149_Tot,F_150_299_15_19_yrs,F_150_299_20_24_yrs,F_150_299_25_34_yrs,F_150_299_35_44_yrs,F_150_299_45_54_yrs,F_150_299_55_64_yrs,F_150_299_65_74_yrs,F_150_299_75_84_yrs,F_150_299_85ov,F_150_299_Tot,F_300_399_15_19_yrs,F_300_399_20_24_yrs,F_300_399_25_34_yrs,F_300_399_35_44_yrs,F_300_399_45_54_yrs,F_300_399_55_64_yrs,F_300_399_65_74_yrs,F_300_399_75_84_yrs,F_300_399_85ov,F_300_399_Tot
SSC40001,225,34,34,12,21,34,8,6,13,385,105,39,16,10,7,15,15,5,0,208,52,33,33,32,23,49,33,9,3,264,12,23,23,19,19,30,70,53,13,257,12,30,26,22,19,39,57,30,25,259,9,47,29,20,30,36,56,32,11,267,7,45,60,31,45,52,43,16,7,310,3,46,100,81,67,89,55,10,7,449,0,26,113,107,94,114,44,7,4,518,0,4,65,86,84,85,20,3,0,346,0,3,57,83,101,60,12,0,0,316,0,0,35,62,71,55,5,0,0,225,0,0,34,61,124,64,10,0,0,299,0,0,11,15,31,30,0,0,0,86,22,18,31,18,34,29,17,14,8,170,449,353,642,662,758,779,451,184,91,4367,175,25,45,52,43,107,29,26,31,535,109,28,23,21,39,50,26,7,0,310,41,47,43,43,54,73,54,23,5,391,22,33,43,34,51,75,112,63,21,441
SSC40002,263,776,271,38,25,32,18,3,4,1436,37,99,43,19,11,9,4,0,0,228,41,170,100,51,45,49,14,8,0,482,20,101,114,59,69,52,53,22,8,497,19,91,74,32,50,54,58,23,4,415,21,85,132,50,35,29,28,12,0,397,9,68,151,50,32,34,21,13,10,391,3,71,150,55,38,39,29,11,0,386,6,52,179,70,58,54,43,10,0,477,3,24,147,62,31,28,23,7,3,334,0,11,119,64,41,27,18,7,3,295,0,7,86,61,48,33,12,8,0,265,4,3,118,128,84,62,37,5,3,440,3,3,46,66,65,75,52,11,7,331,54,203,359,190,157,105,85,32,5,1191,494,1768,2094,1015,805,676,496,158,56,7558,275,898,332,75,53,43,20,4,8,1700,53,140,51,29,12,17,9,3,0,316,64,190,103,46,41,49,26,9,6,527,18,136,93,39,38,48,42,24,11,442
SSC40003,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SSC40004,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,6,0,0,0,0,3,0,0,0,0,4,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,4,0,0,4,0,0,0,0,3,0,0,0,0,7,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,6,3,3,5,3,9,3,3,0,0,37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
SSC40005,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,4,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,3,0,3,0,3,8,0,0,0,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,3
SSC40006,18,0,7,10,3,5,0,0,0,45,13,6,0,0,0,3,3,0,0,19,5,5,12,11,5,14,8,0,5,57,0,6,3,7,4,6,15,13,0,54,0,3,7,3,5,14,11,5,3,63,0,6,3,4,0,5,8,0,0,34,0,3,12,5,6,6,0,0,0,38,0,10,22,18,10,23,0,0,0,81,0,0,21,15,16,6,0,0,0,68,4,3,18,21,9,12,0,0,0,60,0,0,8,10,3,3,0,0,0,24,0,0,13,0,6,6,0,0,0,31,0,0,3,16,17,0,0,0,0,33,0,0,0,0,3,3,0,0,0,6,8,3,11,7,7,3,5,3,0,49,56,55,130,130,108,102,51,34,13,678,17,4,8,3,8,8,0,3,3,56,14,7,4,0,4,4,0,0,0,25,4,5,5,8,7,11,10,4,0,63,0,3,7,13,11,11,20,15,0,81
SSC40007,25,5,5,3,3,13,3,3,0,62,6,6,0,0,3,0,3,0,0,22,7,9,11,4,6,13,7,4,0,55,4,4,7,9,11,13,11,11,3,76,4,8,5,3,12,16,22,7,7,75,3,8,12,3,7,4,17,10,0,61,0,11,11,5,7,10,10,0,0,52,0,3,18,18,10,16,11,0,0,79,0,0,18,17,17,19,0,3,3,77,0,0,13,5,19,10,3,0,0,53,0,0,7,8,9,12,3,0,0,38,0,0,9,12,15,15,0,0,0,48,0,0,5,12,14,4,0,0,0,34,0,0,0,5,3,3,0,0,0,8,0,4,11,9,8,4,5,6,0,43,49,53,132,113,125,146,95,46,20,778,18,3,9,7,7,18,3,0,0,58,15,0,0,5,3,6,0,0,0,37,5,9,11,6,7,10,4,8,0,69,3,7,7,11,7,14,29,20,4,93
SSC40008,58,8,6,3,11,10,5,0,0,94,26,10,3,0,5,5,5,0,0,63,6,15,11,0,4,10,12,6,3,58,6,13,0,3,4,7,14,9,7,60,4,3,4,6,9,7,17,6,0,53,3,9,0,3,10,5,18,10,0,57,4,6,3,5,9,9,24,8,0,66,0,12,13,18,13,14,19,12,3,101,0,3,10,13,18,24,32,5,0,109,0,0,10,14,23,30,17,4,0,94,0,0,9,22,32,18,16,0,0,96,0,0,3,15,22,15,11,0,0,64,0,0,5,45,37,49,12,0,0,149,0,0,3,39,49,38,17,0,0,152,4,5,4,16,5,13,13,8,0,68,112,78,77,191,252,261,223,74,13,1295,53,4,3,16,18,31,21,0,0,141,31,17,3,11,5,16,12,0,0,99,16,12,9,16,4,22,25,3,3,115,0,8,3,14,16,17,23,6,4,89
SSC40009,10,0,0,0,0,0,0,0,0,8,4,0,0,0,3,0,0,0,0,6,0,3,0,0,3,3,5,0,0,21,0,0,0,0,4,6,3,0,0,16,0,0,0,0,0,3,3,3,0,21,0,3,3,0,3,0,5,3,0,20,0,0,0,7,7,3,0,0,0,17,0,3,3,3,9,3,0,0,0,30,0,0,5,3,3,11,0,0,0,26,0,0,0,0,3,3,0,0,0,8,0,0,0,3,7,4,0,0,0,11,0,0,0,3,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,9,4,0,0,3,3,0,3,3,0,19,19,11,20,30,55,44,29,13,3,231,8,0,3,8,0,3,0,0,0,18,7,0,3,3,0,3,0,0,0,16,0,0,3,4,6,7,7,3,0,30,0,0,3,0,4,8,5,0,0,21
SSC40010,147,19,17,14,15,19,10,7,0,238,60,14,5,0,11,19,11,0,0,120,30,37,44,34,29,58,28,17,4,278,10,14,20,24,30,45,102,73,19,341,11,23,26,32,34,53,60,34,14,289,10,31,24,26,34,53,44,19,3,246,5,46,77,50,66,36,29,11,5,325,3,33,91,79,91,39,20,5,12,378,0,22,119,113,95,54,27,0,0,431,0,8,68,62,55,30,8,4,0,231,0,3,54,57,46,23,8,0,0,192,0,0,31,42,40,16,7,0,0,132,0,0,23,46,39,14,6,0,0,126,0,0,13,19,9,16,0,3,0,58,60,25,62,59,57,61,45,22,11,397,332,281,673,652,652,523,402,208,74,3794,142,10,33,46,41,37,12,3,3,336,81,18,35,30,22,33,16,5,0,235,37,51,66,69,45,66,36,14,6,404,12,28,68,55,70,73,133,63,13,503
