SSC_CODE_2016,P_15_yrs_over_M,P_15_yrs_over_F,P_15_yrs_over_P,lfs_Emplyed_wrked_full_time_M,lfs_Emplyed_wrked_full_time_F,lfs_Emplyed_wrked_full_time_P,lfs_Emplyed_wrked_part_time_M,lfs_Emplyed_wrked_part_time_F,lfs_Emplyed_wrked_part_time_P,lfs_Employed_away_from_work_M,lfs_Employed_away_from_work_F,lfs_Employed_away_from_work_P,lfs_Unmplyed_lookng_for_wrk_M,lfs_Unmplyed_lookng_for_wrk_F,lfs_Unmplyed_lookng_for_wrk_P,lfs_Tot_LF_M,lfs_Tot_LF_F,lfs_Tot_LF_P,lfs_N_the_labour_force_M,lfs_N_the_labour_force_F,lfs_N_the_labour_force_P,Percent_Unem_loyment_M,Percent_Unem_loyment_F,Percent_Unem_loyment_P,Percnt_LabForc_prticipation_M,Percnt_LabForc_prticipation_F,Percnt_LabForc_prticipation_P,Percnt_Employment_to_populn_M,Percnt_Employment_to_populn_F,Percnt_Employment_to_populn_P,Non_sch_quals_PostGrad_Dgre_M,Non_sch_quals_PostGrad_Dgre_F,Non_sch_quals_PostGrad_Dgre_P,Non_sch_quals_Gr_Dip_Gr_Crt_M,Non_sch_quals_Gr_Dip_Gr_Crt_F,Non_sch_quals_Gr_Dip_Gr_Crt_P,Non_sch_quals_Bchelr_Degree_M,Non_sch_quals_Bchelr_Degree_F,Non_sch_quals_Bchelr_Degree_P,Non_sch_quls_Advncd_Dip_Dip_M,Non_sch_quls_Advncd_Dip_Dip_F,Non_sch_quls_Advncd_Dip_Dip_P,Non_sch_quls_Cert3a4_Level_M,Non_sch_quls_Cert3a4_Level_F,Non_sch_quls_Cert3a4_Level_P,Non_sch_quls_Cert1a2_Level_M,Non_sch_quls_Cert1a2_Level_F,Non_sch_quls_Cert1a2_Level_P,Non_sch_quls_Certnfd_Level_M,Non_sch_quls_Certnfd_Level_F,Non_sch_quls_Certnfd_Level_P,Non_sch_quls_CertTot_Level_M,Non_sch_quls_CertTot_Level_F,Non_sch_quls_CertTot_Level_P,Migtn_Lvd_same_add_1_yr_ago_M,Migtn_Lvd_same_add_1_yr_ago_F,Migtn_Lvd_same_add_1_yr_ago_P,Migtn_Lvd_Diff_add_1_yr_ago_M,Migtn_Lvd_Diff_add_1_yr_ago_F,Migtn_Lvd_Diff_add_1_yr_ago_P,Migtn_Lvd_sme_add_5_yrs_ago_M,Migtn_Lvd_sme_add_5_yrs_ago_F,Migtn_Lvd_sme_add_5_yrs_ago_P,Mign_Lvd_Diff_add_5_yrs_ago_M,Mign_Lvd_Diff_add_5_yrs_ago_F,Mign_Lvd_Diff_add_5_yrs_ago_P
SSC40001,4367,4732,9098,2090,1173,3264,668,1460,2128,97,174,267,203,165,372,3059,2966,6030,1183,1638,2824,6.6,5.6,6.2,70,62.7,66.3,65.4,59.3,62.2,146,142,287,61,108,173,562,795,1358,449,533,979,1206,624,1832,40,92,132,87,137,225,1334,855,2188,4519,4776,9291,503,581,1083,3404,3558,6965,1499,1671,3169
SSC40002,7558,6825,14375,2133,1562,3694,893,1084,1974,138,168,298,500,461,959,3660,3266,6935,3083,2933,6013,13.7,14.1,13.8,48.4,47.9,48.2,41.9,41.2,41.5,704,714,1418,140,160,306,1705,1809,3513,592,616,1209,524,284,811,48,42,90,100,95,190,666,416,1088,4115,3783,7892,2504,2593,5098,1695,1494,3186,4830,4806,9636
SSC40003,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SSC40004,37,28,71,21,8,34,3,8,12,0,3,3,0,0,3,32,18,49,5,12,18,0,0,6.1,86.5,64.3,69,64.9,67.9,69,0,0,0,0,0,0,0,4,4,3,3,4,7,4,7,0,0,0,0,0,0,9,7,13,40,38,83,4,7,9,42,38,76,9,3,10
SSC40005,19,16,33,11,3,15,3,0,3,0,0,0,4,0,4,15,4,16,8,11,14,26.7,0,25,78.9,25,48.5,73.7,18.8,54.5,0,0,0,0,0,0,0,0,0,0,0,3,3,3,8,0,0,0,0,0,0,5,3,6,20,14,35,0,0,0,20,14,31,3,3,4
SSC40006,678,742,1418,324,204,527,78,166,241,15,32,47,33,23,62,444,426,872,199,280,477,7.4,5.4,7.1,65.5,57.4,61.5,61.5,54.2,57.5,9,15,25,9,8,20,68,77,151,46,63,111,172,88,263,13,15,28,15,20,39,202,125,323,659,730,1389,101,115,221,514,547,1056,233,277,511
SSC40007,778,797,1572,322,222,542,109,191,307,19,22,36,48,28,81,504,463,968,249,301,547,9.5,6,8.4,64.8,58.1,61.6,57.8,54.6,56.3,24,16,42,9,22,32,82,114,196,61,91,158,172,99,268,8,6,22,14,22,37,200,126,325,741,731,1472,103,105,211,559,533,1096,265,294,558
SSC40008,1295,1376,2668,585,286,871,208,469,672,18,32,48,47,37,80,851,814,1669,394,499,890,5.5,4.5,4.8,65.7,59.2,62.6,62.6,57.2,59.6,145,128,275,54,78,132,332,384,716,143,164,310,169,77,248,3,16,19,23,36,63,198,129,325,1379,1451,2833,145,160,305,1069,1067,2139,426,504,927
SSC40009,231,235,465,86,42,124,49,67,116,12,6,11,6,10,15,147,127,278,68,99,166,4.1,7.9,5.4,63.6,54,59.8,63.6,48.9,54,13,12,21,5,16,25,25,49,74,16,29,46,56,23,84,3,3,8,6,5,11,60,32,96,237,231,465,35,38,68,148,135,286,101,124,220
SSC40010,3794,4207,7999,1502,758,2262,525,1139,1663,114,181,294,227,189,412,2364,2266,4629,1142,1652,2792,9.6,8.3,8.9,62.3,53.9,57.9,56.4,49.4,52.7,45,70,107,38,75,114,193,394,590,253,477,730,1155,663,1813,68,122,190,75,130,212,1294,918,2215,3870,4123,7990,678,839,1516,2283,2360,4641,1919,2251,4174
SSC40011,82,56,132,35,8,42,4,21,26,0,3,6,4,0,3,43,34,80,27,18,45,9.3,0,3.8,52.4,60.7,60.6,47.6,57.1,56.1,0,3,3,0,0,0,5,4,11,8,3,6,21,7,27,0,0,4,4,3,4,21,12,37,76,57,129,7,7,9,60,43,105,15,12,29
SSC40012,770,800,1575,363,220,584,120,226,348,22,24,42,35,26,63,545,494,1042,201,272,471,6.4,5.3,6,70.8,61.8,66.2,65.6,58.8,61.8,30,22,59,16,24,34,109,145,255,61,84,146,168,63,237,3,6,10,14,13,29,184,86,271,753,790,1538,104,100,207,597,581,1176,245,275,526
SSC40013,173,176,352,74,34,110,26,47,78,5,13,14,6,3,10,111,101,213,43,63,107,5.4,3,4.7,64.2,57.4,60.5,60.7,53.4,57.4,0,0,0,0,3,3,0,4,7,5,14,22,55,32,88,3,0,10,4,3,10,66,41,103,201,166,366,21,36,57,145,133,277,55,66,116
SSC40014,59,56,118,21,16,37,8,22,23,7,4,10,3,0,6,35,36,72,16,15,32,8.6,0,8.3,59.3,64.3,61,61,75,59.3,0,0,0,0,0,0,9,5,12,8,4,11,15,8,20,0,3,3,0,0,3,17,13,26,72,70,142,0,0,0,56,40,94,18,19,38
SSC40015,25,26,52,13,10,19,0,9,13,3,3,5,0,0,4,17,20,39,7,3,12,0,0,10.3,68,76.9,75,64,84.6,71.2,0,0,0,0,0,0,3,4,7,0,4,3,8,0,9,0,0,0,0,0,3,8,3,13,33,28,63,0,0,4,24,24,45,5,9,8
SSC40016,60,53,115,25,9,34,3,13,17,0,3,5,3,0,3,40,22,62,6,17,31,7.5,0,4.8,66.7,41.5,53.9,46.7,47.2,48.7,0,0,0,3,0,3,0,4,8,8,10,20,21,7,27,0,0,0,0,0,0,21,8,28,54,43,97,3,3,3,40,31,70,13,13,26
SSC40017,148,181,333,20,25,49,11,28,37,4,0,4,50,58,104,81,107,192,59,58,117,61.7,54.2,54.2,54.7,59.1,57.7,23.6,29.3,27,0,0,0,0,0,0,3,11,9,3,5,8,23,14,39,0,4,4,10,3,9,31,28,55,179,209,395,16,14,28,158,179,336,24,24,47
SSC40018,3,3,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0,3,3,0,0,0
SSC40019,103,106,208,12,7,19,16,25,38,5,3,5,4,0,4,35,36,71,51,54,108,11.4,0,5.6,34,34,34.1,32,33,29.8,3,3,6,0,3,3,7,8,13,10,5,10,24,6,35,0,0,4,4,3,4,31,9,41,89,89,177,5,15,24,65,65,124,36,40,75
SSC40020,0,0,5,0,0,4,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,140,0,0,80,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,3,0,0,0
SSC40021,6,3,11,4,0,3,0,4,4,0,0,0,0,0,0,4,3,4,0,0,0,0,0,0,66.7,100,36.4,66.7,133.3,63.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,5,11,0,0,0,3,7,11,0,0,0
SSC40022,101,87,188,30,21,58,0,6,9,8,0,8,0,0,3,40,31,72,32,33,69,0,0,4.2,39.6,35.6,38.3,37.6,31,39.9,9,0,9,0,0,0,3,9,10,4,7,10,12,3,17,3,3,3,0,0,3,15,3,23,81,68,153,13,11,22,59,51,116,26,24,47
SSC40023,145,123,273,40,25,70,20,27,46,0,3,9,10,6,13,76,60,130,58,51,111,13.2,10,10,52.4,48.8,47.6,41.4,44.7,45.8,0,0,0,0,0,0,0,12,12,9,12,19,40,15,57,0,0,6,3,0,3,50,14,63,142,113,257,14,9,26,111,91,202,37,30,64
SSC40024,5,0,4,3,0,4,0,0,0,0,0,0,0,0,0,3,0,4,0,0,0,0,0,0,60,0,100,60,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,3,0,0,0,4,0,8
SSC40025,14,11,32,14,0,15,0,9,9,0,0,0,0,0,0,14,10,26,3,3,3,0,0,0,100,90.9,81.3,100,81.8,75,0,0,0,0,0,0,0,0,0,0,3,3,3,0,4,0,0,0,0,0,6,6,3,9,18,16,31,3,0,6,11,11,22,4,3,9
SSC40026,2669,2928,5595,1324,676,2002,322,761,1087,82,104,184,202,189,391,1936,1732,3670,591,1043,1630,10.4,10.9,10.7,72.5,59.2,65.6,64.7,52.6,58.5,19,24,42,10,25,33,97,172,268,140,241,378,702,586,1286,62,101,164,38,69,108,796,763,1559,2947,3092,6036,566,648,1209,1526,1539,3067,1635,1846,3479
SSC40027,22,24,46,14,0,14,8,12,20,0,0,0,0,0,0,21,14,29,3,8,8,0,0,0,95.5,58.3,63,100,50,73.9,0,0,0,0,0,0,0,3,7,0,3,6,10,4,12,0,0,0,0,0,3,10,5,13,32,22,56,3,0,3,22,23,47,3,3,4
SSC40028,17,22,40,5,7,15,0,3,9,0,0,0,0,0,3,8,14,22,6,4,16,0,0,13.6,47.1,63.6,55,29.4,45.5,60,0,0,0,0,0,0,0,3,4,0,3,0,6,0,10,0,0,0,0,0,0,6,0,10,20,17,42,3,3,3,15,12,26,5,6,13
SSC40029,833,865,1697,386,167,558,112,265,380,37,22,54,14,15,30,545,477,1020,248,341,586,2.6,3.1,2.9,65.4,55.1,60.1,64.2,52.5,58.5,13,23,38,10,21,31,91,105,194,49,92,138,205,119,322,6,16,30,18,24,45,231,160,392,846,853,1696,119,133,247,605,595,1197,316,339,657
SSC40030,583,682,1271,197,113,309,70,124,189,14,17,30,37,27,66,310,276,589,243,350,591,11.9,9.8,11.2,53.2,40.5,46.3,48.2,37.2,41.5,15,22,34,3,8,13,52,73,127,42,44,92,86,72,154,9,10,16,11,12,26,108,90,197,598,655,1254,82,82,165,396,432,827,261,265,526
SSC40031,1129,1097,2226,609,286,887,143,355,498,45,36,77,47,36,84,844,709,1550,247,339,586,5.6,5.1,5.4,74.8,64.6,69.6,70.6,61.7,65.7,12,8,25,5,21,28,38,98,137,86,131,214,380,183,562,10,23,32,11,18,32,400,231,626,1259,1183,2442,128,133,265,928,841,1767,412,431,840
SSC40032,19,17,35,7,0,7,3,0,5,0,0,4,0,0,3,12,3,18,7,4,12,0,0,16.7,63.2,17.6,51.4,52.6,0,45.7,0,0,0,0,0,0,0,0,0,0,3,3,7,0,6,0,0,0,0,0,0,7,0,6,14,10,27,7,3,5,13,4,17,9,6,16
SSC40033,3,5,8,0,0,0,0,0,3,0,0,0,0,0,0,5,0,3,3,4,3,0,0,0,166.7,0,37.5,0,0,37.5,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,5,8,0,0,0,3,4,3,3,3,7
SSC40034,6,3,8,3,0,3,0,3,3,0,0,0,0,0,0,6,3,4,0,3,3,0,0,0,100,100,50,50,100,75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,6,3,8,0,0,0,6,3,8,0,0,0
SSC40035,8,10,14,5,4,12,0,4,4,0,0,5,0,0,0,8,5,14,0,0,0,0,0,0,100,50,100,62.5,80,150,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,14,25,0,0,0,14,13,27,0,0,0
SSC40036,41,28,71,12,7,28,3,6,12,0,0,3,0,0,0,21,16,41,12,16,29,0,0,0,51.2,57.1,57.7,36.6,46.4,60.6,0,0,0,0,0,0,3,0,6,3,10,8,8,7,14,0,0,0,0,0,0,8,5,20,37,36,79,5,0,7,35,30,66,13,8,15
SSC40037,11,0,10,6,0,6,0,0,0,0,0,0,0,0,0,6,0,6,3,0,3,0,0,0,54.5,0,60,54.5,0,60,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,4,4,0,4,3,0,3,0,0,0
SSC40038,520,529,1047,131,62,198,52,96,146,8,11,15,22,9,33,211,179,389,280,322,602,10.4,5,8.5,40.6,33.8,37.2,36.7,31.9,34.3,5,0,5,5,4,6,17,36,54,23,41,61,126,57,183,9,6,12,9,6,16,142,69,210,493,501,993,57,49,104,339,337,676,191,192,382
SSC40039,40,14,54,36,6,41,4,0,10,0,0,4,0,0,0,39,14,50,0,0,0,0,0,0,97.5,100,92.6,100,42.9,101.9,0,0,0,0,0,0,9,8,8,3,0,3,20,3,17,0,0,0,0,0,0,20,3,18,27,9,35,9,4,12,19,4,18,20,8,29
SSC40040,144,138,283,73,39,116,26,48,75,5,6,11,3,0,7,110,99,205,26,35,67,2.7,0,3.4,76.4,71.7,72.4,72.2,67.4,71.4,5,3,6,0,3,9,22,26,50,13,16,22,42,25,65,3,0,3,3,6,9,48,25,78,142,143,288,29,18,50,109,104,210,60,58,118
SSC40041,144,125,268,63,22,80,12,37,52,9,5,19,3,0,3,95,63,158,34,49,84,3.2,0,1.9,66,50.4,59,58.3,51.2,56.3,4,0,4,0,4,4,6,13,19,3,11,16,44,19,60,0,0,0,3,0,0,45,22,62,140,126,271,13,17,33,102,93,200,47,32,83
SSC40042,60,60,119,34,17,51,5,17,17,0,3,0,0,0,0,43,34,72,14,26,38,0,0,0,71.7,56.7,60.5,65,61.7,57.1,0,0,0,0,0,0,4,9,9,4,3,10,17,5,17,0,0,0,0,0,3,18,7,24,66,63,135,3,3,3,53,50,104,12,20,26
SSC40043,1349,1465,2818,574,378,949,216,370,588,34,54,90,80,69,150,909,870,1772,372,540,913,8.8,7.9,8.5,67.4,59.4,62.9,61.1,54.7,57.7,81,83,163,10,37,50,250,305,552,93,146,237,266,138,401,13,21,36,21,20,39,301,178,483,1174,1232,2407,295,312,609,665,709,1374,744,797,1543
SSC40044,124,108,232,48,41,88,22,28,46,9,3,11,3,5,9,83,71,148,26,31,57,3.6,7,6.1,66.9,65.7,63.8,63.7,66.7,62.5,0,4,5,3,3,4,12,9,20,10,14,26,35,20,57,0,0,0,4,4,6,37,22,64,106,97,201,23,17,37,73,67,143,52,41,91
SSC40045,394,446,845,155,119,272,66,80,150,15,18,28,11,13,25,249,226,475,124,192,310,4.4,5.8,5.3,63.2,50.7,56.2,59.9,48.7,53.3,30,32,59,10,16,24,76,85,167,31,45,70,71,37,108,3,3,12,9,9,21,89,46,131,315,359,673,95,99,189,168,190,364,227,256,486
SSC40046,219,208,425,92,59,154,32,66,93,9,9,13,12,9,18,149,139,285,56,62,121,8.1,6.5,6.3,68,66.8,67.1,60.7,64.4,61.2,19,7,25,3,6,6,41,62,102,24,26,44,49,11,62,0,3,3,0,3,5,51,18,71,219,200,421,22,26,50,188,172,358,47,54,102
SSC40047,19,13,31,8,3,11,0,6,6,0,0,0,0,0,0,8,5,19,8,4,13,0,0,0,42.1,38.5,61.3,42.1,69.2,54.8,0,0,0,0,0,0,0,3,4,0,3,3,3,0,3,0,0,0,0,0,0,3,3,8,15,10,34,0,0,0,16,11,27,3,3,5
SSC40048,3772,3887,7663,1776,920,2696,566,1255,1823,103,118,228,150,128,279,2597,2425,5024,1094,1396,2488,5.8,5.3,5.6,68.8,62.4,65.6,64.8,59,61.9,168,150,317,82,110,197,617,720,1337,359,429,791,834,395,1224,28,41,74,49,83,128,911,518,1429,3952,4010,7965,347,373,725,3142,3178,6324,1047,1091,2140
SSC40049,809,787,1593,313,169,479,128,157,282,23,29,48,70,42,109,527,391,925,243,348,597,13.3,10.7,11.8,65.1,49.7,58.1,57.4,45.1,50.8,20,29,45,13,8,17,81,103,188,60,53,118,146,74,221,10,11,22,6,19,24,162,104,267,781,774,1551,179,174,357,470,461,929,434,427,860
SSC40050,290,293,583,123,54,178,29,85,121,9,14,25,5,3,9,169,157,328,93,92,182,3,1.9,2.7,58.3,53.6,56.3,55.5,52.2,55.6,8,6,16,4,14,22,25,36,62,16,37,50,67,28,97,6,5,11,7,4,9,81,36,117,269,248,519,38,29,64,177,157,333,115,121,238
SSC40051,272,268,536,104,50,157,59,77,135,8,14,21,3,6,14,174,149,321,88,114,200,1.7,4,4.4,64,55.6,59.9,62.9,52.6,58.4,29,20,50,5,9,11,66,63,130,25,26,49,33,23,49,3,3,3,0,4,12,35,27,69,269,259,523,31,35,67,204,197,399,95,88,183
SSC40052,16,7,19,9,3,11,0,4,3,0,0,0,0,0,0,7,6,13,5,4,10,0,0,0,43.8,85.7,68.4,56.3,100,73.7,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,0,0,0,4,0,6,13,6,17,0,0,6,7,5,20,0,0,6
SSC40053,43,46,85,28,12,37,8,19,24,0,0,3,0,0,0,31,28,60,3,12,16,0,0,0,72.1,60.9,70.6,83.7,67.4,75.3,0,4,0,0,0,0,0,7,8,8,4,14,3,7,11,0,0,0,0,0,0,3,6,16,43,42,85,5,3,9,37,32,65,11,13,24
SSC40054,64,52,113,26,14,43,9,16,25,0,3,3,3,0,3,42,35,76,12,10,23,7.1,0,3.9,65.6,67.3,67.3,54.7,63.5,62.8,0,0,0,0,3,3,7,6,12,0,5,5,16,9,21,3,0,5,0,0,0,21,5,23,47,46,97,5,13,16,26,26,54,35,23,59
SSC40055,23,20,48,11,4,18,0,10,12,0,0,3,0,0,0,19,13,34,5,6,13,0,0,0,82.6,65,70.8,47.8,70,68.8,0,0,0,0,0,0,0,4,3,0,0,0,7,3,8,0,0,0,3,3,3,5,8,13,30,31,65,0,0,0,25,20,44,4,10,15
SSC40056,64,70,141,30,18,41,14,25,41,0,0,4,0,0,0,46,41,84,16,24,40,0,0,0,71.9,58.6,59.6,68.8,61.4,61,3,4,3,0,0,0,6,11,22,6,11,16,14,6,21,0,3,3,5,0,3,19,12,30,57,72,133,7,5,8,47,58,101,23,18,38
SSC40057,37,28,69,28,13,39,3,6,6,3,3,6,0,0,0,31,27,57,3,6,8,0,0,0,83.8,96.4,82.6,91.9,78.6,73.9,0,0,0,0,3,3,4,4,12,3,4,7,12,3,18,0,0,0,4,0,3,13,8,21,36,26,69,5,5,14,32,26,60,6,9,20
SSC40058,4,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,3,0,0,0,0,0,4,0,0,0
SSC40059,7,4,12,7,0,4,0,0,0,0,0,0,0,0,0,7,3,5,0,0,3,0,0,0,100,75,41.7,100,0,33.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,3,10,0,0,3,3,3,7,3,0,6
SSC40060,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SSC40061,815,868,1684,328,133,462,99,212,313,28,23,54,31,20,49,487,389,881,283,438,721,6.4,5.1,5.6,59.8,44.8,52.3,55.8,42.4,49.2,10,6,15,8,10,19,42,81,119,38,64,104,180,105,287,16,19,34,14,18,28,205,138,347,809,841,1649,116,125,247,559,583,1144,312,332,645
SSC40062,14,14,23,5,3,9,0,3,4,0,0,0,0,0,0,8,7,12,4,6,7,0,0,0,57.1,50,52.2,35.7,42.9,56.5,0,0,0,0,0,3,0,0,0,0,3,3,4,0,9,0,0,0,0,0,0,6,0,9,12,14,22,0,0,0,8,14,18,0,3,8
SSC40063,3,0,3,3,0,8,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,0,0,0,100,0,100,100,0,266.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,3,3,3,8,0,0,0,3,0,3,3,3,3
SSC40064,38,30,72,8,0,11,8,8,14,0,0,0,3,0,3,19,11,28,19,20,38,15.8,0,10.7,50,36.7,38.9,42.1,26.7,34.7,0,0,0,0,0,0,3,4,4,3,0,3,15,4,18,0,0,0,0,0,0,15,4,18,32,29,64,3,3,7,36,30,61,3,3,7
SSC40065,640,709,1346,292,166,455,102,224,326,21,25,43,17,22,42,432,436,864,174,239,412,3.9,5,4.9,67.5,61.5,64.2,64.8,58.5,61.2,31,26,59,10,26,37,83,132,219,58,85,141,164,76,241,6,10,16,11,23,37,186,108,288,660,695,1363,64,82,149,493,512,1004,214,245,460
SSC40066,3,5,16,0,0,4,0,0,0,0,0,0,0,0,0,0,3,6,0,0,0,0,0,0,0,60,37.5,0,0,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,3,6,4,12,0,0,0,6,4,12,0,0,0
SSC40067,31,21,51,19,9,33,3,7,9,3,0,0,0,0,0,29,17,44,4,8,11,0,0,0,93.5,81,86.3,80.6,76.2,82.4,0,0,0,0,0,0,0,0,0,0,3,6,11,0,14,0,0,0,0,0,0,11,4,13,36,28,57,4,3,4,32,23,59,4,3,6
SSC40068,18,19,39,9,4,16,4,4,13,0,0,0,3,0,3,14,14,28,0,6,6,21.4,0,10.7,77.8,73.7,71.8,72.2,42.1,74.4,0,0,0,0,0,0,0,0,0,0,3,3,5,0,4,0,0,0,0,0,0,5,0,4,17,17,33,4,3,3,19,16,30,5,4,4
SSC40069,1317,1351,2666,605,322,923,143,404,543,32,42,77,63,46,109,846,804,1650,394,477,871,7.4,5.7,6.6,64.2,59.5,61.9,59.2,56.8,57.9,39,33,66,25,50,75,134,178,321,123,162,284,400,190,593,12,25,38,21,33,55,432,248,683,1334,1399,2726,131,142,278,1022,1034,2060,381,440,826
SSC40070,53,45,94,32,11,39,4,18,26,0,0,4,0,0,3,41,35,69,11,12,23,0,0,4.3,77.4,77.8,73.4,67.9,64.4,73.4,0,0,0,0,0,0,3,5,5,4,8,7,10,7,17,0,3,4,0,3,3,8,14,24,49,53,101,3,3,12,37,36,72,15,16,29
SSC40071,8,11,16,8,0,11,3,8,9,0,0,0,0,0,0,9,8,14,3,0,3,0,0,0,112.5,72.7,87.5,137.5,72.7,125,0,0,0,0,0,0,0,0,0,0,3,4,4,0,4,0,0,0,0,0,0,3,0,5,15,12,30,0,0,0,15,12,30,0,0,0
SSC40072,1194,1278,2467,399,236,636,140,261,400,25,26,48,51,34,83,615,557,1166,504,638,1141,8.3,6.1,7.1,51.5,43.6,47.3,47.2,40.9,43.9,3,6,9,4,6,16,49,97,150,50,93,142,285,135,419,13,32,42,25,34,58,320,200,516,1160,1198,2355,163,177,338,848,864,1717,421,450,870
SSC40073,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SSC40074,3,3,3,3,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,100,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,8,0,0,0,3,4,6,0,4,6
SSC40075,23,24,51,18,3,20,3,5,10,0,0,0,0,0,3,22,15,33,3,3,9,0,0,9.1,95.7,62.5,64.7,91.3,33.3,58.8,0,0,0,0,0,0,4,3,4,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,24,26,46,0,0,0,24,23,45,0,4,7
SSC40076,27,23,54,11,7,17,3,8,9,0,0,0,0,0,0,16,17,33,3,6,17,0,0,0,59.3,73.9,61.1,51.9,65.2,48.1,3,0,3,0,0,0,0,7,8,3,4,6,8,9,11,0,0,0,0,0,0,5,9,15,27,26,52,3,0,5,22,21,43,4,6,18
SSC40077,12,11,23,4,0,10,0,3,3,0,0,3,0,0,0,8,8,14,3,3,3,0,0,0,66.7,72.7,60.9,33.3,27.3,69.6,0,0,0,0,0,0,0,4,4,5,0,3,0,0,0,0,0,0,0,0,0,3,0,3,15,8,25,0,0,0,8,5,19,3,0,7
SSC40078,128,111,241,70,18,90,22,52,67,3,8,8,3,0,5,92,78,174,25,34,59,3.3,0,2.9,71.9,70.3,72.2,74.2,70.3,68.5,8,7,16,3,4,10,34,34,67,15,13,35,21,11,30,0,0,0,4,3,4,26,12,38,136,119,252,12,15,25,114,97,208,33,32,58
SSC40079,28,25,53,5,3,6,4,9,12,0,0,0,6,0,6,10,11,24,16,12,21,60,0,25,35.7,44,45.3,32.1,48,34,0,0,0,0,0,0,4,0,3,3,0,3,5,0,11,0,0,0,0,0,0,5,3,13,22,22,47,6,4,10,17,18,34,13,9,23
SSC40080,20,15,42,6,4,10,8,4,13,0,3,3,0,0,0,15,15,22,6,3,8,0,0,0,75,100,52.4,70,73.3,61.9,0,0,0,0,0,0,3,0,3,3,4,3,3,0,3,0,0,0,0,0,0,3,0,8,16,12,32,3,3,4,19,14,34,3,4,7
SSC40081,263,277,539,86,40,125,25,75,104,24,22,38,13,0,15,143,138,282,102,124,227,9.1,0,5.3,54.4,49.8,52.3,51.3,49.5,49.5,3,8,12,3,5,10,10,31,41,15,21,40,73,32,107,3,4,9,12,3,20,90,41,129,269,266,529,30,45,73,180,189,371,105,106,212
SSC40082,3,3,8,3,3,8,0,0,0,0,0,0,0,0,0,3,3,8,0,0,0,0,0,0,100,100,100,100,100,100,0,0,0,0,0,0,0,3,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,8,0,0,0,3,3,8
SSC40083,30,26,49,20,4,23,0,6,6,0,0,0,0,0,3,21,12,29,10,8,17,0,0,10.3,70,46.2,59.2,66.7,38.5,59.2,0,0,0,0,0,0,3,0,5,0,0,3,3,4,6,0,3,0,0,0,0,4,4,12,26,25,45,13,9,18,12,8,22,18,15,37
