SSC_CODE_2016,P_PGrad_Deg_35_44,P_PGrad_Deg_45_54,P_PGrad_Deg_55_64,P_PGrad_Deg_65_74,P_PGrad_Deg_75_84,P_PGrad_Deg_85ov,P_PGrad_Deg_Total,P_GradDip_and_GradCert_15_24,P_GradDip_and_GradCert_25_34,P_GradDip_and_GradCert_35_44,P_GradDip_and_GradCert_45_54,P_GradDip_and_GradCert_55_64,P_GradDip_and_GradCert_65_74,P_GradDip_and_GradCert_75_84,P_GradDip_and_GradCert_85ov,P_GradDip_and_GradCert_Total,P_BachDeg_15_24,P_BachDeg_25_34,P_BachDeg_35_44,P_BachDeg_45_54,P_BachDeg_55_64,P_BachDeg_65_74,P_BachDeg_75_84,P_BachDeg_85ov,P_BachDeg_Total,P_AdvDip_and_Dip_15_24,P_AdvDip_and_Dip_25_34,P_AdvDip_and_Dip_35_44,P_AdvDip_and_Dip_45_54,P_AdvDip_and_Dip_55_64,P_AdvDip_and_Dip_65_74,P_AdvDip_and_Dip_75_84,P_AdvDip_and_Dip_85ov,P_AdvDip_and_Dip_Total,P_Cert_III_IV_15_24,P_Cert_III_IV_25_34,P_Cert_III_IV_35_44,P_Cert_III_IV_45_54,P_Cert_III_IV_55_64,P_Cert_III_IV_65_74,P_Cert_III_IV_75_84,P_Cert_III_IV_85ov,P_Cert_III_IV_Total,P_Cert_I_II_15_24,P_Cert_I_II_25_34,P_Cert_I_II_35_44,P_Cert_I_II_45_54,P_Cert_I_II_55_64,P_Cert_I_II_65_74,P_Cert_I_II_75_84,P_Cert_I_II_85ov,P_Cert_I_II_Total,P_Cert_Levl_nfd_15_24,P_Cert_Levl_nfd_25_34,P_Cert_Levl_nfd_35_44,P_Cert_Levl_nfd_45_54,P_Cert_Levl_nfd_55_64,P_Cert_Levl_nfd_65_74,P_Cert_Levl_nfd_75_84,P_Cert_Levl_nfd_85ov,P_Cert_Levl_nfd_Total,P_Cert_Lev_Tot_15_24,P_Cert_Lev_Tot_25_34,P_Cert_Lev_Tot_35_44,P_Cert_Lev_Tot_45_54,P_Cert_Lev_Tot_55_64,P_Cert_Lev_Tot_65_74,P_Cert_Lev_Tot_75_84,P_Cert_Lev_Tot_85ov,P_Cert_Lev_Tot_Total,P_Lev_Edu_IDes_15_24,P_Lev_Edu_IDes_25_34,P_Lev_Edu_IDes_35_44,P_Lev_Edu_IDes_45_54,P_Lev_Edu_IDes_55_64,P_Lev_Edu_IDes_65_74,P_Lev_Edu_IDes_75_84,P_Lev_Edu_IDes_85ov,P_Lev_Edu_IDes_Total,P_Lev_Edu_NS_15_24,P_Lev_Edu_NS_25_34,P_Lev_Edu_NS_35_44,P_Lev_Edu_NS_45_54,P_Lev_Edu_NS_55_64,P_Lev_Edu_NS_65_74,P_Lev_Edu_NS_75_84,P_Lev_Edu_NS_85ov,P_Lev_Edu_NS_Total,P_Tot_15_24,P_Tot_25_34,P_Tot_35_44,P_Tot_45_54,P_Tot_55_64,P_Tot_65_74,P_Tot_75_84,P_Tot_85ov,P_Tot_Total
SSC40358,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,3,0,3,3,0,3,7,0,0,17,3,3,4,0,3,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,3,5,0,6,3,0,0,20,0,0,0,0,0,0,0,0,0,0,3,3,0,5,0,0,0,14,4,9,7,6,14,7,0,0,52
SSC40359,44,29,29,14,5,0,150,0,16,24,16,13,15,3,0,95,33,132,179,82,62,48,23,3,572,15,44,53,71,70,47,21,3,319,36,85,71,84,83,71,48,10,496,7,3,3,3,6,0,0,0,30,3,9,12,10,13,13,4,4,58,45,98,88,104,112,84,50,10,584,5,0,5,3,5,7,5,0,33,19,23,18,22,20,25,22,13,168,113,347,415,324,308,248,130,28,1919
SSC40360,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,8,0,3,0,4,0,0,15
SSC40361,15,3,3,3,0,0,36,0,7,3,3,3,0,0,0,14,5,57,31,19,15,4,0,0,130,3,18,15,15,11,0,0,0,62,18,26,22,20,22,8,0,0,120,0,0,0,0,0,0,0,0,4,0,3,3,6,5,0,0,0,11,19,30,22,29,27,8,0,0,135,0,0,0,6,0,0,0,0,9,3,9,3,9,13,4,6,0,49,36,133,91,76,74,19,14,3,439
SSC40362,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,4,3,3,0,0,0,12,0,0,0,3,0,0,0,0,4,0,0,3,3,3,3,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,3,3,3,3,0,0,14,0,0,0,0,0,0,0,0,0,3,0,4,3,5,0,0,0,13,3,3,8,11,11,3,0,0,42
SSC40363,0,3,0,0,0,0,7,0,3,0,0,0,0,0,0,3,3,14,11,3,5,0,0,0,40,9,17,8,3,8,3,0,0,42,30,49,18,5,6,0,0,0,107,3,3,0,0,0,0,0,0,8,3,3,0,0,0,0,0,0,12,33,61,19,6,6,0,0,0,125,0,0,0,0,0,0,0,0,0,11,14,0,4,0,3,3,0,32,52,113,50,21,15,8,3,0,258
SSC40364,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,6,0,3,0,0,0,0,0,0,3,0,0,0,0,3,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,3,0,3,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,5,0,8,3,3,11,0,0,0,22
SSC40365,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,3,0,0,0,0,0,5,0,0,5,0,0,3,3,7,0,0,0,7,0,0,0,4,9,3,3,0,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,7,3,3,0,21,0,0,0,0,0,0,0,0,0,0,0,0,5,3,0,3,0,9,0,0,3,14,18,9,9,0,44
SSC40366,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SSC40367,30,9,10,13,3,0,91,4,5,20,5,11,4,0,0,55,27,122,86,29,27,19,8,0,321,3,39,54,44,41,12,5,4,197,43,86,60,60,75,39,33,8,399,13,12,4,3,4,3,0,0,33,3,0,11,12,11,3,3,0,47,54,98,72,73,90,50,33,8,479,0,3,6,4,6,3,3,0,24,15,34,29,24,25,24,25,12,197,96,330,294,200,216,117,87,25,1364
SSC40368,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,7,0,0,0,0,0,0,0,0,0,0,4,7,0,3,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,7,0,3,0,0,0,8,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,5,9,3,8,0,0,0,17
SSC40369,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,5,0,0,6,8,8,0,0,0,3,0,0,23,0,4,8,11,8,7,0,0,29,0,0,0,0,0,0,0,0,3,0,3,3,0,0,0,0,0,6,0,6,6,11,8,7,0,0,39,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,12,13,18,12,12,12,15,0,0,81
SSC40370,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,4,0,0,0,0,3,0,0,0,11,5,10,9,20,15,3,4,0,73,4,0,0,0,0,0,0,0,5,0,0,3,0,0,0,0,0,7,13,13,10,20,18,7,4,0,85,0,0,0,0,0,0,0,0,0,3,7,4,8,9,4,0,0,30,17,23,25,31,28,13,4,0,133
SSC40371,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,3,0,0,0,0,4,0,0,0,6,0,0,3,3,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,3,5,4,0,0,0,19,0,0,0,0,0,0,0,0,0,12,56,51,36,24,19,14,3,206,12,52,49,43,38,20,12,3,230
SSC40372,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,3,0,0,0,5,0,0,0,0,3,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,3,11,4,0,0,29
SSC40373,5,0,3,0,0,0,13,0,0,0,0,0,0,0,0,0,8,18,13,5,6,3,0,0,57,0,7,5,4,13,3,0,0,31,3,19,10,13,14,3,5,3,69,0,3,0,0,3,0,0,0,13,0,0,3,3,0,0,0,0,5,4,17,15,13,19,3,5,3,83,0,0,0,0,0,0,0,0,7,3,8,9,9,11,9,5,10,59,18,58,49,34,46,25,9,12,249
SSC40374,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,4,0,4,0,0,0,13
SSC40375,55,44,26,23,4,0,184,0,7,19,16,14,13,0,0,68,21,79,89,103,69,53,5,0,418,5,23,16,34,29,21,3,3,127,5,18,15,22,19,12,3,0,85,0,0,4,3,0,0,0,0,11,0,0,0,0,3,4,0,0,15,5,21,16,27,20,18,3,0,111,0,0,3,3,0,0,3,0,15,5,5,3,17,18,11,3,4,72,39,155,202,246,182,138,24,8,991
SSC40376,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,3,0,0,0,0,0,5,0,0,3,0,0,0,0,0,6,0,0,0,3,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,3,3,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,5,0,6,6,4,4,0,0,0,31
SSC40377,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,3,0,0,0,7,0,0,0,0,0,0,0,0,8,0,6,7,3,7,0,0,0,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,8,7,6,5,0,0,0,32,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,0,0,13,3,15,8,8,14,5,0,0,58
SSC40378,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,8,3,0,3,0,3,0,0,0,9
