SSC_CODE_2016,Neg_Nil_inc_cpl_fam_no_child,Neg_Nil_inc_cpl_fam_wth_chld,Neg_Nil_inc_One_parent_fam,Neg_Nil_inc_Other_fam,Neg_Nil_inc_Tot,FI_1_149_cpl_fam_no_child,FI_1_149_cpl_fam_with_child,FI_1_149_One_parent_fam,FI_1_149_Other_fam,FI_1_149_Tot,FI_150_299_cpl_fam_no_child,FI_150_299_cpl_fam_with_child,FI_150_299_One_parent_fam,FI_150_299_Other_fam,FI_150_299_Tot,FI_300_399_cpl_fam_no_child,FI_300_399_cpl_fam_with_child,FI_300_399_One_parent_fam,FI_300_399_Other_fam,FI_300_399_Tot,FI_400_499_cpl_fam_no_child,FI_400_499_cpl_fam_with_child,FI_400_499_One_parent_fam,FI_400_499_Other_fam,FI_400_499_Tot,FI_500_649_cpl_fam_no_child,FI_500_649_cpl_fam_with_child,FI_500_649_One_parent_fam,FI_500_649_Other_fam,FI_500_649_Tot,FI_650_799_cpl_fam_no_child,FI_650_799_cpl_fam_with_child,FI_650_799_One_parent_fam,FI_650_799_Other_fam,FI_650_799_Tot,FI_800_999_cpl_fam_no_child,FI_800_999_cpl_fam_wth_chld,FI_800_999_One_parent_fam,FI_800_999_Other_fam,FI_800_999_Tot,FI_1000_1249_cpl_fam_no_child,FI_1000_1249_cpl_fam_wth_chld,FI_1000_1249_One_parent_fam,FI_1000_1249_Other_fam,FI_1000_1249_Tot,FI_1250_1499_cpl_fam_no_child,FI_1250_1499_cpl_fam_wth_chld,FI_1250_1499_One_parent_fam,FI_1250_1499_Other_fam,FI_1250_1499_Tot,FI_1500_1749_cpl_fam_no_child,FI_1500_1749_cpl_fam_wth_chld,FI_1500_1749_One_parent_fam,FI_1500_1749_Other_fam,FI_1500_1749_Tot,FI_1750_1999_cpl_fam_no_child,FI_1750_1999_cpl_fam_wth_chld,FI_1750_1999_One_parent_fam,FI_1750_1999_Other_fam,FI_1750_1999_Tot,FI_2000_2499_cpl_fam_no_child,FI_2000_2499_cpl_fam_wth_chld,FI_2000_2499_One_parent_fam,FI_2000_2499_Other_fam,FI_2000_2499_Tot,FI_2500_2999_cpl_fam_no_child,FI_2500_2999_cpl_fam_wth_chld,FI_2500_2999_One_parent_fam,FI_2500_2999_Other_fam,FI_2500_2999_Tot,FI_3000_3499_cpl_fam_no_child,FI_3000_3499_cpl_fam_wth_chld,FI_3000_3499_One_parent_fam,FI_3000_3499_Other_fam,FI_3000_3499_Tot,FI_3500_3999_cpl_fam_no_child,FI_3500_3999_cpl_fam_wth_chld,FI_3500_3999_One_parent_fam,FI_3500_3999_Other_fam,FI_3500_3999_Tot,FI_4000_more_cpl_fam_no_child,FI_4000_more_cpl_fam_wth_chld,FI_4000_more_One_parent_fam,FI_4000_more_Other_fam,FI_4000_more_Tot,Prt_inc_std_cpl_fam_no_child,Part_inc_std_cpl_fam_wth_chld,Part_inc_statd_One_parent_fam,Partial_income_statd_Othr_fam,Partial_income_stated_Tot,All_inc_ns_cpl_fam_no_child,All_inc_ns_cpl_fam_wth_chld,All_incomes_ns_One_parent_fam,All_incomes_ns_Other_fam,All_incomes_ns_Tot,Tot_cpl_fam_no_child,Tot_cpl_fam_wth_chld,Tot_One_parent_fam,Tot_Other_fam,Tot_Tot
SSC40001,16,0,6,0,24,5,4,3,0,8,9,3,5,0,22,4,3,19,0,19,37,3,27,4,68,27,16,35,0,79,146,22,44,0,211,109,27,62,3,196,144,84,62,6,286,118,115,41,4,277,62,130,35,3,231,75,142,17,0,242,170,306,31,0,515,83,211,13,0,305,59,126,4,0,187,14,70,0,0,82,21,106,0,0,129,65,174,51,0,289,13,7,4,0,20,1163,1550,466,24,3198
SSC40002,89,13,19,34,158,14,7,8,7,31,12,3,3,6,28,10,4,9,3,25,36,6,22,6,69,28,14,24,8,71,69,12,17,5,102,66,23,32,18,131,103,28,21,15,169,87,25,20,12,146,68,14,12,5,98,87,21,16,3,127,192,75,34,9,306,133,37,6,3,181,76,20,8,8,111,72,24,6,3,106,174,65,8,3,242,130,57,21,0,208,11,4,5,6,23,1467,454,281,142,2340
SSC40003,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SSC40004,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,4,0,5,0,0,3,0,0,0,0,3,0,0,0,0,0,0,4,0,0,4,0,0,0,0,4,0,0,0,0,0,0,3,0,0,3,0,0,0,0,0,0,0,0,0,0,0,4,0,0,4,0,0,0,0,0,7,19,0,0,25
SSC40005,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,3,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,6,3,0,0,16
SSC40006,0,0,0,0,0,0,0,0,0,0,0,0,3,0,6,0,0,3,0,3,6,3,5,0,15,0,0,4,0,10,18,4,11,0,35,3,6,14,0,30,11,22,8,0,40,12,14,14,0,37,9,19,11,3,35,10,14,7,0,38,37,38,3,3,78,18,20,0,0,36,3,10,0,0,19,3,12,0,0,11,3,12,0,0,14,10,27,11,0,47,3,3,6,0,9,150,198,101,13,457
SSC40007,3,0,0,0,3,0,0,0,0,0,0,0,0,0,3,0,0,7,0,7,5,0,9,0,16,4,0,7,0,15,31,6,13,0,48,14,10,10,0,36,14,16,14,3,48,12,12,7,0,29,8,12,4,0,28,23,22,7,0,54,29,23,10,0,64,14,21,5,3,43,6,13,0,0,21,7,7,0,0,14,7,11,0,0,14,13,15,12,0,43,0,3,3,0,5,201,173,118,9,503
SSC40008,0,0,0,0,3,5,0,0,0,5,4,3,3,0,9,3,0,3,0,3,10,0,0,0,13,7,3,11,0,20,25,4,5,0,38,24,8,13,0,40,53,10,11,0,73,42,13,4,0,58,32,12,8,0,48,24,18,9,0,47,43,50,10,0,107,36,66,3,0,106,22,53,3,0,79,19,41,0,0,54,41,120,0,0,162,27,66,9,0,103,3,5,0,0,8,412,475,83,7,977
SSC40009,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,4,0,0,0,4,0,3,5,0,14,3,3,3,0,5,4,0,3,0,10,11,8,5,0,22,8,5,3,0,19,3,9,0,0,12,4,5,0,0,7,4,8,0,0,16,3,7,0,0,7,4,3,0,0,7,0,0,0,0,0,0,3,0,0,4,3,13,4,0,18,0,0,0,0,0,58,67,29,0,153
SSC40010,3,0,11,0,17,8,3,4,0,16,4,7,15,0,24,5,0,37,0,40,40,11,49,0,108,33,10,96,0,139,179,39,103,0,325,82,56,70,4,212,108,120,53,8,287,100,140,50,3,293,61,130,28,0,218,50,97,19,4,165,99,201,22,3,328,38,109,3,0,156,16,50,0,0,69,6,24,3,0,29,11,28,4,0,43,66,140,48,0,250,11,17,17,3,45,930,1176,637,23,2763
SSC40011,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,3,0,0,0,5,3,3,0,0,5,0,0,0,0,0,0,6,0,0,7,3,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,3,0,0,0,0,0,0,0,0,0,0,26,12,3,0,38
SSC40012,0,0,3,0,5,0,0,0,0,3,4,0,0,0,6,0,0,3,0,3,11,0,6,0,12,8,4,6,0,12,23,8,5,0,42,13,6,5,3,24,19,14,11,3,48,17,8,8,3,42,15,27,4,0,46,10,21,4,0,37,28,39,8,0,74,17,31,3,0,52,10,14,0,0,28,3,13,3,0,21,3,21,0,0,26,7,23,9,0,44,3,3,0,0,8,203,236,70,12,524
SSC40013,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,4,0,0,0,0,5,9,0,0,0,12,4,0,4,0,8,3,8,0,0,11,0,9,0,0,9,0,8,0,0,7,0,4,0,0,12,3,14,0,0,13,3,11,0,0,11,0,3,0,0,3,0,3,0,0,3,3,3,0,0,5,0,9,0,0,11,3,0,0,0,3,40,70,14,0,117
SSC40014,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,3,4,0,0,0,4,0,0,0,0,0,3,0,0,0,3,0,3,0,0,3,3,0,0,0,3,0,3,0,0,3,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,3,6,0,0,8,0,0,0,0,0,23,20,3,0,44
SSC40015,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,3,0,3,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,13,0,0,19
SSC40016,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,3,3,0,0,0,3,3,0,0,0,4,0,3,0,0,3,4,0,0,0,3,3,0,0,0,6,0,3,0,0,3,0,3,0,0,3,0,3,0,0,3,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,15,13,0,0,31
SSC40017,0,0,0,0,0,0,0,0,0,0,0,0,6,0,8,0,0,0,0,4,4,8,3,0,19,3,4,0,0,8,4,7,0,0,7,3,12,0,0,18,0,3,3,0,5,0,4,3,0,11,0,0,0,0,0,0,0,0,0,0,3,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,8,0,16,0,0,4,0,5,30,49,29,3,104
SSC40018,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SSC40019,0,0,3,0,3,4,0,0,0,3,0,0,0,0,3,0,0,0,0,3,6,0,0,0,4,0,0,0,0,6,10,0,0,0,11,3,0,0,0,8,5,0,0,0,8,4,0,0,0,6,3,0,0,0,4,0,0,0,0,3,3,3,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,3,3,0,11,0,0,0,0,0,42,14,14,0,69
SSC40020,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,3
SSC40021,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,6
SSC40022,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,4,0,0,11,0,0,0,0,3,0,0,0,0,3,0,3,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,3,4,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,3,0,0,4,12,15,11,3,41
SSC40023,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,4,0,3,4,0,3,0,3,3,0,0,0,7,3,3,3,0,5,3,3,0,0,6,0,3,0,0,3,0,0,0,0,0,3,4,0,0,4,3,4,0,0,11,0,3,0,0,3,0,0,0,0,0,0,0,0,0,3,4,0,0,0,6,0,0,0,0,3,30,27,15,0,67
SSC40024,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SSC40025,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,5,0,0,8
SSC40026,0,9,5,0,15,3,3,6,0,12,7,4,13,0,21,4,3,36,0,42,12,11,51,0,75,17,11,106,5,137,48,27,103,0,178,31,63,88,3,180,46,94,66,10,211,55,130,44,7,235,50,116,20,4,187,49,93,22,3,165,67,132,7,3,213,42,86,10,0,132,3,28,0,0,32,3,9,0,0,17,7,9,0,0,16,40,100,36,0,174,10,7,8,0,33,475,932,624,35,2073
SSC40027,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,4,0,0,4,0,0,0,0,3,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,11,9,0,0,17
SSC40028,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,4,0,0,0,0,0,0,0,0,0,0,0,3,0,0,3,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,10,0,0,16
SSC40029,4,0,0,0,8,5,0,0,0,5,0,0,5,0,10,0,0,3,0,7,15,3,3,0,18,5,0,12,0,13,36,3,4,0,48,20,7,17,0,47,32,13,20,0,63,21,19,5,0,48,14,21,8,0,42,17,15,4,0,37,26,33,5,0,63,14,32,0,0,42,10,15,0,0,27,3,3,3,0,11,9,25,0,0,37,17,28,10,0,59,7,3,0,0,11,252,227,99,3,586
SSC40030,3,0,3,0,13,4,0,3,0,4,0,0,3,0,6,3,4,8,0,10,6,4,10,0,15,6,6,9,4,23,12,6,15,3,33,12,12,11,3,36,11,16,8,0,35,8,27,9,0,46,3,15,6,0,22,3,15,3,0,18,13,22,3,0,40,7,17,0,0,26,3,5,0,0,10,0,3,0,0,5,0,0,0,0,3,0,12,5,0,26,0,0,0,0,3,87,171,99,11,378
SSC40031,0,3,0,0,3,3,0,3,0,7,3,0,0,0,7,0,0,3,0,6,6,0,3,0,7,0,0,8,0,14,39,3,3,0,48,26,15,4,3,52,28,28,7,0,59,22,33,3,0,57,15,45,0,0,64,13,33,4,0,56,29,102,7,0,141,18,76,0,0,94,7,43,0,0,55,3,24,0,0,26,3,30,0,0,38,24,56,10,0,86,0,7,0,0,9,240,496,54,6,794
SSC40032,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,8
SSC40033,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,3
SSC40034,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,4
SSC40035,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,4,0,0,7
SSC40036,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,4,0,0,0,0,0,14,8,0,0,26
SSC40037,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SSC40038,3,0,0,0,3,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,9,0,5,0,17,10,0,6,0,11,65,3,0,0,77,17,3,8,0,25,21,3,7,0,36,16,6,3,0,28,7,5,0,0,15,9,10,0,0,20,13,13,4,0,28,8,3,0,0,15,8,0,0,0,5,0,0,0,0,3,4,0,0,0,3,14,19,5,0,37,7,0,0,0,6,217,72,42,3,332
SSC40039,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
SSC40040,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,3,5,0,0,0,3,3,3,0,0,5,11,0,0,0,10,4,5,0,0,15,6,0,0,0,11,0,3,0,0,12,10,9,0,0,14,0,9,0,0,12,4,8,0,0,9,3,0,0,0,4,3,0,0,0,4,4,7,0,0,16,0,0,0,0,0,52,46,3,0,106
SSC40041,0,0,0,0,0,4,0,0,0,4,0,0,0,0,0,0,0,0,0,0,3,0,0,0,3,3,0,3,0,8,7,0,0,0,13,0,0,5,0,5,7,3,0,0,19,0,4,0,0,10,0,4,0,0,10,0,3,0,0,8,3,3,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,3,0,0,0,0,3,0,0,0,0,0,45,28,17,0,83
SSC40042,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,9,4,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,5,4,4,0,0,5,4,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,4,0,0,4,0,3,3,0,8,0,0,0,0,0,22,11,9,0,40
SSC40043,5,3,0,3,11,3,0,0,3,6,0,0,5,0,6,0,3,6,0,10,15,6,3,0,26,7,8,20,0,30,45,16,17,0,74,25,15,20,0,65,42,22,21,3,93,33,30,9,8,80,26,30,13,6,68,12,27,7,0,46,43,49,12,4,104,23,36,3,4,67,9,12,3,0,27,8,5,0,0,13,4,10,0,0,14,16,30,12,0,60,0,0,0,0,3,315,294,154,37,800
SSC40044,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,3,6,0,0,0,3,0,0,0,0,3,6,6,0,0,6,3,0,0,0,4,5,3,0,0,5,3,10,0,0,10,4,3,0,0,11,0,4,0,0,10,0,3,0,0,4,0,0,0,0,0,0,0,0,0,0,5,9,0,0,14,3,0,0,0,7,35,32,8,0,78
SSC40045,0,4,0,0,3,3,0,0,0,3,0,0,0,0,0,0,0,0,0,0,4,0,0,0,4,4,0,6,0,10,6,3,3,0,11,9,3,0,0,21,23,7,0,3,33,12,5,4,0,21,20,9,0,0,23,6,7,3,0,22,10,12,0,0,21,5,10,4,0,19,8,3,0,0,13,0,6,0,0,6,3,5,0,0,15,8,10,3,0,26,3,3,0,0,7,126,84,29,6,246
SSC40046,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,4,3,0,0,8,4,0,0,0,5,3,3,3,0,13,4,4,3,0,12,3,5,0,0,14,9,0,3,0,10,7,10,0,0,17,0,8,0,0,10,3,10,0,0,17,0,3,0,0,3,9,12,0,0,21,3,16,3,0,17,3,0,0,0,3,55,72,15,0,150
SSC40047,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,4,4,0,0,11
SSC40048,13,0,0,0,14,13,0,0,0,13,4,3,11,0,20,9,0,10,3,20,39,4,14,4,52,26,14,26,0,68,117,27,29,0,172,95,34,44,0,181,96,56,26,0,186,88,87,25,0,206,66,93,23,3,183,64,87,20,3,170,131,219,30,3,376,79,195,8,3,288,46,143,4,4,200,29,72,0,0,99,27,142,3,0,176,45,163,39,4,251,14,13,8,0,30,995,1378,303,26,2699
SSC40049,4,3,3,0,12,0,0,3,0,4,3,8,3,0,16,0,4,6,0,14,10,3,7,0,27,3,9,14,0,32,22,14,18,0,53,12,26,8,0,52,12,26,10,0,53,13,23,7,0,48,6,37,5,0,56,8,25,3,0,39,10,28,3,3,45,11,15,3,0,26,3,13,0,0,13,0,3,0,0,3,0,0,0,0,3,10,18,10,0,40,3,3,4,0,13,129,253,121,13,521
SSC40050,3,0,0,0,3,3,0,0,0,3,0,0,0,0,0,0,0,0,0,4,6,0,0,0,6,5,0,3,0,13,15,0,3,0,21,3,0,0,0,4,12,3,3,0,20,8,4,0,0,17,3,9,0,0,11,4,7,0,0,10,10,15,3,0,30,4,8,0,0,8,7,4,0,0,9,0,0,0,0,0,4,3,0,0,4,5,6,0,0,19,0,0,0,0,0,111,59,12,0,184
SSC40051,3,0,0,0,3,0,0,0,0,3,0,0,0,0,3,0,0,0,0,0,4,0,0,0,3,0,3,0,0,8,4,0,3,0,3,3,0,0,0,3,9,3,3,0,13,3,0,0,0,4,3,4,0,0,9,3,4,0,0,6,12,11,0,0,23,8,16,0,0,22,0,5,0,0,8,8,9,0,0,17,9,19,0,0,34,4,18,3,0,17,0,0,0,0,0,71,98,15,3,192
SSC40052,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,6
SSC40053,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,3,0,0,0,0,4,3,0,0,0,3,0,3,0,0,3,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,5,0,0,0,0,3,16,14,0,0,31
SSC40054,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,3,0,0,11,3,3,0,0,6,0,3,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,11,16,0,0,32
SSC40055,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,3,0,0,0,0,0,0,4,0,0,5,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,3,0,0,0,0,0,10,10,3,0,22
SSC40056,3,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,9,9,0,0,0,10,4,0,0,0,7,3,3,0,0,8,7,0,0,0,3,3,0,0,0,3,0,0,0,0,0,3,3,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,8,0,0,0,0,0,40,11,3,0,54
SSC40057,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,3,0,3,0,0,3,0,4,0,0,4,0,0,3,0,3,0,0,0,0,0,6,10,3,0,25
SSC40058,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SSC40059,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
