SSC_CODE_2016,Buddhism_M,Buddhism_F,Buddhism_P,Christianity_Anglican_M,Christianity_Anglican_F,Christianity_Anglican_P,Christianity_Asyrin_Apstlic_M,Christianity_Asyrin_Apstlic_F,Christianity_Asyrin_Apstlic_P,Christianity_Baptist_M,Christianity_Baptist_F,Christianity_Baptist_P,Christianity_Brethren_M,Christianity_Brethren_F,Christianity_Brethren_P,Christianity_Catholic_M,Christianity_Catholic_F,Christianity_Catholic_P,Christianity_Church_Christ_M,Christianity_Church_Christ_F,Christianity_Church_Christ_P,Christianity_Eastrn_Orthdox_M,Christianity_Eastrn_Orthdox_F,Christianity_Eastrn_Orthdox_P,Christinty_Jehvahs_Witnses_M,Christinty_Jehvahs_Witnses_F,Christinty_Jehvahs_Witnses_P,Christianity_Lattr_day_Snts_M,Christianity_Lattr_day_Snts_F,Christianity_Lattr_day_Snts_P,Christianity_Lutheran_M,Christianity_Lutheran_F,Christianity_Lutheran_P,Christianity_Orintal_Orthdx_M,Christianity_Orintal_Orthdx_F,Christianity_Orintal_Orthdx_P,Christianity_Othr_Protestnt_M,Christianity_Othr_Protestnt_F,Christianity_Othr_Protestnt_P,Christianity_Pentecostal_M,Christianity_Pentecostal_F,Christianity_Pentecostal_P,Christinty_Prsbytrin_Refrmd_M,Christinty_Prsbytrin_Refrmd_F,Christinty_Prsbytrin_Refrmd_P,Christianity_Salvation_Army_M,Christianity_Salvation_Army_F,Christianity_Salvation_Army_P,Christnty_Sevnth_dy_Advntst_M,Christnty_Sevnth_dy_Advntst_F,Christnty_Sevnth_dy_Advntst_P,Christianity_Uniting_Church_M,Christianity_Uniting_Church_F,Christianity_Uniting_Church_P,Christianity_Christian_nfd_M,Christianity_Christian_nfd_F,Christianity_Christian_nfd_P,Christianity_Othr_Christian_M,Christianity_Othr_Christian_F,Christianity_Othr_Christian_P,Christianity_Tot_M,Christianity_Tot_F,Christianity_Tot_P,Hinduism_M,Hinduism_F,Hinduism_P,Islam_M,Islam_F,Islam_P,Judaism_M,Judaism_F,Judaism_P,Othr_Rel_Aust_Abor_Trad_Rel_M,Othr_Rel_Aust_Abor_Trad_Rel_F,Othr_Rel_Aust_Abor_Trad_Rel_P,Othr_Rel_Sikhism_M,Othr_Rel_Sikhism_F,Othr_Rel_Sikhism_P,Othr_Reln_Other_reln_groups_M,Othr_Reln_Other_reln_groups_F,Othr_Reln_Other_reln_groups_P,Other_Religions_Tot_M,Other_Religions_Tot_F,Other_Religions_Tot_P,SB_OSB_NRA_NR_M,SB_OSB_NRA_NR_F,SB_OSB_NRA_NR_P,SB_OSB_NRA_SB_M,SB_OSB_NRA_SB_F,SB_OSB_NRA_SB_P,SB_OSB_NRA_OSB_M,SB_OSB_NRA_OSB_F,SB_OSB_NRA_OSB_P,SB_OSB_NRA_Tot_M,SB_OSB_NRA_Tot_F,SB_OSB_NRA_Tot_P,Religious_affiliation_ns_M,Religious_affiliation_ns_F,Religious_affiliation_ns_P,Tot_M,Tot_F,Tot_P
SSC40293,22,24,48,57,54,115,0,0,0,3,10,17,10,8,17,157,144,299,0,0,0,99,32,127,3,3,7,4,0,4,20,17,46,0,0,0,5,9,15,14,15,29,9,7,18,3,3,3,10,7,16,21,22,51,27,22,48,0,0,0,440,356,795,9,3,9,17,13,28,0,0,0,0,0,0,7,3,10,3,0,4,8,4,12,297,245,544,0,0,0,0,0,0,302,242,547,171,156,328,962,801,1762
SSC40294,0,5,3,17,16,36,0,0,0,0,0,3,0,0,0,17,12,29,0,0,0,0,0,0,0,0,0,0,0,0,9,16,20,0,0,0,0,0,3,10,9,13,0,0,0,0,0,0,0,0,0,25,22,44,4,3,6,0,0,0,81,79,156,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,38,20,62,0,0,0,0,0,0,38,20,62,14,11,24,134,112,247
SSC40295,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,7,0,0,0,0,0,0,0,0,0,0,0,0,3,7,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,0,0,0,9,17,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,15,33,3,0,3,3,0,3,22,19,45,3,0,3,30,35,69
SSC40296,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,3,3,0,0,0,0,0,0,4,3,3,0,0,3,3,4,6
SSC40297,3,7,5,20,5,26,0,0,0,0,0,0,0,0,0,19,20,33,0,0,0,26,26,56,0,0,0,0,0,0,3,3,5,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,8,13,30,0,0,0,0,0,0,79,78,155,0,0,0,11,8,14,0,0,0,0,0,0,15,13,29,0,0,0,15,13,29,45,47,92,0,0,0,0,0,0,45,47,92,17,20,37,174,162,333
SSC40298,0,0,0,0,4,7,0,0,0,9,6,16,0,0,0,4,3,8,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,15,32,0,4,3,0,0,0,36,27,67,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,15,31,0,0,0,0,0,0,20,15,31,4,5,13,62,54,112
SSC40299,0,0,0,3,6,8,0,0,0,0,0,0,0,0,0,0,7,6,0,0,0,0,0,0,0,0,0,0,0,0,0,5,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,9,12,0,0,0,0,0,0,17,25,39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,6,21,0,0,0,0,0,0,9,6,21,0,0,8,28,37,64
SSC40300,0,0,0,0,0,3,0,0,0,0,0,3,0,0,0,0,3,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,5,0,0,0,0,0,0,10,10,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,0,0,0,3,0,3,0,0,0,9,10,17
SSC40301,0,0,0,7,7,12,0,0,0,0,0,0,0,0,0,5,8,15,0,0,0,0,0,0,3,3,6,0,0,0,6,8,14,0,0,0,0,0,0,0,3,3,0,0,0,0,0,0,0,0,0,10,12,17,5,4,9,0,0,0,35,38,74,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,10,41,0,0,0,0,0,0,22,12,40,4,5,8,65,58,122
SSC40302,0,0,0,10,10,27,0,0,0,3,0,3,0,0,0,20,22,38,0,0,0,0,0,0,0,0,0,0,0,0,49,33,88,0,0,0,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,33,25,56,3,5,7,0,0,0,127,102,227,0,0,0,4,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,41,39,80,0,0,0,0,0,3,39,44,83,18,18,37,190,167,353
SSC40303,0,0,0,0,5,3,0,0,0,3,0,3,0,0,0,15,10,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,3,0,0,0,3,0,0,0,0,0,0,6,12,17,0,3,3,0,0,0,31,35,67,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,15,26,0,0,0,0,0,0,13,15,26,12,8,19,55,60,113
SSC40304,0,0,0,18,19,33,0,0,0,0,0,0,0,0,0,17,6,23,0,0,0,0,0,0,0,0,0,0,0,0,3,5,12,0,0,0,0,0,0,0,0,0,3,0,9,0,0,0,0,0,0,8,3,10,0,0,3,0,0,0,58,40,91,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,10,23,0,0,0,0,0,0,13,10,23,5,16,17,72,63,137
SSC40305,0,0,0,3,3,9,0,0,0,0,0,0,0,0,0,3,4,4,0,0,0,0,0,0,0,0,0,0,0,0,3,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,9,11,0,0,0,0,0,0,17,15,39,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,0,0,0,3,0,3,8,5,18,0,0,0,0,0,0,8,5,18,3,7,4,35,31,58
SSC40306,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0,4,5,0,0,0,0,0,0,0,0,0,0,0,0,3,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,7,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,5,0,0,0,0,0,0,5,0,5,0,0,0,7,10,19
SSC40307,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,6,3,0,3,3,3,3,0,0,0,12,14,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,3,10,0,0,0,0,0,0,11,3,10,4,0,3,17,13,34
SSC40308,0,0,0,0,3,3,0,0,0,0,0,3,3,3,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,4,4,0,3,6,0,0,0,13,10,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,13,35,0,0,0,0,0,0,17,13,35,9,8,16,39,35,72
SSC40309,0,0,0,11,7,17,0,0,0,0,0,0,0,0,0,4,3,11,0,0,0,0,0,0,0,0,0,0,0,0,0,3,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,4,17,0,4,3,0,0,0,29,23,60,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28,16,46,0,0,0,0,0,0,28,16,46,3,0,3,64,36,105
SSC40310,0,3,3,23,22,38,0,0,0,7,8,20,0,0,0,21,21,42,0,0,0,0,3,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0,0,0,18,21,33,3,4,10,4,3,3,75,88,161,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0,4,5,84,58,144,0,0,0,0,0,3,87,64,147,7,18,25,173,165,340
SSC40311,20,18,36,254,291,544,0,0,0,55,52,107,4,7,4,213,241,457,19,16,31,20,22,45,0,0,0,0,0,0,46,51,92,3,0,3,3,11,9,34,24,59,14,13,25,0,0,3,3,4,10,162,178,337,63,79,141,14,16,26,901,997,1897,4,7,8,8,9,12,3,0,3,0,0,0,0,0,0,3,13,18,3,13,18,1024,878,1910,13,5,24,0,7,7,1043,897,1933,165,128,293,2134,2068,4201
SSC40312,0,0,0,4,0,7,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0,0,0,0,0,0,3,4,8,0,0,0,0,0,0,5,10,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,13,26,0,0,0,0,0,0,13,13,26,9,7,11,31,29,55
SSC40313,0,0,0,4,6,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,9,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,7,8,0,0,0,0,0,0,6,7,8,0,0,0,8,9,24
SSC40314,0,0,0,19,13,24,0,0,0,0,0,0,0,0,0,13,17,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,3,3,0,0,4,0,0,0,0,0,0,8,8,16,0,3,4,0,0,0,47,47,90,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,49,37,86,0,0,0,0,0,0,49,35,89,10,4,15,103,90,195
SSC40315,18,17,38,37,33,67,0,0,0,9,4,13,0,0,0,122,167,284,3,3,6,93,96,188,10,7,12,0,0,0,3,15,16,11,18,28,0,3,3,0,3,4,8,5,11,3,0,3,0,0,0,16,18,36,19,21,42,0,0,0,329,383,712,16,14,30,27,38,68,0,0,4,0,0,0,10,16,27,4,0,4,17,16,30,198,181,384,3,3,3,0,0,4,201,186,388,87,79,164,698,736,1433
SSC40316,3,6,11,68,65,127,0,0,0,8,10,15,3,0,3,69,73,141,0,0,0,0,0,3,3,0,5,0,0,0,52,49,95,0,0,0,10,8,15,0,0,0,6,3,10,0,0,0,0,0,0,92,105,203,16,10,28,0,0,0,314,328,646,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,189,137,323,6,5,13,0,0,3,198,141,333,60,60,122,575,534,1109
SSC40317,0,0,0,5,13,20,0,0,0,0,0,0,0,0,0,3,4,6,0,0,0,0,0,0,0,0,0,0,0,0,7,17,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,5,10,6,3,11,0,0,0,37,35,68,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31,16,45,0,0,0,0,0,0,31,19,51,11,6,21,71,65,140
SSC40318,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,7,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,10,0,0,0,0,0,0,14,13,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,5,9,0,0,0,0,0,0,3,5,9,0,0,3,18,21,35
SSC40319,13,8,20,128,139,271,0,0,0,10,6,21,0,0,0,128,126,248,0,3,4,12,14,21,3,0,3,0,0,0,23,30,51,0,0,0,0,0,0,8,8,19,10,12,21,0,0,0,0,0,0,59,76,138,24,24,49,4,3,7,424,443,860,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,11,5,14,11,5,14,449,393,839,3,3,9,3,7,8,452,401,856,92,83,175,995,942,1934
SSC40320,10,7,16,61,58,115,0,0,0,6,8,19,0,0,0,58,81,141,3,0,0,3,4,5,0,0,3,0,0,0,8,4,11,0,0,0,0,0,3,8,5,10,3,3,5,0,0,0,0,0,0,33,32,67,14,19,33,0,0,3,200,222,426,0,0,0,0,0,0,3,3,8,0,0,0,0,0,0,6,3,8,6,3,8,320,329,653,3,3,10,4,0,4,332,337,663,44,57,103,598,627,1222
SSC40321,13,20,32,134,147,284,0,0,0,49,42,89,23,19,38,173,187,359,3,5,12,23,22,46,0,3,3,0,0,0,32,45,75,0,0,0,4,0,4,17,12,30,13,14,21,0,0,3,0,3,4,87,88,173,39,53,94,11,8,13,600,654,1258,18,19,41,4,6,11,4,3,6,0,0,0,0,0,5,7,4,16,7,10,19,474,426,901,0,4,4,0,0,0,474,435,914,58,58,114,1188,1208,2394
SSC40322,60,56,119,699,808,1512,0,0,0,109,103,213,0,0,3,761,883,1643,14,22,38,31,32,65,10,22,32,9,16,28,69,100,165,0,0,0,52,64,116,100,114,216,59,56,114,20,21,33,6,12,14,310,386,694,172,208,382,12,11,29,2441,2862,5305,9,9,18,55,47,101,0,3,8,0,0,0,13,12,25,13,33,48,25,46,67,2337,2083,4418,22,13,37,7,9,18,2366,2108,4474,415,394,808,5366,5525,10895
SSC40323,4,3,6,8,8,15,0,0,0,0,0,0,0,0,0,23,22,45,0,0,0,3,3,6,0,0,3,0,0,0,13,15,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,8,0,0,0,0,0,0,51,58,111,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,41,34,74,0,0,0,0,0,0,41,35,75,4,3,6,100,100,200
SSC40324,0,0,0,14,19,28,0,0,0,4,3,10,0,0,0,12,8,18,0,0,0,0,3,3,0,0,0,0,0,0,4,4,8,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,7,11,20,9,7,16,0,0,0,46,58,106,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36,28,61,0,0,0,0,0,0,36,24,65,15,4,20,101,84,187
SSC40325,0,0,0,7,5,9,0,0,0,0,0,0,0,0,0,10,5,15,0,0,0,0,0,0,0,0,0,0,0,0,3,0,4,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,3,11,18,0,0,0,0,0,0,20,27,45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,37,23,60,0,0,0,0,0,0,37,23,60,6,9,13,63,53,125
SSC40326,8,11,17,28,29,54,0,0,0,0,0,0,0,0,0,149,162,312,0,0,0,87,87,177,0,0,0,0,0,0,16,17,33,0,0,0,4,9,9,0,3,3,0,0,3,0,4,3,0,0,0,15,26,39,7,9,16,0,0,0,306,348,651,3,0,3,10,3,13,0,0,0,0,0,0,0,0,0,0,3,7,3,4,7,220,188,412,0,0,4,0,0,0,220,192,412,63,64,126,613,621,1238
SSC40327,205,243,451,59,51,109,0,0,0,56,52,112,0,0,0,427,470,897,0,3,5,192,215,413,5,6,9,3,0,3,15,18,40,9,7,14,5,10,13,9,8,15,13,9,14,0,0,3,0,0,0,51,59,109,50,52,105,0,0,0,902,967,1866,48,35,82,137,96,234,3,0,3,0,0,0,51,35,80,7,8,8,54,40,94,463,371,841,4,0,6,3,0,5,474,379,854,189,199,396,2011,1956,3971
SSC40328,3,0,3,64,78,144,0,0,0,9,10,14,0,0,0,148,176,325,0,0,0,0,0,0,0,3,3,3,0,4,30,52,82,0,0,0,0,0,3,0,0,0,6,4,14,7,4,13,0,0,0,139,170,309,20,25,49,0,0,0,421,528,950,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,6,14,6,6,14,225,206,437,0,0,0,0,0,0,225,206,437,60,51,110,718,792,1515
SSC40329,0,3,4,21,20,41,0,0,0,5,4,13,0,0,0,33,15,52,0,3,3,0,0,0,3,4,5,0,0,0,9,20,33,0,0,0,3,0,0,0,3,3,3,3,7,3,3,4,0,0,0,20,16,30,8,12,23,0,0,0,114,112,224,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,85,69,151,0,0,0,0,0,0,85,69,151,22,17,39,218,205,421
SSC40330,0,0,0,3,6,7,0,0,0,0,0,0,0,0,0,5,3,10,0,0,0,0,0,0,0,0,0,0,0,0,6,7,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,10,0,0,3,0,0,0,23,17,43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,14,29,0,0,0,0,0,0,15,14,29,0,3,3,46,35,77
SSC40331,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SSC40332,17,13,28,93,123,217,0,0,0,23,27,52,10,16,26,224,294,520,0,0,0,73,91,162,3,4,8,0,0,0,25,34,63,0,0,0,7,8,11,14,15,30,6,5,13,0,0,3,0,0,0,60,81,143,26,24,53,6,7,12,564,734,1298,8,12,21,12,11,17,0,0,0,0,0,0,0,0,0,3,3,4,3,3,6,491,457,944,3,6,5,0,3,10,490,466,960,72,95,166,1169,1333,2498
SSC40333,0,3,3,57,65,129,0,0,0,0,0,0,0,0,0,92,90,179,0,0,0,0,0,0,0,0,0,0,0,0,34,48,84,0,0,0,0,0,0,8,8,13,4,0,8,3,4,4,0,3,4,86,94,179,6,5,14,4,7,8,294,326,618,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,137,116,261,0,3,3,0,0,0,144,123,262,33,41,76,468,488,959
SSC40334,0,0,0,3,3,4,0,0,0,0,0,0,0,0,0,3,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,9,0,0,0,0,0,0,12,9,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,6,0,0,0,0,0,0,0,4,6,0,0,0,16,13,27
SSC40335,0,0,0,0,6,9,0,0,0,0,0,0,0,0,0,4,3,12,0,0,3,0,0,0,0,0,0,0,0,0,3,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,5,9,0,0,0,0,0,0,12,20,34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,8,19,0,0,0,0,0,0,9,8,19,3,3,5,28,33,57
SSC40336,0,0,0,0,6,5,0,0,0,0,0,0,0,0,0,3,4,8,0,0,0,0,0,0,0,0,0,0,0,0,4,4,7,0,0,0,0,0,0,5,4,12,0,0,0,0,0,0,0,0,0,10,3,14,3,3,5,0,0,0,27,18,45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,8,20,0,0,0,0,0,0,14,8,20,0,3,6,38,29,69
SSC40337,0,0,0,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,5,0,0,0,0,0,0,4,0,5,0,0,0,9,3,7
SSC40338,0,0,0,12,15,30,0,0,0,0,0,0,0,0,0,14,11,20,0,0,0,0,0,0,0,7,8,0,0,0,5,10,18,0,0,0,0,0,0,0,0,0,3,0,4,0,0,0,0,0,0,35,37,76,0,3,3,0,0,0,72,82,156,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,57,46,104,0,0,0,0,0,0,57,46,104,23,18,37,151,151,305
SSC40339,0,0,0,24,24,45,0,0,0,4,3,6,0,0,0,10,13,22,0,0,0,0,0,3,0,0,0,0,0,0,3,3,9,0,0,0,0,0,0,5,9,14,0,0,0,0,0,0,0,0,0,19,27,46,6,4,10,7,8,19,91,82,176,3,0,6,0,0,0,0,0,0,4,3,6,0,0,0,0,0,0,4,3,6,89,77,171,0,0,4,0,0,0,94,84,171,21,23,49,213,190,408
SSC40340,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,3,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,0,0,0,10,6,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,0,0,0,3,0,3,0,0,4,14,9,20
SSC40341,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,3,0,0,0,0,0,0,4,0,3,0,0,0,4,4,10
SSC40342,0,0,0,4,9,12,0,0,0,0,0,0,0,0,0,6,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,4,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,4,0,0,0,0,0,0,12,18,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,17,36,0,0,3,0,0,0,18,18,37,4,9,9,38,46,76
SSC40343,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,4
SSC40344,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,4,4,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,4,4,9
SSC40345,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SSC40346,0,0,0,7,0,9,0,0,0,0,0,0,0,0,0,9,7,15,0,0,0,0,0,0,0,0,0,0,0,0,0,4,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,7,21,0,0,3,0,0,0,33,28,53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,5,18,0,0,0,0,0,0,12,5,18,7,0,7,49,28,77
SSC40347,8,19,28,30,42,75,0,0,0,7,12,19,0,0,0,106,130,236,0,3,3,26,22,50,0,5,5,0,0,0,6,6,13,0,0,0,0,3,3,19,23,38,5,3,15,0,0,0,0,3,4,23,30,55,24,25,45,0,0,0,263,301,564,25,20,45,9,7,16,0,0,0,0,0,0,5,7,13,3,3,10,12,11,22,237,212,449,3,3,3,0,0,0,240,210,454,60,55,115,609,632,1235
SSC40348,0,0,0,0,0,0,0,0,0,0,0,0,4,6,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,11,12,0,0,0,4,0,4,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,12,9,25,0,0,0,27,33,61,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,28,44,0,0,0,0,3,3,23,25,53,28,30,55,71,93,163
SSC40349,0,0,0,0,3,3,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,17,16,33,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,6,4,12,0,0,0,0,0,0,28,26,55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,3,12,0,0,0,0,0,0,4,3,12,7,3,6,39,31,75
SSC40350,55,59,110,323,376,703,0,0,0,40,40,79,0,0,0,357,365,721,5,5,11,24,24,51,18,19,34,4,11,15,32,55,86,0,0,0,14,26,48,57,70,126,28,32,68,8,21,29,8,9,14,144,181,323,100,83,183,10,4,10,1183,1315,2497,23,10,41,83,70,148,0,0,0,0,0,0,3,3,7,13,14,24,15,23,38,1498,1315,2815,9,3,18,4,3,8,1515,1320,2833,443,387,832,3310,3183,6497
SSC40351,15,18,35,99,158,257,0,0,0,34,34,64,3,6,14,222,274,500,4,3,7,78,68,144,3,4,7,0,0,0,34,37,75,0,0,0,5,4,10,7,7,13,16,14,29,0,3,6,0,0,0,71,119,186,22,37,63,4,6,12,606,783,1388,17,18,36,30,41,68,3,3,11,0,0,0,11,6,20,6,3,5,13,8,22,441,449,890,8,4,15,3,3,10,452,463,914,94,101,191,1235,1440,2672
