SSC_CODE_2016,M_AgriForestFish_PD,M_AgriForestFish_GD_GC,M_AgriForestFish_BD,M_AgriForestFish_AdD_D,M_AgriForestFish_Cert,M_AgriForestFish_ID_NS,M_AgriForestFish_ToT,M_Min_PD,M_Min_GD_GC,M_Min_BD,M_Min_AdD_D,M_Min_Cert,M_Min_ID_NS,M_Min_ToT,M_Mnfg_PD,M_Mnfg_GD_GC,M_Mnfg_BD,M_Mnfg_AdD_D,M_Mnfg_Cert,M_Mnfg_ID_NS,M_Mnfg_ToT,M_EGW_WS_PD,M_EGW_WS_GD_GC,M_EGW_WS_BD,M_EGW_WS_AdD_D,M_EGW_WS_Cert,M_EGW_WS_ID_NS,M_EGW_WS_ToT,M_Cnstn_PD,M_Cnstn_GD_GC,M_Cnstn_BD,M_Cnstn_AdD_D,M_Cnstn_Cert,M_Cnstn_ID_NS,M_Cnstn_ToT,M_WTrade_PD,M_WTrade_GD_GC,M_WTrade_BD,M_WTrade_AdD_D,M_WTrade_Cert,M_WTrade_ID_NS,M_WTrade_ToT,M_RTrade_PD,M_RTrade_GD_GC,M_RTrade_BD,M_RTrade_AdD_D,M_RTrade_Cert,M_RTrade_ID_NS,M_RTrade_ToT,M_AccomFoodS_PD,M_AccomFoodS_GD_GC,M_AccomFoodS_BD,M_AccomFoodS_AdD_D,M_AccomFoodS_Cert,M_AccomFoodS_ID_NS,M_AccomFoodS_ToT,M_TransPostWhse_PD,M_TransPostWhse_GD_GC,M_TransPostWhse_BD,M_TransPostWhse_AdD_D,M_TransPostWhse_Cert,M_TransPostWhse_ID_NS,M_TransPostWhse_ToT,M_InfoMedTelecom_PD,M_InfoMedTelecom_GD_GC,M_InfoMedTelecom_BD,M_InfoMedTelecom_AdD_D,M_InfoMedTelecom_Cert,M_InfoMedTelecom_ID_NS,M_InfoMedTelecom_ToT,M_FinInsurS_PD,M_FinInsurS_GD_GC,M_FinInsurS_BD,M_FinInsurS_AdD_D,M_FinInsurS_Cert,M_FinInsurS_ID_NS,M_FinInsurS_ToT,M_RentHirREserv_PD,M_RentHirREserv_GD_GC,M_RentHirREserv_BD,M_RentHirREserv_AdD_D,M_RentHirREserv_Cert,M_RentHirREserv_ID_NS,M_RentHirREserv_ToT,M_ProScieTechServ_PD,M_ProScieTechServ_GD_GC,M_ProScieTechServ_BD,M_ProScieTechServ_AdD_D,M_ProScieTechServ_Cert,M_ProScieTechServ_ID_NS,M_ProScieTechServ_ToT,M_AdminSupServ_PD,M_AdminSupServ_GD_GC,M_AdminSupServ_BD,M_AdminSupServ_AdD_D,M_AdminSupServ_Cert,M_AdminSupServ_ID_NS,M_AdminSupServ_ToT,M_PubAdmiSafety_PD,M_PubAdmiSafety_GD_GC,M_PubAdmiSafety_BD,M_PubAdmiSafety_AdD_D,M_PubAdmiSafety_Cert,M_PubAdmiSafety_ID_NS,M_PubAdmiSafety_ToT,M_EducTrain_PD,M_EducTrain_GD_GC,M_EducTrain_BD,M_EducTrain_AdD_D,M_EducTrain_Cert,M_EducTrain_ID_NS,M_EducTrain_ToT,M_HealthCareSocA_PD,M_HealthCareSocA_GD_GC,M_HealthCareSocA_BD,M_HealthCareSocA_AdD_D,M_HealthCareSocA_Cert,M_HealthCareSocA_ID_NS,M_HealthCareSocA_ToT,M_ArtRecServ_PD,M_ArtRecServ_GD_GC,M_ArtRecServ_BD,M_ArtRecServ_AdD_D,M_ArtRecServ_Cert,M_ArtRecServ_ID_NS,M_ArtRecServ_ToT,M_OthServ_PD,M_OthServ_GD_GC,M_OthServ_BD,M_OthServ_AdD_D,M_OthServ_Cert,M_OthServ_ID_NS,M_OthServ_ToT,M_ID_NS_PD,M_ID_NS_GD_GC,M_ID_NS_BD,M_ID_NS_AdD_D,M_ID_NS_Cert,M_ID_NS_ID_NS,M_ID_NS_ToT,M_ToT_PD,M_ToT_GD_GC,M_ToT_BD,M_ToT_AdD_D,M_ToT_Cert,M_ToT_ID_NS,M_ToT_ToT,F_AgriForestFish_PD,F_AgriForestFish_GD_GC,F_AgriForestFish_BD,F_AgriForestFish_AdD_D,F_AgriForestFish_Cert,F_AgriForestFish_ID_NS,F_AgriForestFish_ToT,F_Min_PD,F_Min_GD_GC,F_Min_BD,F_Min_AdD_D,F_Min_Cert,F_Min_ID_NS,F_Min_ToT,F_Mnfg_PD,F_Mnfg_GD_GC,F_Mnfg_BD,F_Mnfg_AdD_D,F_Mnfg_Cert,F_Mnfg_ID_NS,F_Mnfg_ToT,F_EGW_WS_PD,F_EGW_WS_GD_GC,F_EGW_WS_BD,F_EGW_WS_AdD_D,F_EGW_WS_Cert,F_EGW_WS_ID_NS,F_EGW_WS_ToT,F_Cnstn_PD,F_Cnstn_GD_GC,F_Cnstn_BD,F_Cnstn_AdD_D,F_Cnstn_Cert,F_Cnstn_ID_NS,F_Cnstn_ToT,F_WTrade_PD,F_WTrade_GD_GC,F_WTrade_BD,F_WTrade_AdD_D,F_WTrade_Cert,F_WTrade_ID_NS,F_WTrade_ToT,F_RTrade_PD,F_RTrade_GD_GC,F_RTrade_BD,F_RTrade_AdD_D,F_RTrade_Cert,F_RTrade_ID_NS,F_RTrade_ToT,F_AccomFoodS_PD,F_AccomFoodS_GD_GC,F_AccomFoodS_BD,F_AccomFoodS_AdD_D
SSC40001,0,0,4,0,4,0,10,0,0,4,8,19,3,29,11,0,19,35,135,10,203,8,0,10,11,33,0,56,3,0,17,30,207,9,262,0,0,10,18,53,0,90,4,3,21,20,76,0,125,0,0,6,13,36,3,57,5,0,10,21,47,6,87,0,0,7,10,24,0,46,3,0,22,19,22,0,76,0,0,0,8,12,0,15,13,3,67,29,34,0,148,0,0,10,10,41,4,68,12,3,50,38,54,0,160,32,15,78,30,28,3,177,24,11,66,24,44,0,163,0,0,7,6,11,0,18,0,4,7,12,81,6,117,5,0,12,10,26,7,56,119,50,415,350,978,60,1966,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,10,12,20,0,42,0,0,3,3,3,0,12,0,0,4,3,13,4,21,0,0,6,3,5,0,16,3,3,26,20,75,3,125,0,0,14,6
SSC40002,0,0,8,0,0,0,9,9,0,24,0,5,0,43,13,0,23,7,28,3,80,6,0,15,7,9,0,34,10,3,28,11,48,3,105,9,3,25,6,11,3,60,17,0,74,17,33,7,156,24,3,97,52,76,13,268,5,7,20,15,15,3,58,11,3,34,16,5,0,64,16,7,49,21,20,0,114,8,0,15,8,13,0,38,97,30,219,33,27,3,411,4,0,16,12,10,4,55,44,14,101,41,36,5,236,112,15,93,11,12,0,255,63,8,164,15,17,9,279,4,6,36,10,11,3,71,10,0,17,7,23,3,58,11,3,30,8,14,11,73,479,106,1093,304,419,74,2470,3,0,3,0,3,0,7,0,0,5,0,3,0,12,11,4,33,4,3,0,57,0,0,3,0,0,0,3,5,0,8,3,8,0,30,5,0,23,11,5,0,45,16,0,90,21,25,7,163,30,3,113,68
SSC40003,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SSC40004,0,0,0,3,3,3,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,6,3,12,0,0,3,0,0,3,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SSC40005,0,0,0,0,3,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,6,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SSC40006,0,0,0,0,3,0,3,0,0,0,0,0,0,0,0,0,6,3,19,0,34,0,0,0,3,5,0,10,0,0,7,3,38,4,51,0,0,3,0,8,0,11,0,0,0,4,15,0,20,0,0,4,4,8,0,13,0,0,3,3,17,3,25,0,0,0,0,3,0,9,0,0,0,3,0,0,3,0,0,0,0,3,0,3,0,0,9,0,0,0,14,0,0,0,0,0,0,3,0,0,8,4,6,0,22,3,5,7,0,0,0,9,0,3,7,0,4,0,15,0,0,0,4,3,0,10,0,0,0,4,10,0,12,0,0,3,0,6,3,9,9,12,57,33,148,13,265,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,4,0,11,0,0,0,0,3,0,4,0,0,0,0,0,0,6,0,0,0,0,0,0,6,0,0,8,3,14,0,22,0,0,3,0
SSC40007,0,0,0,0,0,0,0,0,0,0,0,3,0,8,0,0,4,10,20,0,34,0,0,3,0,0,0,7,0,0,3,3,27,0,34,0,0,0,0,6,0,7,0,0,3,0,10,0,10,0,0,3,3,0,0,7,0,0,5,6,14,0,25,0,0,3,0,3,0,9,0,0,3,0,0,0,5,0,0,0,0,3,0,3,6,0,8,0,3,0,17,0,0,0,0,4,0,13,0,0,6,11,12,0,29,0,0,9,0,3,0,17,3,3,3,3,4,0,17,0,0,0,0,3,0,3,0,0,3,0,7,0,11,0,0,5,0,7,0,12,15,12,63,47,128,10,275,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,10,0,0,0,0,0,0,0,0,0,0,0,4,0,4,0,0,0,0,0,0,0,0,0,4,3,5,0,16,0,0,3,0
SSC40008,0,0,3,3,0,0,7,0,0,7,0,0,0,15,4,0,9,10,24,0,47,4,0,3,4,0,0,11,0,0,13,12,41,0,64,0,0,10,3,0,0,10,0,0,3,4,6,0,22,0,0,5,3,3,0,15,0,0,8,0,3,0,8,0,0,8,0,0,0,8,8,0,17,11,0,0,33,0,0,0,3,3,0,10,25,5,60,16,7,0,108,0,0,3,0,7,0,11,8,3,22,9,4,0,55,22,3,23,12,4,4,69,30,6,35,4,3,3,79,0,0,5,4,0,0,6,3,0,5,0,16,0,24,0,0,10,0,3,0,14,105,38,251,92,136,7,624,0,0,4,0,0,0,4,0,0,3,0,0,0,5,0,3,3,0,3,0,11,0,0,0,0,0,0,3,0,0,6,0,0,0,8,0,0,4,0,0,0,6,0,0,10,3,7,3,22,0,0,11,3
SSC40009,0,0,0,0,4,0,5,0,0,0,0,0,0,3,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,17,3,19,0,0,0,0,0,0,3,0,0,0,0,0,0,4,0,0,0,0,3,0,3,0,0,0,0,3,0,3,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,3,0,3,3,0,3,0,0,0,6,0,0,3,5,3,0,10,0,0,3,0,0,0,3,0,0,0,0,3,0,4,0,0,0,0,0,0,6,8,7,22,7,46,3,91,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,0,0,0,0,0,0,0,3,0,0,7,0,0,0,0
SSC40010,0,0,6,5,16,4,30,0,0,0,0,29,0,35,0,3,18,13,127,5,168,0,0,0,3,22,0,28,0,0,11,12,253,15,291,0,0,3,10,22,0,34,0,0,4,6,73,9,101,0,0,0,6,30,5,48,0,0,8,3,43,5,59,0,0,0,7,15,3,18,0,3,3,3,12,0,22,3,0,3,3,8,0,19,0,3,24,4,20,5,61,0,3,8,6,43,3,59,0,3,9,30,51,4,97,3,9,29,10,15,3,69,5,3,15,26,38,0,88,0,0,0,3,5,0,11,0,0,0,9,60,0,71,0,0,5,4,31,12,55,19,28,149,168,919,68,1357,0,0,0,4,6,0,18,0,0,0,0,0,0,0,0,0,12,14,33,0,55,0,0,3,0,6,0,13,0,0,3,4,9,0,18,0,0,0,3,9,3,20,0,3,12,29,69,4,115,0,0,5,8
