SSC_CODE_2016,M_NatPhyl_Scn_15_24,M_NatPhyl_Scn_25_34,M_NatPhyl_Scn_35_44,M_NatPhyl_Scn_45_54,M_NatPhyl_Scn_55_64,M_NatPhyl_Scn_65_74,M_NatPhyl_Scn_75_84,M_NatPhyl_Scn_85ov,M_NatPhyl_Scn_Tot,M_InfoTech_15_24,M_InfoTech_25_34,M_InfoTech_35_44,M_InfoTech_45_54,M_InfoTech_55_64,M_InfoTech_65_74,M_InfoTech_75_84,M_InfoTech_85ov,M_InfoTech_Tot,M_Eng_RelTec_15_24,M_Eng_RelTec_25_34,M_Eng_RelTec_35_44,M_Eng_RelTec_45_54,M_Eng_RelTec_55_64,M_Eng_RelTec_65_74,M_Eng_RelTec_75_84,M_Eng_RelTec_85ov,M_Eng_RelTec_Tot,M_ArchtBldng_15_24,M_ArchtBldng_25_34,M_ArchtBldng_35_44,M_ArchtBldng_45_54,M_ArchtBldng_55_64,M_ArchtBldng_65_74,M_ArchtBldng_75_84,M_ArchtBldng_85ov,M_ArchtBldng_Tot,M_Ag_Envir_Rltd_Sts_15_24,M_Ag_Envir_Rltd_Sts_25_34,M_Ag_Envir_Rltd_Sts_35_44,M_Ag_Envir_Rltd_Sts_45_54,M_Ag_Envir_Rltd_Sts_55_64,M_Ag_Envir_Rltd_Sts_65_74,M_Ag_Envir_Rltd_Sts_75_84,M_Ag_Envir_Rltd_Sts_85ov,M_Ag_Envir_Rltd_Sts_Tot,M_Health_15_24,M_Health_25_34,M_Health_35_44,M_Health_45_54,M_Health_55_64,M_Health_65_74,M_Health_75_84,M_Health_85ov,M_Health_Tot,M_Educ_15_24,M_Educ_25_34,M_Educ_35_44,M_Educ_45_54,M_Educ_55_64,M_Educ_65_74,M_Educ_75_84,M_Educ_85_years_and_over,M_Educ_Tot,M_Mgnt_Com_15_24,M_Mgnt_Com_25_34,M_Mgnt_Com_35_44,M_Mgnt_Com_45_54,M_Mgnt_Com_55_64,M_Mgnt_Com_65_74,M_Mgnt_Com_75_84,M_Mgnt_Com_85ov,M_Mgnt_Com_Tot,M_Society_Cult_15_24,M_Society_Cult_25_34,M_Society_Cult_35_44,M_Society_Cult_45_54,M_Society_Cult_55_64,M_Society_Cult_65_74,M_Society_Cult_75_84,M_Society_Cult_85ov,M_Society_Cult_Tot,M_Creative_Arts_15_24,M_Creative_Arts_25_34,M_Creative_Arts_35_44,M_Creative_Arts_45_54,M_Creative_Arts_55_64,M_Creative_Arts_65_74,M_Creative_Arts_75_84,M_Creative_Arts_85ov,M_Creative_Arts_Tot,M_Fd_Hosp_Psnl_Svcs_15_24,M_Fd_Hosp_Psnl_Svcs_25_34,M_Fd_Hosp_Psnl_Svcs_35_44,M_Fd_Hosp_Psnl_Svcs_45_54,M_Fd_Hosp_Psnl_Svcs_55_64,M_Fd_Hosp_Psnl_Svcs_65_74,M_Fd_Hosp_Psnl_Svcs_75_84,M_Fd_Hosp_Psnl_Svcs_85ov,M_Fd_Hosp_Psnl_Svcs_Tot,M_MixFld_Prgm_15_24,M_MixFld_Prgm_25_34,M_MixFld_Prgm_35_44,M_MixFld_Prgm_45_54,M_MixFld_Prgm_55_64,M_MixFld_Prgm_65_74,M_MixFld_Prgm_75_84,M_MixFld_Prgm_85ov,M_MixFld_Prgm_Tot,M_FldStd_InadDes_15_24,M_FldStd_InadDes_25_34,M_FldStd_InadDes_35_44,M_FldStd_InadDes_45_54,M_FldStd_InadDes_55_64,M_FldStd_InadDes_65_74,M_FldStd_InadDes_75_84,M_FldStd_InadDes_85ov,M_FldStd_InadDes_Tot,M_FldStd_NS_15_24,M_FldStd_NS_25_34,M_FldStd_NS_35_44,M_FldStd_NS_45_54,M_FldStd_NS_55_64,M_FldStd_NS_65_74,M_FldStd_NS_75_84,M_FldStd_NS_85ov,M_FldStd_NS_Tot,M_Tot_15_24,M_Tot_25_34,M_Tot_35_44,M_Tot_45_54,M_Tot_55_64,M_Tot_65_74,M_Tot_75_84,M_Tot_85_years_and_over,M_Tot_Tot,F_NatPhyl_Scn_15_24,F_NatPhyl_Scn_25_34,F_NatPhyl_Scn_35_44,F_NatPhyl_Scn_45_54,F_NatPhyl_Scn_55_64,F_NatPhyl_Scn_65_74,F_NatPhyl_Scn_75_84,F_NatPhyl_Scn_85ov,F_NatPhyl_Scn_Tot,F_InfoTech_15_24,F_InfoTech_25_34,F_InfoTech_35_44,F_InfoTech_45_54,F_InfoTech_55_64,F_InfoTech_65_74,F_InfoTech_75_84,F_InfoTech_85ov,F_InfoTech_Tot,F_Eng_RelTec_15_24,F_Eng_RelTec_25_34,F_Eng_RelTec_35_44,F_Eng_RelTec_45_54,F_Eng_RelTec_55_64,F_Eng_RelTec_65_74,F_Eng_RelTec_75_84,F_Eng_RelTec_85ov,F_Eng_RelTec_Tot,F_ArchtBldng_15_24,F_ArchtBldng_25_34,F_ArchtBldng_35_44,F_ArchtBldng_45_54,F_ArchtBldng_55_64,F_ArchtBldng_65_74,F_ArchtBldng_75_84,F_ArchtBldng_85ov,F_ArchtBldng_Tot,F_Ag_Envir_Rltd_Sts_15_24,F_Ag_Envir_Rltd_Sts_25_34,F_Ag_Envir_Rltd_Sts_35_44,F_Ag_Envir_Rltd_Sts_45_54,F_Ag_Envir_Rltd_Sts_55_64,F_Ag_Envir_Rltd_Sts_65_74,F_Ag_Envir_Rltd_Sts_75_84,F_Ag_Envir_Rltd_Sts_85ov,F_Ag_Envir_Rltd_Sts_Tot,F_Health_15_24,F_Health_25_34,F_Health_35_44,F_Health_45_54,F_Health_55_64,F_Health_65_74,F_Health_75_84,F_Health_85ov,F_Health_Tot,F_Educ_15_24,F_Educ_25_34,F_Educ_35_44,F_Educ_45_54,F_Educ_55_64,F_Educ_65_74,F_Educ_75_84,F_Educ_85ov,F_Educ_Tot,F_Mgnt_Com_15_24,F_Mgnt_Com_25_34
SSC40001,4,16,20,21,15,17,0,0,97,10,36,29,33,15,4,0,0,118,47,137,146,192,191,121,52,12,880,34,47,32,48,48,34,16,13,266,5,15,14,11,8,10,4,0,64,5,10,21,30,33,5,5,0,126,9,19,27,25,43,35,9,0,153,18,60,92,112,96,41,8,9,443,30,43,43,37,47,28,12,8,240,11,19,22,11,5,3,0,0,75,14,34,20,23,7,4,4,0,106,3,0,0,3,0,0,0,0,9,3,5,4,6,5,6,5,0,36,32,36,24,36,33,12,9,15,187,214,474,492,578,543,315,119,50,2791,8,24,18,17,14,3,3,0,89,0,4,12,5,3,0,0,0,24,0,5,13,14,6,8,9,6,54,3,0,4,3,0,3,0,0,15,0,3,0,3,3,0,0,0,14,39,101,114,137,124,54,18,12,592,17,48,59,68,72,48,14,4,330,41,114
SSC40002,32,99,39,23,14,21,6,6,232,48,125,63,24,18,10,0,0,285,103,221,87,103,60,41,20,10,652,40,71,25,22,38,23,3,6,227,5,16,7,13,10,10,0,0,56,24,163,54,27,35,39,7,3,343,6,30,20,9,32,32,5,3,127,231,343,150,93,79,38,21,3,953,30,162,96,70,69,67,18,4,520,34,85,57,28,16,6,3,0,229,47,61,23,27,15,3,0,0,174,28,3,0,0,0,0,3,0,38,16,14,13,8,8,0,3,0,62,258,360,185,158,102,83,29,7,1179,900,1738,829,586,507,370,113,39,5079,44,82,32,16,10,5,3,0,189,3,41,21,10,4,0,0,0,78,36,74,21,10,0,3,0,0,151,37,48,11,7,3,4,0,0,118,11,12,3,0,0,3,3,0,27,77,238,73,52,64,49,17,8,585,21,61,24,43,68,56,15,3,291,307,437
SSC40003,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SSC40004,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,4,3,3,0,3,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0
SSC40005,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,3,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SSC40006,0,0,0,0,0,0,0,0,5,0,9,3,0,0,0,0,0,10,9,24,28,24,28,11,8,0,126,3,11,4,3,8,8,0,0,42,0,0,4,3,0,0,0,0,11,0,4,0,0,3,0,0,0,15,4,0,0,0,3,3,0,0,8,7,14,17,19,9,0,0,0,63,3,6,11,0,3,0,0,0,24,3,4,3,0,0,0,0,0,7,5,8,0,3,0,0,0,0,21,0,0,0,0,0,0,3,0,3,0,3,4,0,0,0,0,0,10,12,12,4,7,3,7,6,0,47,41,91,88,61,60,32,17,4,391,0,5,0,4,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,4,0,5,0,3,0,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,6,21,13,7,9,7,0,0,57,0,6,6,6,5,0,4,0,28,13,26
SSC40007,0,0,0,0,0,3,0,0,4,0,5,5,3,4,0,0,0,15,6,24,22,22,30,19,5,3,128,3,7,6,6,8,7,0,0,40,0,0,0,0,3,0,0,0,5,0,5,3,0,4,3,0,0,17,0,5,3,4,4,4,0,0,20,3,13,13,11,6,5,0,0,56,0,8,9,10,0,5,0,3,41,7,4,6,0,3,0,0,0,24,0,6,3,3,5,0,0,0,14,0,0,0,0,0,0,0,0,3,0,3,0,3,0,0,0,0,8,9,5,3,3,3,5,3,3,45,36,86,76,71,79,49,15,9,417,0,3,4,0,0,0,0,0,6,0,0,0,0,3,0,0,0,3,0,0,0,3,0,0,0,0,4,0,0,0,4,0,0,0,0,7,0,0,0,0,0,0,0,0,3,5,20,14,15,19,8,0,0,84,0,16,8,12,3,4,0,0,44,6,24
SSC40008,0,5,9,14,17,17,6,0,71,4,3,5,3,3,3,0,0,22,8,9,31,43,51,34,17,0,192,3,5,11,14,12,8,3,0,60,0,8,7,8,12,3,0,0,33,0,3,13,15,23,19,4,3,81,0,3,4,9,8,21,5,0,55,0,6,43,45,40,43,12,3,195,3,3,21,28,22,31,3,0,110,4,6,10,15,7,3,3,0,44,0,5,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,3,3,0,4,0,6,0,0,16,8,4,13,10,11,3,3,0,50,37,59,165,210,224,186,59,4,946,0,0,11,12,11,10,3,0,40,0,0,0,4,3,0,0,0,8,0,4,0,3,3,4,0,0,12,0,0,11,3,3,0,0,0,18,0,3,4,0,5,0,0,0,11,3,13,39,48,67,42,8,4,227,3,6,23,31,58,50,9,0,173,3,10
SSC40009,0,0,0,3,0,0,3,0,10,0,0,0,0,0,0,0,0,0,0,3,3,5,6,7,0,0,35,0,6,3,3,3,4,0,0,19,0,0,0,3,0,0,0,0,6,0,3,0,3,0,0,4,0,10,0,0,0,3,0,3,0,0,6,0,0,3,3,5,0,0,0,15,0,0,7,5,5,0,0,0,14,0,0,0,4,0,0,0,0,8,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,4,0,3,4,0,4,4,0,19,5,14,20,44,24,19,9,3,142,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,3,0,4,5,7,6,5,3,0,35,0,0,3,4,8,4,3,0,17,0,6
SSC40010,0,7,6,8,8,6,3,0,35,5,13,8,9,5,0,0,0,43,28,139,118,107,103,87,39,11,636,34,72,47,52,49,25,15,5,302,6,23,29,18,10,5,0,0,94,0,12,16,25,10,7,0,0,72,0,11,15,13,13,20,9,3,83,25,45,62,48,37,22,9,0,243,16,35,40,32,24,17,3,3,175,0,3,11,12,10,3,4,0,44,15,22,30,18,5,11,3,0,109,0,0,0,0,0,0,0,0,0,3,7,4,3,3,3,3,0,26,74,64,58,66,69,33,29,12,403,207,436,448,409,353,252,117,39,2266,0,8,12,5,4,0,0,0,38,0,0,4,3,3,0,0,0,16,4,5,4,12,4,3,3,0,39,0,4,3,0,0,0,0,0,16,3,7,9,0,0,3,0,0,25,21,88,85,70,64,43,14,0,391,5,33,46,29,38,27,4,5,179,45,135
