SSC_CODE_2016,Neg_Nil_inc_fam_households,Neg_Nil_inc_Non_fam_househlds,Negative_Nil_income_Tot,HI_1_149_Family_households,HI_1_149_Non_family_hseholds,HI_1_149_Tot,HI_150_299_Family_households,HI_150_299_Non_fam_househlds,HI_150_299_Tot,HI_300_399_Family_households,HI_300_399_Non_fam_househlds,HI_300_399_Tot,HI_400_499_Family_households,HI_400_499_Non_fam_househlds,HI_400_499_Tot,HI_500_649_Family_households,HI_500_649_Non_fam_househlds,HI_500_649_Tot,HI_650_799_Family_households,HI_650_799_Non_fam_househlds,HI_650_799_Tot,HI_800_999_Fam_households,HI_800_999_Non_fam_hsehlds,HI_800_999_Tot,HI_1000_1249_Fam_households,HI_1000_1249_Non_fam_hsehlds,HI_1000_1249_Tot,HI_1250_1499_Fam_households,HI_1250_1499_Non_fam_hsehlds,HI_1250_1499_Tot,HI_1500_1749_Fam_households,HI_1500_1749_Non_fam_hsehlds,HI_1500_1749_Tot,HI_1750_1999_Fam_households,HI_1750_1999_Non_fam_hsehlds,HI_1750_1999_Tot,HI_2000_2499_Fam_households,HI_2000_2499_Non_fam_hsehlds,HI_2000_2499_Tot,HI_2500_2999_Fam_households,HI_2500_2999_Non_fam_hsehlds,HI_2500_2999_Tot,HI_3000_3499_Fam_households,HI_3000_3499_Non_fam_hsehlds,HI_3000_3499_Tot,HI_3500_3999_Fam_households,HI_3500_3999_Non_fam_hsehlds,HI_3500_3999_Tot,HI_4000_more_Fam_households,HI_4000_more_Non_fam_hsehlds,HI_4000_more_Tot,Part_inc_stated_Fam_household,Part_inc_std_Non_fam_hhds,Partial_income_stated_Tot,All_incomes_ns_Famly_househld,All_inc_ns_Non_famly_househld,All_incomes_not_stated_Tot,Tot_Family_households,Tot_Non_family_households,Tot_Tot
SSC40001,18,14,30,4,10,18,20,47,61,19,55,80,62,160,227,72,93,165,209,69,275,194,86,275,281,94,377,272,51,320,225,42,268,241,32,270,514,27,540,309,5,312,197,0,194,92,8,103,135,0,136,295,19,312,16,20,41,3165,833,3999
SSC40002,138,530,672,32,102,140,23,269,290,28,243,265,63,260,326,72,197,270,96,195,294,126,234,359,159,279,434,144,245,386,112,194,304,128,184,313,314,300,611,179,51,229,112,21,134,107,135,247,249,26,280,207,155,365,21,75,100,2326,3690,6014
SSC40003,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SSC40004,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,0,4,5,0,5,3,0,3,0,0,0,0,0,0,5,0,5,0,0,0,4,0,4,0,0,0,0,0,0,3,0,3,0,0,0,23,7,31
SSC40005,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,3,3,3,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,0,0,0,10,4,22
SSC40006,3,10,9,0,3,3,3,14,21,0,36,32,13,59,74,9,19,22,30,15,49,26,20,49,43,8,54,37,19,61,32,3,34,36,7,37,79,11,92,34,0,40,21,0,18,14,3,19,11,0,10,50,3,52,10,16,22,450,252,705
SSC40007,3,4,9,0,0,0,7,13,19,7,38,43,14,70,80,13,23,39,48,30,73,37,31,65,44,31,80,26,20,49,28,15,40,50,8,59,68,6,72,47,0,50,22,0,22,19,4,20,17,0,18,41,4,47,4,9,11,490,318,812
SSC40008,0,9,9,5,3,10,4,11,16,3,13,18,13,30,36,21,11,28,34,15,51,38,20,57,68,18,82,56,11,68,43,11,58,45,14,57,104,10,109,114,0,114,75,0,78,64,9,67,169,0,169,106,3,107,7,5,14,966,178,1143
SSC40009,0,0,0,0,0,0,3,11,12,3,5,9,8,22,30,10,4,21,9,16,27,10,7,14,22,8,31,18,5,22,11,3,12,9,0,13,13,0,13,12,0,12,4,0,4,0,3,3,3,0,3,18,3,25,0,0,3,152,95,240
SSC40010,16,18,34,10,11,26,14,67,84,36,86,116,97,204,294,127,103,226,310,101,409,221,115,334,281,88,373,290,47,339,228,36,257,170,25,196,337,20,358,157,7,159,66,0,72,33,10,45,55,0,57,253,17,269,44,45,87,2727,1013,3740
SSC40011,0,0,0,0,0,0,0,4,3,0,3,3,3,10,12,0,0,3,3,3,10,0,0,0,3,0,5,8,0,8,0,0,0,4,0,4,4,0,4,0,0,0,0,0,0,0,0,0,4,0,4,0,0,0,0,0,0,41,17,57
SSC40012,0,9,11,0,3,3,4,17,21,5,10,14,14,29,46,14,18,26,35,23,61,28,22,46,42,29,70,41,13,51,44,14,58,35,10,49,70,13,90,53,0,53,30,0,30,20,0,20,32,0,34,44,5,48,8,6,13,517,216,725
SSC40013,3,0,3,0,0,0,0,3,5,0,3,5,3,12,10,3,3,12,7,4,12,4,3,9,10,3,12,12,0,9,5,0,5,8,0,11,17,0,17,11,0,11,7,0,7,3,0,3,7,0,7,12,0,12,0,3,3,121,32,148
SSC40014,0,0,0,0,0,0,0,3,3,0,0,0,0,0,0,0,0,0,5,0,4,3,0,3,0,0,3,4,0,4,3,0,3,4,0,4,4,0,4,3,0,3,4,0,4,0,0,0,0,0,0,10,0,10,0,0,0,41,7,46
SSC40015,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,8,0,8,0,0,0,0,0,3,0,0,0,3,0,3,4,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,3,23
SSC40016,0,0,0,0,0,0,0,0,0,0,0,0,0,5,5,0,0,3,0,0,0,3,0,4,3,0,6,3,0,3,3,0,3,4,0,4,6,0,6,3,0,3,3,0,3,3,0,3,0,0,0,0,0,0,0,0,0,32,12,44
SSC40017,0,0,0,0,0,0,3,0,4,0,0,0,5,0,3,3,0,7,3,0,3,9,0,10,3,0,8,9,4,15,3,0,0,3,4,5,8,4,8,0,0,0,0,0,0,0,0,0,0,0,0,16,0,16,6,0,3,68,19,81
SSC40018,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,4
SSC40019,0,0,3,3,0,7,0,4,11,4,3,5,3,9,14,3,0,5,9,0,9,8,0,6,7,0,7,6,3,4,3,0,3,7,0,7,4,0,5,0,0,0,0,0,0,0,0,0,0,0,0,8,0,8,0,3,3,66,33,98
SSC40020,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3
SSC40021,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3
SSC40022,0,0,0,0,0,0,0,3,3,0,3,3,3,3,7,0,0,0,3,0,3,8,0,8,3,8,9,0,4,4,0,0,0,0,3,3,3,7,11,4,0,4,0,0,0,0,0,0,0,0,0,3,0,3,3,3,3,29,34,67
SSC40023,0,4,3,0,3,3,0,8,7,0,20,20,3,24,23,4,3,7,4,3,6,4,0,4,5,3,11,6,3,6,3,0,4,4,0,9,8,0,11,7,0,7,3,0,3,0,0,3,3,4,4,8,0,7,3,8,8,65,83,150
SSC40024,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SSC40025,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,3,16
SSC40026,12,19,30,5,4,14,16,21,31,40,25,64,61,57,121,126,35,160,161,71,229,170,86,254,207,82,286,233,38,274,186,27,216,168,13,180,232,18,250,140,0,142,44,3,43,17,3,22,17,0,17,178,17,188,30,16,44,2027,545,2576
SSC40027,0,0,0,0,0,0,0,0,0,0,0,0,0,5,5,0,0,0,0,0,0,0,0,0,6,0,6,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,4,0,4,0,0,0,19,5,27
SSC40028,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,3,7,0,7,0,0,0,0,0,3,3,0,3,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,8,19
SSC40029,3,3,5,3,0,7,5,10,17,7,22,25,21,56,72,13,21,33,47,20,64,42,36,83,58,33,90,53,12,66,39,9,48,39,3,45,70,6,74,46,0,43,27,0,27,6,3,11,40,0,40,61,3,61,10,10,17,581,244,828
SSC40030,7,9,15,9,3,12,4,18,20,9,47,55,14,20,37,18,7,25,31,9,42,34,6,47,29,9,36,40,8,49,22,5,28,24,3,22,43,3,43,29,0,29,11,0,11,3,0,8,3,0,3,24,3,30,4,9,10,356,161,518
SSC40031,3,3,3,3,3,6,7,6,9,3,11,14,10,26,31,10,9,19,41,12,49,51,10,56,57,15,66,56,7,62,59,3,63,46,0,53,134,6,137,95,0,95,52,0,59,30,4,33,41,0,41,86,0,89,6,3,10,774,111,889
SSC40032,0,0,0,0,0,0,0,0,0,0,0,0,0,3,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,16
SSC40033,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3
SSC40034,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,8
SSC40035,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,7
SSC40036,0,0,0,0,0,0,0,0,0,0,0,0,0,5,5,0,0,0,3,0,3,0,0,0,0,0,0,4,0,4,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,5,0,0,0,22,9,36
SSC40037,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SSC40038,3,9,11,3,6,8,0,13,10,0,26,22,19,59,79,9,33,46,74,21,92,25,17,42,33,9,45,26,10,35,17,5,17,22,3,26,26,3,28,12,0,12,12,0,12,3,3,4,4,0,4,33,3,37,9,9,22,337,222,555
SSC40039,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,6
SSC40040,0,0,0,0,0,0,0,3,3,0,0,0,0,0,0,3,3,6,3,0,4,3,3,7,12,0,7,14,0,16,8,0,7,6,0,9,15,0,15,8,0,8,11,0,11,4,0,4,3,0,3,14,0,14,0,0,3,106,19,127
SSC40041,0,0,0,3,0,3,0,3,3,0,5,4,4,8,10,7,3,7,9,0,9,9,8,15,13,4,16,7,3,11,8,0,8,3,0,3,8,0,8,0,0,0,0,0,0,0,0,0,5,0,5,3,0,3,0,0,3,82,35,119
SSC40042,0,0,0,0,0,0,0,0,0,0,0,0,0,6,6,0,3,3,6,0,7,4,0,6,0,0,0,3,0,0,0,0,3,3,0,8,11,0,11,0,0,0,0,0,0,0,0,0,3,0,3,6,0,6,0,0,0,38,18,62
SSC40043,10,15,20,4,10,14,8,31,38,5,70,76,16,122,142,32,45,76,68,52,124,68,71,138,90,60,151,67,36,107,70,45,112,46,21,74,104,34,141,65,11,77,25,5,28,14,8,24,12,3,21,60,23,84,3,22,23,786,681,1470
SSC40044,0,0,0,0,0,0,0,3,3,0,0,0,0,0,0,4,0,3,4,0,6,0,3,9,6,4,7,4,0,4,8,3,7,13,0,9,8,0,8,7,0,7,7,0,7,3,3,7,0,0,0,12,0,12,3,3,8,73,23,95
SSC40045,4,9,12,3,0,4,0,3,4,0,17,17,3,21,23,4,22,27,12,22,29,17,24,40,36,17,50,22,7,26,21,18,40,20,8,32,24,8,30,20,4,21,13,0,9,6,3,9,11,0,11,24,8,29,4,4,9,249,192,441
SSC40046,0,0,0,0,0,0,0,0,0,0,0,0,0,3,4,0,0,4,7,0,7,4,6,13,12,0,12,12,3,9,10,0,10,14,0,14,17,3,14,10,0,10,14,0,14,4,0,8,19,0,19,16,0,17,3,0,5,147,23,173
SSC40047,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,3,9
SSC40048,13,8,21,17,8,18,12,29,43,15,55,74,50,135,180,56,73,131,159,72,222,170,63,229,179,47,223,199,44,243,178,35,212,171,28,200,377,37,417,297,0,293,201,0,203,100,9,111,183,3,187,257,16,272,25,19,46,2655,680,3338
SSC40049,13,0,13,5,3,8,11,21,35,11,20,30,24,30,53,22,11,37,45,12,61,53,23,71,50,11,64,49,9,60,49,9,62,42,3,43,49,5,51,27,0,25,13,0,13,4,3,8,5,3,3,41,6,47,9,3,8,512,184,698
SSC40050,0,0,4,4,3,10,0,8,8,3,8,12,3,22,27,14,11,23,17,7,27,9,8,17,16,17,35,16,3,18,9,5,18,12,0,14,26,3,26,12,0,15,9,0,9,3,0,4,4,0,4,17,0,17,4,4,9,182,96,275
SSC40051,0,0,3,0,0,0,0,3,3,0,3,3,4,5,11,9,9,11,6,0,7,3,0,3,16,0,13,8,0,8,8,3,12,6,0,5,18,0,25,24,0,24,10,0,10,19,0,19,34,0,34,19,0,19,0,0,0,184,22,208
SSC40052,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,3,9
SSC40053,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,3,0,0,3,3,0,3,3,0,3,3,0,4,0,0,0,4,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,3,0,3,30,10,41
SSC40054,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,4,0,4,0,0,4,0,0,0,0,0,0,12,0,12,8,0,8,0,0,0,0,0,0,0,0,0,4,0,4,0,0,0,27,5,35
SSC40055,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,7,0,7,4,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,22
SSC40056,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,5,5,3,0,9,10,0,10,6,0,6,4,0,4,5,0,5,3,0,4,0,0,0,3,0,3,0,0,0,0,0,0,0,0,0,7,0,7,0,0,0,50,12,62
SSC40057,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,5,0,3,4,0,0,3,4,0,4,0,0,3,0,0,0,3,0,3,0,0,0,3,0,3,5,0,5,3,0,3,0,0,0,0,0,0,29,11,37
SSC40058,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SSC40059,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,4
SSC40060,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SSC40061,7,0,10,0,3,4,3,18,17,5,37,43,29,91,117,23,33,53,55,20,78,27,34,60,70,24,88,52,16,61,30,3,34,43,0,41,59,4,67,30,0,35,17,0,17,14,0,16,18,0,18,50,3,54,11,12,24,538,296,840
SSC40062,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,4,9
SSC40063,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,4
SSC40064,3,0,3,0,0,3,0,0,0,0,0,0,3,4,5,0,0,0,3,0,3,0,0,5,0,3,0,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,22,17,39
SSC40065,0,3,3,0,4,10,3,0,4,3,15,17,3,19,22,6,16,24,25,13,40,31,19,47,35,10,45,29,8,36,37,9,45,31,3,32,59,5,67,41,0,41,25,0,25,13,4,18,43,0,43,48,6,51,3,3,8,455,127,580
SSC40066,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,6
SSC40067,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,3,3,0,3,0,0,0,3,0,3,4,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,12,27
SSC40068,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,3,0,3,0,0,0,13,0,15
SSC40069,0,7,9,6,3,6,3,14,15,0,11,11,17,39,57,18,25,45,62,31,98,69,25,96,101,21,116,68,12,83,72,11,77,80,6,84,148,14,163,99,0,99,52,0,54,21,0,25,34,0,34,79,3,85,9,5,15,943,236,1181
SSC40070,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,3,0,0,3,3,0,3,3,0,3,0,0,0,0,0,0,0,0,0,4,0,4,0,0,0,0,0,0,0,0,0,3,0,3,3,0,3,0,0,0,30,8,37
SSC40071,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,11
SSC40072,3,3,8,6,10,14,13,38,51,13,54,66,44,116,153,32,50,74,118,33,147,65,34,97,68,27,98,73,10,92,40,8,51,52,3,56,80,4,81,42,0,44,15,3,19,11,3,12,18,0,18,58,4,61,21,40,59,757,443,1199
SSC40073,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SSC40074,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SSC40075,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0,0,5,0,0,0,0,0,0,0,0,3,0,0,0,3,0,3,0,0,0,3,0,3,0,0,0,0,0,0,3,0,3,0,0,0,0,0,0,20,3,21
SSC40076,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,3,0,3,0,0,0,0,0,0,0,0,0,3,0,3,3,0,3,0,0,0,0,0,0,3,0,3,3,0,3,18,4,20
SSC40077,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,8
SSC40078,0,0,0,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,4,5,10,10,0,9,4,3,10,5,0,5,3,0,3,7,0,7,7,3,12,10,0,10,8,0,8,7,0,7,7,0,7,14,0,14,0,0,0,85,21,106
SSC40079,0,0,0,0,0,0,0,0,0,0,3,3,0,3,3,0,0,3,0,0,0,3,0,3,4,0,4,0,0,0,0,0,0,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,0,3,15,8,25
SSC40080,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,4,17
SSC40081,3,0,3,10,4,9,0,4,4,0,4,9,5,13,15,4,13,18,16,9,28,20,3,22,9,4,15,18,3,21,6,0,9,3,0,5,15,6,20,8,0,8,8,0,8,4,0,6,4,0,4,20,3,27,3,3,5,166,63,232
SSC40082,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
SSC40083,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,3,3,3,0,6,0,0,0,0,0,0,0,0,0,4,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,9,28
SSC40084,6,3,11,3,8,6,0,3,9,0,4,11,8,16,28,10,16,25,23,20,46,17,22,41,38,16,53,35,14,49,27,10,42,34,18,51,65,14,81,66,0,66,54,0,55,58,11,72,184,0,184,78,3,82,5,5,12,715,193,911
SSC40085,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SSC40086,0,28,30,0,12,10,4,22,24,4,12,15,9,32,42,21,31,47,28,17,43,20,12,30,35,31,68,23,13,37,21,9,28,13,10,27,35,12,45,15,5,20,17,0,20,4,0,4,8,3,13,24,18,40,3,0,4,289,255,547
SSC40087,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0,0,0,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,0,0,0,3,0,3,0,0,0,3,0,3,0,0,0,22,7,26
SSC40088,6,9,18,3,3,6,0,23,19,0,11,16,15,53,64,7,50,60,63,23,89,46,33,79,73,28,98,90,28,112,80,17,97,74,16,89,158,15,174,120,3,120,94,0,94,81,9,86,184,3,188,131,9,143,9,13,16,1243,335,1574
SSC40089,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,3,0,3,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,0,17
SSC40090,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,3,4,3,8,0,0,0,0,0,3,7,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,4,0,0,0,0,0,0,21,7,29
SSC40091,8,9,10,3,0,5,3,8,15,0,14,19,19,39,54,18,36,56,46,25,69,63,18,83,66,34,99,61,13,77,25,17,41,57,6,66,87,3,92,74,0,79,40,0,40,40,4,44,49,0,49,71,5,76,16,11,23,745,252,1002
SSC40092,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,5,0,0,0,8,4,9
SSC40093,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
SSC40094,0,3,3,0,0,0,0,0,0,0,0,0,0,0,5,0,3,3,0,0,0,0,0,0,0,3,3,8,0,8,0,0,0,3,0,3,8,0,6,5,0,5,3,0,3,0,0,0,0,0,0,0,0,3,0,0,0,30,16,46
SSC40095,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3
SSC40096,4,7,16,10,9,20,9,39,48,18,90,110,56,139,199,50,58,105,136,62,194,93,61,149,117,50,164,77,25,97,63,18,86,54,15,67,103,22,130,58,7,62,22,3,27,11,11,28,27,0,32,84,5,92,32,38,70,1027,650,1679
SSC40097,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0,0,0,0,0,0,3,0,3,0,3,3,5,0,3,0,0,0,5,0,5,4,0,4,3,0,3,0,0,0,0,0,0,3,0,3,10,0,10,0,0,0,38,14,51
SSC40098,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,3,0,0,4,3,3,7,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,18,10,23
SSC40099,3,8,8,0,4,6,5,19,23,0,12,12,9,38,39,7,15,23,23,19,40,17,20,33,21,29,56,20,13,32,21,18,44,18,9,32,59,16,69,35,0,35,32,6,37,16,12,23,70,0,68,32,12,43,4,10,13,382,239,625
SSC40100,3,3,8,3,8,14,7,7,17,0,21,21,11,36,49,21,16,36,29,14,50,21,23,49,27,21,51,41,12,50,19,5,28,21,5,27,57,12,68,34,3,36,15,0,14,10,3,12,8,0,7,36,10,43,0,8,8,364,224,589
SSC40101,0,0,0,0,0,0,0,0,0,0,0,3,3,0,3,0,0,3,7,3,7,5,0,4,4,0,8,3,3,4,3,0,3,3,0,6,12,0,8,6,0,6,5,0,5,3,0,3,3,0,3,8,0,10,0,0,0,69,12,84
SSC40102,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SSC40103,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,3,5,0,4,0,0,0,0,0,0,0,0,3,5,0,5,0,0,0,0,0,0,3,0,3,5,0,5,0,0,0,20,8,27
