SSC_CODE_2016,P_85y_ov_DNUDW,P_85y_ov_UDW_NS,P_85y_ov_Total,P_Tot_DUDW_LT_5_h,P_Tot_DUDW_5_14_h,P_Tot_DUDW_15_29_h,P_Tot_DUDW_30_h_mo,P_Tot_DNUDW,P_Tot_UDW_NS,P_Tot_Total
SSC41017,9,3,17,185,251,144,111,186,100,970
SSC41018,0,0,0,3,4,0,3,0,3,15
SSC41019,0,0,0,8,8,11,7,3,6,39
SSC41020,33,9,88,927,1044,516,393,937,201,4016
SSC41021,0,0,0,13,9,7,3,4,0,40
SSC41022,0,0,0,0,0,0,0,0,0,0
SSC41023,0,0,4,38,49,26,20,28,8,169
SSC41024,0,0,0,15,7,0,9,7,4,39
SSC41025,0,0,3,51,54,14,7,39,19,187
SSC41026,13,4,37,651,868,377,299,653,241,3086
SSC41027,0,0,0,11,11,3,8,4,3,36
SSC41028,6,10,39,236,357,265,199,233,128,1416
SSC41029,142,33,247,1856,1605,559,274,1481,701,6476
SSC41030,4,0,7,64,127,79,45,89,39,444
SSC41031,0,0,0,4,7,0,0,0,6,23
SSC41032,28,17,88,368,515,260,158,467,138,1905
SSC41033,0,0,0,0,0,0,0,0,3,6
SSC41034,51,21,121,1117,1390,638,429,1005,288,4861
SSC41035,60,6,74,66,95,62,50,175,59,497
SSC41036,97,187,359,640,712,260,171,602,426,2806
SSC41037,0,3,6,51,87,35,30,66,31,310
SSC41038,0,0,0,0,0,0,0,3,0,13
SSC41039,0,0,0,5,0,0,0,3,4,14
SSC41040,0,0,13,53,68,38,23,36,22,238
SSC41041,32,21,82,573,752,349,260,854,1103,3894
SSC41042,73,3,95,1297,1466,498,364,1111,219,4957
SSC41043,0,0,4,75,122,68,56,69,30,418
SSC41044,40,31,131,1466,1595,557,319,838,471,5241
SSC41045,0,0,0,3,0,0,0,0,0,4
SSC41046,23,8,65,493,569,268,174,519,118,2143
SSC41047,0,0,0,12,3,6,0,15,12,50
SSC41048,0,0,0,11,8,4,0,3,0,22
SSC41049,107,27,222,1033,1481,798,642,906,326,5184
SSC41050,0,0,0,7,6,3,4,0,0,28
SSC41051,0,0,0,6,8,0,0,3,4,29
SSC41052,13,0,20,489,676,304,218,373,112,2170
SSC41053,15,0,18,296,446,202,159,342,137,1580
SSC41054,4,0,7,177,218,101,56,109,53,711
SSC41055,41,13,88,716,795,352,280,688,255,3084
SSC41056,0,0,0,0,0,0,0,0,0,3
SSC41057,212,29,300,768,855,349,204,977,243,3382
SSC41058,4,3,7,67,94,58,44,62,14,335
SSC41059,0,0,0,0,0,3,0,0,0,4
SSC41060,0,0,0,3,0,0,0,3,3,11
SSC41061,4,3,18,256,330,148,118,216,73,1147
SSC41062,47,46,135,633,824,362,257,554,167,2796
SSC41063,0,0,0,0,0,0,0,0,0,3
SSC41064,0,0,0,0,0,0,0,0,3,6
SSC41065,5,3,17,211,259,135,99,141,64,906
SSC41066,0,3,13,512,601,344,219,319,97,2092
SSC41067,0,0,0,0,0,0,0,3,3,3
SSC41068,0,0,3,31,27,8,11,48,42,160
SSC41069,21,8,38,85,114,69,68,111,54,507
SSC41070,16,10,35,287,404,205,157,433,151,1639
SSC41071,24,6,52,441,474,192,150,629,180,2065
SSC41072,0,0,0,0,5,0,0,3,0,12
SSC41073,0,0,0,3,13,4,13,7,5,42
SSC41074,0,0,12,132,184,60,33,121,47,582
SSC41075,3,0,6,61,112,62,54,75,42,413
SSC41076,0,0,3,45,65,34,32,39,33,250
SSC41077,0,0,0,41,43,27,28,21,21,174
SSC41078,0,0,0,36,30,24,21,14,11,141
SSC41079,0,0,0,10,22,4,13,13,9,64
SSC41080,0,0,0,0,0,0,4,0,0,3
SSC41081,0,0,0,12,19,9,12,11,4,58
SSC41082,0,0,3,24,41,22,15,39,17,157
SSC41083,0,0,0,0,0,0,0,3,0,10
SSC41084,26,15,79,409,570,283,203,317,144,1929
SSC41085,35,17,104,1059,1386,681,536,1226,371,5248
SSC41086,42,9,64,531,668,282,234,721,172,2598
SSC41087,21,5,47,466,629,324,210,650,132,2400
SSC41088,0,0,0,7,6,0,0,0,0,16
SSC41089,3,0,3,64,106,59,52,52,13,344
SSC41090,191,24,275,1281,1527,715,497,1409,315,5747
SSC41091,0,0,0,24,5,0,0,67,0,105
SSC41092,134,23,208,2768,3124,1493,1228,3996,849,13462
SSC41093,37,10,65,2730,3400,1368,1096,3486,742,12821
SSC41094,0,0,0,0,0,0,3,0,0,5
SSC41095,0,0,0,0,0,0,0,0,0,0
SSC41096,0,0,0,7,16,21,6,11,9,67
SSC41097,0,0,4,18,39,24,28,37,27,174
SSC41098,0,0,3,41,46,23,13,23,17,167
SSC41099,3,4,15,168,228,118,99,196,112,917
SSC41100,0,0,0,20,59,17,27,18,16,157
SSC41101,46,26,112,611,651,259,174,603,196,2481
SSC41102,89,14,159,1105,1322,461,239,637,271,4030
SSC41103,0,0,0,0,0,0,0,0,0,3
SSC41104,0,3,9,35,32,19,10,11,19,122
SSC41105,0,0,0,12,25,12,9,18,13,89
SSC41106,0,0,0,3,20,6,3,3,6,38
SSC41107,69,27,216,511,746,328,244,564,200,2592
SSC41108,0,0,3,34,26,26,19,25,22,147
SSC41109,0,0,0,13,6,10,8,5,14,54
SSC41110,32,11,101,498,597,236,130,436,106,2000
SSC41111,47,3,66,356,380,156,103,352,69,1409
SSC41112,0,0,0,24,16,10,19,19,8,90
SSC41113,0,0,0,8,5,3,10,3,8,45
SSC41114,0,0,0,3,3,3,0,17,0,30
SSC41115,0,0,0,4,3,0,3,3,0,15
SSC41116,0,0,3,13,9,13,13,7,12,63
SSC41117,0,0,0,4,18,9,4,12,3,57
SSC41118,0,0,0,15,23,9,6,24,0,76
SSC41119,0,0,0,0,0,0,0,0,0,3
SSC41120,8,0,19,135,169,73,78,199,36,681
SSC41121,0,0,4,37,50,38,30,100,21,275
SSC41122,0,0,4,40,67,34,29,29,27,230
SSC41123,134,16,175,621,648,284,247,983,256,3045
SSC41124,33,11,63,256,371,161,147,253,122,1306
SSC41125,0,0,0,45,51,26,23,54,34,233
SSC41126,0,0,3,80,117,55,39,49,23,355
SSC41127,0,0,0,15,39,17,15,6,21,113
SSC41128,0,0,0,4,14,5,4,4,0,42
SSC41129,0,0,0,18,16,4,9,6,0,45
SSC41130,16,14,53,171,295,159,163,327,178,1286
SSC41131,7,0,25,200,263,101,88,211,47,907
SSC41132,0,0,0,9,19,7,6,14,5,58
SSC41133,0,0,0,3,15,0,4,9,0,29
SSC41134,0,0,0,3,13,5,0,0,3,26
SSC41135,0,0,0,10,20,8,9,0,5,54
SSC41136,0,0,0,23,15,13,9,6,8,78
SSC41137,0,0,8,87,95,34,21,33,25,296
SSC41138,0,0,0,8,5,3,0,3,0,16
SSC41139,0,0,0,12,13,6,3,5,4,42
SSC41140,0,0,0,3,9,3,3,19,0,36
SSC41141,0,0,0,3,0,0,3,3,0,14
SSC41142,0,0,0,0,0,0,0,0,0,0
SSC41143,0,0,0,15,22,0,10,8,8,57
SSC41144,0,3,3,13,13,4,13,24,8,76
SSC41145,0,0,5,19,19,14,11,12,7,83
SSC41146,0,0,0,7,7,3,5,7,0,34
SSC41147,0,0,0,12,19,9,6,13,3,55
SSC41148,0,0,3,17,12,14,6,17,3,66
SSC41149,18,7,29,101,159,67,65,131,77,591
SSC41150,0,0,0,63,15,21,5,7,29,145
SSC41151,0,0,0,10,9,8,5,5,0,36
SSC41152,0,0,0,11,10,3,3,0,4,29
SSC41153,40,10,96,1024,1075,463,308,947,245,4056
SSC41154,42,15,103,684,794,291,219,592,152,2729
SSC41155,0,0,0,0,12,7,0,0,0,19
SSC41156,0,0,0,6,0,4,0,6,8,20
SSC41157,0,0,0,10,23,16,10,8,14,88
SSC41158,0,0,0,20,13,9,8,14,8,65
SSC41159,0,0,0,0,7,3,3,5,3,25
SSC41160,0,0,0,9,11,15,3,11,4,52
SSC41161,3,7,11,39,74,44,42,79,21,296
SSC41162,0,0,0,0,0,0,3,0,0,3
SSC41163,0,0,0,7,6,3,6,3,0,31
SSC41164,0,0,0,4,4,5,4,11,7,31
SSC41165,0,0,0,6,18,8,7,5,0,50
SSC41166,0,0,0,11,16,12,3,8,16,63
SSC41167,0,0,0,12,9,9,10,5,0,44
SSC41168,0,0,0,20,22,3,0,4,6,53
SSC41169,0,0,0,3,0,5,0,0,0,7
SSC41170,0,0,0,26,36,22,16,12,40,145
SSC41171,38,30,124,1210,1441,697,541,1621,454,5975
SSC41172,0,0,0,0,8,0,0,0,0,8
SSC41173,3,8,16,235,284,104,66,261,119,1078
SSC41174,0,0,0,0,3,0,0,0,0,3
SSC41175,86,28,162,862,1258,624,518,1378,702,5334
SSC41176,30,7,54,580,766,353,383,765,360,3205
SSC41177,0,0,0,3,6,0,3,0,0,14
SSC41178,42,19,81,151,252,184,128,248,129,1081
SSC41179,0,0,0,0,4,0,0,0,0,7
SSC41180,80,11,130,297,515,309,211,360,159,1842
SSC41181,0,0,0,14,22,9,5,17,0,67
SSC41182,3,3,5,41,82,40,53,86,47,346
SSC41183,0,0,0,0,0,3,3,3,4,16
SSC41184,0,0,8,84,143,77,53,87,39,488
SSC41185,0,0,0,8,17,6,5,10,3,45
SSC41186,0,0,0,7,13,9,3,19,3,56
SSC41187,179,40,390,2299,3041,1450,1170,2339,1086,11389
SSC41188,0,11,23,108,186,89,97,137,103,718
SSC41189,0,6,4,33,52,14,33,46,20,199
SSC41190,0,0,0,5,22,17,14,5,0,59
SSC41191,0,0,4,34,45,25,24,33,16,178
SSC41192,18,68,123,490,738,303,181,436,304,2443
SSC41193,8,3,34,487,681,318,217,402,150,2253
SSC41194,0,0,0,11,11,8,10,16,9,56
SSC41195,53,9,58,22,17,7,6,106,22,185
SSC41196,30,15,84,545,812,442,389,719,277,3188
SSC41197,29,11,66,373,465,270,241,607,232,2179
SSC41198,0,0,0,7,13,7,8,11,5,45
SSC41199,5,3,14,37,73,55,39,69,41,317
SSC41200,9,3,25,72,117,88,72,96,36,476
SSC41201,0,3,10,98,106,47,57,164,37,520
SSC41202,10,5,19,295,411,185,142,196,133,1362
SSC41203,0,0,0,0,3,0,0,0,0,7
SSC41204,0,0,0,23,48,17,24,45,14,170
SSC41205,0,0,0,0,0,0,0,0,0,5
SSC41206,169,36,310,2749,3260,1282,759,2284,691,11023
SSC41207,4,0,3,33,34,23,15,11,20,135
SSC41208,0,3,4,52,128,110,14,26,39,365
SSC41209,0,0,0,0,3,0,0,0,0,7
SSC41210,0,0,0,9,8,0,3,11,0,39
SSC41211,0,0,0,7,9,3,3,5,5,28
SSC41212,0,0,0,0,0,0,0,0,0,0
SSC41213,0,0,0,9,13,6,6,4,3,35
SSC41214,0,0,7,15,32,27,14,21,12,120
SSC41215,0,0,0,5,11,3,3,8,0,26
SSC41216,0,0,3,11,7,10,5,5,5,54
SSC41217,0,0,0,7,13,8,11,14,3,55
SSC41218,25,8,63,309,430,199,120,397,171,1623
SSC41219,0,0,0,0,3,0,0,3,3,15
SSC41220,11,8,34,169,261,135,135,239,103,1051
SSC41221,0,0,0,7,7,4,4,12,0,31
SSC41222,0,0,0,46,43,19,15,25,13,145
SSC41223,0,0,0,22,24,22,15,18,8,108
SSC41224,0,0,0,14,21,6,9,8,12,64
SSC41225,0,0,0,0,6,0,0,3,4,18
SSC41226,0,0,0,24,28,5,15,12,11,105
SSC41227,0,0,0,26,36,17,20,42,10,156
SSC41228,3,0,3,24,29,12,24,24,9,120
SSC41229,13,12,48,1019,1353,617,422,800,208,4416
SSC41230,0,0,0,21,15,13,10,4,3,72
SSC41231,0,0,3,17,39,15,11,25,12,116
SSC41232,24,0,24,16,0,0,0,105,10,134
SSC41233,0,0,0,72,94,43,34,46,12,310
SSC41234,0,0,3,38,39,21,27,26,4,154
SSC41235,105,41,213,718,864,440,349,1032,462,3870
SSC41236,3,0,9,90,138,76,54,121,46,516
SSC41237,0,0,3,56,90,40,29,43,30,295
SSC41238,3,0,10,226,301,144,107,163,118,1068
SSC41239,8,4,34,292,353,150,112,416,136,1459
SSC41240,22,20,74,889,1150,508,392,764,210,3902
SSC41241,28,9,64,376,474,239,169,339,76,1674
SSC41242,0,0,3,11,26,23,20,29,4,118
SSC41243,27,11,92,692,779,278,198,674,193,2811
SSC41244,98,21,186,659,978,479,284,760,191,3361
SSC41245,4,3,14,260,246,96,61,248,66,970
SSC41246,95,19,154,513,745,368,383,892,281,3181
SSC41247,19,11,39,320,443,277,212,409,115,1776
SSC41248,3,0,16,138,194,97,82,110,50,670
SSC41249,0,0,0,4,3,0,3,8,0,19
SSC41250,32,6,59,153,233,125,101,200,76,885
SSC41251,13,10,40,185,260,139,95,165,110,949
SSC41252,0,0,3,48,40,27,32,51,20,216
SSC41253,0,0,0,3,0,0,0,0,3,8
SSC41254,0,0,6,37,73,29,28,31,17,217
SSC41255,0,0,0,26,31,23,14,16,6,117
SSC41256,0,0,0,22,13,15,11,35,5,105
SSC41257,0,0,0,0,0,3,0,7,0,12
SSC41258,0,0,0,0,0,0,0,0,0,0
SSC41259,0,6,6,0,9,7,0,0,7,30
SSC41260,7,3,19,298,349,155,79,204,55,1145
SSC41261,0,3,3,34,44,24,10,21,13,147
SSC41262,0,0,0,27,36,13,8,25,16,124
SSC41263,26,10,66,613,687,317,231,679,233,2758
SSC41264,4,0,8,185,216,98,101,137,35,770
SSC41265,14,4,57,317,332,180,102,246,81,1255
SSC41266,145,35,286,1439,1811,888,613,1361,301,6418
SSC41267,0,0,0,26,29,23,12,23,29,138
SSC41268,0,0,3,595,824,325,271,505,341,2864
SSC41269,46,5,83,556,619,258,193,647,214,2501
SSC41270,4,0,17,256,298,154,73,159,40,984
SSC41271,0,0,0,18,9,8,9,12,18,77
SSC41272,0,0,0,6,4,0,0,3,31,50
SSC41273,6,0,12,57,103,60,57,72,51,397
SSC41274,0,0,0,0,5,0,0,4,0,4
SSC41275,156,30,257,1279,1541,714,616,2020,597,6758
SSC41276,43,10,83,950,1087,527,466,1411,354,4796
SSC41277,127,37,261,1484,1884,897,744,1873,495,7379
SSC41278,24,6,50,930,1251,588,391,812,186,4157
SSC41279,71,21,128,1499,1791,767,720,2331,686,7787
SSC41280,3,6,23,362,491,248,147,427,141,1815
SSC41281,12,7,30,192,277,102,83,260,91,997
SSC41282,39,10,50,0,0,0,0,83,13,99
SSC41283,0,0,0,5,5,4,4,12,3,26
SSC41284,0,0,0,14,14,12,7,0,0,51
SSC41285,0,0,0,0,0,4,3,3,0,10
SSC41286,0,0,0,20,28,17,20,13,6,102
SSC41287,0,0,0,4,12,6,3,5,8,47
SSC41288,0,0,0,15,13,15,8,9,7,68
SSC41289,0,0,0,9,12,13,12,7,14,66
SSC41290,0,0,0,13,18,11,11,8,3,68
SSC41291,0,0,0,3,6,6,0,8,0,26
SSC41292,0,0,0,41,74,39,20,25,14,219
SSC41293,3,0,5,14,12,9,16,27,14,88
SSC41294,0,0,0,3,11,3,3,3,7,33
SSC41295,0,0,0,6,12,9,10,8,0,40
SSC41296,0,0,0,0,3,0,3,0,0,8
SSC41297,0,0,0,34,49,20,27,24,6,167
SSC41298,14,6,46,434,561,224,127,207,110,1659
SSC41299,16,3,60,464,615,307,194,356,116,2056
SSC41300,26,15,73,599,661,281,213,580,193,2527
SSC41301,7,0,30,269,340,213,105,231,64,1223
SSC41302,113,24,196,714,1017,473,373,762,297,3636
SSC41303,0,0,0,16,25,0,4,4,3,49
SSC41304,7,0,12,685,848,320,274,532,166,2820
SSC41305,50,23,115,1051,1382,617,456,918,311,4731
SSC41306,0,0,0,0,0,0,0,0,0,3
SSC41307,238,58,422,1851,2202,970,714,2363,658,8765
SSC41308,20,5,53,500,660,326,213,335,101,2131
SSC41309,0,0,0,14,8,16,5,8,3,47
SSC41310,0,0,0,35,32,24,24,24,5,146
SSC41311,0,0,4,32,43,20,27,31,24,174
SSC41312,0,0,0,10,17,16,7,8,8,75
SSC41313,13,11,40,236,287,124,83,212,41,983
SSC41314,10,0,22,444,590,315,218,337,179,2083
SSC41315,0,0,0,66,74,48,35,32,16,271
SSC41316,44,17,72,552,684,258,177,561,177,2405
SSC41317,94,27,175,705,965,452,308,940,272,3646
SSC41318,17,3,28,203,252,123,56,144,50,838
SSC41319,0,0,0,25,20,19,8,5,11,85
SSC41320,0,0,0,19,36,21,14,13,10,108
SSC41321,0,0,0,20,35,17,6,18,6,97
SSC41322,0,0,0,0,0,0,0,7,0,18
SSC41323,0,0,0,29,29,18,10,18,9,113
SSC41324,0,0,0,13,3,12,3,3,0,27
SSC41325,9,7,29,1316,1661,670,458,854,185,5147
SSC41326,0,0,0,8,3,3,3,3,5,25
SSC41327,0,0,0,10,22,3,11,4,0,57
SSC41328,0,0,0,18,19,7,3,9,13,72
SSC41329,0,0,0,0,0,0,4,0,0,11
SSC41330,0,0,0,8,6,4,4,7,3,27
SSC41331,3,0,8,55,66,39,20,37,24,243
SSC41332,0,0,0,13,9,3,6,0,4,43
SSC41333,28,28,61,320,404,209,160,586,215,1905
SSC41334,3,9,14,350,454,196,237,603,263,2102
SSC41335,0,0,4,46,49,35,25,46,47,247
SSC41336,9,3,17,59,88,55,57,100,33,382
SSC41337,0,0,0,10,12,10,4,4,0,40
SSC41338,6,3,19,112,200,81,104,316,132,945
SSC41339,138,53,320,1233,1347,573,368,905,335,4758
SSC41340,78,21,126,475,629,273,165,438,144,2125
SSC41341,0,0,0,8,3,6,9,6,0,32
SSC41342,0,0,0,8,15,0,13,9,3,46
SSC41343,55,30,149,864,1066,380,239,758,209,3513
SSC41344,4,0,7,46,54,31,42,43,17,229
SSC41345,4,0,6,46,48,36,44,42,19,234
SSC41346,0,0,0,0,0,0,0,0,0,3
SSC41347,0,0,0,6,10,6,0,9,0,40
SSC41348,0,0,0,13,28,20,8,7,7,84
SSC41349,0,0,0,9,17,8,5,3,0,47
SSC41350,7,3,21,129,101,52,42,96,27,456
SSC41351,0,0,4,99,153,80,81,70,63,548
SSC41352,0,0,0,3,5,10,0,5,0,27
SSC41353,144,12,182,803,974,455,347,748,156,3490
SSC41354,0,0,3,422,447,138,84,275,80,1442
SSC41355,13,0,37,290,392,195,122,248,51,1304
SSC41356,0,0,0,3,7,3,5,0,0,18
SSC41357,0,0,0,0,3,0,0,0,0,10
SSC41358,0,0,0,10,16,13,4,23,3,68
SSC41359,0,0,0,5,12,4,5,3,3,30
SSC41360,19,14,54,506,627,289,182,504,151,2258
SSC41361,15,5,45,267,375,155,121,264,57,1235
SSC41362,31,3,61,702,856,338,230,426,132,2677
SSC41363,0,0,0,3,12,3,9,3,7,25
SSC41364,0,0,0,49,102,48,45,44,30,323
SSC41365,39,4,54,71,153,92,68,141,50,587
SSC41366,0,0,0,8,6,5,3,4,0,25
SSC41367,0,0,0,3,3,3,0,8,0,15
SSC41368,0,0,0,0,0,0,0,0,0,0
SSC41369,13,5,24,216,247,73,47,108,55,750
SSC41370,0,0,0,11,21,5,6,6,4,50
SSC41371,20,9,82,518,796,413,257,247,129,2365
SSC41372,4,9,19,299,500,232,205,287,672,2193
SSC41373,3,0,9,52,54,27,29,41,22,230
SSC41374,0,0,0,57,107,63,41,45,14,326
SSC41375,0,0,0,3,0,7,0,3,0,16
SSC41376,0,0,0,0,3,3,3,0,0,10
SSC41377,0,0,0,11,9,3,3,3,4,44
SSC41378,0,0,0,3,9,3,0,10,4,21
SSC41379,0,0,0,10,27,15,11,17,8,85
SSC41380,6,0,20,276,312,138,99,126,35,982
SSC41381,0,0,0,0,3,0,0,0,0,6
SSC41382,66,62,201,1027,1477,783,714,819,479,5300
SSC41383,13,15,52,192,291,168,133,179,153,1116
SSC41384,0,0,0,7,11,5,3,3,3,37
SSC41385,0,0,0,0,8,7,0,3,0,14
SSC41386,0,0,0,0,0,0,0,0,0,0
SSC41387,0,0,0,0,0,0,0,0,0,0
SSC41388,32,17,75,496,595,233,169,528,178,2190
SSC41389,0,0,0,0,9,8,0,6,0,25
SSC41390,4,0,6,142,164,100,54,46,30,544
SSC41391,3,4,8,50,79,40,39,71,46,319
SSC41392,0,0,0,8,9,3,4,4,3,30
SSC41393,0,0,0,3,9,5,5,7,3,36
SSC41394,0,0,0,20,19,12,6,8,6,76
SSC41395,0,0,0,5,13,3,6,4,0,33
SSC41396,8,4,31,660,825,348,252,476,114,2672
SSC41397,0,0,0,10,10,3,4,5,4,34
SSC41398,0,3,3,98,157,81,55,59,19,466
SSC41399,0,0,5,49,66,27,23,75,25,264
SSC41400,0,0,0,24,24,30,12,22,6,119
SSC41401,0,0,0,5,3,4,3,3,0,14
SSC41402,21,8,37,226,379,204,164,315,125,1412
SSC41403,0,0,0,3,4,3,3,6,4,22
SSC41404,0,0,0,3,0,0,4,0,0,8
SSC41405,0,0,3,69,110,65,47,72,41,410
SSC41406,125,41,232,794,1081,562,424,665,300,3830
SSC41407,20,0,46,479,586,293,239,705,208,2506
SSC41408,0,0,0,7,5,9,4,0,4,32
SSC41409,0,0,0,7,10,0,3,11,11,37
SSC41410,0,0,0,0,0,0,0,0,0,0
SSC41411,0,0,0,7,9,9,8,4,3,44
SSC41412,0,0,3,37,54,38,30,40,24,227
SSC41413,0,0,0,0,6,3,3,8,3,24
SSC41414,0,0,3,57,96,48,44,90,23,354
SSC41415,3,0,4,36,55,24,19,35,9,174
SSC41416,0,0,0,0,0,0,5,0,0,4
SSC41417,0,0,0,54,50,39,30,31,30,239
SSC41418,26,7,59,641,840,362,263,500,128,2736
SSC41419,0,0,0,0,0,0,0,0,0,3
SSC41420,0,0,0,6,32,8,11,11,3,80
SSC41421,0,0,0,26,31,7,11,16,3,101
SSC41422,3,6,24,258,303,132,71,191,98,1043
SSC41423,0,0,0,3,7,3,6,0,4,16
SSC41424,6,0,4,145,203,101,76,111,38,677
SSC41425,0,0,3,14,19,19,11,27,23,120
SSC41426,0,0,0,4,3,5,0,3,0,17
SSC41427,0,0,0,14,29,17,13,21,11,98
SSC41428,0,0,0,28,43,21,15,19,8,131
SSC41429,12,4,33,319,360,119,71,302,91,1264
SSC41430,0,6,13,98,130,56,37,74,75,469
SSC41431,0,0,0,12,11,3,0,0,0,31
SSC41432,0,0,3,37,47,23,24,27,21,179
SSC41433,3,0,3,30,45,24,17,38,9,152
SSC41434,0,0,0,4,14,4,4,5,3,35
SSC41435,0,0,0,6,4,0,0,0,6,16
SSC41436,0,0,0,39,71,39,22,22,17,211
SSC41437,0,0,3,29,48,29,20,31,17,175
SSC41438,3,6,9,28,46,33,20,24,21,173
SSC41439,0,0,0,4,7,4,5,0,0,21
SSC41440,4,4,18,85,113,54,53,72,29,409
SSC41441,0,0,0,0,7,3,0,8,0,21
SSC41442,0,0,0,3,5,4,3,3,0,18
SSC41443,0,0,0,40,68,18,29,28,27,204
SSC41444,0,0,0,7,12,4,5,3,3,29
SSC41445,38,10,81,560,642,293,206,387,88,2177
SSC41446,0,0,0,7,4,3,0,0,3,19
SSC41447,0,0,0,0,0,0,0,0,0,0
SSC41448,22,11,80,576,698,283,160,312,139,2168
SSC41449,0,0,0,15,18,11,3,5,3,61
SSC41450,22,9,68,915,953,383,238,795,204,3487
SSC41451,0,0,0,7,0,0,3,3,0,18
SSC41452,0,0,0,3,4,0,3,3,3,17
SSC41453,0,0,0,16,32,8,15,8,3,86
SSC41454,0,0,0,3,5,4,3,8,3,27
SSC41455,34,17,106,791,879,408,267,607,160,3106
SSC41456,8,3,20,246,332,131,87,173,54,1023
SSC41457,88,3,107,626,717,329,238,535,108,2546
SSC41458,0,0,3,100,121,69,62,64,30,443
SSC41459,0,0,3,18,33,13,11,15,15,103
SSC41460,33,33,83,229,370,204,178,278,145,1406
SSC41461,0,0,3,51,78,45,28,27,38,256
SSC41462,0,0,0,0,3,5,0,5,4,16
SSC41463,6,7,29,297,371,198,97,199,31,1196
SSC41464,10,13,31,383,529,279,221,436,191,2031
SSC41465,0,0,0,3,0,3,0,0,0,6
SSC41466,0,0,0,0,3,0,0,0,0,6
SSC41467,0,0,0,0,0,0,0,0,0,0
SSC41468,0,0,0,73,68,41,26,38,11,267
SSC41469,0,0,0,0,0,0,0,0,0,0
SSC41470,0,0,0,3,9,8,0,0,0,22
SSC41471,0,0,0,3,9,0,3,3,3,24
SSC41472,15,8,50,455,558,205,144,483,105,1949
SSC41473,0,0,0,19,30,12,22,15,10,110
SSC41474,27,3,64,976,1048,410,213,595,165,3410
SSC41475,12,3,35,319,347,169,102,159,80,1185
SSC41476,0,0,0,0,0,0,0,0,0,0
SSC41477,0,0,0,50,60,34,40,37,18,233
SSC41478,6,3,9,181,268,119,73,95,31,771
SSC41479,18,3,25,98,144,72,48,77,28,462
SSC41480,0,0,3,10,9,7,5,4,9,41
SSC41481,11,3,23,201,263,113,85,132,30,820
SSC41482,0,0,0,3,4,0,0,3,0,9
SSC41483,30,12,87,462,573,249,151,333,126,1888
SSC41484,65,16,110,1085,1395,645,545,1084,295,5048
SSC41485,0,0,0,4,3,3,0,0,0,14
SSC41486,4,0,4,3,5,16,8,20,0,55
SSC41487,0,0,0,34,56,29,9,27,9,171
SSC41488,0,0,0,19,17,14,8,3,0,58
SSC41489,101,85,330,629,964,568,428,757,368,3704
SSC41490,0,0,4,26,17,11,6,11,8,76
SSC41491,4,0,13,311,343,138,122,389,130,1427
SSC41492,3,3,8,180,272,132,84,121,43,830
SSC41493,0,0,0,16,21,9,3,10,5,57
SSC41494,0,0,0,3,12,0,3,0,0,15
SSC41495,64,17,135,389,573,324,231,530,205,2244
SSC41496,0,0,4,36,74,56,36,40,31,269
SSC41497,0,0,5,15,39,17,11,14,8,93
SSC41498,122,15,181,548,596,289,173,541,153,2306
SSC41499,76,16,124,569,746,376,244,673,141,2747
SSC41500,0,0,0,10,18,12,3,6,5,51
SSC41501,0,0,0,3,0,3,3,0,0,8
SSC41502,23,70,116,482,724,396,409,612,374,2999
SSC41503,4,0,6,57,88,39,53,67,43,349
SSC41504,0,0,0,12,0,12,6,5,0,31
SSC41505,0,0,0,0,0,0,0,0,0,0
SSC41506,0,0,0,0,3,0,0,0,0,6
SSC41507,0,0,0,3,5,3,7,3,0,20
SSC41508,0,0,0,0,0,0,0,0,0,4
SSC41509,0,0,0,8,8,3,9,9,0,37
SSC41510,0,0,0,5,8,7,0,0,3,24
SSC41511,0,0,0,15,18,14,10,18,8,76
SSC41512,0,0,0,0,3,0,7,3,0,9
SSC41513,0,0,0,33,36,18,25,18,16,146
SSC41514,0,0,0,39,36,21,17,32,25,168
SSC41515,0,4,4,4,11,3,11,12,8,55
SSC41516,0,0,0,15,21,7,16,6,4,69
SSC41517,0,0,0,3,3,4,0,0,0,12
SSC41518,0,0,0,20,17,3,10,5,4,59
SSC41519,0,0,0,17,26,15,25,20,10,114
SSC41520,0,0,0,11,17,8,4,9,0,48
SSC41521,0,0,0,26,34,28,31,31,5,155
SSC41522,0,0,0,0,3,0,0,0,0,3
SSC41523,3,3,8,57,70,43,41,55,24,292
SSC41524,64,28,206,1116,1346,560,387,777,276,4472
SSC41525,0,3,3,17,19,8,17,15,12,81
SSC41526,0,0,0,10,3,0,0,0,3,17
SSC41527,0,0,0,0,5,0,3,7,0,15
SSC41528,0,0,5,144,168,81,48,97,38,573
SSC41529,0,0,0,0,0,0,0,0,0,0
SSC41530,0,0,0,0,6,7,3,3,3,25
SSC41531,0,0,0,25,27,16,16,9,10,106
SSC41532,0,0,0,11,23,15,4,7,0,66
SSC41533,7,10,27,202,228,117,76,281,164,1075
SSC41534,0,0,0,52,77,49,24,37,14,257
SSC41535,0,0,0,0,0,0,0,0,0,0
SSC41536,4,0,7,28,32,28,16,30,9,135
SSC41537,17,5,70,351,423,233,155,250,72,1484
SSC41538,0,0,0,14,13,4,9,8,4,58
SSC41539,0,0,0,3,8,0,3,0,0,20
