SSC_CODE_2016,P_85y_ov_DNUDW,P_85y_ov_UDW_NS,P_85y_ov_Total,P_Tot_DUDW_LT_5_h,P_Tot_DUDW_5_14_h,P_Tot_DUDW_15_29_h,P_Tot_DUDW_30_h_mo,P_Tot_DNUDW,P_Tot_UDW_NS,P_Tot_Total
SSC40657,0,0,0,0,3,0,0,3,0,3
SSC40658,0,0,0,7,11,4,8,6,4,38
SSC40659,0,0,0,3,0,0,0,0,0,8
SSC40660,20,3,53,463,683,354,314,401,174,2389
SSC40661,0,3,6,20,23,3,7,17,14,87
SSC40662,0,0,0,4,4,0,3,3,0,10
SSC40663,0,0,0,13,18,6,4,4,3,44
SSC40664,14,8,35,76,103,63,51,94,39,426
SSC40665,0,0,0,10,0,4,4,4,0,21
SSC40666,0,0,0,0,0,0,0,0,0,0
SSC40667,0,0,0,9,11,12,3,16,10,56
SSC40668,22,10,55,233,286,142,127,177,126,1087
SSC40669,0,0,0,0,4,0,3,5,0,13
SSC40670,0,0,0,10,12,8,11,0,13,54
SSC40671,37,13,70,419,460,172,86,293,105,1538
SSC40672,74,25,148,505,624,286,158,403,118,2098
SSC40673,21,13,61,551,611,276,161,399,84,2079
SSC40674,3,4,15,307,285,81,39,318,81,1107
SSC40675,0,0,0,50,58,30,25,37,13,219
SSC40676,0,0,0,15,22,4,3,6,0,47
SSC40677,0,0,0,10,18,3,9,5,0,44
SSC40678,3,0,9,181,266,148,137,129,57,913
SSC40679,3,0,3,182,167,52,55,138,48,639
SSC40680,0,0,0,0,0,0,0,0,0,0
SSC40681,0,0,0,52,73,43,28,27,24,249
SSC40682,0,0,0,6,12,0,7,13,5,44
SSC40683,0,0,0,5,8,0,3,0,8,20
SSC40684,48,19,107,634,793,362,286,707,161,2943
SSC40685,0,0,0,4,6,3,6,12,6,44
SSC40686,56,4,103,868,938,368,341,1477,497,4484
SSC40687,45,10,85,304,377,152,98,372,113,1410
SSC40688,16,3,30,96,135,70,63,110,41,512
SSC40689,0,0,0,3,3,0,0,0,3,13
SSC40690,31,3,60,88,150,74,44,104,21,471
SSC40691,37,19,83,244,436,219,171,292,190,1554
SSC40692,0,0,0,5,5,7,4,7,0,30
SSC40693,3,0,5,43,63,42,39,39,27,260
SSC40694,5,0,17,125,154,55,24,65,40,461
SSC40695,26,14,59,228,291,158,152,217,141,1184
SSC40696,25,34,96,461,573,271,164,300,122,1897
SSC40697,121,32,221,1157,1403,571,403,1280,358,5176
SSC40698,0,0,0,10,6,6,0,7,12,40
SSC40699,0,0,0,0,0,0,0,3,0,4
SSC40700,0,0,0,0,0,0,0,4,0,4
SSC40701,0,0,0,0,4,0,0,0,0,12
SSC40702,0,0,0,36,51,22,13,29,9,157
SSC40703,0,0,0,0,0,0,0,0,0,0
SSC40704,0,0,3,32,49,24,22,21,11,151
SSC40705,0,0,0,10,14,5,7,24,8,74
SSC40706,0,0,0,11,8,7,3,9,3,36
SSC40707,0,0,0,11,7,10,9,6,37,86
SSC40708,0,0,0,4,3,0,0,0,0,3
SSC40709,0,0,0,6,11,5,6,9,4,41
SSC40710,0,0,0,8,12,10,7,6,3,37
SSC40711,0,0,0,0,4,0,0,4,0,11
SSC40712,0,0,0,21,15,3,5,4,0,44
SSC40713,0,0,0,15,9,9,10,19,0,58
SSC40714,0,0,3,37,51,25,20,30,20,188
SSC40715,0,0,0,0,0,0,0,0,0,3
SSC40716,0,0,0,14,16,6,9,15,4,58
SSC40717,0,0,0,0,4,0,0,0,0,3
SSC40718,3,0,7,96,111,45,42,82,64,434
SSC40719,0,0,0,39,48,28,19,17,14,165
SSC40720,0,0,0,3,0,3,3,3,4,16
SSC40721,0,0,0,10,8,5,4,6,8,43
SSC40722,19,4,52,617,652,218,163,586,118,2355
SSC40723,0,0,0,18,20,6,3,9,3,63
SSC40724,0,0,0,16,12,7,5,13,3,51
SSC40725,0,0,0,15,21,14,15,11,3,81
SSC40726,0,0,0,7,0,7,4,3,4,25
SSC40727,0,0,0,12,5,3,7,4,3,30
SSC40728,0,0,0,0,0,0,0,0,0,0
SSC40729,0,0,0,0,0,0,0,0,0,0
SSC40730,0,0,0,0,3,0,0,0,0,7
SSC40731,0,0,0,0,0,0,0,0,0,4
SSC40732,0,0,0,0,0,0,0,0,0,0
SSC40733,0,0,0,0,0,0,0,0,0,0
SSC40734,0,0,0,0,0,0,0,0,0,0
SSC40735,0,0,0,0,0,0,0,0,0,0
SSC40736,0,0,0,0,0,0,0,0,0,0
SSC40737,0,0,3,9,13,7,7,8,5,46
SSC40738,0,0,0,0,0,0,0,0,0,0
SSC40739,0,0,0,3,0,0,0,3,0,12
SSC40740,17,4,29,125,177,98,78,147,75,708
SSC40741,0,0,0,91,102,55,32,41,19,348
SSC40742,0,0,0,0,0,0,0,0,0,5
SSC40743,131,57,234,753,1052,433,239,756,244,3472
SSC40744,106,19,165,637,858,349,259,798,188,3085
SSC40745,16,4,20,105,146,87,68,103,51,553
SSC40746,0,0,0,0,0,5,0,3,0,14
SSC40747,0,0,0,12,16,7,3,5,0,43
SSC40748,137,30,212,320,353,179,105,351,103,1408
SSC40749,0,0,0,25,25,14,10,12,3,93
SSC40750,0,0,0,11,15,9,8,3,5,49
SSC40751,0,0,0,21,42,24,21,23,41,170
SSC40752,0,0,0,3,14,3,8,3,0,34
SSC40753,0,3,4,95,128,63,39,58,23,407
SSC40754,7,0,18,494,729,307,272,473,191,2470
SSC40755,3,0,4,48,45,32,24,27,8,187
SSC40756,0,0,0,0,4,0,4,0,3,13
SSC40757,0,0,0,0,0,5,0,0,0,6
SSC40758,32,79,164,319,473,226,158,264,211,1646
SSC40759,0,0,0,0,0,0,0,0,0,3
SSC40760,0,0,0,5,4,3,6,9,10,40
SSC40761,3,0,0,29,35,31,33,42,4,169
SSC40762,0,0,0,0,3,4,0,3,0,6
SSC40763,10,0,27,557,725,362,279,291,119,2341
SSC40764,45,6,70,416,605,292,247,342,131,2033
SSC40765,0,0,0,16,18,10,15,14,0,71
SSC40766,0,0,0,22,25,12,13,17,13,92
