SSC_CODE_2016,M_0_299_DS_DS_Sept_house,M_0_299_DS_DS_sd_row_tce_hs_t,M_0_299_DS_DS_Flat_apart,M_0_299_DS_DS_Other_dwg,M_0_299_DS_ns,M_0_299_Tot,M_300_449_DS_Separate_hse,M_300_449_DS_sd_row_tc_hse_th,M_300_449_DS_Flat_apart,M_300_449_DS_Other_dwg,M_300_449_DS_ns,M_300_449_Tot,M_450_599_DS_Separate_hse,M_450_599_DS_sd_row_tce_hs_th,M_450_599_DS_Flat_apart,M_450_599_DS_Other_dwg,M_450_599_DS_ns,M_450_599_Tot,M_600_799_DS_Separate_hse,M_600_799_DS_sd_row_tc_hs_th,M_600_799_DS_Flat_apart,M_600_799_DS_Other_dwg,M_600_799_DS_ns,M_600_799_Tot,M_800_999_DS_Separate_hse,M_800_999_DS_sd_row_tc_hs_th,M_800_999_DS_Flat_apart,M_800_999_DS_Other_dwg,M_800_999_DS_ns,M_800_999_Tot,M_1000_1399_DS_Separate_hse,M_1000_1399_DS_sd_rw_tc_h_th,M_1000_1399_DS_Flat_apart,M_1000_1399_DS_Other_dwg,M_1000_1399_DS_ns,M_1000_1399_Tot,M_1400_1799_DS_Separate_hse,M_1400_1799_DS_sd_rw_tc_h_th,M_1400_1799_DS_Flat_apart,M_1400_1799_DS_Other_dwg,M_1400_1799_DS_ns,M_1400_1799_Tot,M_1800_2399_DS_Separate_hse,M_1800_2399_DS_sd_rw_tc_h_th,M_1800_2399_DS_Flat_apart,M_1800_2399_DS_Other_dwg,M_1800_2399_DS_ns,M_1800_2399_Tot,M_2400_2999_DS_Separate_hse,M_2400_2999_DS_sd_rw_tc_h_th,M_2400_2999_DS_Flat_apart,M_2400_2999_DS_Other_dwg,M_2400_2999_DS_ns,M_2400_2999_Tot,M_3000_3999_DS_Separate_hse,M_3000_3999_DS_sd_rw_tc_h_th,M_3000_3999_DS_Flt_apart,M_3000_3999_DS_Other_dwg,M_3000_3999_DS_ns,M_3000_3999_Tot,M_4000_over_DS_Separate_hse,M_4000_ov_DS_sd_rw_tce_hs_th,M_4000_over_DS_Flat_apart,M_4000_over_DS_Other_dwg,M_4000_DS_over_ns,M_4000_over_Tot,Mort_Rpmnt_ns_DS_Separat_hs,Mrt_Rpmt_ns_DS_sd_rw_tc_hs_th,Mrt_Rpmt_ns_DS_Flat_apart,Mort_Rpmnt_ns_DS_Other_dwg,Mort_Rpmnt_ns_DS_ns,Mort_Rpmnt_ns_Total,Tot_DS_Separate_hse,Tot_DS_sd_row_tce_hse_thse,Tot_DS_Flat_apartment,Tot_DS_Other_dwg,Tot_DS_ns,Tot_Tot
SSC41311,9,0,0,0,0,9,0,0,0,0,0,0,9,0,0,0,0,9,3,0,0,0,0,3,5,0,0,0,0,5,13,0,0,0,0,14,4,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35,0,0,0,0,38
SSC41312,4,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,3,17,0,0,0,0,19
SSC41313,11,0,0,0,0,15,3,0,0,0,0,3,3,0,0,0,0,3,5,0,0,0,0,5,15,0,0,0,0,15,14,3,4,0,0,22,33,3,0,0,0,38,30,3,0,0,0,32,21,0,0,0,0,17,13,0,0,0,0,13,10,0,0,0,0,8,4,0,0,0,0,7,154,12,9,0,0,178
SSC41314,24,0,0,0,0,21,15,0,0,0,0,15,17,0,0,0,0,20,23,0,0,0,0,23,41,0,0,0,0,42,116,0,0,0,0,121,106,3,0,0,0,104,71,0,0,0,0,74,30,0,0,0,0,30,6,0,0,0,0,6,13,0,0,0,0,13,29,0,0,0,0,29,484,7,0,0,0,498
SSC41315,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,5,8,0,0,0,0,8,6,0,0,0,0,6,11,0,0,0,0,11,12,0,0,0,0,12,0,0,0,0,0,0,7,0,0,0,0,7,0,0,0,0,0,0,55,0,0,0,0,51
SSC41316,15,0,0,0,0,22,10,0,0,0,0,10,5,0,0,0,0,8,14,4,0,0,0,18,13,4,0,0,0,15,49,8,7,0,0,62,38,13,7,0,0,58,64,13,3,0,0,84,21,9,3,0,0,32,36,3,0,0,0,39,10,3,0,0,0,15,12,0,0,0,0,18,292,59,24,0,3,379
SSC41317,25,3,0,0,0,30,6,0,0,0,0,13,11,4,0,0,0,12,13,4,0,0,0,18,15,4,0,0,0,25,47,25,3,0,0,70,65,17,3,0,0,87,91,20,0,0,0,113,35,4,0,0,0,37,26,6,0,0,0,34,14,0,0,0,0,12,19,0,0,0,0,17,367,100,13,0,0,478
SSC41318,9,5,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,10,9,0,0,0,0,9,11,4,0,0,0,17,16,6,3,0,0,27,21,10,0,0,0,35,10,0,0,0,0,11,16,6,0,0,0,22,4,0,0,0,0,3,5,0,0,0,0,3,108,35,0,0,0,142
SSC41319,3,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0,0,15
SSC41320,5,0,0,0,0,5,0,0,0,0,0,0,3,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,3,5,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26,0,0,0,0,27
