SSC_CODE_2016,M_Ag_For_Fshg_15_19,M_Ag_For_Fshg_20_24,M_Ag_For_Fshg_25_34,M_Ag_For_Fshg_35_44,M_Ag_For_Fshg_45_54,M_Ag_For_Fshg_55_64,M_Ag_For_Fshg_65_74,M_Ag_For_Fshg_75_84,M_Ag_For_Fshg_85ov,M_Ag_For_Fshg_Tot,M_Mining_15_19,M_Mining_20_24,M_Mining_25_34,M_Mining_35_44,M_Mining_45_54,M_Mining_55_64,M_Mining_65_74,M_Mining_75_84,M_Mining_85ov,M_Mining_Tot,M_Manufact_15_19,M_Manufact_20_24,M_Manufact_25_34,M_Manufact_35_44,M_Manufact_45_54,M_Manufact_55_64,M_Manufact_65_74,M_Manufact_75_84,M_Manufact_85ov,M_Manufact_Tot,M_El_Gas_Wt_Waste_15_19,M_El_Gas_Wt_Waste_20_24,M_El_Gas_Wt_Waste_25_34,M_El_Gas_Wt_Waste_35_44,M_El_Gas_Wt_Waste_45_54,M_El_Gas_Wt_Waste_55_64,M_El_Gas_Wt_Waste_65_74,M_El_Gas_Wt_Waste_75_84,M_El_Gas_Wt_Waste_85ov,M_El_Gas_Wt_Waste_Tot,M_Constru_15_19,M_Constru_20_24,M_Constru_25_34,M_Constru_35_44,M_Constru_45_54,M_Constru_55_64,M_Constru_65_74,M_Constru_75_84,M_Constru_85ov,M_Constru_Tot,M_WhlesaleTde_15_19,M_WhlesaleTde_20_24,M_WhlesaleTde_25_34,M_WhlesaleTde_35_44,M_WhlesaleTde_45_54,M_WhlesaleTde_55_64,M_WhlesaleTde_65_74,M_WhlesaleTde_75_84,M_WhlesaleTde_85ov,M_WhlesaleTde_Tot,M_RetTde_15_19,M_RetTde_20_24,M_RetTde_25_34,M_RetTde_35_44,M_RetTde_45_54,M_RetTde_55_64,M_RetTde_65_74,M_RetTde_75_84,M_RetTde_85ov,M_RetTde_Tot,M_Accom_food_15_19,M_Accom_food_20_24,M_Accom_food_25_34,M_Accom_food_35_44,M_Accom_food_45_54,M_Accom_food_55_64,M_Accom_food_65_74,M_Accom_food_75_84,M_Accom_food_85ov,M_Accom_food_Tot,M_Trans_post_wrehsg_15_19,M_Trans_post_wrehsg_20_24,M_Trans_post_wrehsg_25_34,M_Trans_post_wrehsg_35_44,M_Trans_post_wrehsg_45_54,M_Trans_post_wrehsg_55_64,M_Trans_post_wrehsg_65_74,M_Trans_post_wrehsg_75_84,M_Trans_post_wrehsg_85ov,M_Trans_post_wrehsg_Tot,M_Info_media_teleco_15_19,M_Info_media_teleco_20_24,M_Info_media_teleco_25_34,M_Info_media_teleco_35_44,M_Info_media_teleco_45_54,M_Info_media_teleco_55_64,M_Info_media_teleco_65_74,M_Info_media_teleco_75_84,M_Info_media_teleco_85ov,M_Info_media_teleco_Tot,M_Fin_Insur_15_19,M_Fin_Insur_20_24,M_Fin_Insur_25_34,M_Fin_Insur_35_44,M_Fin_Insur_45_54,M_Fin_Insur_55_64,M_Fin_Insur_65_74,M_Fin_Insur_75_84,M_Fin_Insur_85ov,M_Fin_Insur_Tot,M_RtnHir_REst_15_19,M_RtnHir_REst_20_24,M_RtnHir_REst_25_34,M_RtnHir_REst_35_44,M_RtnHir_REst_45_54,M_RtnHir_REst_55_64,M_RtnHir_REst_65_74,M_RtnHir_REst_75_84,M_RtnHir_REst_85ov,M_RtnHir_REst_Tot,M_Pro_scien_tec_15_19,M_Pro_scien_tec_20_24,M_Pro_scien_tec_25_34,M_Pro_scien_tec_35_44,M_Pro_scien_tec_45_54,M_Pro_scien_tec_55_64,M_Pro_scien_tec_65_74,M_Pro_scien_tec_75_84,M_Pro_scien_tec_85ov,M_Pro_scien_tec_Tot,M_Admin_supp_15_19,M_Admin_supp_20_24,M_Admin_supp_25_34,M_Admin_supp_35_44,M_Admin_supp_45_54,M_Admin_supp_55_64,M_Admin_supp_65_74,M_Admin_supp_75_84,M_Admin_supp_85ov,M_Admin_supp_Tot,M_Public_admin_sfty_15_19,M_Public_admin_sfty_20_24,M_Public_admin_sfty_25_34,M_Public_admin_sfty_35_44,M_Public_admin_sfty_45_54,M_Public_admin_sfty_55_64,M_Public_admin_sfty_65_74,M_Public_admin_sfty_75_84,M_Public_admin_sfty_85ov,M_Public_admin_sfty_Tot,M_Educ_trng_15_19,M_Educ_trng_20_24,M_Educ_trng_25_34,M_Educ_trng_35_44,M_Educ_trng_45_54,M_Educ_trng_55_64,M_Educ_trng_65_74,M_Educ_trng_75_84,M_Educ_trng_85ov,M_Educ_trng_Tot,M_HlthCare_SocAs_15_19,M_HlthCare_SocAs_20_24,M_HlthCare_SocAs_25_34,M_HlthCare_SocAs_35_44,M_HlthCare_SocAs_45_54,M_HlthCare_SocAs_55_64,M_HlthCare_SocAs_65_74,M_HlthCare_SocAs_75_84,M_HlthCare_SocAs_85ov,M_HlthCare_SocAs_Tot,M_Art_recn_15_19,M_Art_recn_20_24,M_Art_recn_25_34,M_Art_recn_35_44,M_Art_recn_45_54,M_Art_recn_55_64,M_Art_recn_65_74,M_Art_recn_75_84,M_Art_recn_85ov,M_Art_recn_Tot,M_Oth_scs_15_19,M_Oth_scs_20_24,M_Oth_scs_25_34,M_Oth_scs_35_44,M_Oth_scs_45_54,M_Oth_scs_55_64,M_Oth_scs_65_74,M_Oth_scs_75_84,M_Oth_scs_85ov,M_Oth_scs_Tot,M_ID_NS_15_19,M_ID_NS_20_24,M_ID_NS_25_34,M_ID_NS_35_44,M_ID_NS_45_54,M_ID_NS_55_64,M_ID_NS_65_74,M_ID_NS_75_84,M_ID_NS_85ov,M_ID_NS_Tot
SSC40001,0,0,4,3,0,3,0,0,0,15,0,0,12,5,12,6,0,0,0,36,4,15,48,74,90,54,5,0,0,295,0,3,19,14,23,13,3,0,0,70,16,53,90,74,72,60,14,0,0,379,3,9,18,28,31,32,6,0,0,133,44,51,51,37,52,32,10,0,0,278,58,22,31,13,6,6,3,0,0,133,3,6,28,30,46,48,6,0,0,165,0,3,10,5,12,15,0,0,0,57,0,3,15,28,20,20,3,0,0,94,0,3,3,3,5,3,0,0,0,26,0,12,43,46,46,28,4,0,0,175,7,14,20,24,30,30,0,0,0,118,3,11,31,61,50,44,12,0,0,210,6,21,31,38,45,48,7,0,0,209,4,15,32,32,43,54,10,0,0,195,5,4,11,8,11,3,4,0,0,46,4,8,29,31,31,33,8,0,0,142,0,5,17,21,20,16,5,0,0,95
SSC40002,0,0,0,6,7,0,0,0,0,17,0,3,25,8,7,6,3,0,0,51,0,5,41,25,10,18,5,0,0,113,0,4,9,8,6,8,0,0,0,42,0,14,42,25,27,15,3,0,0,137,0,11,25,14,15,11,5,0,0,82,18,44,94,36,31,25,13,0,0,260,23,152,165,60,36,15,4,0,0,452,0,3,29,26,20,14,0,0,0,94,0,8,36,19,14,10,3,0,0,93,0,6,41,38,22,13,4,0,0,136,0,4,13,5,6,11,3,4,0,45,0,27,168,99,64,54,32,3,0,444,0,10,24,13,13,3,8,0,0,79,3,17,97,66,52,27,9,3,3,271,0,13,98,63,34,38,12,0,0,269,0,17,125,58,29,39,27,3,0,307,0,5,40,19,15,13,3,0,0,94,3,6,20,17,19,7,7,0,0,76,3,7,38,18,25,14,0,3,0,104
SSC40003,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SSC40004,0,3,3,3,9,3,3,0,0,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SSC40005,0,0,3,0,3,3,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SSC40006,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,4,11,12,12,15,3,0,0,58,0,0,0,4,5,3,0,0,0,16,0,3,28,14,11,11,0,0,0,72,0,4,5,9,4,0,0,0,0,19,0,7,5,9,9,3,0,0,0,34,6,7,10,3,3,0,0,0,0,26,0,0,12,8,3,10,0,0,0,32,0,0,4,0,0,5,0,0,0,12,0,0,3,7,0,0,0,0,0,8,0,0,0,3,0,0,0,0,0,7,0,0,7,0,4,0,0,0,0,14,0,3,0,3,3,0,0,0,0,8,0,0,6,6,6,0,0,0,0,28,0,0,3,3,0,0,0,0,0,9,0,0,6,8,0,3,0,0,0,24,0,3,3,3,0,0,0,0,0,13,0,0,5,10,3,0,0,0,0,18,0,3,6,0,9,3,0,0,0,15
SSC40007,0,0,4,0,0,0,0,0,0,3,0,0,0,6,0,0,0,0,0,9,4,0,11,12,7,22,3,0,0,61,0,0,0,0,5,0,0,0,0,12,3,6,17,7,10,14,0,0,0,56,0,3,4,3,8,0,0,0,0,20,3,8,5,3,4,5,0,0,0,30,5,3,10,7,0,5,0,0,0,30,0,0,11,10,13,11,7,0,0,42,0,0,7,4,3,3,0,0,0,13,0,0,3,3,0,0,0,0,0,4,0,0,0,0,4,0,0,3,0,4,0,0,3,6,3,5,4,0,0,23,0,0,3,6,3,3,0,0,0,15,0,0,12,13,13,8,0,0,0,41,0,4,4,6,9,3,0,0,0,22,0,4,3,3,5,4,4,0,0,27,3,0,3,0,3,4,0,0,0,10,0,0,5,4,7,8,0,0,0,20,0,3,3,3,4,3,0,0,0,26
SSC40008,0,0,3,0,4,3,0,0,0,13,0,0,0,4,6,0,0,0,0,12,3,8,3,12,17,18,8,0,0,59,0,0,0,9,4,3,0,0,0,19,4,13,11,19,20,18,3,0,0,94,0,0,3,5,3,7,0,0,0,24,7,11,0,3,10,9,3,0,0,45,7,6,5,3,0,3,3,0,0,31,0,0,0,3,6,10,0,0,0,18,0,0,0,4,6,0,0,0,0,11,0,0,0,12,18,8,6,0,0,41,0,0,0,0,0,3,8,0,0,8,0,5,5,26,36,25,11,0,0,118,0,3,0,0,7,9,3,0,0,21,0,0,3,16,24,18,0,0,0,59,0,9,4,8,22,20,6,0,0,75,0,0,8,19,17,24,14,0,0,81,4,0,3,5,3,4,0,0,0,14,0,3,0,4,11,11,0,0,0,35,4,0,0,6,10,4,0,0,0,22
SSC40009,0,0,0,0,3,3,0,0,0,5,0,0,0,3,0,0,0,0,0,3,4,0,0,3,0,3,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,7,7,12,9,0,0,0,31,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,5,0,3,0,0,0,4,0,0,0,10,0,0,0,3,0,3,0,0,0,7,0,0,0,0,3,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,4,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,3,0,0,0,6,0,0,0,0,3,0,0,0,0,10,0,0,3,3,8,3,0,0,0,12,0,0,0,0,0,0,0,0,0,3,4,0,0,3,0,3,0,0,0,3,0,0,0,0,3,0,0,0,0,5
SSC40010,5,0,15,5,21,10,3,0,0,58,0,0,21,16,10,6,0,0,0,54,3,14,69,67,77,33,3,0,0,260,3,0,11,6,9,7,3,0,0,47,14,51,143,112,82,43,7,0,0,458,0,9,12,19,28,6,0,0,0,72,25,29,45,43,29,20,4,0,0,197,37,22,18,17,9,8,0,0,0,106,4,3,15,27,33,22,9,0,0,113,0,0,12,11,8,7,0,0,0,28,0,0,7,12,8,7,0,0,0,36,0,0,0,8,4,5,3,0,0,21,0,3,12,23,17,15,5,0,0,74,4,6,22,29,27,12,9,0,0,108,0,4,34,35,28,27,0,0,0,133,0,5,16,23,20,13,3,0,0,81,0,9,8,20,36,25,3,0,0,100,0,0,6,3,3,0,0,0,0,16,0,13,19,27,14,14,0,0,0,95,3,12,20,19,25,15,4,0,0,106
