SSC_CODE_2016,F_AccomFoodS_Cert,F_AccomFoodS_ID_NS,F_AccomFoodS_ToT,F_TransPostWhse_PD,F_TransPostWhse_GD_GC,F_TransPostWhse_BD,F_TransPostWhse_AdD_D,F_TransPostWhse_Cert,F_TransPostWhse_ID_NS,F_TransPostWhse_ToT,F_InfoMedTelecom_PD,F_InfoMedTelecom_GD_GC,F_InfoMedTelecom_BD,F_InfoMedTelecom_AdD_D,F_InfoMedTelecom_Cert,F_InfoMedTelecom_ID_NS,F_InfoMedTelecom_ToT,F_FinInsurS_PD,F_FinInsurS_GD_GC,F_FinInsurS_BD,F_FinInsurS_AdD_D,F_FinInsurS_Cert,F_FinInsurS_ID_NS,F_FinInsurS_ToT,F_RentHirREserv_PD,F_RentHirREserv_GD_GC,F_RentHirREserv_BD,F_RentHirREserv_AdD_D,F_RentHirREserv_Cert,F_RentHirREserv_ID_NS,F_RentHirREserv_ToT,F_ProScieTechServ_PD,F_ProScieTechServ_GD_GC,F_ProScieTechServ_BD,F_ProScieTechServ_AdD_D,F_ProScieTechServ_Cert,F_ProScieTechServ_ID_NS,F_ProScieTechServ_ToT,F_AdminSupServ_PD,F_AdminSupServ_GD_GC,F_AdminSupServ_BD,F_AdminSupServ_AdD_D,F_AdminSupServ_Cert,F_AdminSupServ_ID_NS,F_AdminSupServ_ToT,F_PubAdmiSafety_PD,F_PubAdmiSafety_GD_GC,F_PubAdmiSafety_BD,F_PubAdmiSafety_AdD_D,F_PubAdmiSafety_Cert,F_PubAdmiSafety_ID_NS,F_PubAdmiSafety_ToT,F_EducTrain_PD,F_EducTrain_GD_GC,F_EducTrain_BD,F_EducTrain_AdD_D,F_EducTrain_Cert,F_EducTrain_ID_NS,F_EducTrain_ToT,F_HealthCareSocA_PD,F_HealthCareSocA_GD_GC,F_HealthCareSocA_BD,F_HealthCareSocA_AdD_D,F_HealthCareSocA_Cert,F_HealthCareSocA_ID_NS,F_HealthCareSocA_ToT,F_ArtRecServ_PD,F_ArtRecServ_GD_GC,F_ArtRecServ_BD,F_ArtRecServ_AdD_D,F_ArtRecServ_Cert,F_ArtRecServ_ID_NS,F_ArtRecServ_ToT,F_OthServ_PD,F_OthServ_GD_GC,F_OthServ_BD,F_OthServ_AdD_D,F_OthServ_Cert,F_OthServ_ID_NS,F_OthServ_ToT,F_ID_NS_PD,F_ID_NS_GD_GC,F_ID_NS_BD,F_ID_NS_AdD_D,F_ID_NS_Cert,F_ID_NS_ID_NS,F_ID_NS_ToT,F_ToT_PD,F_ToT_GD_GC,F_ToT_BD,F_ToT_AdD_D,F_ToT_Cert,F_ToT_ID_NS,F_ToT_ToT,P_AgriForestFish_PD,P_AgriForestFish_GD_GC,P_AgriForestFish_BD,P_AgriForestFish_AdD_D,P_AgriForestFish_Cert,P_AgriForestFish_ID_NS,P_AgriForestFish_ToT,P_Min_PD,P_Min_GD_GC,P_Min_BD,P_Min_AdD_D,P_Min_Cert,P_Min_ID_NS,P_Min_ToT,P_Mnfg_PD,P_Mnfg_GD_GC,P_Mnfg_BD,P_Mnfg_AdD_D,P_Mnfg_Cert,P_Mnfg_ID_NS,P_Mnfg_ToT,P_EGW_WS_PD,P_EGW_WS_GD_GC,P_EGW_WS_BD,P_EGW_WS_AdD_D,P_EGW_WS_Cert,P_EGW_WS_ID_NS,P_EGW_WS_ToT,P_Cnstn_PD,P_Cnstn_GD_GC,P_Cnstn_BD,P_Cnstn_AdD_D,P_Cnstn_Cert,P_Cnstn_ID_NS,P_Cnstn_ToT,P_WTrade_PD,P_WTrade_GD_GC,P_WTrade_BD,P_WTrade_AdD_D,P_WTrade_Cert,P_WTrade_ID_NS,P_WTrade_ToT,P_RTrade_PD,P_RTrade_GD_GC,P_RTrade_BD,P_RTrade_AdD_D,P_RTrade_Cert,P_RTrade_ID_NS,P_RTrade_ToT,P_AccomFoodS_PD,P_AccomFoodS_GD_GC,P_AccomFoodS_BD,P_AccomFoodS_AdD_D,P_AccomFoodS_Cert,P_AccomFoodS_ID_NS,P_AccomFoodS_ToT,P_TransPostWhse_PD,P_TransPostWhse_GD_GC,P_TransPostWhse_BD,P_TransPostWhse_AdD_D,P_TransPostWhse_Cert,P_TransPostWhse_ID_NS,P_TransPostWhse_ToT,P_InfoMedTelecom_PD,P_InfoMedTelecom_GD_GC,P_InfoMedTelecom_BD,P_InfoMedTelecom_AdD_D,P_InfoMedTelecom_Cert,P_InfoMedTelecom_ID_NS,P_InfoMedTelecom_ToT,P_FinInsurS_PD,P_FinInsurS_GD_GC,P_FinInsurS_BD,P_FinInsurS_AdD_D,P_FinInsurS_Cert,P_FinInsurS_ID_NS,P_FinInsurS_ToT,P_RentHirREserv_PD,P_RentHirREserv_GD_GC,P_RentHirREserv_BD,P_RentHirREserv_AdD_D,P_RentHirREserv_Cert,P_RentHirREserv_ID_NS,P_RentHirREserv_ToT,P_ProScieTechServ_PD,P_ProScieTechServ_GD_GC,P_ProScieTechServ_BD,P_ProScieTechServ_AdD_D,P_ProScieTechServ_Cert,P_ProScieTechServ_ID_NS,P_ProScieTechServ_ToT,P_AdminSupServ_PD,P_AdminSupServ_GD_GC,P_AdminSupServ_BD,P_AdminSupServ_AdD_D,P_AdminSupServ_Cert,P_AdminSupServ_ID_NS,P_AdminSupServ_ToT,P_PubAdmiSafety_PD,P_PubAdmiSafety_GD_GC,P_PubAdmiSafety_BD,P_PubAdmiSafety_AdD_D,P_PubAdmiSafety_Cert,P_PubAdmiSafety_ID_NS,P_PubAdmiSafety_ToT,P_EducTrain_PD
SSC40001,26,8,53,0,0,0,10,12,0,18,0,0,4,4,15,0,20,0,6,22,28,36,3,90,0,0,7,5,10,0,21,10,3,39,20,21,0,95,0,0,9,15,30,3,56,10,8,48,30,29,0,130,37,28,156,61,52,3,340,48,28,239,131,175,20,645,0,0,10,11,11,0,29,4,0,9,14,52,3,78,0,0,5,4,10,3,25,116,86,602,388,591,55,1833,0,0,8,0,4,0,9,0,0,4,10,22,3,36,7,0,30,41,156,8,252,8,0,13,12,32,0,61,3,0,20,37,218,12,283,0,3,11,18,60,0,102,9,3,44,40,142,6,251,0,0,20,13,67,9,108,6,3,7,34,61,4,108,0,0,10,15,32,0,61,3,5,42,49,55,3,164,0,0,3,13,23,0,42,21,10,109,44,55,0,246,0,4,16,22,72,7,116,18,14,90,70,84,5,287,69
SSC40002,32,3,246,0,3,9,7,0,0,17,3,4,25,3,9,0,41,20,5,46,18,14,0,103,6,0,13,9,3,0,33,57,18,142,20,20,3,259,3,0,24,15,18,3,60,48,14,114,25,18,0,211,144,25,115,26,18,0,332,76,27,232,49,41,5,429,15,4,18,5,8,0,50,9,3,20,18,25,0,72,16,0,15,10,3,9,54,465,110,1050,303,242,47,2220,3,0,11,0,4,0,16,14,0,28,3,11,0,59,25,4,59,12,34,0,137,6,0,19,7,9,0,41,20,3,38,14,55,3,135,18,3,47,14,13,4,108,30,0,161,43,60,15,316,55,4,208,119,108,16,510,6,3,25,20,12,3,73,13,7,62,18,15,3,107,32,12,94,42,32,3,215,11,0,22,9,13,0,70,155,53,358,56,41,9,666,12,0,43,27,28,7,115,88,24,215,61,51,5,448,260
SSC40003,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SSC40004,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,4,3,11,0,0,3,3,5,3,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SSC40005,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,3,8,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SSC40006,11,0,10,0,0,3,0,3,3,4,0,0,0,0,0,0,3,0,0,0,3,4,0,7,0,0,0,0,0,0,0,0,0,3,7,3,0,12,0,0,3,0,6,0,10,3,7,6,6,11,0,21,7,0,14,3,5,0,29,3,3,20,20,22,0,75,0,0,0,0,0,0,0,0,0,0,3,3,0,9,0,0,0,0,0,0,3,12,9,67,50,87,11,238,0,0,0,0,3,0,3,0,0,0,0,0,0,3,3,0,6,3,24,0,45,0,0,0,4,4,0,9,0,0,3,6,36,4,49,0,0,3,0,11,0,14,0,0,7,11,24,0,42,0,0,5,4,16,3,24,0,0,6,3,14,3,29,0,0,4,0,3,0,5,0,0,0,7,8,0,14,0,0,0,0,5,0,8,0,0,15,7,5,0,25,0,0,3,0,6,0,17,3,8,15,10,17,0,44,9
SSC40007,5,0,11,0,0,0,0,0,0,0,0,0,0,3,0,0,8,0,0,0,5,7,0,9,0,0,0,0,4,0,5,4,0,3,3,0,0,11,0,0,0,5,4,0,13,3,5,10,10,11,0,33,11,6,20,5,9,0,47,3,6,38,20,23,3,89,0,0,3,0,0,0,4,0,0,0,7,6,0,15,0,0,0,0,0,0,0,14,22,89,61,86,4,280,0,0,0,0,3,0,3,0,0,0,0,3,0,8,0,0,4,10,28,0,42,0,0,3,4,0,0,5,0,0,8,7,26,0,42,0,0,0,3,3,0,10,0,0,6,6,18,0,22,0,0,8,3,10,0,21,0,0,5,6,14,0,21,0,0,3,3,6,0,17,0,0,4,5,8,0,13,0,0,0,3,8,0,9,7,0,10,3,4,0,30,0,0,3,9,10,0,23,5,4,15,17,19,3,63,13
SSC40008,6,0,20,0,0,0,0,0,0,5,0,0,3,0,0,0,7,0,0,10,3,0,0,12,0,0,4,0,0,0,9,10,3,36,15,4,0,73,0,0,10,0,4,0,13,13,3,25,5,4,0,44,33,16,64,18,7,0,141,25,16,79,27,23,0,169,3,3,6,0,3,0,17,0,0,6,4,0,0,14,0,0,8,0,5,0,18,96,53,274,84,68,10,590,0,0,10,6,0,0,15,5,0,9,0,0,0,16,4,3,15,8,24,0,54,4,0,7,3,0,0,13,0,0,14,11,41,0,68,0,0,8,3,0,0,18,0,3,17,6,9,4,44,0,3,17,7,9,0,38,0,0,9,0,4,0,15,0,0,8,0,0,0,17,12,0,28,13,3,0,49,3,0,3,4,4,0,15,36,14,95,27,14,0,182,0,0,13,3,6,0,23,23,8,44,16,6,0,99,51
SSC40009,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,3,0,0,0,3,0,4,9,0,0,0,12,3,5,6,11,5,0,32,0,0,0,0,0,0,0,0,0,7,0,0,0,9,0,0,0,0,0,0,0,10,13,31,14,13,0,81,0,0,3,0,8,0,5,0,0,0,0,0,0,3,0,0,0,0,3,0,4,0,0,0,0,0,0,0,0,0,0,0,22,3,24,0,0,0,0,0,0,6,0,0,5,3,4,0,9,0,0,0,0,5,0,9,0,0,0,0,3,0,3,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,3,0,0,0,0,7,3,0,5,0,0,0,12,0,0,0,0,0,0,0,0,0,3,0,3,0,11,7
SSC40010,40,7,68,0,0,0,7,12,0,19,0,0,0,3,5,0,9,0,0,7,6,21,0,39,0,0,3,6,7,0,19,5,3,16,11,27,0,61,0,3,11,15,26,0,56,10,6,17,21,30,5,87,14,11,69,41,41,7,185,16,20,97,133,182,13,460,3,0,0,0,8,0,15,0,0,9,9,47,0,60,0,0,4,6,16,7,40,53,48,281,319,600,49,1349,0,0,3,9,25,4,42,0,0,0,0,29,0,33,3,3,22,25,156,9,219,0,0,8,4,30,0,41,0,0,11,18,260,14,303,0,0,3,15,30,3,53,0,5,20,36,147,13,215,0,0,10,18,76,10,120,0,4,8,8,50,5,72,0,0,3,7,22,3,29,0,3,9,13,35,0,66,3,0,7,10,20,0,32,5,4,41,15,46,4,120,0,7,16,24,74,4,116,5,3,30,48,86,7,183,17
