SSC_CODE_2016,F_ID_NS_0,F_ID_NS_1_15,F_ID_NS_16_24,F_ID_NS_25_34,F_ID_NS_35_39,F_ID_NS_40,F_ID_NS_41_48,F_ID_NS_49over,F_ID_NS_hours_NS,F_ID_NS_Tot,F_Tot_0,F_Tot_1_15,F_Tot_16_24,F_Tot_25_34,F_Tot_35_39,F_Tot_40,F_Tot_41_48,F_Tot_49over,F_Tot_hours_NS,F_Tot_Tot,P_AgriForestFish_0,P_AgriForestFish_1_15,P_AgriForestFish_16_24,P_AgriForestFish_25_34,P_AgriForestFish_35_39,P_AgriForestFish_40,P_AgriForestFish_41_48,P_AgriForestFish_49over,P_AgriForestFish_hours_NS,P_AgriForestFish_Tot,P_Min_0,P_Min_1_15,P_Min_16_24,P_Min_25_34,P_Min_35_39,P_Min_40,P_Min_41_48,P_Min_49over,P_Min_hours_NS,P_Min_Tot,P_Mnfg_0,P_Mnfg_1_15,P_Mnfg_16_24,P_Mnfg_25_34,P_Mnfg_35_39,P_Mnfg_40,P_Mnfg_41_48,P_Mnfg_49over,P_Mnfg_hours_NS,P_Mnfg_Tot,P_EGW_WS_0,P_EGW_WS_1_15,P_EGW_WS_16_24,P_EGW_WS_25_34,P_EGW_WS_35_39,P_EGW_WS_40,P_EGW_WS_41_48,P_EGW_WS_49over,P_EGW_WS_hours_NS,P_EGW_WS_Tot,P_Cnstn_0,P_Cnstn_1_15,P_Cnstn_16_24,P_Cnstn_25_34,P_Cnstn_35_39,P_Cnstn_40,P_Cnstn_41_48,P_Cnstn_49over,P_Cnstn_hours_NS,P_Cnstn_Tot,P_WTrade_0,P_WTrade_1_15,P_WTrade_16_24,P_WTrade_25_34,P_WTrade_35_39,P_WTrade_40,P_WTrade_41_48,P_WTrade_49over,P_WTrade_hours_NS,P_WTrade_Tot,P_RTrade_0,P_RTrade_1_15,P_RTrade_16_24,P_RTrade_25_34,P_RTrade_35_39,P_RTrade_40,P_RTrade_41_48,P_RTrade_49over,P_RTrade_hours_NS,P_RTrade_Tot,P_AccomFoodS_0,P_AccomFoodS_1_15,P_AccomFoodS_16_24,P_AccomFoodS_25_34,P_AccomFoodS_35_39,P_AccomFoodS_40,P_AccomFoodS_41_48,P_AccomFoodS_49over,P_AccomFoodS_hours_NS,P_AccomFoodS_Tot,P_TransPostWhse_0,P_TransPostWhse_1_15,P_TransPostWhse_16_24,P_TransPostWhse_25_34,P_TransPostWhse_35_39,P_TransPostWhse_40,P_TransPostWhse_41_48,P_TransPostWhse_49over,P_TransPostWhse_hours_NS,P_TransPostWhse_Tot,P_InfoMedTelecom_0,P_InfoMedTelecom_1_15,P_InfoMedTelecom_16_24,P_InfoMedTelecom_25_34,P_InfoMedTelecom_35_39,P_InfoMedTelecom_40,P_InfoMedTelecom_41_48,P_InfoMedTelecom_49over,P_InfoMedTelecom_hours_NS,P_InfoMedTelecom_Tot,P_FinInsurS_0,P_FinInsurS_1_15,P_FinInsurS_16_24,P_FinInsurS_25_34,P_FinInsurS_35_39,P_FinInsurS_40,P_FinInsurS_41_48,P_FinInsurS_49over,P_FinInsurS_hours_NS,P_FinInsurS_Tot,P_RentHirREserv_0,P_RentHirREserv_1_15,P_RentHirREserv_16_24,P_RentHirREserv_25_34,P_RentHirREserv_35_39,P_RentHirREserv_40,P_RentHirREserv_41_48,P_RentHirREserv_49over,P_RentHirREserv_hours_NS,P_RentHirREserv_Tot,P_ProScieTechServ_0,P_ProScieTechServ_1_15,P_ProScieTechServ_16_24,P_ProScieTechServ_25_34,P_ProScieTechServ_35_39,P_ProScieTechServ_40,P_ProScieTechServ_41_48,P_ProScieTechServ_49over,P_ProScieTechServ_hours_NS,P_ProScieTechServ_Tot,P_AdminSupServ_0,P_AdminSupServ_1_15,P_AdminSupServ_16_24,P_AdminSupServ_25_34,P_AdminSupServ_35_39,P_AdminSupServ_40,P_AdminSupServ_41_48,P_AdminSupServ_49over,P_AdminSupServ_hours_NS,P_AdminSupServ_Tot,P_PubAdmiSafety_0,P_PubAdmiSafety_1_15,P_PubAdmiSafety_16_24,P_PubAdmiSafety_25_34,P_PubAdmiSafety_35_39,P_PubAdmiSafety_40,P_PubAdmiSafety_41_48,P_PubAdmiSafety_49over,P_PubAdmiSafety_hours_NS,P_PubAdmiSafety_Tot,P_EducTrain_0,P_EducTrain_1_15,P_EducTrain_16_24,P_EducTrain_25_34,P_EducTrain_35_39,P_EducTrain_40,P_EducTrain_41_48,P_EducTrain_49over,P_EducTrain_hours_NS,P_EducTrain_Tot,P_HealthCareSocA_0,P_HealthCareSocA_1_15,P_HealthCareSocA_16_24,P_HealthCareSocA_25_34,P_HealthCareSocA_35_39,P_HealthCareSocA_40,P_HealthCareSocA_41_48,P_HealthCareSocA_49over,P_HealthCareSocA_hours_NS,P_HealthCareSocA_Tot,P_ArtRecServ_0,P_ArtRecServ_1_15,P_ArtRecServ_16_24,P_ArtRecServ_25_34,P_ArtRecServ_35_39,P_ArtRecServ_40,P_ArtRecServ_41_48,P_ArtRecServ_49over,P_ArtRecServ_hours_NS,P_ArtRecServ_Tot
SSC40001,0,10,9,6,6,6,4,3,14,52,135,462,423,574,579,298,147,151,35,2806,0,0,0,4,4,4,0,0,0,20,3,0,0,3,4,3,7,14,0,45,7,18,19,35,106,86,62,57,0,387,3,0,0,9,23,23,15,17,0,89,7,24,34,44,65,119,68,80,0,433,3,10,9,17,36,40,28,22,6,171,21,152,88,89,105,51,47,58,7,619,5,128,52,32,28,10,17,22,6,295,11,13,11,29,48,25,38,36,0,217,0,10,7,9,21,23,3,10,0,80,11,14,22,26,66,50,26,25,0,236,3,7,3,3,10,17,7,4,0,61,10,32,18,33,55,77,33,32,0,300,3,54,27,35,33,34,12,22,3,221,28,12,19,35,134,90,40,22,0,385,24,93,66,85,114,84,56,80,3,597,42,81,159,255,238,127,55,51,7,1012,3,32,9,12,10,9,5,11,0,83
SSC40002,5,10,3,10,16,8,0,7,17,78,128,409,363,312,636,414,226,288,36,2811,0,4,0,5,3,7,3,6,0,26,0,0,3,0,6,22,8,24,0,64,13,14,20,5,37,45,22,20,3,184,0,3,0,0,21,7,4,9,0,44,7,18,18,16,17,49,17,35,4,180,5,12,4,13,32,32,27,7,0,131,17,89,78,69,117,63,32,47,8,526,21,247,172,94,120,66,56,89,21,872,3,9,4,13,26,16,13,32,0,119,3,12,8,11,40,35,12,24,0,150,11,5,12,17,79,57,29,38,3,252,3,17,10,3,11,10,16,14,0,87,29,53,47,50,138,184,90,149,8,754,6,37,28,21,29,17,3,19,0,160,24,17,15,36,185,99,57,73,3,516,15,93,53,53,131,111,51,105,0,623,35,74,81,104,189,114,62,120,3,783,3,28,21,26,22,18,15,24,0,150
SSC40003,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SSC40004,0,0,0,0,0,0,0,0,0,0,0,4,0,4,3,0,4,6,0,16,0,7,0,4,0,3,4,11,0,33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SSC40005,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,3,6,0,3,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SSC40006,0,0,0,0,5,0,0,0,5,13,28,47,49,63,107,43,18,35,6,402,0,0,0,0,0,0,0,3,0,3,0,0,0,0,0,0,0,0,0,0,0,3,3,6,22,15,14,13,0,85,0,0,3,0,6,0,4,4,0,20,3,4,0,5,16,18,10,20,0,80,0,3,0,3,13,3,3,8,0,32,6,18,16,8,17,4,3,7,0,87,0,16,3,3,10,10,6,9,0,50,0,0,3,3,11,12,4,6,0,44,0,0,3,0,6,0,0,0,0,12,0,0,3,10,13,3,0,3,0,29,0,0,0,0,0,4,0,3,0,8,3,3,6,3,6,5,4,4,0,30,3,3,3,8,3,5,0,0,0,22,3,0,9,3,26,6,3,5,0,58,3,4,0,13,13,13,3,9,0,50,12,14,20,25,31,14,3,4,0,116,0,0,0,3,0,7,3,0,0,17
SSC40007,0,0,0,0,3,0,0,0,0,0,20,58,55,84,102,56,32,27,3,431,0,0,3,0,0,0,0,0,0,8,0,3,0,0,3,0,0,0,0,6,0,0,0,9,27,12,14,12,0,77,0,0,0,0,3,3,3,0,0,9,5,4,0,0,11,18,13,8,0,63,0,0,0,3,9,9,4,3,0,28,0,20,7,15,17,5,7,8,0,75,3,14,5,14,5,3,0,7,0,59,0,3,3,3,7,10,9,12,0,50,0,4,0,0,6,8,0,3,0,19,0,0,0,0,7,5,0,0,0,22,0,0,4,0,3,4,0,0,0,12,0,3,0,7,15,8,4,3,0,39,0,12,4,5,7,6,4,0,0,41,0,3,3,6,25,19,14,10,0,80,0,3,13,13,14,11,7,11,3,78,11,4,24,33,30,26,4,10,3,144,0,4,0,0,4,3,3,0,0,20
SSC40008,0,7,8,0,0,3,0,0,0,22,29,180,127,156,94,73,46,70,6,779,0,3,0,7,3,0,7,3,0,23,0,0,0,0,0,4,3,9,0,17,0,14,3,3,12,17,3,24,3,85,0,0,0,4,4,6,0,3,0,22,0,7,6,11,7,21,21,25,0,108,0,0,0,3,3,5,3,13,0,33,3,47,9,16,9,3,3,11,0,101,3,36,18,12,9,0,7,7,0,87,0,0,0,6,4,7,7,3,0,28,0,4,0,3,6,8,3,0,0,23,3,4,8,5,12,17,10,19,0,65,0,3,3,6,3,5,3,3,0,22,6,21,16,22,29,44,23,34,0,202,0,9,3,8,6,3,0,7,0,41,3,10,11,14,36,18,20,16,0,119,5,32,35,29,24,19,25,49,0,223,5,38,52,68,33,28,16,22,0,267,0,12,7,9,7,8,0,0,0,38
SSC40009,0,0,0,0,0,0,0,0,0,5,4,25,17,24,21,13,8,8,0,119,0,0,0,6,0,0,0,3,0,11,0,0,0,0,0,0,0,0,0,3,0,7,0,0,3,0,4,0,0,22,0,0,0,0,0,0,0,0,0,0,0,6,0,7,3,11,5,8,0,34,0,0,0,0,3,0,0,5,0,7,0,5,6,4,3,0,3,0,0,15,0,5,0,3,0,0,0,3,0,22,0,0,0,0,3,0,0,0,0,7,0,0,0,0,3,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,3,0,4,0,12,0,3,0,0,3,0,0,0,0,6,0,0,0,0,3,0,3,0,0,13,0,8,7,0,6,0,0,4,0,22,3,10,8,14,15,4,0,0,0,48,0,0,0,0,0,3,0,0,0,7
SSC40010,7,12,11,3,8,7,3,3,15,66,141,376,350,415,393,177,101,85,34,2077,0,13,11,16,14,8,5,16,0,82,10,0,6,4,3,3,4,27,0,51,13,21,21,23,121,62,35,47,3,351,3,3,3,5,15,7,4,7,0,62,22,24,31,50,79,124,61,94,8,488,5,0,3,16,28,21,16,16,0,100,22,112,73,81,81,50,50,34,6,510,14,83,41,42,35,19,20,21,0,276,9,14,12,13,32,12,13,35,4,144,0,3,6,5,15,10,3,7,0,45,12,0,12,11,31,17,10,7,0,103,0,5,8,3,13,9,5,3,0,43,0,26,18,29,27,31,13,17,0,159,8,48,39,44,44,28,9,9,3,225,21,10,25,17,68,50,27,27,0,245,18,34,44,61,50,38,24,29,4,291,50,80,116,176,146,41,24,21,4,657,0,10,6,3,7,3,0,3,0,32
