SSC_CODE_2016,Num_MVs_per_dweling_0_MVs,Num_MVs_per_dweling_1_MVs,Num_MVs_per_dweling_2_MVs,Num_MVs_per_dweling_3_MVs,Num_MVs_per_dweling_4mo_MVs,Num_MVs_per_dweling_Tot,Num_MVs_NS,Total_dwelings
SSC41042,58,814,1019,237,70,2195,33,2226
SSC41043,4,33,74,31,15,162,8,168
SSC41044,353,1237,815,149,54,2612,74,2680
SSC41045,0,0,0,0,0,3,0,3
SSC41046,88,306,384,99,41,927,36,959
SSC41047,0,0,0,0,0,3,0,3
SSC41048,0,0,3,3,4,10,0,10
SSC41049,129,922,938,333,177,2499,47,2547
SSC41050,0,0,3,4,0,14,0,14
SSC41051,0,3,6,0,3,7,0,7
SSC41052,41,349,441,144,52,1023,25,1050
SSC41053,61,360,249,68,34,773,28,804
SSC41054,3,71,128,54,45,302,11,308
SSC41055,114,552,514,113,52,1341,38,1380
SSC41056,0,0,0,0,0,0,0,0
SSC41057,282,744,432,114,35,1611,55,1663
SSC41058,3,16,57,35,26,137,7,150
SSC41059,0,0,5,0,0,5,0,5
SSC41060,0,0,0,0,0,7,0,7
SSC41061,22,169,217,73,36,519,20,538
SSC41062,77,524,487,154,62,1301,45,1350
SSC41063,0,0,0,0,0,0,0,0
SSC41064,0,0,0,0,0,0,0,0
SSC41065,3,46,147,72,71,343,10,353
SSC41066,8,152,344,202,125,829,13,841
SSC41067,0,0,0,0,0,3,0,3
SSC41068,12,24,6,4,8,59,5,59
SSC41069,10,71,85,42,28,241,11,247
SSC41070,91,308,262,64,30,750,35,785
SSC41071,112,327,315,109,41,904,36,933
SSC41072,0,5,0,0,0,5,0,5
SSC41073,0,0,12,8,0,17,0,18
SSC41074,58,133,91,17,3,295,9,306
SSC41075,4,57,69,26,18,186,4,187
SSC41076,0,27,37,33,20,111,3,114
SSC41077,0,10,17,23,13,67,0,67
SSC41078,0,4,16,13,11,54,0,54
SSC41079,3,3,14,8,9,29,0,31
SSC41080,0,0,0,0,0,0,0,3
SSC41081,0,3,6,4,9,25,0,27
SSC41082,3,24,23,16,10,73,3,72
SSC41083,0,0,0,0,0,3,0,3
SSC41084,41,284,349,121,53,840,29,872
SSC41085,118,904,925,289,122,2354,59,2416
SSC41086,119,533,419,116,47,1230,48,1282
SSC41087,91,451,406,122,48,1112,39,1149
SSC41088,0,4,0,0,3,8,0,8
SSC41089,0,20,73,24,22,135,7,142
SSC41090,198,998,890,280,152,2512,70,2579
SSC41091,0,0,0,0,0,0,0,0
SSC41092,389,1910,2158,757,359,5570,188,5758
SSC41093,227,1681,2238,772,396,5309,147,5455
SSC41094,0,0,3,0,0,0,0,7
SSC41095,0,0,0,0,0,0,0,0
SSC41096,0,3,10,11,7,27,0,27
SSC41097,3,15,42,10,4,80,7,83
SSC41098,0,8,24,8,14,63,3,65
SSC41099,21,121,163,45,35,384,15,399
SSC41100,0,10,33,18,11,74,8,78
SSC41101,142,529,365,100,36,1177,49,1229
SSC41102,179,825,693,140,61,1896,44,1945
SSC41103,0,0,0,0,0,0,0,0
SSC41104,4,14,15,8,4,53,7,59
SSC41105,0,10,10,3,5,32,0,33
SSC41106,0,3,7,4,4,12,0,12
SSC41107,92,503,390,115,59,1158,31,1193
SSC41108,0,19,19,12,7,61,0,60
SSC41109,0,0,6,4,9,22,4,20
SSC41110,140,509,287,64,32,1034,36,1071
SSC41111,66,268,208,64,30,636,15,648
SSC41112,0,14,20,10,4,48,0,51
SSC41113,0,0,7,5,0,12,0,17
SSC41114,0,3,3,0,3,14,0,14
SSC41115,0,0,0,0,4,9,0,9
SSC41116,0,6,11,5,5,24,0,27
SSC41117,0,14,8,4,0,31,0,31
SSC41118,0,11,11,6,4,30,0,38
SSC41119,0,3,0,0,0,3,0,3
SSC41120,23,159,109,31,23,336,13,350
SSC41121,3,17,27,24,30,94,0,94
SSC41122,4,39,49,10,7,103,5,110
SSC41123,196,420,415,166,60,1250,75,1330
SSC41124,28,184,233,97,55,590,19,611
SSC41125,4,25,34,20,19,95,9,101
SSC41126,0,24,76,29,17,153,0,153
