SSC_CODE_2016,P15_19_Managers,P15_19_Professionals,P15_19_TechnicTrades_Wrs,P15_19_CommunPersnlSvc_W,P15_19_ClericalAdminis_W,P15_19_Sales_W,P15_19_Mach_oper_drivers,P15_19_Labourers,P15_19_Occu_ID_NS,P15_19_Tot,P20_24_Managers,P20_24_Professionals,P20_24_TechnicTrades_W,P20_24_CommunPersnlSvc_W,P20_24_ClericalAdminis_W,P20_24_Sales_W,P20_24_Mach_oper_drivers,P20_24_Labourers,P20_24_Occu_ID_NS,P20_24_Tot,P25_34_Managers,P25_34_Professionals,P25_34_TechnicTrades_W,P25_34_CommunPersnlSvc_W,P25_34_ClericalAdminis_W,P25_34_Sales_W,P25_34_Mach_oper_drivers,P25_34_Labourers,P25_34_Occu_ID_NS,P25_34_Tot,P35_44_Managers,P35_44_Professionals,P35_44_TechnicTrades_W,P35_44_CommunPersnlSvc_W,P35_44_ClericalAdminis_W,P35_44_Sales_W,P35_44_Mach_oper_drivers,P35_44_Labourers,P35_44_Occu_ID_NS,P35_44_Tot,P45_54_Managers,P45_54_Professionals,P45_54_TechnicTrades_W,P45_54_CommunPersnlSvc_W,P45_54_ClericalAdminis_W,P45_54_Sales_W,P45_54_Mach_oper_drivers,P45_54_Labourers,P45_54_Occu_ID_NS,P45_54_Tot,P55_64_Managers,P55_64_Professionals,P55_64_TechnicTrades_W,P55_64_CommunPersnlSvc_W,P55_64_ClericalAdminis_W,P55_64_Sales_W,P55_64_Mach_oper_drivers,P55_64_Labourers,P55_64_Occu_ID_NS,P55_64_Tot,P65_74_Managers,P65_74_Professionals,P65_74_TechnicTrades_W,P65_74_CommunPersnlSvc_W,P65_74_ClericalAdminis_W,P65_74_Sales_W,P65_74_Mach_oper_drivers,P65_74_Labourers,P65_74_Occu_ID_NS,P65_74_Tot,P75_84_Managers,P75_84_Professionals,P75_84_TechnicTrades_W,P75_84_CommunPersnlSvc_W,P75_84_ClericalAdminis_W,P75_84_Sales_W,P75_84_Mach_oper_drivers,P75_84_Labourers,P75_84_Occu_ID_NS,P75_84_Tot,P85_ov_Managers,P85_ov_Professionals,P85_ov_TechnicTrades_W,P85_ov_CommunPersnlSvc_W,P85_ov_ClericalAdminis_W,P85_ov_Sales_W,P85_ov_Mach_oper_drivers,P85_ov_Labourers,P85_ov_Occu_ID_NS,P85_ov_Tot,P_Tot_Managers,P_Tot_Professionals,P_Tot_TechnicTrades_W,P_Tot_CommunPersnlSvc_W,P_Tot_ClericalAdminis_W,P_Tot_Sales_W,P_Tot_Mach_oper_drivers,P_Tot_Labourers,P_Tot_Occu_ID_NS,P_Tot_Tot
SSC41448,0,3,9,10,7,10,0,17,0,62,5,25,14,32,14,25,0,3,0,134,21,90,26,18,27,18,3,15,3,228,52,100,19,13,25,5,0,3,0,221,74,148,15,18,38,13,3,8,9,324,40,125,15,20,30,13,4,11,5,262,20,35,5,5,8,6,0,3,0,75,0,0,0,0,0,3,0,0,3,3,0,0,0,0,0,0,0,0,0,0,215,523,97,120,149,96,22,65,20,1305
SSC41449,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,7,3,0,0,0,0,0,0,0,9,7,0,0,0,0,0,0,0,0,8,4,3,0,3,0,0,0,0,0,10,5,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,17,3,3,4,3,8,3,4,0,46
SSC41450,3,0,3,17,4,30,0,17,0,72,3,41,18,69,28,25,9,35,4,229,61,185,68,87,65,41,23,43,8,578,62,124,34,34,71,32,20,28,8,401,65,95,50,30,65,27,30,28,5,393,32,80,24,25,42,17,11,27,7,266,4,11,6,0,3,3,7,5,0,41,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,233,534,206,251,278,177,92,182,26,1983
SSC41451,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,4,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,3,4,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,3,0,15
SSC41452,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,6
SSC41453,0,0,0,0,0,0,0,0,0,0,0,0,3,5,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,4,0,3,0,0,0,0,0,0,0,9,5,4,0,0,4,4,0,0,0,12,6,0,3,0,0,0,0,0,0,14,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,7,12,8,11,4,3,3,0,57
SSC41454,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,7,3,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,3,0,0,0,3,0,14
SSC41455,5,4,5,14,3,40,0,11,0,83,9,29,17,31,22,38,3,18,5,177,43,139,35,49,44,30,6,18,5,371,58,144,37,31,68,30,5,3,4,376,92,133,32,44,68,31,18,27,7,461,35,89,29,19,59,11,9,10,4,272,4,36,8,3,10,3,0,10,0,73,0,0,3,0,0,3,0,0,0,11,0,0,0,0,0,0,0,0,0,5,252,573,164,190,284,191,42,105,25,1824
SSC41456,0,5,3,8,0,11,0,11,0,40,3,10,9,22,3,10,3,13,0,75,10,45,13,10,8,0,7,7,4,101,19,54,16,5,17,5,0,5,0,121,30,56,25,13,32,14,7,7,5,181,15,44,8,3,25,3,3,3,3,122,7,7,0,0,3,0,0,4,0,21,0,0,0,0,3,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,76,232,75,60,91,51,26,43,10,658
SSC41457,0,0,17,16,0,32,4,16,0,87,6,16,28,28,20,28,8,14,4,147,42,98,89,46,62,36,17,31,3,416,34,59,65,36,64,15,25,15,3,320,36,54,57,53,64,21,24,36,5,346,28,48,58,41,56,19,26,26,4,309,0,3,12,9,9,0,3,3,0,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,148,276,313,223,280,162,102,138,19,1658
