SSC_CODE_2016,M_0_149_CFNC,M_0_149_CF_C_und15,M_0_149_CFNC_und15,M_0_149_1PF_C_und15,M_0_149_1PFNC_und15,M_0_149_OthF,M_0_149_Tot,M_150_299_CFNC,M_150_299_CF_C_und15,M_150_299_CFNC_und15,M_150_299_1PF_C_und15,M_150_299_1PFNC_und15,M_150_299_OthF,M_150_299_Tot,M_300_449_CFNC,M_300_449_CF_C_und15,M_300_449_CFNC_und15,M_300_449_1PF_C_und15,M_300_449_1PFNC_und15,M_300_449_OthF,M_300_449_Tot,M_450_599_CFNC,M_450_599_CF_C_und15,M_450_599_CFNC_und15,M_450_599_1PF_C_und15,M_450_599_1PFNC_und15,M_450_599_OthF,M_450_599_Tot,M_600_799_CFNC,M_600_799_CF_C_und15,M_600_799_CFNC_und15,M_600_799_1PF_C_und15,M_600_799_1PFNC_und15,M_600_799_OthF,M_600_799_Tot,M_800_999_CFNC,M_800_999_CF_C_und15,M_800_999_CFNC_und15,M_800_999_1PF_C_und15,M_800_999_1PFNC_und15,M_800_999_OthF,M_800_999_Tot,M_1000_1199_CFNC,M_1000_1199_CF_C_und15,M_1000_1199_CFNC_und15,M_1000_1199_1PF_C_und15,M_1000_1199_1PFNC_und15,M_1000_1199_OthF,M_1000_1199_Tot,M_1200_1399_CFNC,M_1200_1399_CF_C_und15,M_1200_1399_CFNC_und15,M_1200_1399_1PF_C_und15,M_1200_1399_1PFNC_und15,M_1200_1399_OthF,M_1200_1399_Tot,M_1400_1599_CFNC,M_1400_1599_CF_C_und15,M_1400_1599_CFNC_und15,M_1400_1599_1PF_C_und15,M_1400_1599_1PFNC_und15,M_1400_1599_OthF,M_1400_1599_Tot,M_1600_1799_CFNC,M_1600_1799_CF_C_und15,M_1600_1799_CFNC_und15,M_1600_1799_1PF_C_und15,M_1600_1799_1PFNC_und15,M_1600_1799_OthF,M_1600_1799_Tot,M_1800_1999_CFNC,M_1800_1999_CF_C_und15,M_1800_1999_CFNC_und15,M_1800_1999_1PF_C_und15,M_1800_1999_1PFNC_und15,M_1800_1999_OthF,M_1800_1999_Tot,M_2000_2199_CFNC,M_2000_2199_CF_C_und15,M_2000_2199_CFNC_und15,M_2000_2199_1PF_C_und15,M_2000_2199_1PFNC_und15,M_2000_2199_OthF,M_2000_2199_Tot,M_2200_2399_CFNC,M_2200_2399_CF_C_und15,M_2200_2399_CFNC_und15,M_2200_2399_1PF_C_und15,M_2200_2399_1PFNC_und15,M_2200_2399_OthF,M_2200_2399_Tot,M_2400_2599_CFNC,M_2400_2599_CF_C_und15,M_2400_2599_CFNC_und15,M_2400_2599_1PF_C_und15,M_2400_2599_1PFNC_und15,M_2400_2599_OthF,M_2400_2599_Tot,M_2600_2999_CFNC,M_2600_2999_CF_C_und15,M_2600_2999_CFNC_und15,M_2600_2999_1PF_C_und15,M_2600_2999_1PFNC_und15,M_2600_2999_OthF,M_2600_2999_Tot,M_3000_3999_CFNC,M_3000_3999_CF_C_und15,M_3000_3999_CFNC_und15,M_3000_3999_1PF_C_und15,M_3000_3999_1PFNC_und15,M_3000_3999_OthF,M_3000_3999_Tot,M_4000_4999_CFNC,M_4000_4999_CF_C_und15,M_4000_4999_CFNC_und15,M_4000_4999_1PF_C_und15,M_4000_4999_1PFNC_und15,M_4000_4999_OthF,M_4000_4999_Tot,M_5000over_CFNC,M_5000over_CF_C_und15,M_5000over_CFNC_und15,M_5000over_1PF_C_und15,M_5000over_1PFNC_und15,M_5000over_OthF,M_5000over_Tot,M_NS_CFNC,M_NS_CF_C_und15,M_NS_CFNC_und15,M_NS_1PF_C_und15,M_NS_1PFNC_und15,M_NS_OthF,M_NS_Tot,Tot_CFNC,Tot_CF_C_und15,Tot_CFNC_und15,Tot_1PF_C_und15,Tot_1PFNC_und15,Tot_OthF,Tot_Tot
SSC40001,31,13,12,3,3,0,62,17,3,4,0,8,0,37,15,3,16,3,5,0,44,20,10,13,0,7,0,47,32,12,17,5,11,0,72,24,24,28,5,19,0,102,38,38,40,7,11,3,136,41,76,34,11,9,0,174,45,67,43,13,11,0,177,35,101,44,14,12,0,202,50,90,17,3,5,0,168,32,83,44,11,7,0,175,19,52,7,3,3,0,85,10,19,12,0,0,0,37,14,34,20,3,0,0,75,16,34,14,0,4,0,68,0,6,9,0,0,0,12,3,3,0,0,0,0,4,17,14,8,3,5,0,41,452,680,383,88,115,11,1726
SSC40002,24,4,0,0,6,3,33,0,0,3,0,0,0,3,3,0,0,0,0,0,3,4,0,0,0,0,0,4,10,7,3,0,3,0,19,7,3,0,3,0,0,18,17,7,0,0,0,0,26,31,5,3,6,3,0,42,24,8,0,4,3,3,41,27,18,0,0,0,4,43,21,6,3,0,4,0,31,42,15,9,0,3,3,77,11,7,0,0,3,0,26,9,3,0,3,0,0,17,30,13,8,0,3,4,52,36,3,3,3,3,0,50,12,4,0,0,0,0,18,13,8,5,0,0,0,25,0,7,5,0,0,0,15,326,105,42,24,35,18,549
SSC40003,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SSC40004,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SSC40005,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,5
SSC40006,3,0,0,0,3,0,7,0,3,0,0,0,0,3,4,0,0,0,3,0,3,0,3,0,0,0,0,3,3,0,3,0,3,0,8,5,0,0,0,3,0,12,6,3,3,5,5,0,22,3,4,0,3,0,0,20,6,12,3,0,0,0,22,10,7,4,3,4,0,30,4,11,5,0,0,0,18,12,13,0,0,0,3,32,4,3,0,0,0,0,13,0,3,0,0,0,0,3,3,11,4,0,0,0,19,5,3,0,0,0,0,4,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,3,0,0,0,0,5,68,88,26,21,23,3,231
SSC40007,4,0,3,0,0,0,14,0,0,0,0,0,0,4,4,0,0,0,0,0,9,3,0,0,0,0,0,6,4,3,3,0,0,0,7,3,4,0,4,3,0,13,7,4,0,0,0,0,11,9,7,3,0,4,0,23,8,3,0,3,0,0,13,6,10,5,0,3,0,24,3,10,0,0,0,0,13,3,8,6,4,0,0,26,6,6,0,0,0,0,15,0,4,0,0,0,0,8,6,9,0,0,0,0,12,10,9,0,0,0,0,20,3,0,0,0,0,0,4,0,0,0,0,0,0,0,0,3,0,0,0,0,3,76,77,37,13,16,3,220
SSC40008,4,6,0,0,3,0,13,0,0,3,0,0,0,7,4,3,4,0,0,0,12,9,4,0,0,3,0,15,10,11,3,0,0,0,25,12,7,7,0,0,0,27,3,10,8,0,0,0,24,4,15,5,3,0,0,30,7,12,8,0,0,0,25,3,11,8,0,3,0,32,9,12,3,0,3,0,24,7,31,8,0,3,0,49,9,8,3,4,0,0,27,6,13,5,0,0,0,19,3,28,3,8,0,0,42,11,43,8,3,0,0,68,10,20,4,0,0,0,32,6,8,0,0,0,0,18,4,6,0,0,0,0,19,126,244,81,22,21,4,500
SSC40009,0,0,0,0,0,0,0,3,0,0,0,0,0,3,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,3,0,0,0,0,3,0,5,0,3,0,0,6,3,3,5,3,0,0,10,0,3,0,0,0,0,10,0,3,0,0,0,0,6,0,3,0,0,0,0,3,0,3,0,0,0,0,7,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,5,3,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,23,22,8,9,0,0,70
SSC40010,12,5,3,0,5,0,29,6,3,0,0,0,0,15,15,4,3,4,8,0,33,13,10,4,7,4,0,32,22,12,7,9,8,0,59,25,26,3,7,9,0,75,24,34,21,3,11,0,95,46,71,18,15,13,3,173,50,77,7,18,14,0,168,46,107,14,10,13,0,194,24,74,9,5,0,0,111,27,77,18,4,3,0,132,8,32,8,3,0,0,50,4,17,4,0,0,0,27,10,23,4,3,0,0,35,8,19,6,0,0,0,41,0,9,5,0,0,0,14,4,3,0,0,0,0,8,19,17,10,4,5,0,55,365,608,161,102,97,8,1345
