SSC_CODE_2016,O_OR_DS_Sep_house,O_OR_DS_SemiD_ro_or_tce_h_th,O_OR_DS_Flat_apart,O_OR_DS_Oth_dwell,O_OR_DS_not_stated,O_OR_Total,O_MTG_DS_Sep_house,O_MTG_DS_SemiD_ro_or_tce_h_th,O_MTG_DS_Flat_apart,O_MTG_DS_Oth_dwell,O_MTG_DS_not_stated,O_MTG_Total,R_RE_Agt_DS_Sep_house,R_RE_Ag_DS_SemD_ro_or_tc_h_th,R_RE_Agt_DS_Flat_apart,R_RE_Agt_DS_Oth_dwell,R_RE_Agt_DS_not_stated,R_RE_Agt_Total,R_ST_h_auth_DS_Sep_house,R_ST_h_au_DS_SD_ro_or_tc_h_th,R_ST_h_auth_DS_Flat_apart,R_ST_h_auth_DS_Oth_dwell,R_ST_h_auth_DS_not_stated,R_ST_h_auth_Total,R_Psn_not_in_s_hh_DS_Sep_hous,R_P_not_in_s_h_DS_SD_ro_t_h_t,R_P_not_in_s_hh_DS_Flat_apart,R_Psn_not_in_s_hh_DS_Oth_dwel,R_Psn_not_in_s_hh_DS_NS,R_Psn_not_in_s_hh_Total,R_Hs_cop_cty_ch_gp_DS_Sp_ho,R_Hs_c_ct_ch_g_DS_SD_ro_t_h_t,R_Hse_cp_cty_ch_g_DS_Flt_apt,R_Hs_cop_cty_ch_gp_DS_Ot_dwel,R_Hse_coop_cty_ch_gp_DS_NS,R_Hse_coop_cty_ch_gp_Total,R_Ot_landld_typ_DS_Sep_house,R_O_LLd_typ_DS_SD_ro_tc_h_th,R_Ot_LLd_typ_DS_Flat_apart,R_Ot_landld_typ_DS_Oth_dwell,R_Ot_landld_typ_DS_not_stated,R_Ot_landld_typ_Total,R_Landld_typ_NS_DS_Sep_house,R_Ld_typ_NS_DS_SD_ro_tce_h_th,R_LLd_typ_NS_DS_Flat_apart,R_Landld_typ_NS_DS_Oth_dwell,R_Landld_typ_NS_DS_not_stated,R_Landld_typ_NS_Total,R_Tot_DS_Sep_house,R_Tot_DS_SemiD_ro_or_tce_h_th,R_Tot_DS_Flat_apart,R_Tot_DS_Oth_dwell,R_Tot_DS_not_stated,R_Tot_Total,Oth_ten_type_DS_Sep_house,Oth_ten_ty_DS_SD_ro_tce_h_th,Oth_ten_type_DS_Flat_apart,Oth_ten_type_DS_Oth_dwell,Oth_ten_type_DS_not_stated,Oth_ten_type_Total,Ten_type_NS_DS_Sep_house,Ten_ty_NS_DS_SD_ro_tce_h_t,Ten_ty_NS_DS_Flat_apart,Ten_type_NS_DS_Oth_dwell,Ten_type_NS_DS_not_stated,Ten_type_NS_Total,Total_DS_Sep_house,Total_DS_SemiD_ro_or_tce_h_th,Total_DS_Flat_apart,Total_DS_Oth_dwell,Total_DS_not_stated,Total_Total
SSC40001,1189,58,0,0,0,1252,1925,31,0,0,3,1957,301,19,0,0,0,316,96,0,0,0,0,96,182,15,0,0,0,199,8,7,0,0,0,15,7,0,0,0,0,7,12,3,0,0,0,16,608,38,3,0,0,652,16,71,0,0,0,89,47,10,0,0,0,53,3789,202,0,0,3,3999
SSC40002,117,383,431,3,9,939,104,364,537,4,0,1010,66,549,1595,15,11,2241,5,139,291,0,0,437,43,300,406,19,8,778,3,53,168,0,0,222,0,16,59,0,4,81,3,9,25,0,0,31,126,1060,2543,36,28,3790,5,21,42,3,0,63,7,53,117,5,21,205,353,1882,3663,55,60,6014
SSC40003,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SSC40004,18,0,0,0,0,18,3,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,31,0,0,0,0,31
SSC40005,13,0,0,0,0,13,10,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,0,0,0,0,22
SSC40006,174,13,0,0,0,182,249,29,0,0,0,282,44,14,7,0,0,69,43,24,13,0,0,83,36,15,4,0,0,54,0,0,0,0,0,0,5,0,0,0,0,7,4,0,0,0,0,6,134,54,27,0,0,218,3,0,0,0,0,5,16,0,0,0,0,16,577,97,29,0,3,705
SSC40007,189,32,15,0,0,239,239,36,15,0,3,290,35,49,17,0,0,105,17,11,3,0,0,37,41,23,23,0,0,80,3,4,6,0,0,6,7,0,0,0,0,10,0,0,3,0,0,3,102,89,53,0,3,245,5,4,6,0,0,21,11,0,3,0,0,13,546,165,97,0,5,812
SSC40008,511,0,0,0,0,513,540,0,0,0,0,539,29,0,3,0,0,36,0,0,0,0,0,0,28,0,0,0,0,31,3,0,0,0,0,3,3,0,0,0,0,3,0,0,0,0,0,0,66,0,3,0,0,69,0,0,0,0,0,3,14,0,0,0,0,14,1134,0,3,0,7,1143
SSC40009,62,10,0,15,14,95,73,19,0,0,4,90,5,4,0,0,3,18,0,0,0,0,0,0,16,6,0,0,0,19,0,0,0,0,0,0,0,0,0,0,7,4,3,0,0,0,0,4,28,11,0,3,6,49,0,0,0,0,0,0,3,0,0,0,0,3,161,38,0,15,21,240
SSC40010,709,18,37,18,0,780,1566,46,9,0,6,1631,691,107,19,0,0,819,22,0,0,0,0,25,271,9,5,0,0,288,17,0,3,0,0,22,16,0,0,3,0,21,12,0,0,0,0,13,1030,119,31,3,0,1183,7,0,46,0,0,50,73,9,6,0,3,96,3388,192,131,18,14,3740
