SSC_CODE_2016,Median_age_persons,Median_mortgage_repay_monthly,Median_tot_prsnl_inc_weekly,Median_rent_weekly,Median_tot_fam_inc_weekly,Average_num_psns_per_bedroom,Median_tot_hhd_inc_weekly,Average_household_size
SSC41401,54,0,843,0,2249,0,2249,2.6
SSC41402,49,867,471,190,1076,0.7,794,2.2
SSC41403,32,0,575,173,1125,0.8,900,1
SSC41404,54,0,325,0,0,0.6,0,2
SSC41405,46,910,564,120,1476,0.8,1169,2.5
SSC41406,47,1408,679,270,1646,0.7,1234,2.3
SSC41407,41,1343,463,200,1108,0.8,835,2.3
SSC41408,42,917,599,95,1374,1,1174,2
SSC41409,49,0,885,0,1625,0.4,1562,2
SSC41410,0,0,0,0,0,0,0,0
SSC41411,44,946,599,0,2125,0.9,1562,2.2
SSC41412,41,975,504,245,1312,0.8,1111,2.6
SSC41413,52,0,669,0,1125,0.7,849,1.8
SSC41414,48,780,456,150,1107,0.7,861,2.2
SSC41415,46,1500,715,315,1825,0.7,1593,2.6
SSC41416,68,0,483,0,0,0.6,0,2
SSC41417,37,1083,541,150,1468,0.8,1305,3.1
SSC41418,43,1517,668,300,1697,0.8,1389,2.5
SSC41419,0,0,0,0,0,0,0,0
SSC41420,50,1083,599,100,1375,0.7,1291,2.7
SSC41421,40,1625,669,0,1906,1.1,1416,3.3
SSC41422,50,2000,894,320,2423,0.8,1836,2.2
SSC41423,49,0,675,0,1124,0.5,933,1.3
SSC41424,45,1800,868,330,2268,0.8,1960,2.6
SSC41425,49,650,372,38,784,0.7,706,1.8
SSC41426,44,0,612,0,1208,0.8,1166,2
SSC41427,59,1083,403,55,725,0.5,640,2
SSC41428,51,1825,762,260,1875,0.8,1792,2.6
SSC41429,38,1530,606,285,1631,0.8,1149,2.1
SSC41430,40,1257,734,230,1642,0.8,1327,2.5
SSC41431,38,0,1562,0,4750,1.2,3416,3.3
SSC41432,49,945,503,245,979,0.7,958,1.9
SSC41433,42,2242,708,318,3124,0.8,2374,3
SSC41434,47,0,849,0,2124,0.8,1375,2.8
SSC41435,36,0,774,0,2250,0,2250,2
SSC41436,39,1618,863,300,1916,0.9,1770,2.7
SSC41437,60,667,445,105,985,0.8,885,2.3
SSC41438,66,988,447,230,871,0.6,772,1.8
SSC41439,30,0,700,0,1125,0.7,1083,2
SSC41440,38,997,639,110,1388,0.7,1244,2.4
SSC41441,53,0,450,300,1999,0.7,1562,1.7
SSC41442,49,0,619,0,1062,0.6,1291,1.7
SSC41443,45,1408,596,250,1292,0.8,1328,2.4
SSC41444,49,1536,725,0,1874,0.6,1562,2
SSC41445,45,2167,934,295,2682,0.9,1897,2.5
SSC41446,38,0,1124,0,2249,1.5,0,4
SSC41447,0,0,0,0,0,0,0,0
SSC41448,42,1970,832,300,2442,0.8,1812,2.4
SSC41449,48,1219,784,0,2071,0.7,1749,2.6
SSC41450,36,1733,572,300,1636,0.9,1279,2.4
SSC41451,47,0,725,0,1875,1,1874,3
SSC41452,54,0,412,0,0,0.6,900,1.4
SSC41453,52,2046,782,290,1916,0.8,1458,2.7
SSC41454,56,975,575,0,1312,0.6,1292,1.6
SSC41455,39,1987,667,320,1960,0.8,1425,2.5
SSC41456,41,1975,707,330,2108,0.8,1592,2.6
SSC41457,37,1500,708,320,1699,0.8,1510,2.7
SSC41458,39,1213,607,225,1437,0.9,1300,2.7
