SSC_CODE_2016,Median_age_persons,Median_mortgage_repay_monthly,Median_tot_prsnl_inc_weekly,Median_rent_weekly,Median_tot_fam_inc_weekly,Average_num_psns_per_bedroom,Median_tot_hhd_inc_weekly,Average_household_size
SSC40073,0,0,0,0,0,0,0,0
SSC40074,25,0,900,0,0,0,0,0
SSC40075,49,1167,739,0,1687,0.8,1312,2.4
SSC40076,48,1950,724,0,1458,0.7,1468,2.4
SSC40077,35,0,1062,47,2250,1,1625,2
SSC40078,46,1863,768,280,2111,0.9,1888,2.6
SSC40079,54,867,471,0,1042,0.6,725,1.8
SSC40080,48,0,425,0,1562,0.9,1333,2.5
SSC40081,52,1300,532,160,1231,0.7,1008,2.3
SSC40082,34,0,1100,0,0,0,0,0
SSC40083,39,829,612,0,1541,0.7,1093,2.6
SSC40084,45,2167,952,420,2782,0.8,2265,2.7
SSC40085,0,0,0,0,0,0,0,0
SSC40086,27,1600,353,270,1165,1,1027,2.7
SSC40087,52,840,511,0,2049,1.1,1374,2.6
SSC40088,46,1950,769,358,2224,0.8,1883,2.6
SSC40089,33,0,880,0,2083,0.8,1937,3.2
SSC40090,41,0,599,50,1375,0.7,1166,2.3
SSC40091,51,1733,638,325,1793,0.7,1378,2.4
SSC40092,34,0,350,25,0,1,450,1
SSC40093,65,0,962,0,0,0,0,0
SSC40094,38,1300,642,190,1792,0.7,1424,2.8
SSC40095,74,0,725,0,1999,0.6,1999,2
SSC40096,41,1083,519,185,1151,0.7,893,2.2
SSC40097,44,1733,680,0,2071,0.9,1562,2.7
SSC40098,49,1300,628,0,1375,0.7,1187,1.7
SSC40099,39,2000,847,350,2241,0.8,1633,2.3
SSC40100,37,1676,600,283,1451,0.8,1147,2.4
SSC40101,46,1652,625,266,2024,0.7,1875,2.6
SSC40102,61,0,537,0,0,0,0,0
SSC40103,46,2334,890,0,2250,0.8,2124,2.9
SSC40104,0,0,0,0,0,0,0,0
SSC40105,51,477,660,0,1812,0.5,1312,2.3
SSC40106,34,1149,661,0,1406,1.1,1406,2.6
SSC40107,42,1630,640,270,1738,0.8,1371,2.6
SSC40108,41,1517,688,290,1568,0.8,1233,2.2
SSC40109,39,1647,724,270,1851,0.9,1344,2.3
SSC40110,50,1009,350,0,725,0.6,489,1.5
SSC40111,64,0,660,0,1218,0.5,1218,1.7
SSC40112,58,0,1083,0,2374,0.6,1437,1.8
SSC40113,37,1149,410,168,1031,0.9,900,2.9
SSC40114,60,997,460,0,1874,0.6,746,1.4
SSC40115,50,1450,725,0,1312,0.8,1312,1.6
SSC40116,46,0,1018,7,1937,0.7,1687,2.1
SSC40117,44,1733,742,295,1958,0.8,1483,2.4
SSC40118,34,1517,454,275,1175,0.9,1001,2.7
SSC40119,29,1517,694,300,1567,0.8,1423,2.8
SSC40120,43,1950,829,435,2303,0.8,2285,3.1
SSC40121,59,0,612,0,1124,0.6,1062,1.5
SSC40122,53,704,458,140,988,0.8,741,1.9
SSC40123,41,1719,560,0,1625,0.9,1625,2.8
SSC40124,50,2167,565,200,1485,0.8,1388,2.6
SSC40125,56,0,669,0,1249,0.5,900,1.6
SSC40126,63,0,483,0,1875,0.4,1187,1.5
SSC40127,35,1083,575,190,1316,0.8,1152,2.6
SSC40128,55,605,417,0,833,0.7,774,2.2
SSC40129,0,0,0,0,0,0,0,0
SSC40130,33,0,1583,0,2999,0.6,2250,3
SSC40131,62,958,416,200,769,1.1,661,1.6
SSC40132,31,0,1074,0,0,0,0,0
SSC40133,54,0,466,0,899,0.5,1124,1.5
SSC40134,38,0,833,0,0,0,1124,1
SSC40135,46,975,452,100,1093,0.7,936,2.4
SSC40136,42,1300,669,140,1458,0.8,1218,2.1
SSC40137,54,834,550,0,1374,0.6,762,1.6
SSC40138,52,858,581,150,1649,0.7,1035,2.2
SSC40139,33,0,274,0,1375,0,1312,4
SSC40140,28,0,680,0,0,0,1312,0
SSC40141,39,0,817,0,1718,0.9,1625,2.9
SSC40142,42,997,662,200,1402,0.7,1123,2.3
SSC40143,36,0,662,0,1125,1,1187,3.5
SSC40144,44,600,575,0,1374,0.7,1166,2.7
SSC40145,36,1842,767,328,1816,0.9,1789,3
SSC40146,33,1600,671,283,1557,0.8,1050,1.8
SSC40147,54,520,361,0,849,0.9,849,1.6
SSC40148,49,971,466,103,1042,0.8,933,2.4
SSC40149,50,0,575,0,2250,0.5,900,1.3
SSC40150,41,542,425,160,1375,0.5,612,1.6
SSC40151,50,1526,732,275,2166,0.8,1625,2.8
SSC40152,45,0,424,0,1024,0.6,725,2
SSC40153,36,1192,455,268,1095,0.8,938,2.6
SSC40154,56,336,417,0,687,0.6,459,1.6
SSC40155,39,1100,860,0,1625,0.8,1312,2.5
SSC40156,68,0,424,0,0,0,0,0
SSC40157,48,1300,537,120,1437,0.5,1149,2.1
SSC40158,40,1650,808,360,2070,0.8,1708,2.6
SSC40159,33,0,450,0,725,0.3,575,1
SSC40160,49,1772,721,320,1828,0.8,1294,2.2
SSC40161,33,217,537,0,1187,0.8,1062,2.7
SSC40162,47,1209,560,0,1321,0.8,1270,2.1
SSC40163,47,670,503,160,1156,0.7,944,2.2
SSC40164,36,1686,689,297,1810,0.8,1282,2.3
SSC40165,35,1668,706,350,1859,0.8,1375,2.1
SSC40166,43,0,919,0,1812,0.6,1687,2.3
SSC40167,36,1517,574,260,1426,0.9,1076,2.3
SSC40168,58,0,1374,0,0,0,0,0
SSC40169,57,0,350,0,0,0,725,2
SSC40170,49,0,537,0,1687,1,1624,2.7
SSC40171,41,1038,483,0,1812,0.8,1312,2.3
SSC40172,48,1300,618,200,1518,0.8,1187,2.3
SSC40173,55,0,274,0,0,1,0,2
SSC40174,41,1203,658,250,1635,0.8,1387,2.5
SSC40175,35,0,387,0,1374,1,1124,2.3
SSC40176,52,1603,480,240,1375,0.7,1097,2.4
SSC40177,35,1200,769,0,2250,0.9,1624,2.3
SSC40178,38,1600,598,241,1812,0.7,1708,2.8
SSC40179,35,0,916,0,1812,0.8,1624,2.5
SSC40180,54,428,674,0,2125,0.7,2187,2.3
SSC40181,48,1733,735,263,1702,0.8,1640,2.4
SSC40182,45,1300,602,175,1833,0.7,1350,2.6
SSC40183,48,0,725,0,1149,0.6,1149,2
SSC40184,43,0,599,0,0,0,0,2
SSC40185,62,0,350,0,1499,0.8,1125,1.4
SSC40186,38,0,780,150,2125,0.8,1812,2.9
SSC40187,62,0,299,0,0,0,0,0
SSC40188,43,932,462,0,1458,0.9,1333,2.6
SSC40189,31,0,725,0,0,0,1042,4
SSC40190,38,1132,581,140,1271,0.9,1187,2.7
SSC40191,31,0,274,0,0,0,0,0
SSC40192,43,2000,862,350,2407,0.8,1852,2.6
SSC40193,51,818,492,165,1201,0.7,881,2.1
SSC40194,57,0,325,0,1024,0,1024,2
SSC40195,46,1617,658,155,1812,0.8,1812,2.6
SSC40196,31,1430,586,300,1384,0.9,1333,3.1
SSC40197,48,867,450,150,941,0.7,765,2.1
SSC40198,41,623,706,95,2125,1.1,1874,3.2
SSC40199,46,709,501,140,937,0.7,809,2
SSC40200,46,0,860,0,1687,0.8,1625,2.5
SSC40201,59,0,519,0,949,0.6,575,2
SSC40202,37,0,525,0,1124,0,966,2
SSC40203,40,1200,590,290,1475,0.8,1308,2.5
SSC40204,47,1300,687,200,1187,0.6,1041,2.1
SSC40205,52,1421,626,200,1521,0.7,1218,2.1
SSC40206,47,683,476,100,982,0.8,924,2.5
SSC40207,54,0,949,0,0,0.5,1312,1.5
SSC40208,42,0,450,0,999,0,483,1
SSC40209,54,905,466,128,1187,0.7,850,2
SSC40210,36,1500,645,280,1510,0.8,1135,2.1
SSC40211,41,1603,515,277,1397,0.8,1040,2.3
SSC40212,25,0,674,0,1874,1,1437,2.9
SSC40213,40,1495,717,30,2042,0.7,1541,2.7
SSC40214,32,0,824,0,0,0,0,0
SSC40215,44,0,1125,100,2125,0.6,2125,3.1
SSC40216,54,0,487,0,0,0,1249,0
SSC40217,40,0,425,0,0,0,0,0
SSC40218,51,650,682,0,1375,0.6,1156,1.9
SSC40219,55,1365,492,0,1812,0.5,900,2
SSC40220,57,919,460,200,949,0.6,732,1.8
SSC40221,40,0,593,0,1125,0.5,1125,2.3
SSC40222,18,0,524,0,0,0,0,0
SSC40223,0,0,0,0,0,0,0,0
SSC40224,38,0,624,0,1542,0.6,1374,2.1
SSC40225,51,2000,769,236,2067,0.8,1625,2.5
SSC40226,44,0,687,0,0,0.6,1749,3.5
SSC40227,51,1450,833,123,1906,0.6,1562,1.6
SSC40228,59,1125,485,230,993,0.6,839,1.9
SSC40229,64,0,687,0,1874,0.5,1624,1.8
SSC40230,47,977,687,0,1375,0.8,1291,2.6
SSC40231,47,800,849,0,1416,0.8,1187,2.8
SSC40232,60,800,364,0,669,1.1,599,1.7
SSC40233,44,0,575,0,0,1,0,2
SSC40234,34,0,899,0,0,0,0,0
SSC40235,46,1083,833,0,2124,0.7,1624,2
SSC40236,38,1300,687,198,1456,0.8,1229,2.3
SSC40237,32,1733,963,300,2024,0.7,1857,2.6
SSC40238,43,997,487,160,1178,0.7,1047,2.6
SSC40239,45,780,612,0,1875,1,1125,2.5
SSC40240,41,0,833,0,2124,0.7,1374,2.5
SSC40241,45,1925,804,400,2218,0.8,2139,3
SSC40242,49,1430,550,0,1875,0.8,1812,2.6
SSC40243,45,0,725,0,1125,1,1062,3.3
SSC40244,41,1647,720,320,2140,0.8,1920,2.8
SSC40245,59,0,966,0,2125,0.6,2124,2
SSC40246,36,0,1166,0,2999,1.3,2416,3.4
SSC40247,44,1517,633,260,1697,0.8,1211,2.4
SSC40248,44,1668,730,280,2125,0.8,1850,3
SSC40249,45,2284,717,190,1687,1,1625,2.7
SSC40250,25,0,1312,0,3374,0,3374,2
SSC40251,66,0,725,0,0,0,0,0
SSC40252,35,0,725,0,0,0,0,1
SSC40253,0,0,0,0,0,0,0,0
SSC40254,39,1200,444,200,978,0.7,770,2.2
SSC40255,40,1375,532,290,1165,0.8,963,2.2
SSC40256,40,1880,753,320,2238,0.8,1778,2.6
SSC40257,44,1300,623,230,1402,0.7,1104,2.2
SSC40258,36,2000,740,323,2220,0.9,1732,2.7
SSC40259,38,1899,754,295,2095,0.9,1432,2.3
SSC40260,48,1733,760,220,2043,0.8,1883,2.7
SSC40261,44,0,774,0,2874,0.8,1625,2.9
SSC40262,36,0,687,0,0,1,0,4
SSC40263,60,1083,450,210,1062,0.7,763,1.9
SSC40264,34,1550,567,290,1453,0.8,1183,2.5
SSC40265,54,0,725,0,0,0,0,0
SSC40266,41,0,833,0,2333,0.9,2250,2.5
SSC40267,48,871,593,150,1418,0.7,1058,2.1
SSC40268,40,0,1583,0,0,0,0,0
SSC40269,64,765,435,116,909,0.6,719,1.6
SSC40270,47,0,849,0,2250,0,2124,3
SSC40271,35,1600,550,303,1434,0.8,1162,2.4
SSC40272,45,833,541,180,1391,0.8,1257,2.5
SSC40273,0,0,0,0,0,0,0,0
SSC40274,30,1184,774,153,1792,0.8,1562,3.5
SSC40275,39,1907,700,300,1913,0.8,1775,3
SSC40276,49,0,754,0,1624,0.6,1124,1.8
SSC40277,54,1300,614,250,1148,0.7,1004,2
SSC40278,38,0,812,40,1583,0.8,1437,2.6
SSC40279,45,0,725,80,1562,0.3,1416,1.7
SSC40280,42,2800,1004,373,3321,0.8,2107,2.5
SSC40281,46,0,1125,0,2374,0.5,2083,2
SSC40282,57,0,1375,0,0,0,0,0
SSC40283,21,0,262,0,0,0,0,0
SSC40284,36,1950,809,276,2176,0.9,1438,2.2
SSC40285,40,2100,886,350,2572,0.9,2251,2.9
SSC40286,55,0,612,0,1375,0.7,1208,2
SSC40287,37,0,949,178,1562,0.9,1562,2.7
SSC40288,58,1600,712,175,1593,0.6,1202,1.9
SSC40289,42,1600,696,241,1695,0.8,1535,2.8
SSC40290,53,1625,483,375,1424,0.7,1274,2.6
SSC40291,33,0,1013,80,1958,0.7,1875,3
SSC40292,44,4650,1053,0,1875,0.5,1375,2.3
SSC40293,46,556,497,150,1329,0.8,844,2
SSC40294,57,962,465,180,1050,0.7,855,2.2
SSC40295,44,1083,407,0,1083,1,899,2.7
SSC40296,30,0,0,0,0,0,0,0
SSC40297,41,1387,579,110,1318,0.8,1125,2.6
SSC40298,39,859,659,100,1825,0.8,1562,2.6
SSC40299,40,542,752,0,1687,0.7,1562,2.5
SSC40300,36,0,537,0,1124,0,1124,3
SSC40301,40,1517,734,275,1437,1,1774,3.1
SSC40302,42,650,462,125,1176,0.7,869,2.3
SSC40303,43,1105,486,250,1625,0.8,1187,2.5
SSC40304,48,1000,913,25,1916,0.7,1678,2.3
SSC40305,58,0,659,0,1562,0.6,1437,2.1
SSC40306,31,0,1042,0,2374,1.2,2250,5
SSC40307,44,392,550,60,1437,0.6,899,1.5
SSC40308,44,0,359,85,774,0.7,550,1.7
SSC40309,54,680,421,0,1017,0.7,710,2.1
SSC40310,49,1625,797,350,2324,0.7,2024,2.9
SSC40311,40,1800,795,360,2148,0.8,1967,2.8
SSC40312,33,625,1017,0,2166,0.7,2083,3.4
SSC40313,35,0,749,0,0,1,1024,2.5
SSC40314,35,1042,527,100,1297,1,1100,2.9
SSC40315,38,1647,488,273,1386,0.9,1064,2.3
SSC40316,50,1200,526,198,1296,0.7,1035,2.2
SSC40317,49,1300,437,160,1166,0.8,700,1.9
SSC40318,55,0,725,60,1375,0.7,1125,2
SSC40319,45,1900,848,375,2432,0.8,2128,2.7
SSC40320,42,2000,865,380,2396,0.8,2077,2.7
SSC40321,40,2167,888,550,2480,0.8,2384,3
SSC40322,36,1302,590,280,1493,0.8,1347,2.8
SSC40323,42,1248,580,0,1416,0.8,1281,2.8
SSC40324,48,1441,687,100,1910,0.7,1593,2.5
SSC40325,51,843,397,213,850,0.8,725,2
SSC40326,41,1733,624,280,1886,0.8,1474,2.5
SSC40327,37,1484,454,262,1235,0.9,991,2.5
SSC40328,48,1083,521,176,1327,0.7,928,2.3
SSC40329,48,1500,756,135,2176,0.8,2026,2.8
SSC40330,43,472,704,0,1625,0.7,1424,2.2
SSC40331,0,0,0,0,0,0,0,0
SSC40332,39,1869,774,300,2190,0.9,1620,2.5
SSC40333,42,1083,707,150,1452,0.8,1211,2.4
SSC40334,42,0,665,0,1437,0.7,1312,2
SSC40335,36,0,949,0,2249,0.8,1937,2.8
SSC40336,31,0,553,25,1791,0.8,1375,2.4
SSC40337,29,0,450,0,0,0,0,0
SSC40338,49,748,584,150,1266,0.8,968,2.3
SSC40339,45,1430,562,223,1478,0.8,1182,2.7
SSC40340,36,0,724,0,0,0,1562,0
SSC40341,61,0,949,0,0,0,0,2
SSC40342,48,607,575,0,1541,0.8,1187,2.5
SSC40343,68,0,575,0,0,0,0,0
SSC40344,30,0,724,0,0,1.3,0,4
SSC40345,0,0,0,0,0,0,0,0
SSC40346,46,350,771,0,1312,0.7,1281,2.5
SSC40347,37,1702,634,313,1625,0.8,1327,2.5
SSC40348,36,0,251,90,725,1.2,749,4.1
SSC40349,35,1181,725,0,1687,0.7,1437,2.7
SSC40350,32,970,428,205,869,0.8,756,2.5
SSC40351,39,1517,663,280,1674,0.9,1277,2.4
SSC40352,44,1733,754,0,1937,0.7,1800,2.6
SSC40353,57,0,0,0,0,0,0,0
SSC40354,58,0,874,0,0,1,0,1
SSC40355,45,0,784,0,1875,1,1812,3
SSC40356,32,0,824,0,1875,0.5,1812,2
SSC40357,55,1466,578,60,1199,0.7,1042,2.3
SSC40358,43,997,597,250,1218,0.7,939,2.4
SSC40359,41,1625,667,335,1727,0.8,1455,2.6
SSC40360,41,0,833,60,2249,1,1624,2
SSC40361,38,1733,583,226,1581,0.8,1108,2.1
SSC40362,49,2188,725,0,1624,0.7,1624,2.4
SSC40363,26,1625,739,310,1525,0.8,1434,2.8
SSC40364,41,975,850,0,2125,0.6,1937,2.1
SSC40365,61,867,461,0,788,0.6,758,1.5
SSC40366,0,0,0,0,0,0,0,0
SSC40367,38,1650,558,295,1433,0.8,1108,2.3
SSC40368,39,0,849,0,1625,0.9,1625,2.8
SSC40369,40,1040,457,250,928,0.8,866,2.2
SSC40370,43,1147,487,200,1137,0.7,949,2.5
SSC40371,43,1019,583,160,1125,0.6,1138,2
SSC40372,54,975,525,0,1291,0.7,1125,2.1
SSC40373,44,1300,418,164,957,0.8,745,2.3
SSC40374,53,0,474,0,1125,0,900,2.1
SSC40375,40,2030,924,300,2656,0.9,1855,2.5
SSC40376,33,900,560,50,1562,0.6,1375,2.4
SSC40377,50,960,678,185,1541,0.7,1281,2.3
SSC40378,40,0,743,0,0,0,0,3
SSC40379,47,1213,476,110,1333,0.8,979,2.3
SSC40380,43,1717,975,350,2408,0.8,1637,1.9
SSC40381,41,0,225,0,0,1,474,1
SSC40382,62,0,612,0,1624,1.1,725,1.4
SSC40383,38,1365,672,195,1767,1,1766,3
SSC40384,42,1733,744,280,1963,0.8,1719,2.7
SSC40385,43,1700,694,330,1974,0.8,1652,2.7
SSC40386,53,1300,554,213,1692,0.7,1014,2
SSC40387,40,719,637,63,1624,0.8,1333,2.9
SSC40388,22,0,1084,0,0,0,0,0
SSC40389,0,0,0,0,0,0,0,0
SSC40390,62,1064,434,195,1059,0.7,752,1.9
SSC40391,36,1659,533,250,1458,0.8,991,2.2
SSC40392,43,1326,787,170,1916,0.7,1666,2.6
SSC40393,38,1083,411,200,939,0.8,735,2.2
SSC40394,33,1060,437,220,945,0.8,798,2.4
SSC40395,39,1083,437,200,1017,0.8,777,2.3
SSC40396,36,916,418,200,862,0.8,705,2.3
SSC40397,34,971,434,215,883,0.8,699,2.2
SSC40398,33,1070,427,233,922,0.8,791,2.4
SSC40399,36,932,397,193,846,0.8,696,2.3
SSC40400,39,1083,428,200,884,0.8,731,2.2
SSC40401,47,1216,503,150,1221,0.8,877,2.2
SSC40402,40,1083,362,0,1042,0.8,924,3
SSC40403,58,619,673,210,1312,0.7,1145,2.1
SSC40404,39,618,659,0,1281,0.9,1208,2.5
SSC40405,44,1192,675,0,1775,0.7,1218,2.7
SSC40406,64,1198,467,280,980,0.6,797,2
SSC40407,34,1600,514,290,1364,0.9,1099,2.5
SSC40408,45,2167,900,378,2741,0.8,2383,2.8
SSC40409,43,850,430,0,1562,1,1416,2.8
SSC40410,0,0,0,0,0,0,0,0
SSC40411,40,1430,684,260,1572,0.8,1184,2.1
SSC40412,40,1000,480,0,1275,0.7,1125,2.5
SSC40413,50,1000,471,190,1149,0.7,863,2.2
SSC40414,44,0,762,0,0,1,1375,2.3
SSC40415,31,0,524,0,0,1,0,0
SSC40416,36,1929,694,300,1857,0.9,1447,2.3
SSC40417,36,1300,492,240,1129,0.7,823,2.2
SSC40418,29,1500,629,266,1302,0.8,1182,2.6
SSC40419,39,1517,643,305,1583,0.8,1386,2.7
SSC40420,36,1733,653,260,1687,0.8,1125,2.6
SSC40421,49,0,483,0,1624,0.6,1333,2
SSC40422,38,1594,602,250,1579,0.9,1104,2.1
SSC40423,45,1622,697,270,1808,0.8,1257,2
SSC40424,40,1600,705,330,1732,0.8,1525,2.6
SSC40425,36,0,1187,0,0,0,0,0
SSC40426,43,0,537,0,1124,1,1062,2.3
SSC40427,43,997,530,185,1125,0.7,862,2.6
SSC40428,46,1517,476,255,1465,0.8,1067,2.2
SSC40429,36,1517,454,185,1191,0.9,977,2.6
SSC40430,43,0,684,0,1468,0.6,1281,2.6
SSC40431,38,1625,530,275,1376,0.8,1041,2.3
SSC40432,47,1717,555,155,1283,0.8,1197,2.5
SSC40433,38,1733,550,305,1387,0.8,1147,2.4
SSC40434,39,1083,492,0,1624,0.8,1375,2.9
SSC40435,53,650,431,0,1562,0.6,469,1.5
SSC40436,63,0,380,150,774,0.7,496,1.5
SSC40437,43,2167,813,300,2476,0.9,2077,2.7
SSC40438,62,0,474,0,0,0,724,2
SSC40439,42,1733,729,360,2002,0.8,1783,2.8
SSC40440,42,2026,565,235,1416,0.7,1478,2.7
SSC40441,46,1333,663,173,1416,0.8,1287,2.7
SSC40442,0,0,0,0,0,0,0,0
SSC40443,40,1733,620,320,1661,0.8,1331,2.5
SSC40444,51,583,706,100,1281,1,1093,2.3
SSC40445,32,0,1375,0,0,1,0,3
SSC40446,45,1300,900,0,2583,0.7,1875,2.5
SSC40447,48,1733,764,225,2100,0.8,1542,2.4
SSC40448,36,1700,757,290,1944,0.9,1472,2.4
SSC40449,47,1993,665,293,1781,0.8,1597,2.7
SSC40450,44,0,474,0,0,1,0,0
SSC40451,60,1148,459,0,725,0.5,675,1.3
SSC40452,49,0,749,0,0,0.6,0,2
SSC40453,53,572,612,0,1416,1.2,1292,2.6
SSC40454,42,0,537,69,1312,0.8,1312,2.6
SSC40455,0,0,0,0,0,0,0,0
SSC40456,34,997,808,25,1687,0.6,1156,2
SSC40457,40,0,1024,0,0,0,0,0
SSC40458,25,0,612,0,1343,0,1281,0
SSC40459,52,0,962,0,0,0,0,2
SSC40460,35,1365,662,270,1632,0.8,1452,2.8
SSC40461,38,1950,801,360,2140,0.9,1635,2.6
SSC40462,46,1950,620,300,1775,0.8,1268,2.4
SSC40463,45,1733,611,320,1620,0.8,1308,2.5
SSC40464,45,1733,683,300,2101,0.8,1389,2.2
SSC40465,48,1073,714,0,1375,0.6,1312,2
SSC40466,35,0,560,0,1624,0.6,1374,1.5
SSC40467,45,0,749,0,0,0.6,1375,2
SSC40468,0,0,0,0,0,0,0,0
SSC40469,55,1018,471,235,1086,0.9,705,1.8
SSC40470,41,1539,695,340,1853,0.8,1804,3.1
SSC40471,45,1517,592,280,1607,0.7,1308,2.5
SSC40472,0,0,0,0,0,0,0,0
SSC40473,41,1192,532,200,1208,0.8,1375,2.8
SSC40474,44,1408,562,245,1515,0.8,1033,2.2
SSC40475,43,1015,466,180,1080,0.7,794,2.1
SSC40476,52,2100,683,0,1562,0.8,1437,2.2
SSC40477,50,459,419,91,933,0.6,819,2.2
SSC40478,39,1440,474,280,1150,0.9,1114,2.8
SSC40479,51,412,545,100,900,0.7,880,2.1
SSC40480,32,0,449,0,0,0,0,0
SSC40481,43,0,259,75,899,0,725,2
SSC40482,30,1090,860,144,1833,0.7,1625,2.9
SSC40483,24,0,550,0,0,0,0,0
SSC40484,26,0,749,0,0,0,0,0
SSC40485,40,0,1906,0,0,0,0,0
SSC40486,46,867,575,250,1333,0.8,1312,2.4
SSC40487,44,2000,881,260,2339,0.7,1512,2
SSC40488,42,986,849,0,1374,0.5,1166,1.6
SSC40489,46,2000,811,0,1812,0.8,1875,2.4
SSC40490,37,1500,492,275,1320,0.8,1062,2.4
SSC40491,45,1300,493,250,1625,0.7,749,2
SSC40492,48,626,453,150,1045,0.8,841,2.3
SSC40493,38,1733,677,270,1881,0.9,1408,2.4
SSC40494,44,1400,573,270,1363,0.7,978,2
SSC40495,43,2167,691,421,2302,0.8,2016,2.7
SSC40496,43,1723,802,365,2100,0.8,1704,2.6
SSC40497,44,1430,575,138,1424,0.8,1343,2.7
SSC40498,40,1049,632,170,1521,0.8,1298,2.7
SSC40499,0,0,0,0,0,0,0,0
SSC40500,50,1534,752,320,1857,0.9,1239,1.8
SSC40501,41,1800,795,300,2148,0.8,1432,2.2
SSC40502,41,1850,790,300,2031,0.8,1408,2.2
SSC40503,50,1842,800,300,2047,0.8,1342,2
SSC40504,43,1733,756,320,2010,0.8,1399,2.3
SSC40505,36,2000,746,72,1708,0.8,1474,3.3
SSC40506,45,1733,609,295,1496,0.8,1027,2
SSC40507,45,2167,789,340,2230,0.8,1725,2.5
SSC40508,47,1300,496,345,1312,0.7,1218,2.6
SSC40509,45,1083,568,170,1390,0.8,1177,2.5
SSC40510,47,1853,547,300,1429,0.7,967,2.1
SSC40511,42,1700,703,300,1872,0.8,1519,2.6
SSC40512,46,867,610,135,1270,0.7,1077,2.2
SSC40513,40,1950,880,0,2250,1,2124,2.8
SSC40514,54,0,612,0,1812,0.6,1024,1.5
SSC40515,38,1950,833,310,2185,0.9,1664,2.3
SSC40516,65,1083,459,220,944,0.7,734,1.8
SSC40517,54,1192,461,255,982,0.7,808,2.1
SSC40518,61,1247,469,265,1006,0.6,887,2.1
SSC40519,59,1170,482,235,1004,0.6,809,1.9
SSC40520,39,0,537,0,899,0.8,900,2.2
SSC40521,46,1885,704,388,2250,0.7,1968,3
SSC40522,32,0,774,0,1749,0.8,1166,2.3
SSC40523,41,1560,1013,0,1833,0.7,1850,3.3
SSC40524,47,1777,697,296,1881,0.8,1389,2.3
SSC40525,37,1263,665,315,1625,0.7,1416,2.6
SSC40526,51,2000,752,0,1600,0.7,1458,2.1
SSC40527,39,1192,712,0,1374,0.9,1156,2.5
SSC40528,33,1625,576,285,1380,0.9,1216,2.5
SSC40529,38,2019,995,450,2466,0.7,2208,2.8
SSC40530,40,1404,718,273,1735,0.8,1568,2.8
SSC40531,30,0,700,0,1437,0.6,1124,1.5
SSC40532,38,1599,744,300,1917,0.8,1622,2.7
SSC40533,40,1517,715,315,1846,0.8,1708,2.9
SSC40534,47,390,474,0,1187,0.6,1062,2.4
SSC40535,53,0,575,0,1062,0.5,962,2
SSC40536,46,1517,577,280,1548,0.8,1219,2.4
SSC40537,48,953,752,85,1999,0.8,1312,2.3
SSC40538,41,1240,506,290,1168,0.7,990,2.4
SSC40539,41,1100,441,208,980,0.8,792,2.2
SSC40540,38,1584,860,0,1562,0.6,1125,2
SSC40541,45,1938,528,285,2021,0.8,895,1.8
SSC40542,50,1733,638,325,1878,0.8,1449,2.4
SSC40543,41,1200,469,180,1025,0.8,866,2.8
SSC40544,43,884,521,130,1170,0.7,959,2.5
SSC40545,51,0,433,0,0,0,649,1.5
SSC40546,0,0,0,0,0,0,0,0
SSC40547,49,533,440,100,1036,0.7,820,2.3
SSC40548,42,1600,702,340,1844,0.8,1617,2.7
SSC40549,0,0,0,0,0,0,0,0
SSC40550,53,1800,630,80,1468,0.7,1281,2.4
SSC40551,61,0,450,0,1125,0.6,899,1.5
SSC40552,46,1000,544,205,1262,0.8,1094,2.4
SSC40553,46,0,349,0,1749,1,899,2
SSC40554,41,867,433,0,900,0.9,883,2.7
SSC40555,35,1600,633,265,1620,0.9,1195,2.3
SSC40556,48,1300,687,0,2249,0.9,1875,1.5
SSC40557,41,0,556,0,1062,0.3,949,1.5
SSC40558,41,1517,673,330,1658,0.8,1391,2.5
SSC40559,58,820,442,145,1024,0.6,780,1.8
SSC40560,0,0,0,0,0,0,0,0
SSC40561,43,1571,725,150,1812,0.8,1562,2.7
SSC40562,41,1000,687,0,1312,0.6,1218,2.2
SSC40563,46,1450,662,223,1656,0.8,1562,2.6
SSC40564,51,0,474,0,1875,0.9,1374,2.8
SSC40565,54,1116,488,138,1478,0.6,1312,2.1
SSC40566,46,693,612,123,1352,0.7,1091,2
SSC40567,47,1317,635,250,1291,0.6,1281,2.4
SSC40568,41,2167,793,250,2575,0.9,1793,2.6
SSC40569,41,1700,747,355,1985,0.8,1760,2.7
SSC40570,52,1200,537,0,1687,0.9,1562,2.2
SSC40571,45,0,1042,0,2250,1,2083,2.7
SSC40572,48,1300,492,260,1150,0.7,947,2.3
SSC40573,43,1779,904,303,2611,0.8,1865,2.6
SSC40574,45,2000,755,350,2208,0.8,1779,2.7
SSC40575,44,2000,719,345,2550,0.8,1721,2.4
SSC40576,40,1517,531,275,1347,0.8,1043,2.3
SSC40577,41,1619,499,200,1513,0.8,1050,2.3
SSC40578,43,1842,748,300,2157,0.8,1552,2.3
SSC40579,40,2000,767,255,2221,0.8,1437,2.4
SSC40580,35,1766,820,350,2168,0.8,2090,3.2
SSC40581,42,1602,726,330,1942,0.8,1705,2.7
SSC40582,37,2000,766,340,2493,0.9,1817,2.6
SSC40583,45,2090,768,350,1899,0.8,1792,2.6
SSC40584,45,1813,640,75,1350,0.7,1224,2.2
