SSC_CODE_2016,Ag_For_Fish_OcMngr,Ag_For_Fish_OcProf,Ag_For_Fish_OcTechTrdW,Ag_For_Fish_OcComPerS,Ag_For_Fish_OcClericAdm,Ag_For_Fish_OcSalesWk,Ag_For_Fish_OcMacOp_Driv,Ag_For_Fish_OcLab,Ag_For_Fish_OcID_NS,Agri_for_fish_Tot,Mining_OcMngr,Mining_OcProf,Mining_OcTechTrdW,Mining_OcComPerS,Mining_OcClericAdm,Mining_OcSalesWk,Mining_OcMacOp_Driv,Mining_OcLab,Mining_OcID_NS,Mining_Tot,Manufact_OcMngr,Manufact_OcProf,Manufact_OcTechTrdW,Manufact_OcComPerS,Manufact_OcClericAdm,Manufact_OcSalesWk,Manufact_OcMacOp_Driv,Manufact_OcLab,Manufact_OcID_NS,Manufacturing_Tot,El_Gas_W_W_OcMngr,El_Gas_W_W_OcProf,El_Gas_W_W_OcTechTrdW,El_Gas_W_W_OcComPerS,El_Gas_W_W_OcClericAdm,El_Gas_W_W_OcSalesWk,El_Gas_W_W_OcMacOp_Driv,El_Gas_W_W_OcLab,El_Gas_W_W_OcID_NS,El_Gas_W_W_Tot,Construc_OcMngr,Construc_OcProf,Construc_OcTechTrdW,Construc_OcComPerS,Construc_OcClericAdm,Construc_OcSalesWk,Construc_OcMacOp_Driv,Construc_OcLab,Construc_OcID_NS,Construction_Tot,WhlesaleTde_OcMngr,WhlesaleTde_OcProf,WhlesaleTde_OcTechTrdW,WhlesaleTde_OcComPerS,WhlesaleTde_OcClericAdm,WhlesaleTde_OcSalesWk,WhlesaleTde_OcMacOp_Driv,WhlesaleTde_OcLab,WhlesaleTde_OcID_NS,WhlesaleTde_Tot,RetTde_OcMngr,RetTde_OcProf,RetTde_OcTechTrdW,RetTde_OcComPerS,RetTde_OcClericAdm,RetTde_OcSalesWk,RetTde_OcMacOp_Driv,RetTde_OcLab,RetTde_OcID_NS,RetTde_Tot,Acom_food_OcMngr,Acom_food_OcProf,Acom_food_OcTechTrdW,Acom_food_OcComPerS,Acom_food_OcClericAdm,Acom_food_OcSalesWk,Acom_food_OcMacOp_Driv,Acom_food_OcLab,Acom_food_OcID_NS,Acom_food_scs_Tot,Trans_po_wh_OcMngr,Trans_po_wh_OcProf,Trans_po_wh_OcTechTrdW,Trans_po_wh_OcComPerS,Trans_po_wh_OcClericAdm,Trans_po_wh_OcSalesWk,Trans_po_wh_OcMacOp_Driv,Trans_po_wh_OcLab,Trans_po_wh_OcID_NS,Trans_po_wh_Tot,Infon_med_tel_OcMngr,Infon_med_tel_OcProf,Infon_med_tel_OcTechTrdW,Infon_med_tel_OcComPerS,Infon_med_tel_OcClericAdm,Infon_med_tel_OcSalesWk,Infon_med_tel_OcMacOp_Driv,Infon_med_tel_OcLab,Infon_med_tel_OcID_NS,Infon_med_tel_Tot,Fin_and_ins_s_OcMngr,Fin_and_ins_s_OcProf,Fin_and_ins_s_OcTechTrdW,Fin_and_ins_s_OcComPerS,Fin_and_ins_s_OcClericAdm,Fin_and_ins_s_OcSalesWk,Fin_and_ins_s_OcMacOp_Driv,Fin_and_ins_s_OcLab,Fin_and_ins_s_OcID_NS,Fin_and_ins_s_Tot,Rent_hi_re_es_OcMngr,Rent_hi_re_es_OcProf,Rent_hi_re_es_OcTechTrdW,Rent_hi_re_es_OcComPerS,Rent_hi_re_es_OcClericAdm,Rent_hi_re_es_OcSalesWk,Rent_hi_re_es_OcMacOp_Driv,Rent_hi_re_es_OcLab,Rent_hi_re_es_OcID_NS,Rent_hi_re_es_Tot,Prof_sci_tec_OcMngr,Prof_sci_tec_OcProf,Prof_sci_tec_OcTechTrdW,Prof_sci_tec_OcComPerS,Prof_sci_tec_OcClericAdm,Prof_sci_tec_OcSalesWk,Prof_sci_tec_OcMacOp_Driv,Prof_sci_tec_OcLab,Prof_sci_tec_OcID_NS,Prof_sci_tec_Tot,Admin_sup_s_OcMngr,Admin_sup_s_OcProf,Admin_sup_s_OcTechTrdW,Admin_sup_s_OcComPerS,Admin_sup_s_OcClericAdm,Admin_sup_s_OcSalesWk,Admin_sup_s_OcMacOp_Driv,Admin_sup_s_OcLab,Admin_sup_s_OcID_NS,Admin_sup_s_Tot,Pub_adm_sfty_OcMngr,Pub_adm_sfty_OcProf,Pub_adm_sfty_OcTechTrdW,Pub_adm_sfty_OcComPerS,Pub_adm_sfty_OcClericAdm,Pub_adm_sfty_OcSalesWk,Pub_adm_sfty_OcMacOp_Driv,Pub_adm_sfty_OcLab,Pub_adm_sfty_OcID_NS,Pub_adm_sfty_Tot,Educ_training_OcMngr,Educ_training_OcProf,Educ_training_OcTechTrdW,Educ_training_OcComPerS,Educ_training_OcClericAdm,Educ_training_OcSalesWk,Educ_training_OcMacOp_Driv,Educ_training_OcLab,Educ_training_OcID_NS,Educ_training_Tot,Hlth_care_soc_OcMngr,Hlth_care_soc_OcProf,Hlth_care_soc_OcTechTrdW,Hlth_care_soc_OcComPerS,Hlth_care_soc_OcClericAdm,Hlth_care_soc_OcSalesWk,Hlth_care_soc_OcMacOp_Driv,Hlth_care_soc_OcLab,Hlth_care_soc_OcID_NS,Hlth_care_soc_Tot,ArtRecreatOcMngr,ArtRecreatOcProf,ArtRecreatOcTechTrdW,ArtRecreatOcComPerS,ArtRecreatOcClericAdm,ArtRecreatOcSalesWk,ArtRecreatOcMacOp_Driv,ArtRecreatOcLab,ArtRecreatOcID_NS,ArtRecreatTot,Other_scs_OcMngr,Other_scs_OcProf,Other_scs_OcTechTrdW,Other_scs_OcCom_PS_W,Other_scs_OcClericAdmin,Other_scs_OcSalesWk,Other_scs_OcMacOp_Driv,Other_scs_OcLab,Other_scs_OcID_NS,Other_scs_Tot,ID_NS_OcMngr,ID_NS_OcProf,ID_NS_OcTechTrdW,ID_NS_OcComPerS,ID_NS_OcClericAdm,ID_NS_OcSalesWk,ID_NS_OcMacOp_Driv,ID_NS_OcLab,ID_NS_OcID_NS,ID_NS_Tot
SSC40001,0,0,3,0,0,0,3,6,0,20,0,3,21,3,3,0,7,0,0,45,69,35,107,8,48,35,34,51,4,387,11,22,21,0,20,6,8,5,0,89,41,12,230,0,45,15,30,65,3,433,34,30,22,0,19,39,14,10,0,171,89,21,33,3,44,360,28,45,3,619,43,0,28,70,6,56,9,83,0,295,21,14,8,10,73,9,74,9,0,217,14,19,26,0,15,6,0,3,0,80,33,55,6,0,133,10,0,0,0,236,9,8,3,0,15,15,7,5,3,61,26,143,49,0,61,3,3,5,7,300,10,20,37,12,34,5,6,98,0,221,36,85,22,101,129,3,4,7,6,385,43,351,30,83,87,0,3,3,3,597,55,376,34,326,163,4,8,47,7,1012,15,13,10,16,19,6,4,6,0,83,24,19,119,27,35,4,12,10,0,253,25,16,19,9,19,9,3,8,31,146
SSC40002,15,3,3,0,0,0,0,3,0,26,4,38,9,0,3,0,3,0,0,64,47,43,31,8,9,17,6,21,0,184,7,21,5,0,12,3,3,0,0,44,32,35,55,4,30,0,10,21,3,180,46,39,12,3,11,17,6,4,3,131,115,62,20,15,22,260,9,24,6,526,135,8,146,376,35,39,0,124,6,872,18,21,4,10,26,7,30,12,0,119,31,74,13,0,22,13,0,0,0,150,30,95,3,0,100,8,0,0,9,252,9,20,5,5,17,28,0,4,0,87,93,506,38,0,87,15,0,3,4,754,18,19,4,22,18,0,0,63,3,160,90,184,15,54,146,0,7,6,8,516,61,458,21,34,43,0,0,3,0,623,43,463,16,149,91,3,3,15,7,783,20,70,14,28,6,4,0,0,0,150,14,23,60,43,13,7,4,8,0,177,27,33,14,3,17,21,7,17,37,181
SSC40003,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SSC40004,28,0,0,0,0,0,3,3,0,33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SSC40005,9,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SSC40006,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,14,7,17,0,16,3,12,16,0,85,0,3,5,0,9,3,5,0,0,20,4,0,45,0,5,0,9,12,0,80,0,3,8,0,9,4,9,3,0,32,20,4,4,0,8,48,0,9,0,87,7,0,7,13,0,3,0,15,0,50,0,0,0,0,11,0,25,3,0,44,0,0,0,0,4,5,0,0,0,12,3,4,0,0,25,0,0,0,0,29,0,0,0,0,3,4,0,0,0,8,3,14,5,0,7,0,0,3,0,30,0,3,3,0,4,0,0,12,0,22,7,14,3,18,17,0,0,3,0,58,9,25,0,7,10,0,0,3,0,50,0,35,3,49,16,0,0,7,0,116,3,0,0,8,0,0,0,0,0,17,3,0,10,0,0,0,0,8,0,27,0,0,5,0,3,4,3,0,10,29
SSC40007,0,0,0,0,0,3,0,3,0,8,0,3,3,0,0,0,3,0,0,6,3,6,19,0,13,0,11,18,0,77,0,3,0,0,3,0,5,0,0,9,7,0,39,6,3,0,3,12,0,63,0,0,3,0,7,7,3,3,0,28,8,0,5,0,5,37,8,3,0,75,11,0,10,23,0,3,0,11,0,59,6,0,3,4,9,0,14,4,0,50,4,6,3,0,3,0,3,0,0,19,5,3,0,0,7,3,0,0,0,22,0,4,0,0,4,6,0,0,0,12,8,26,6,0,3,0,0,0,0,39,4,7,4,12,3,0,0,8,0,41,9,22,3,30,15,0,0,0,0,80,7,42,0,13,9,0,0,4,0,78,11,59,3,50,24,0,0,7,0,144,0,3,0,3,4,0,0,3,0,20,0,3,14,9,4,0,0,5,0,41,0,3,0,0,4,3,4,3,3,24
SSC40008,10,3,0,0,3,0,0,9,0,23,6,7,0,0,0,0,3,0,0,17,27,10,10,3,7,9,3,6,0,85,9,14,0,0,0,0,0,0,0,22,15,5,51,3,7,0,5,12,0,108,16,3,0,0,3,3,3,0,0,33,22,3,4,4,8,53,0,6,0,101,19,3,7,39,0,3,3,14,0,87,3,7,0,0,0,4,4,0,0,28,3,10,0,0,0,0,0,0,0,23,14,30,0,0,19,3,0,0,3,65,5,5,0,0,5,8,0,0,0,22,28,127,8,0,30,3,0,3,0,202,8,3,4,3,4,0,0,7,0,41,22,49,3,19,27,0,0,0,3,119,21,166,3,23,10,3,0,0,0,223,18,174,3,43,22,0,0,0,0,267,10,11,4,9,7,4,0,0,0,38,7,6,21,3,7,0,0,0,0,52,12,7,10,0,6,7,0,3,3,43
SSC40009,4,0,0,0,0,0,0,4,0,11,0,0,0,0,0,0,0,0,0,3,3,0,3,3,3,3,3,3,0,22,0,0,0,0,0,0,0,0,0,0,0,0,15,0,3,0,3,10,0,34,4,0,0,0,0,0,0,0,0,7,4,0,0,0,0,11,0,0,0,15,3,0,0,4,0,3,0,7,0,22,0,0,0,0,3,0,3,0,0,7,3,4,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,7,0,5,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,3,0,6,0,0,0,0,6,0,0,0,0,13,0,20,0,3,0,0,0,0,0,22,3,23,0,15,4,0,0,0,0,48,0,6,0,4,0,0,0,0,0,7,4,0,6,0,0,0,0,0,0,12,3,0,0,0,0,0,0,3,0,8
SSC40010,27,0,0,0,4,3,4,39,0,82,4,0,21,0,0,0,21,0,0,51,54,26,84,6,30,31,46,73,5,351,0,4,14,0,9,4,13,10,3,62,32,3,282,0,25,6,54,84,4,488,19,5,10,0,19,20,19,10,0,100,62,9,36,3,32,296,13,49,0,510,42,3,40,67,0,45,4,71,0,276,6,3,7,5,31,6,78,8,0,144,0,9,8,0,12,9,0,4,0,45,9,19,3,0,58,3,0,0,3,103,3,3,0,0,13,29,3,4,0,43,12,52,34,3,47,6,0,9,0,159,15,13,29,26,18,3,3,109,0,225,20,34,20,80,50,6,8,10,6,245,21,141,10,80,28,0,0,0,0,291,21,172,26,332,82,3,4,16,3,657,3,8,4,10,6,0,0,3,0,32,6,19,99,26,13,0,0,18,0,179,18,8,31,11,18,12,17,31,32,171
SSC40011,27,0,0,0,0,0,3,3,0,32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,4,0,0,0,0,0,0,0,3,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,8,0,6,0,3,3,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,5
SSC40012,0,0,3,0,0,0,0,0,0,3,0,3,0,0,0,0,0,0,0,7,16,7,18,0,7,4,9,7,0,66,0,0,3,0,5,0,0,0,0,10,4,4,32,0,12,0,5,6,3,68,9,0,0,0,5,8,7,0,0,34,4,4,3,4,11,65,7,11,0,106,12,0,9,19,0,5,3,10,0,59,3,7,0,6,13,6,18,4,0,53,3,4,3,0,0,0,0,0,0,17,3,12,0,0,24,0,0,0,0,33,0,0,0,0,6,7,0,3,0,21,9,40,10,0,16,0,0,0,3,71,5,4,0,3,10,0,0,15,3,41,3,30,0,15,30,0,4,3,3,89,11,34,0,11,11,0,0,0,0,70,14,47,6,30,31,0,0,7,0,136,3,0,3,4,4,3,0,0,0,13,5,7,19,8,5,0,0,10,0,55,3,3,4,0,5,6,0,3,4,31
SSC40013,20,7,3,0,4,0,3,20,0,52,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,5,3,0,22,0,0,4,0,0,0,0,0,0,8,0,0,9,0,0,0,5,6,0,13,3,0,0,0,0,3,0,0,0,8,6,0,0,0,0,13,0,0,0,20,0,0,0,8,0,0,0,8,0,16,0,0,0,0,3,0,3,0,0,9,0,3,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,4,0,0,0,3,0,0,0,0,0,8,0,4,0,5,0,0,0,0,0,9,0,0,0,12,0,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0,3,0,6,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,3
SSC40014,18,0,0,0,0,0,0,3,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,3,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,3,0,9,0,0,0,0,0,0,0,8,3,3,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,3
SSC40015,7,0,0,0,4,0,0,0,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,6,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SSC40016,3,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,3,0,0,3,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,4,0,4,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
SSC40017,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,7,3,0,0,0,0,0,0,0,0,3,3,9,0,6,0,0,0,0,0,24,0,10,0,5,0,0,0,0,0,12,0,12,0,0,0,0,0,0,0,13,0,0,0,0,0,0,0,0,0,3,0,3,0,7,0,0,0,0,0,9
SSC40018,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SSC40019,3,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,3,0,0,3,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,4,5,0,3,3,0,0,0,0,0,21,0,0,0,0,0,3,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,4,0,0,0,3,0,0,0,3,0,8,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SSC40020,4,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SSC40021,4,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
