SSC_CODE_2016,P_OthServ_0,P_OthServ_1_15,P_OthServ_16_24,P_OthServ_25_34,P_OthServ_35_39,P_OthServ_40,P_OthServ_41_48,P_OthServ_49over,P_OthServ_hours_NS,P_OthServ_Tot,P_ID_NS_0,P_ID_NS_1_15,P_ID_NS_16_24,P_ID_NS_25_34,P_ID_NS_35_39,P_ID_NS_40,P_ID_NS_41_48,P_ID_NS_49over,P_ID_NS_hours_NS,P_ID_NS_Tot,P_Tot_0,P_Tot_1_15,P_Tot_16_24,P_Tot_25_34,P_Tot_35_39,P_Tot_40,P_Tot_41_48,P_Tot_49over,P_Tot_hours_NS,P_Tot_Tot
SSC40044,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,9,18,12,12,27,17,11,32,0,144
SSC40045,0,8,0,0,3,0,0,0,0,12,0,0,4,0,0,3,0,0,10,17,18,56,40,48,111,62,42,59,18,451
SSC40046,0,0,0,0,4,0,0,0,0,5,0,3,0,0,0,0,3,0,0,5,10,49,21,26,49,35,22,46,0,267
SSC40047,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,19
SSC40048,4,40,28,33,54,39,15,32,3,249,4,17,7,9,28,11,9,22,29,129,160,668,532,625,1011,733,393,556,66,4743
SSC40049,0,4,14,3,11,6,5,4,0,55,0,0,0,3,14,3,0,6,3,32,34,85,84,117,230,116,60,79,12,813
SSC40050,0,0,3,0,3,0,3,0,0,16,0,3,0,0,0,0,0,0,0,3,21,47,33,38,49,54,38,34,4,320
SSC40051,0,4,0,3,0,3,0,0,0,15,0,0,0,0,0,0,0,0,3,10,10,50,48,33,35,56,26,39,15,311
SSC40052,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,7,0,15
SSC40053,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,10,8,8,5,5,8,21,0,60
SSC40054,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,19,4,5,6,11,3,20,0,69
SSC40055,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,5,3,4,3,3,3,7,0,31
SSC40056,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,12,11,13,11,4,6,20,0,85
SSC40057,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,3,4,0,0,8,8,16,3,17,0,57
SSC40058,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SSC40059,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,5
SSC40060,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SSC40061,0,0,4,3,8,3,0,5,0,22,3,0,0,0,5,0,0,3,3,24,36,112,85,116,142,111,67,139,13,832
SSC40062,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,3,5,0,3,0,12
