SSC_CODE_2016,CF_no_children_F,CF_no_children_P,CF_ChU15_a_DSs_a_NdCh_F,CF_ChU15_a_DSs_a_NdCh_P,CF_ChU15_a_DSs_a_no_NdCh_F,CF_ChU15_a_DSs_a_no_NdCh_P,CF_ChU15_a_no_DSs_a_NdCh_F,CF_ChU15_a_no_DSs_a_NdCh_P,CF_ChU15_a_no_DSs_a_no_NdCh_F,CF_ChU15_a_no_DSs_a_no_NdCh_P,CF_ChU15_a_Total_F,CF_ChU15_a_Total_P,CF_no_ChU15_a_DSs_a_NdCh_F,CF_no_ChU15_a_DSs_a_NdCh_P,CF_no_ChU15_a_DSs_a_no_NdCh_F,CF_no_ChU15_a_DSs_a_no_NdCh_P,CF_no_ChU15_a_no_DSs_a_NdCh_F,CF_no_ChU15_a_no_DSs_a_NdCh_P,CF_no_ChU15_a_Total_F,CF_no_ChU15_a_Total_P,CF_Total_F,CF_Total_P,OPF_ChU15_a_DSs_a_NdCh_F,OPF_ChU15_a_DSs_a_NdCh_P,OPF_ChU15_a_DSs_a_no_NdCh_F,OPF_ChU15_a_DSs_a_no_NdCh_P,OPF_ChU15_a_no_DSs_a_NdCh_F,OPF_ChU15_a_no_DSs_a_NdCh_P,OPF_ChU15_a_no_DSs_no_NdCh_F,OPF_ChU15_a_no_DSs_no_NdCh_P,OPF_ChU15_a_Total_F,OPF_ChU15_a_Total_P,OPF_no_ChU15_a_DSs_a_NdCh_F,OPF_no_ChU15_a_DSs_a_NdCh_P,OPF_no_ChU15_a_DSs_no_NdCh_F,OPF_no_ChU15_a_DSs_no_NdCh_P,OPF_no_ChU15_no_DSs_a_NdCh_F,OPF_no_ChU15_no_DSs_a_NdCh_P,OPF_no_ChU15_a_Total_F,OPF_no_ChU15_a_Total_P,OPF_Total_F,OPF_Total_P,Other_family_F,Other_family_P,Total_F,Total_P
SSC41269,328,645,0,18,30,124,11,32,151,563,191,734,17,70,25,76,66,209,101,354,295,1082,0,3,13,42,3,20,67,187,85,246,5,18,23,48,72,157,98,223,183,472,14,38,822,2236
SSC41270,107,211,0,4,9,52,6,17,86,350,108,421,12,40,22,80,35,108,72,227,177,649,0,0,0,0,0,6,9,26,14,30,0,3,13,25,14,31,28,56,37,85,13,28,332,977
SSC41271,6,20,0,0,4,12,0,0,3,20,6,31,0,0,0,0,0,3,0,12,8,41,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,3,0,3,0,0,21,65
SSC41272,5,13,0,0,0,0,0,3,3,18,5,16,0,0,0,0,0,14,0,14,7,37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,44
SSC41273,73,148,0,0,7,14,3,6,21,77,21,101,0,6,0,7,4,17,6,30,33,129,0,0,0,7,3,5,8,24,12,39,0,0,0,3,11,16,8,19,23,50,0,0,129,332
SSC41274,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4
SSC41275,626,1267,22,147,78,436,22,115,444,1695,566,2385,32,159,51,174,145,494,230,825,799,3210,7,48,27,113,15,48,190,509,241,712,20,67,56,124,185,406,262,599,508,1310,50,103,1979,5889
SSC41276,503,1015,15,85,68,359,18,93,326,1292,429,1824,21,96,47,151,173,571,238,815,669,2647,4,21,31,111,16,53,141,398,188,586,15,56,29,66,138,302,180,423,373,1008,27,60,1572,4721
SSC41277,928,1837,19,99,83,400,29,130,470,1853,598,2484,44,176,78,267,200,656,322,1098,918,3583,6,25,45,153,19,66,203,524,264,770,26,79,42,95,167,362,234,538,496,1306,43,90,2388,6814
SSC41278,557,1116,15,89,81,382,31,141,311,1231,437,1841,52,220,79,260,172,556,300,1033,737,2875,3,5,9,30,5,22,83,226,103,292,25,66,24,49,57,118,102,234,207,528,10,17,1513,4538
SSC41279,751,1512,24,119,82,445,24,122,550,2149,675,2836,35,168,47,165,212,677,299,1016,978,3850,17,64,53,226,29,105,344,926,445,1319,19,66,60,146,228,503,311,716,754,2033,57,116,2542,7511
SSC41280,242,484,6,36,18,73,14,46,94,366,130,527,10,53,13,48,53,161,78,266,206,786,5,29,7,27,5,24,61,150,73,225,7,14,7,16,68,153,80,188,158,412,4,15,616,1700
SSC41281,99,204,8,29,15,72,4,11,66,265,90,375,6,35,10,27,32,111,49,167,141,539,0,4,7,15,3,11,23,60,30,98,0,7,10,16,28,68,38,92,73,188,6,15,326,950
SSC41282,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3
