SSC_CODE_2016,CF_no_children_F,CF_no_children_P,CF_ChU15_a_DSs_a_NdCh_F,CF_ChU15_a_DSs_a_NdCh_P,CF_ChU15_a_DSs_a_no_NdCh_F,CF_ChU15_a_DSs_a_no_NdCh_P,CF_ChU15_a_no_DSs_a_NdCh_F,CF_ChU15_a_no_DSs_a_NdCh_P,CF_ChU15_a_no_DSs_a_no_NdCh_F,CF_ChU15_a_no_DSs_a_no_NdCh_P,CF_ChU15_a_Total_F,CF_ChU15_a_Total_P,CF_no_ChU15_a_DSs_a_NdCh_F,CF_no_ChU15_a_DSs_a_NdCh_P,CF_no_ChU15_a_DSs_a_no_NdCh_F,CF_no_ChU15_a_DSs_a_no_NdCh_P,CF_no_ChU15_a_no_DSs_a_NdCh_F,CF_no_ChU15_a_no_DSs_a_NdCh_P,CF_no_ChU15_a_Total_F,CF_no_ChU15_a_Total_P,CF_Total_F,CF_Total_P,OPF_ChU15_a_DSs_a_NdCh_F,OPF_ChU15_a_DSs_a_NdCh_P,OPF_ChU15_a_DSs_a_no_NdCh_F,OPF_ChU15_a_DSs_a_no_NdCh_P,OPF_ChU15_a_no_DSs_a_NdCh_F,OPF_ChU15_a_no_DSs_a_NdCh_P,OPF_ChU15_a_no_DSs_no_NdCh_F,OPF_ChU15_a_no_DSs_no_NdCh_P,OPF_ChU15_a_Total_F,OPF_ChU15_a_Total_P,OPF_no_ChU15_a_DSs_a_NdCh_F,OPF_no_ChU15_a_DSs_a_NdCh_P,OPF_no_ChU15_a_DSs_no_NdCh_F,OPF_no_ChU15_a_DSs_no_NdCh_P,OPF_no_ChU15_no_DSs_a_NdCh_F,OPF_no_ChU15_no_DSs_a_NdCh_P,OPF_no_ChU15_a_Total_F,OPF_no_ChU15_a_Total_P,OPF_Total_F,OPF_Total_P,Other_family_F,Other_family_P,Total_F,Total_P
SSC40001,1163,2305,19,102,146,650,34,137,700,2705,898,3591,113,471,204,697,329,1033,649,2203,1550,5799,4,25,41,125,14,40,151,409,206,596,27,78,59,138,172,364,257,576,466,1171,24,57,3198,9330
SSC40002,1467,2854,0,0,18,84,3,14,327,1104,347,1205,14,50,41,126,53,154,104,321,454,1528,0,0,11,43,3,7,106,246,121,288,15,44,60,130,81,166,158,335,281,625,142,293,2340,5304
SSC40003,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SSC40004,7,17,0,0,0,3,0,0,6,38,10,41,4,10,0,8,0,3,3,24,19,64,0,0,0,0,0,0,0,4,0,4,0,0,0,0,0,0,0,0,0,4,0,0,25,82
SSC40005,6,17,0,0,0,0,0,3,0,0,0,3,0,0,0,0,0,9,0,9,3,9,0,0,0,0,0,0,0,5,0,5,0,0,0,4,0,0,0,4,0,7,0,0,16,30
SSC40006,150,302,3,16,18,72,4,11,113,423,132,526,11,40,17,67,37,111,67,213,198,743,3,16,8,38,3,12,28,69,41,125,3,13,7,20,41,84,57,116,101,241,13,20,457,1310
SSC40007,201,394,7,29,11,40,5,23,86,328,105,420,15,48,18,62,36,121,69,232,173,654,0,3,5,14,3,16,37,87,42,119,3,9,14,26,59,123,71,154,118,277,9,19,503,1346
SSC40008,412,808,5,39,57,281,5,24,238,960,310,1306,24,86,57,194,84,253,165,535,475,1836,0,9,8,27,0,0,27,68,39,107,8,21,9,18,35,69,52,111,83,217,7,10,977,2881
SSC40009,58,116,0,0,3,18,0,3,33,136,39,161,7,28,6,17,15,36,25,77,67,239,0,0,3,5,0,3,17,43,22,55,0,0,0,0,10,14,10,14,29,61,0,3,153,420
SSC40010,930,1833,15,88,122,592,32,142,747,2924,917,3747,54,209,64,219,141,434,257,857,1176,4605,8,44,58,193,25,76,320,839,404,1144,30,86,58,116,148,304,231,511,637,1658,23,57,2763,8147
SSC40011,26,49,0,0,0,3,3,8,11,37,12,49,0,0,0,0,4,11,4,11,12,61,0,0,0,3,0,0,0,0,0,3,0,0,0,0,0,5,0,5,3,8,0,0,38,111
SSC40012,203,397,3,10,14,79,0,4,119,447,142,544,15,73,23,88,53,177,98,342,236,881,0,0,11,28,0,0,18,42,25,72,0,3,13,27,35,81,49,108,70,179,12,23,524,1481
SSC40013,40,75,0,7,7,30,3,11,42,156,51,205,3,14,7,16,11,34,17,67,70,267,0,3,0,0,0,0,5,10,9,20,0,0,0,3,6,9,3,12,14,32,0,0,117,373
SSC40014,23,39,0,3,0,3,0,5,10,44,16,59,0,0,0,9,3,11,3,15,20,71,0,0,0,3,0,4,0,4,3,13,0,0,0,0,0,0,0,0,3,13,0,0,44,122
SSC40015,5,11,0,0,0,0,0,8,8,25,6,36,0,0,0,6,0,9,3,12,13,42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,56
SSC40016,15,29,0,0,0,0,3,4,6,31,14,42,3,6,0,0,0,5,4,17,13,52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,8,0,8,0,0,31,83
SSC40017,30,71,0,3,4,24,9,35,27,109,38,180,0,3,0,8,3,18,5,27,49,213,0,0,4,11,8,36,8,32,19,80,0,0,0,0,5,12,8,14,29,97,3,10,104,390
SSC40018,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,3,0,0,0,3
SSC40019,42,83,0,4,0,0,0,5,8,42,9,47,0,0,0,4,3,8,0,8,14,57,0,0,0,3,0,0,10,17,5,18,0,0,0,0,3,5,3,5,14,29,0,0,69,167
SSC40020,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3
SSC40021,3,6,0,0,0,0,0,0,0,4,0,4,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,11
SSC40022,12,30,0,0,3,10,3,11,9,46,15,63,0,0,0,0,0,4,0,4,15,63,0,0,0,0,0,0,3,14,3,14,0,0,0,3,5,16,7,24,11,34,3,3,41,132
SSC40023,30,57,0,0,0,0,0,0,14,64,14,64,0,0,0,4,9,20,8,22,27,88,0,0,0,3,0,5,6,7,9,15,0,3,0,4,3,9,3,13,15,29,0,0,67,171
SSC40024,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SSC40025,6,14,0,0,0,8,0,0,0,13,0,15,0,0,0,0,0,4,0,4,5,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,32
SSC40026,475,949,20,112,96,497,28,124,620,2490,765,3224,26,116,38,138,101,326,171,580,932,3802,11,80,55,225,28,94,352,975,447,1372,16,70,49,114,112,246,184,429,624,1798,35,81,2073,6636
SSC40027,11,20,0,0,0,6,0,0,8,23,8,30,0,0,0,0,0,0,0,0,9,34,0,0,0,0,0,0,0,4,0,4,0,0,0,0,0,0,0,0,0,4,0,0,17,52
SSC40028,3,9,0,0,0,3,0,3,3,14,4,25,0,0,0,3,0,0,0,3,10,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,42
SSC40029,252,491,3,9,20,84,0,8,126,524,149,624,6,38,18,67,50,149,76,258,227,882,0,3,8,29,7,25,35,101,57,152,0,9,14,23,33,69,44,104,99,257,3,13,586,1637
SSC40030,87,183,0,0,19,75,4,35,101,386,123,495,4,24,9,39,31,102,49,172,171,660,0,4,9,23,0,5,41,103,52,140,3,8,12,14,40,86,50,113,99,254,11,27,378,1127
SSC40031,240,468,14,60,60,285,17,82,242,981,331,1413,31,136,34,112,95,311,163,561,496,1974,0,0,6,30,3,9,17,47,28,82,3,10,0,7,13,28,25,48,54,134,6,7,794,2582
SSC40032,3,12,0,0,0,3,0,0,3,8,5,13,0,0,0,0,0,3,3,7,3,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,34
SSC40033,3,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,5
SSC40034,4,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,10
SSC40035,3,3,0,0,0,3,0,0,0,16,4,20,0,0,0,0,0,0,0,0,4,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,3,0,0,7,27
SSC40036,14,25,0,0,0,10,0,0,8,28,7,36,0,0,0,0,3,5,3,5,8,39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,3,0,0,26,66
SSC40037,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SSC40038,217,430,0,0,3,16,3,8,44,171,49,196,5,7,5,17,11,40,20,67,72,266,0,5,3,18,0,6,12,28,15,51,0,5,7,6,23,42,28,56,42,105,3,3,332,801
SSC40039,0,0,0,0,0,3,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3
SSC40040,52,106,0,0,7,22,0,3,32,122,39,150,3,8,3,7,11,20,16,41,46,184,0,6,0,0,0,0,3,3,3,8,0,0,0,5,0,3,3,3,3,13,0,0,106,307
SSC40041,45,79,0,0,0,11,0,0,16,69,21,78,0,6,3,10,3,11,8,22,28,102,0,0,0,7,0,0,5,16,5,28,0,0,4,7,3,7,7,15,17,39,0,0,83,224
SSC40042,22,45,0,0,3,8,0,0,7,37,10,39,0,0,0,4,0,0,3,5,11,47,0,0,0,0,0,0,3,10,3,10,0,0,0,0,3,3,3,9,9,19,0,0,40,107
SSC40043,315,633,3,9,16,77,5,27,200,723,223,834,13,67,24,76,29,100,70,240,294,1075,3,6,11,31,0,6,62,134,74,182,6,23,10,20,60,135,80,181,154,365,37,78,800,2153
SSC40044,35,71,0,0,4,14,0,9,8,39,15,66,0,5,0,5,13,37,17,42,32,109,0,0,0,3,0,0,3,6,7,15,0,3,0,0,0,4,0,8,8,21,0,0,78,202
SSC40045,126,247,0,0,3,12,0,0,60,214,62,229,3,10,11,35,10,25,22,72,84,297,0,0,3,9,0,0,11,28,12,30,0,3,5,6,11,27,21,40,29,68,6,12,246,628
SSC40046,55,116,0,6,10,52,0,4,32,109,45,164,7,29,10,31,18,52,35,107,72,271,0,7,0,0,3,7,4,14,7,26,0,0,0,8,3,7,5,17,15,44,0,3,150,429
SSC40047,4,9,0,0,0,6,0,0,0,3,3,11,0,7,0,0,0,0,3,8,4,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,3,0,0,11,30
SSC40048,995,1979,11,69,131,607,27,113,563,2165,736,2948,129,528,168,586,342,1101,640,2222,1378,5169,0,6,20,57,5,16,92,240,119,314,16,52,49,119,115,237,184,407,303,725,26,68,2699,7939
SSC40049,129,269,6,50,25,137,7,25,152,597,195,812,15,74,18,72,23,81,58,225,253,1042,4,20,5,19,9,19,65,185,84,246,0,7,8,24,27,66,41,98,121,341,13,29,521,1679
SSC40050,111,217,0,7,3,16,0,0,34,136,39,159,0,4,5,25,10,30,22,58,59,211,0,0,3,12,0,6,0,3,3,17,0,0,0,3,10,19,12,24,12,39,0,0,184,468
SSC40051,71,141,0,0,11,31,4,20,25,121,37,167,13,41,17,53,29,96,55,189,98,351,0,0,3,5,0,0,4,12,6,19,0,0,3,5,9,18,11,23,15,40,3,14,192,553
SSC40052,3,3,0,0,0,3,0,0,0,4,3,6,0,3,0,0,0,4,3,9,3,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,6,25
SSC40053,16,27,0,0,0,0,0,0,13,52,12,55,0,0,0,0,0,0,0,0,14,55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,31,89
SSC40054,11,23,0,0,0,11,0,6,10,36,10,48,0,7,0,6,3,8,3,21,16,69,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,3,0,3,0,0,32,94
SSC40055,10,19,0,0,0,5,0,6,5,28,10,40,0,0,0,0,0,3,0,3,10,38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,8,3,8,3,8,0,0,22,60
SSC40056,40,75,0,0,3,7,0,6,8,15,6,36,0,0,0,0,3,5,3,5,11,42,0,3,0,0,0,0,0,6,5,11,0,0,0,0,0,3,0,3,3,12,0,0,54,127
SSC40057,6,16,0,0,0,0,0,4,7,22,6,27,0,8,0,0,3,10,6,13,10,41,0,0,0,3,0,0,0,3,4,8,0,0,0,0,3,4,3,8,3,11,0,3,25,72
SSC40058,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SSC40059,0,0,0,0,0,3,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7
SSC40060,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SSC40061,250,491,3,24,27,114,7,41,110,446,147,620,10,50,11,31,33,102,57,180,201,801,0,10,0,7,4,16,31,88,46,121,0,3,10,21,31,78,42,100,85,222,6,14,544,1522
SSC40062,5,14,0,0,0,0,0,0,3,11,3,11,0,0,0,0,0,0,0,0,3,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,24
SSC40063,0,3,0,0,0,0,0,0,0,3,0,3,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,8
SSC40064,18,29,0,0,0,0,0,0,4,10,4,10,0,0,0,4,0,3,0,5,3,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23,46
SSC40065,192,384,3,24,22,93,4,13,103,380,131,508,20,75,16,52,44,142,77,269,202,780,0,0,3,11,0,3,14,48,25,68,3,7,16,25,17,34,34,72,53,136,4,12,461,1314
SSC40066,0,3,0,0,0,6,0,0,0,3,0,11,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,11
SSC40067,3,12,0,0,3,11,0,0,3,9,5,23,0,3,0,3,3,5,4,12,12,42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,47
SSC40068,7,19,0,0,0,3,0,0,0,8,3,5,0,0,0,3,3,3,3,7,3,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,3,0,0,15,39
SSC40069,401,802,7,29,36,170,10,47,234,905,290,1156,26,102,32,110,91,276,146,494,437,1645,0,8,8,28,0,3,33,86,41,127,6,14,9,33,55,109,71,157,115,284,4,8,959,2742
SSC40070,11,24,0,0,0,3,0,3,4,31,11,39,0,3,3,12,4,15,12,32,18,67,0,0,0,0,0,0,0,5,0,5,0,0,0,0,0,0,0,0,0,5,0,0,29,100
SSC40071,0,3,0,0,0,5,0,0,4,10,3,12,0,0,0,3,0,5,0,4,3,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,28
SSC40072,363,718,6,38,22,102,10,46,123,490,164,679,5,32,21,68,55,170,77,270,239,945,3,7,3,15,4,14,70,196,86,239,3,11,12,20,63,134,75,160,159,400,4,13,770,2075
SSC40073,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SSC40074,0,0,0,0,0,0,0,0,3,8,3,8,0,0,0,0,0,0,0,0,3,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,8
SSC40075,13,20,0,0,0,0,0,0,0,4,0,4,0,4,0,0,0,5,0,8,3,14,0,6,0,0,0,0,0,7,3,9,0,0,0,0,0,0,0,0,3,9,0,3,15,47
SSC40076,8,18,0,0,0,0,0,0,7,22,7,22,0,0,0,0,0,5,0,5,6,25,0,0,0,4,0,0,0,0,0,4,0,0,0,0,0,4,0,4,0,9,0,0,17,53
SSC40077,3,10,0,0,0,0,0,0,3,15,3,15,0,0,0,0,0,0,0,0,3,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,25
SSC40078,40,72,0,10,0,3,0,0,23,95,24,110,3,5,7,28,5,15,14,55,44,165,0,0,0,4,0,0,0,0,0,3,0,0,0,3,4,4,3,4,4,13,0,0,88,248
SSC40079,8,16,0,0,0,0,0,0,5,18,5,18,0,0,0,0,0,0,0,0,5,22,0,0,0,0,0,0,4,5,4,5,0,0,0,0,0,0,0,0,5,8,0,0,17,38
SSC40080,5,12,0,0,0,0,0,0,0,4,0,4,0,3,0,6,3,13,3,21,8,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,35
SSC40081,106,199,0,6,6,22,0,0,36,143,42,170,0,0,3,9,14,36,18,47,55,216,0,0,3,8,0,0,5,18,9,25,0,0,0,0,0,0,0,5,14,31,0,0,169,449
SSC40082,3,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,4
SSC40083,4,13,0,0,0,0,0,0,10,32,10,32,0,0,0,3,0,6,3,11,11,40,0,0,0,0,0,0,0,3,0,3,0,0,0,0,0,0,0,0,0,3,0,0,14,53
SSC40084,277,550,8,51,45,212,10,51,162,642,231,952,21,83,65,234,55,178,148,497,375,1452,0,0,3,5,0,5,20,52,25,61,5,18,3,6,29,57,37,83,57,142,9,26,723,2169
SSC40085,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SSC40086,133,267,0,4,16,61,0,3,72,282,85,351,11,36,5,25,23,60,33,127,122,474,0,0,3,7,0,0,19,50,22,56,0,0,3,11,13,20,16,32,39,88,5,16,303,847
SSC40087,16,30,0,0,0,7,0,3,3,13,5,23,0,0,0,0,0,4,0,4,7,24,0,0,0,0,0,0,3,8,3,8,0,0,0,0,0,0,0,0,3,8,0,0,21,59
SSC40088,525,1022,14,54,68,293,7,44,281,1064,369,1447,44,187,105,344,100,298,245,823,612,2270,0,0,12,41,0,10,39,82,56,135,3,13,13,26,44,89,60,127,118,263,11,14,1261,3572
SSC40089,3,8,0,0,0,3,0,4,10,30,8,33,0,0,0,0,0,3,0,3,9,37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,49
SSC40090,11,22,0,7,0,0,0,4,8,22,9,36,0,0,0,0,0,9,0,9,10,39,0,0,0,0,0,0,0,3,0,3,0,0,0,0,0,0,0,0,0,3,0,0,18,60
SSC40091,391,772,10,39,30,131,4,8,141,524,181,706,13,70,30,108,57,171,100,346,277,1058,0,4,4,18,0,3,25,68,36,94,0,6,15,28,34,58,47,99,83,192,3,13,759,2028
SSC40092,3,3,0,0,0,5,0,0,0,4,3,7,0,0,0,0,0,3,0,3,4,10,0,0,0,0,0,3,0,0,0,3,0,0,0,0,0,0,0,0,0,3,0,0,4,18
SSC40093,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
SSC40094,11,21,0,8,3,11,0,0,12,37,14,56,0,5,0,0,3,9,5,11,18,66,0,8,0,0,0,3,0,0,0,13,0,0,0,0,0,0,0,0,4,13,0,0,29,97
SSC40095,4,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,6
SSC40096,439,862,4,13,36,170,10,37,212,820,262,1040,13,65,26,75,49,152,86,291,347,1331,3,15,21,71,5,29,108,306,143,423,9,23,21,47,63,135,93,198,231,622,23,42,1038,2854
SSC40097,17,31,0,4,3,15,0,0,8,42,14,58,6,11,3,5,0,5,11,26,25,85,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,38,113
SSC40098,7,19,0,5,0,7,0,8,0,7,4,19,0,0,0,4,0,0,0,4,4,20,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,6,3,7,3,7,0,0,20,50
SSC40099,143,271,0,8,19,87,0,0,108,421,133,511,6,36,27,90,15,48,50,171,179,683,0,0,0,4,0,3,23,45,23,51,4,20,8,21,26,60,44,100,65,154,6,11,387,1120
SSC40100,126,247,0,14,11,66,3,5,96,379,113,459,7,36,16,56,15,55,37,137,156,601,0,0,8,46,3,7,16,51,31,106,4,10,3,17,36,84,47,108,75,216,16,29,373,1085
SSC40101,26,61,0,3,7,25,0,3,8,39,18,71,0,4,6,19,12,41,22,63,38,135,0,0,0,0,0,0,3,4,3,4,0,3,0,0,0,3,3,5,3,14,0,0,72,200
SSC40102,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SSC40103,7,16,0,0,3,12,0,0,3,11,5,29,6,14,3,9,3,6,5,26,17,58,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,6,3,6,3,6,0,0,20,76
SSC40104,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SSC40105,8,18,0,0,0,0,0,0,7,13,7,13,0,0,3,10,3,11,6,17,9,35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,48
SSC40106,10,15,0,0,0,0,0,0,4,14,4,14,0,0,0,0,3,4,3,4,4,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,37
SSC40107,155,305,3,25,20,80,6,21,92,347,113,472,16,56,20,57,26,76,55,188,171,660,0,0,9,29,0,4,15,35,18,69,0,10,6,15,8,18,13,41,39,106,3,3,364,1075
SSC40108,181,369,3,22,6,38,3,21,85,303,102,392,14,53,18,56,33,106,64,222,171,611,0,3,7,24,5,20,34,83,47,133,15,40,13,27,40,80,62,145,110,280,8,17,475,1272
SSC40109,199,400,3,16,17,84,9,25,126,460,153,581,14,65,11,46,34,121,63,226,214,810,0,0,5,13,0,3,29,82,39,96,0,3,3,12,20,50,26,59,63,157,13,26,495,1391
SSC40110,6,8,0,0,0,0,0,0,0,3,0,3,0,3,0,0,0,0,3,5,3,13,0,0,0,0,0,0,0,4,0,4,0,0,0,0,0,0,0,0,0,4,0,0,6,20
SSC40111,14,29,0,0,0,0,0,0,0,4,0,4,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,35
SSC40112,4,11,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,3,3,4,3,4,0,0,0,0,0,3,0,0,0,3,0,0,0,0,0,6,0,6,3,10,0,0,12,22
SSC40113,6,16,0,3,0,0,0,0,3,11,3,14,0,7,0,0,0,7,5,9,4,29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,40
SSC40114,7,22,0,0,0,6,0,0,0,4,4,12,0,0,0,10,0,0,0,10,7,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,3,0,0,19,44
SSC40115,7,17,0,0,0,0,0,0,3,9,3,9,0,0,0,0,0,0,0,0,3,9,0,0,0,0,0,0,0,3,0,3,0,0,0,0,0,0,0,0,0,3,0,0,8,27
SSC40116,9,13,0,5,0,10,0,0,0,8,6,26,0,0,0,0,0,0,0,0,6,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,35
SSC40117,502,980,0,14,50,219,11,43,269,1020,328,1291,50,205,57,198,75,231,181,634,507,1927,0,7,9,30,3,5,59,144,72,181,9,28,20,41,60,126,94,195,166,376,11,28,1183,3316
SSC40118,306,604,16,76,40,213,5,39,279,1071,337,1402,33,143,31,129,66,222,137,495,477,1892,0,14,25,107,13,38,67,198,101,361,10,26,31,72,92,199,129,304,231,661,23,60,1041,3220
SSC40119,626,1232,17,102,83,404,29,114,544,2095,668,2720,33,145,69,227,126,391,230,766,907,3489,13,55,34,135,17,60,206,572,275,825,17,61,37,80,104,221,153,360,426,1185,22,51,1984,5957
SSC40120,45,90,0,0,12,52,0,12,26,101,39,158,4,16,12,34,8,24,23,77,60,233,0,0,0,0,0,0,0,0,3,3,0,0,0,3,3,13,3,15,6,19,0,3,115,340
SSC40121,4,3,0,0,0,0,0,0,0,5,0,5,0,0,0,0,0,0,0,0,3,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,8
SSC40122,41,83,0,0,0,10,0,0,13,49,12,55,0,4,4,8,3,7,5,20,21,74,0,0,0,5,0,3,10,18,6,25,0,0,0,3,3,3,3,6,12,32,0,4,76,201
SSC40123,5,15,0,0,0,4,0,0,7,38,7,43,0,4,0,0,0,12,3,14,15,56,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,3,0,0,20,73
SSC40124,48,94,0,11,0,11,0,3,27,91,33,109,3,16,3,10,10,28,15,52,43,165,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,3,3,3,3,0,3,97,266
SSC40125,4,15,0,0,0,0,0,0,0,4,0,4,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,16
SSC40126,3,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,5,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,13
SSC40127,54,96,3,17,3,17,0,9,44,177,49,220,3,11,7,20,7,16,15,52,70,272,0,0,3,8,0,9,3,4,7,19,3,4,0,4,6,13,10,22,20,40,0,3,136,413
SSC40128,9,16,0,0,0,0,0,0,6,14,6,14,0,0,0,0,0,6,0,6,8,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,3,0,0,18,39
SSC40129,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SSC40130,0,0,0,0,0,3,0,0,3,11,3,16,0,0,0,0,0,0,0,0,3,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,16
SSC40131,47,97,0,0,0,0,0,0,3,7,3,7,0,4,0,0,3,15,3,18,8,27,0,0,0,0,0,0,3,3,3,3,0,3,0,0,0,0,5,4,4,8,0,3,57,134
SSC40132,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
