SSC_CODE_2016,D_21_24_FPT_MPET,D_21_24_FPT_MPULFTW,D_21_24_FPT_MPULPTW,D_21_24_FPT_MPUT,D_21_24_FPT_MPTLF,D_21_24_FPT_MPNLF,D_21_24_FPT_MPLFSNS,D_21_24_FPT_T,TDCF_FPEFT_MPEFT,TDCF_FPEFT_MPEPT,TDCF_FPEFT_MPEAW,TDCF_FPEFT_MPEHNS,TDCF_FPEFT_MPET,TDCF_FPEFT_MPULFTW,TDCF_FPEFT_MPULPTW,TDCF_FPEFT_MPUT,TDCF_FPEFT_MPTLF,TDCF_FPEFT_MPNLF,TDCF_FPEFT_MPLFSNS,TDCF_FPEFT_T,TDCF_FPEPT_MPEFT,TDCF_FPEPT_MPEPT,TDCF_FPEPT_MPEAW,TDCF_FPEPT_MPEHNS,TDCF_FPEPT_MPET,TDCF_FPEPT_MPULFTW,TDCF_FPEPT_MPULPTW,TDCF_FPEPT_MPUT,TDCF_FPEPT_MPTLF,TDCF_FPEPT_MPNLF,TDCF_FPEPT_MPLFSNS,TDCF_FPEPT_T,TDCF_FPEAW_MPEFT,TDCF_FPEAW_MPEPT,TDCF_FPEAW_MPEAW,TDCF_FPEAW_MPEHNS,TDCF_FPEAW_MPET,TDCF_FPEAW_MPULFTW,TDCF_FPEAW_MPULPTW,TDCF_FPEAW_MPUT,TDCF_FPEAW_MPTLF,TDCF_FPEAW_MPNLF,TDCF_FPEAW_MPLFSNS,TDCF_FPEAW_T,TDCF_FPHNS_MPEFT,TDCF_FPHNS_MPEPT,TDCF_FPHNS_MPEAW,TDCF_FPHNS_MPEHNS,TDCF_FPHNS_MPET,TDCF_FPHNS_MPULFTW,TDCF_FPHNS_MPULPTW,TDCF_FPHNS_MPUT,TDCF_FPHNS_MPTLF,TDCF_FPHNS_MPNLF,TDCF_FPHNS_MPLFSNS,TDCF_FPHNS_T,TDCF_FPET_MPEFT,TDCF_FPET_MPEPT,TDCF_FPET_MPEAW,TDCF_FPET_MPEHNS,TDCF_FPET_MPET,TDCF_FPET_MPULFTW,TDCF_FPET_MPULPTW,TDCF_FPET_MPUT,TDCF_FPET_MPTLF,TDCF_FPET_MPNLF,TDCF_FPET_MPLFSNS,TDCF_FPET_T,TDCF_FPULFTW_MPEFT,TDCF_FPULFTW_MPEPT,TDCF_FPULFTW_MPEAW,TDCF_FPULFTW_MPEHNS,TDCF_FPULFTW_MPET,TDCF_FPULFTW_MPULFTW,TDCF_FPULFTW_MPULPTW,TDCF_FPULFTW_MPUT,TDCF_FPULFTW_MPTLF,TDCF_FPULFTW_MPNLF,TDCF_FPULFTW_MPLFSNS,TDCF_FPULFTW_T,TDCF_FPULPTW_MPEFT,TDCF_FPULPTW_MPEPT,TDCF_FPULPTW_MPEAW,TDCF_FPULPTW_MPEHNS,TDCF_FPULPTW_MPET,TDCF_FPULPTW_MPULFTW,TDCF_FPULPTW_MPULPTW,TDCF_FPULPTW_MPUT,TDCF_FPULPTW_MPTLF,TDCF_FPULPTW_MPNLF,TDCF_FPULPTW_MPLFSNS,TDCF_FPULPTW_T,TDCF_FPUT_MPEFT,TDCF_FPUT_MPEPT,TDCF_FPUT_MPEAW,TDCF_FPUT_MPEHNS,TDCF_FPUT_MPET,TDCF_FPUT_MPULFTW,TDCF_FPUT_MPULPTW,TDCF_FPUT_MPUT,TDCF_FPUT_MPTLF,TDCF_FPUT_MPNLF,TDCF_FPUT_MPLFSNS,TDCF_FPUT_T,TDCF_FPTLF_MPEFT,TDCF_FPTLF_MPEPT,TDCF_FPTLF_MPEAW,TDCF_FPTLF_MPEHNS,TDCF_FPTLF_MPET,TDCF_FPTLF_MPULFTW,TDCF_FPTLF_MPULPTW,TDCF_FPTLF_MPUT,TDCF_FPTLF_MPTLF,TDCF_FPTLF_MPNLF,TDCF_FPTLF_MPLFSNS,TDCF_FPTLF_T,TDCF_FPNLF_MPEFT,TDCF_FPNLF_MPEPT,TDCF_FPNLF_MPEAW,TDCF_FPNLF_MPEHNS,TDCF_FPNLF_MPET,TDCF_FPNLF_MPULFTW,TDCF_FPNLF_MPULPTW,TDCF_FPNLF_MPUT,TDCF_FPNLF_MPTLF,TDCF_FPNLF_MPNLF,TDCF_FPNLF_MPLFSNS,TDCF_FPNLF_T,TDCF_FPLFSNS_MPEFT,TDCF_FPLFSNS_MPEPT,TDCF_FPLFSNS_MPEAW,TDCF_FPLFSNS_MPEHNS,TDCF_FPLFSNS_MPET,TDCF_FPLFSNS_MPULFTW,TDCF_FPLFSNS_MPULPTW,TDCF_FPLFSNS_MPUT,TDCF_FPLFSNS_MPTLF,TDCF_FPLFSNS_MPNLF,TDCF_FPLFSNS_MPLFSNS,TDCF_FPLFSNS_T,TDCF_FPT_MPEFT,TDCF_FPT_MPEPT,TDCF_FPT_MPEAW,TDCF_FPT_MPEHNS,TDCF_FPT_MPET,TDCF_FPT_MPULFTW,TDCF_FPT_MPULPTW,TDCF_FPT_MPUT,TDCF_FPT_MPTLF,TDCF_FPT_MPNLF,TDCF_FPT_MPLFSNS,TDCF_FPT_T
SSC40001,55,0,0,0,62,9,0,69,446,67,7,0,517,9,0,9,529,36,0,559,779,84,18,3,877,3,7,11,890,25,5,920,71,17,4,0,89,0,0,0,89,3,0,97,13,0,0,10,26,0,0,0,26,0,0,26,1306,158,24,19,1513,15,7,21,1530,61,5,1602,9,4,0,0,14,0,0,0,14,3,0,16,20,12,0,5,36,3,0,3,35,4,0,39,32,9,0,5,47,3,0,3,50,3,0,55,1337,174,24,23,1556,16,7,27,1580,71,5,1652,305,61,6,4,372,16,9,25,391,30,0,425,0,0,0,0,0,0,0,0,0,0,0,0,1643,233,32,20,1929,34,15,46,1977,95,5,2079
SSC40002,13,0,0,0,13,0,0,13,91,15,0,0,102,3,4,8,111,15,0,128,118,29,4,0,148,5,0,5,159,12,0,165,21,0,6,0,31,3,0,3,29,0,0,29,0,0,0,3,6,0,0,0,6,0,0,6,232,41,9,10,291,14,4,19,306,23,0,330,10,4,0,0,12,6,0,6,16,3,0,20,3,0,0,3,5,3,0,3,9,0,0,9,8,3,0,3,18,13,0,13,28,3,0,33,245,48,6,10,308,23,4,30,338,27,0,363,81,39,3,3,124,10,0,10,135,39,0,171,3,0,0,0,3,0,0,0,3,0,0,4,327,80,11,13,433,36,4,40,468,68,0,539
SSC40003,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SSC40004,0,0,0,0,0,0,0,0,3,0,0,0,3,0,0,0,3,0,0,6,9,3,0,0,12,0,0,0,12,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,3,0,0,19,0,0,0,19,0,0,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,3,0,0,19,0,0,0,19,0,0,23,3,6,0,0,4,0,0,0,4,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,18,9,0,0,26,0,0,0,26,0,0,26
SSC40005,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SSC40006,3,0,0,0,3,3,0,5,69,0,0,0,68,0,0,0,68,0,0,68,84,12,0,0,93,6,0,6,98,7,0,107,18,0,0,0,15,0,0,0,15,0,0,15,4,0,0,0,4,0,0,0,4,0,0,4,173,19,0,0,185,6,0,6,190,7,0,203,10,0,0,0,10,0,0,0,10,0,0,10,3,3,0,0,3,0,0,0,3,0,0,3,10,3,0,0,11,0,0,0,11,0,0,11,176,18,0,0,199,6,0,6,202,7,0,215,28,9,0,0,34,3,3,5,42,15,0,59,3,0,0,0,3,0,0,0,3,0,3,6,213,27,0,0,244,9,3,12,254,25,3,275
SSC40007,3,0,0,0,3,0,0,9,45,0,0,0,46,3,0,3,46,9,0,55,74,15,3,0,90,6,0,6,100,6,0,103,0,0,0,0,3,0,0,0,3,0,0,3,0,0,0,3,3,0,0,0,3,0,0,3,118,14,3,3,145,10,0,10,153,14,0,168,0,0,0,0,0,0,0,0,0,0,0,0,6,3,0,0,6,0,0,0,6,0,0,6,6,3,0,0,6,0,0,0,6,0,0,6,122,17,3,3,148,10,0,10,155,14,0,169,43,3,0,0,44,0,0,0,44,9,0,54,0,0,0,0,0,0,0,0,0,0,0,0,162,24,3,3,193,10,0,10,202,20,0,226
SSC40008,21,0,0,0,21,7,0,25,116,24,3,0,141,3,0,3,146,8,0,152,368,39,0,0,406,5,0,5,410,20,0,430,20,0,0,0,20,0,0,0,20,0,0,20,4,0,0,0,4,0,0,0,4,0,0,4,500,62,3,0,571,10,0,10,575,23,0,603,4,0,0,0,4,0,0,0,4,0,0,4,9,0,0,0,9,0,0,0,9,0,0,9,14,0,0,0,14,0,0,0,14,0,0,14,517,62,3,0,579,10,0,10,589,23,0,620,100,15,0,0,120,0,0,0,120,9,0,131,0,0,0,0,0,0,0,0,0,0,0,0,615,78,3,0,700,10,0,10,707,37,0,746
SSC40009,0,0,0,0,0,0,0,0,5,5,0,0,13,0,0,0,13,3,0,11,27,19,0,0,41,0,0,0,41,0,0,41,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31,21,0,0,51,0,0,0,51,3,0,55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,4,0,0,4,0,0,0,0,0,3,0,3,4,0,0,4,36,21,0,0,56,3,0,3,57,3,0,59,12,7,0,0,23,0,0,0,23,3,0,24,0,0,0,0,0,0,0,0,0,0,0,0,45,30,0,0,74,3,0,3,76,3,0,85
SSC40010,17,0,0,0,20,3,0,21,251,54,4,0,307,19,0,19,328,29,0,362,583,115,19,0,717,6,0,6,721,13,0,738,68,18,10,0,98,0,0,0,98,3,0,102,13,0,0,7,23,0,0,0,23,3,0,21,916,188,30,8,1144,28,0,28,1171,54,0,1227,16,0,0,0,16,7,0,7,23,0,0,23,44,8,0,0,48,3,7,10,56,0,0,56,60,8,0,0,65,12,7,15,79,0,0,79,974,192,30,8,1211,38,7,44,1252,54,0,1308,338,91,25,8,459,33,3,37,497,92,4,584,3,0,0,0,6,0,0,0,6,0,11,18,1321,283,57,22,1676,69,11,77,1754,138,14,1909
