SSC_CODE_2016,P_1000_1249_15_19_yrs,P_1000_1249_20_24_yrs,P_1000_1249_25_34_yrs,P_1000_1249_35_44_yrs,P_1000_1249_45_54_yrs,P_1000_1249_55_64_yrs,P_1000_1249_65_74_yrs,P_1000_1249_75_84_yrs,P_1000_1249_85ov,P_1000_1249_Tot,P_1250_1499_15_19_yrs,P_1250_1499_20_24_yrs,P_1250_1499_25_34_yrs,P_1250_1499_35_44_yrs,P_1250_1499_45_54_yrs,P_1250_1499_55_64_yrs,P_1250_1499_65_74_yrs,P_1250_1499_75_84_yrs,P_1250_1499_85ov,P_1250_1499_Tot,P_1500_1749_15_19_yrs,P_1500_1749_20_24_yrs,P_1500_1749_25_34_yrs,P_1500_1749_35_44_yrs,P_1500_1749_45_54_yrs,P_1500_1749_55_64_yrs,P_1500_1749_65_74_yrs,P_1500_1749_75_84_yrs,P_1500_1749_85ov,P_1500_1749_Tot,P_1750_1999_15_19_yrs,P_1750_1999_20_24_yrs,P_1750_1999_25_34_yrs,P_1750_1999_35_44_yrs,P_1750_1999_45_54_yrs,P_1750_1999_55_64_yrs,P_1750_1999_65_74_yrs,P_1750_1999_75_84_yrs,P_1750_1999_85ov,P_1750_1999_Tot,P_2000_2999_15_19_yrs,P_2000_2999_20_24_yrs,P_2000_2999_25_34_yrs,P_2000_2999_35_44_yrs,P_2000_2999_45_54_yrs,P_2000_2999_55_64_yrs,P_2000_2999_65_74_yrs,P_2000_2999_75_84_yrs,P_2000_2999_85ov,P_2000_2999_Tot,P_3000_more_15_19_yrs,P_3000_more_20_24_yrs,P_3000_more_25_34_yrs,P_3000_more_35_44_yrs,P_3000_more_45_54_yrs,P_3000_more_55_64_yrs,P_3000_more_65_74_yrs,P_3000_more_75_84_yrs,P_3000_more_85ov,P_3000_more_Tot,P_PI_NS_15_19_yrs,P_PI_NS_ns_20_24_yrs,P_PI_NS_ns_25_34_yrs,P_PI_NS_ns_35_44_yrs,P_PI_NS_ns_45_54_yrs,P_PI_NS_ns_55_64_yrs,P_PI_NS_ns_65_74_yrs,P_PI_NS_ns_75_84_yrs,P_PI_NS_ns_85_yrs_ovr,P_PI_NS_ns_Tot,P_Tot_15_19_yrs,P_Tot_20_24_yrs,P_Tot_25_34_yrs,P_Tot_35_44_yrs,P_Tot_45_54_yrs,P_Tot_55_64_yrs,P_Tot_65_74_yrs,P_Tot_75_84_yrs,P_Tot_85ov,P_Tot_Tot
SSC40001,3,47,194,182,216,189,61,11,4,911,0,16,105,165,146,132,22,3,0,585,0,5,106,142,156,101,12,0,0,528,0,0,42,91,98,75,17,0,0,317,0,0,41,82,158,70,10,0,4,374,0,0,7,19,35,39,0,0,0,99,35,29,50,35,58,61,40,30,19,360,846,691,1273,1366,1629,1657,933,432,263,9098
SSC40002,10,97,341,136,103,91,73,11,3,865,4,46,290,113,69,48,58,8,4,637,3,20,250,117,74,74,32,5,3,573,0,6,136,108,80,63,30,9,4,441,4,11,181,189,135,101,54,20,8,696,3,7,64,92,92,109,76,22,3,463,104,389,540,259,215,162,142,62,18,1900,1011,3714,3936,1731,1347,1228,941,347,129,14375
SSC40003,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SSC40004,0,0,0,0,0,0,3,0,0,3,0,0,0,0,7,0,0,0,0,5,0,0,0,3,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,3,3,0,0,0,11,5,4,11,13,16,6,12,0,0,71
SSC40005,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,3,0,3,5,4,15,8,0,4,33
SSC40006,0,3,29,30,26,22,3,0,0,113,4,4,32,32,22,14,0,0,0,113,0,0,13,22,5,7,0,0,0,49,0,0,10,3,11,12,0,0,0,40,0,0,3,19,21,3,0,0,0,43,0,0,0,6,3,3,3,0,0,15,14,6,18,17,8,12,14,15,10,103,98,107,256,254,239,220,117,93,30,1418
SSC40007,0,4,36,30,37,35,6,10,3,157,0,0,20,15,29,14,0,0,0,85,0,0,17,12,20,21,3,0,0,79,0,0,14,23,21,18,0,0,0,74,0,0,5,13,12,10,0,0,0,43,0,0,3,5,3,3,0,3,0,15,3,4,13,12,18,10,10,11,0,86,97,103,271,209,275,288,187,101,42,1572
SSC40008,0,9,20,34,54,51,50,11,0,226,0,5,13,36,40,53,28,4,0,180,0,0,13,47,52,44,19,3,0,179,0,0,7,32,48,36,9,3,0,127,0,0,10,61,59,68,18,3,0,212,0,0,6,48,61,50,22,3,0,192,13,3,8,25,20,33,23,18,15,161,232,139,156,435,512,552,468,135,54,2668
SSC40009,0,0,7,9,6,13,0,3,0,43,0,0,0,4,9,7,3,0,0,17,0,0,3,6,8,5,0,0,0,17,0,0,0,3,3,3,0,0,0,12,0,0,0,0,0,0,0,0,0,8,0,0,0,3,0,0,0,0,0,11,5,3,0,4,5,3,4,3,0,28,31,16,43,70,102,90,73,29,8,465
SSC40010,3,31,185,171,161,89,42,7,4,691,0,13,111,107,87,40,9,4,0,373,0,4,73,95,66,34,6,3,0,281,0,0,40,54,49,21,12,0,0,176,0,0,28,49,46,19,9,3,0,160,3,0,13,27,9,18,5,5,0,82,91,50,122,115,127,112,87,62,50,807,665,573,1429,1426,1326,1085,876,431,179,7999
SSC40011,0,0,0,4,0,0,3,0,0,10,0,0,0,3,3,0,0,0,0,10,0,0,0,3,0,0,0,0,0,5,0,0,0,3,3,0,0,0,0,3,0,0,0,0,0,4,0,0,0,4,0,0,0,0,3,0,0,0,0,3,0,0,0,0,3,0,0,0,0,13,3,14,10,20,26,27,24,7,0,132
SSC40012,0,13,37,26,37,32,11,0,0,155,0,8,19,30,25,14,3,0,0,96,0,0,19,26,24,20,0,0,0,86,0,0,8,12,18,10,0,0,0,52,0,0,8,22,27,17,7,0,0,82,0,0,8,3,11,0,3,0,0,23,6,9,14,10,17,10,11,14,4,99,117,140,231,225,309,274,155,95,25,1575
SSC40013,3,0,8,8,7,5,0,0,0,28,0,0,0,5,8,0,0,0,0,17,0,3,3,7,3,0,0,0,0,12,0,0,3,4,0,0,0,0,0,10,0,0,6,4,0,0,0,0,0,15,0,0,3,4,0,0,0,0,0,14,3,3,7,9,3,11,9,0,0,36,26,20,69,70,58,59,35,3,3,352
SSC40014,0,0,0,4,0,3,0,0,0,3,0,0,0,0,0,4,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,3,0,0,0,0,0,7,0,0,0,3,0,0,0,0,0,6,0,0,0,0,3,3,3,0,0,10,9,3,7,17,16,31,24,7,0,118
SSC40015,0,0,0,0,3,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,3,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,7,8,3,7,9,11,8,6,0,0,52
SSC40016,0,0,0,0,0,3,0,0,0,8,0,0,0,0,0,0,0,0,0,3,0,0,0,0,3,0,0,0,0,3,0,0,0,0,3,3,0,0,0,7,0,0,0,0,0,3,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,4,4,4,9,6,0,0,0,28,12,8,15,7,28,28,11,0,3,115
SSC40017,0,0,3,0,0,0,0,0,0,0,0,0,4,0,4,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,4,0,0,0,0,0,3,0,0,0,8,0,0,0,0,0,0,0,0,0,0,11,3,8,3,9,8,0,0,0,41,35,62,76,53,66,23,10,3,3,333
SSC40018,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,6
SSC40019,0,0,0,7,0,3,3,4,0,16,0,0,0,0,3,3,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,0,9,9,3,0,37,6,6,17,18,32,46,66,15,3,208
SSC40020,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,5
SSC40021,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,3,0,0,0,0,3,0,0,0,0,11
SSC40022,0,0,8,0,0,7,0,0,0,13,0,0,3,0,6,4,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,7,0,0,0,0,0,5,4,0,0,10,0,0,0,0,0,0,0,0,0,0,7,8,11,9,7,6,3,0,0,52,9,9,42,27,34,38,20,6,3,188
SSC40023,0,0,3,4,0,9,3,0,0,14,0,0,0,3,5,0,0,0,0,12,0,0,0,3,3,3,0,0,0,6,0,0,3,3,3,5,0,0,0,15,0,0,0,4,9,3,0,0,0,16,0,0,0,3,0,0,0,0,0,3,0,0,0,0,4,9,10,3,0,35,14,5,29,29,58,51,53,30,6,273
SSC40024,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,4
SSC40025,0,0,0,0,0,0,0,0,0,4,0,0,0,3,0,3,0,0,0,3,0,0,0,0,0,3,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,3,3,6,0,0,3,32
SSC40026,3,53,225,143,118,49,3,3,0,589,0,16,140,88,52,23,6,0,0,319,0,3,68,45,44,25,4,0,0,190,0,0,20,40,24,7,3,0,0,96,0,0,20,19,16,13,0,0,0,65,0,0,0,8,9,3,0,3,0,19,36,47,120,65,59,22,16,15,4,396,560,727,1650,1039,820,491,217,69,17,5595
SSC40027,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,3,0,0,0,3,0,0,5,3,14,15,7,0,0,46
SSC40028,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,3,8,10,9,7,0,0,40
SSC40029,0,9,36,31,50,39,6,7,0,174,0,0,13,28,32,9,5,0,0,99,0,0,14,12,17,7,4,0,0,57,0,0,6,9,10,12,3,0,0,42,0,0,3,20,17,18,5,0,0,72,0,0,0,18,16,4,3,0,0,42,18,6,13,13,10,23,10,17,0,107,133,79,194,276,312,296,236,122,38,1697
SSC40030,0,5,24,24,17,9,0,0,0,79,0,0,18,16,13,3,0,0,0,42,0,0,7,6,4,7,0,0,0,21,0,0,3,10,3,3,0,0,0,13,0,0,4,6,4,0,0,0,0,20,0,0,0,6,0,0,0,0,0,6,5,0,8,9,11,18,21,20,59,157,69,87,239,221,194,164,104,87,108,1271
SSC40031,0,15,34,75,74,39,10,0,0,248,0,0,30,56,49,24,4,0,0,171,0,0,20,31,41,19,0,0,0,106,0,0,20,31,27,12,0,0,0,88,0,0,10,47,34,3,3,0,0,96,0,0,3,7,7,0,0,0,0,19,15,6,19,25,21,16,20,8,4,127,226,173,284,450,492,270,206,96,24,2226
SSC40032,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,9,4,10,10,6,0,0,35
SSC40033,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,3,0,0,8
SSC40034,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,3,0,0,8
SSC40035,0,0,0,3,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,3,0,0,0,10,0,6,3,0,0,14
SSC40036,0,0,0,0,3,0,0,0,0,3,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,3,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,3,0,11,8,15,16,8,3,0,71
SSC40037,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,4,4,3,0,0,0,0,10
SSC40038,0,4,14,3,7,14,3,5,0,57,0,3,7,4,10,16,0,0,0,40,0,0,3,6,0,11,7,4,0,26,0,0,4,6,0,7,0,0,0,21,0,0,0,0,14,0,0,0,0,15,0,0,0,3,0,6,0,0,0,9,7,4,6,0,4,18,17,14,10,75,43,35,89,70,115,233,220,162,74,1047
SSC40039,0,0,4,0,0,0,0,0,0,10,0,0,0,3,3,0,0,0,0,11,0,0,3,0,0,0,0,0,0,3,0,0,0,3,0,0,0,0,0,7,0,0,5,3,3,0,0,0,0,14,0,0,0,3,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,6,0,3,16,19,10,8,0,0,0,54
SSC40040,0,0,4,4,3,3,3,0,0,24,0,0,4,0,0,3,0,0,0,15,0,0,0,0,9,4,0,0,0,13,0,0,0,8,7,0,0,0,0,15,0,0,0,8,3,6,0,0,0,16,0,0,0,3,3,3,0,0,0,8,0,0,3,3,0,3,3,3,0,22,18,3,36,58,48,60,44,15,3,283
SSC40041,0,0,4,7,3,4,7,0,0,19,0,0,3,5,0,0,0,0,0,6,0,0,0,0,3,0,0,0,0,3,0,0,0,0,0,3,0,0,0,3,0,0,3,0,7,3,0,0,0,9,0,0,0,0,0,3,0,0,0,8,0,0,6,5,6,3,4,0,0,25,14,13,35,28,48,65,49,9,6,268
SSC40042,0,0,0,0,7,5,0,0,0,13,0,0,3,0,3,0,0,0,0,6,0,0,3,0,0,0,0,0,0,3,0,0,0,0,0,3,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,3,0,0,0,3,0,0,3,0,0,8,7,3,11,19,23,28,18,4,4,119
SSC40043,0,25,105,60,39,35,10,4,0,264,0,9,80,40,16,13,5,0,0,160,0,0,59,51,21,14,4,0,0,145,0,0,10,20,9,7,0,0,0,55,0,0,25,27,11,9,0,0,0,74,0,0,3,7,0,5,0,0,0,16,7,14,43,27,20,16,27,14,6,167,143,365,683,483,346,314,258,169,62,2818
SSC40044,0,0,0,0,3,7,3,0,0,21,0,0,3,0,8,4,0,0,0,15,0,0,0,0,8,3,0,0,0,10,0,0,0,3,3,5,3,0,0,8,0,0,0,0,3,4,0,0,0,3,0,0,0,0,0,0,0,0,0,9,0,3,0,7,9,4,3,0,0,35,11,19,11,32,52,62,37,5,0,232
SSC40045,0,0,31,16,12,10,12,7,0,79,0,3,16,12,9,7,0,0,0,52,0,0,16,8,7,10,0,0,0,42,0,0,5,3,3,4,0,0,0,18,0,0,13,5,6,3,0,4,0,33,0,0,3,9,4,0,0,0,0,16,0,5,17,3,12,3,10,7,13,70,34,84,183,114,98,85,98,85,61,845
SSC40046,0,0,6,7,6,10,8,0,0,35,0,0,4,3,9,9,0,0,0,22,0,0,3,5,6,8,0,0,0,23,0,0,0,0,0,3,3,0,0,12,0,0,4,7,9,13,5,0,0,32,0,0,0,3,5,6,4,0,0,24,11,6,3,3,9,11,8,0,0,36,36,35,40,43,76,98,64,18,12,425
SSC40047,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,3,3,6,4,4,7,0,31
SSC40048,0,54,143,114,183,141,61,14,3,714,0,9,109,95,146,98,24,7,0,497,0,3,68,120,123,104,24,7,0,450,0,3,53,94,95,65,29,3,0,344,0,0,48,90,128,92,21,3,0,385,0,0,5,26,42,39,10,3,0,134,17,15,20,40,43,36,37,28,12,254,622,621,934,1140,1426,1314,1004,499,102,7663
SSC40049,0,9,38,41,16,9,3,0,0,113,0,3,26,16,7,10,0,0,0,58,0,0,20,16,9,3,0,0,0,48,0,0,11,8,4,3,0,0,0,28,0,0,8,3,3,4,0,0,0,12,0,0,3,0,0,0,0,0,0,8,16,10,21,16,15,11,14,0,4,103,129,168,391,288,240,189,104,47,41,1593
SSC40050,0,0,5,11,14,18,8,3,0,55,0,0,3,4,5,5,8,0,0,28,0,0,3,0,9,4,0,0,0,20,0,0,0,3,6,5,3,0,0,23,0,0,3,3,6,4,0,0,0,13,0,0,4,0,0,0,0,0,0,9,3,0,9,4,11,29,12,4,3,77,25,20,71,53,115,152,90,41,12,583
SSC40051,0,6,10,3,6,16,11,4,0,50,0,0,3,4,0,8,6,3,0,29,0,0,6,5,4,9,5,5,0,33,0,0,0,5,7,10,8,0,0,29,0,0,3,4,8,11,3,0,0,30,0,0,0,7,11,19,7,4,0,45,3,0,0,0,3,4,3,0,0,19,44,39,66,59,69,134,85,38,10,536
SSC40052,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,3,4,4,3,4,0,0,19
SSC40053,0,0,3,0,0,0,0,0,0,5,0,0,0,4,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,3,0,0,0,3,3,4,0,0,0,13,3,4,18,14,20,19,11,0,0,85
SSC40054,0,0,3,4,0,3,0,0,0,9,0,0,8,5,0,0,0,0,0,9,0,0,0,0,3,0,0,0,0,4,0,0,0,3,3,0,0,0,0,5,0,0,5,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,3,0,0,3,3,0,0,0,0,20,16,10,24,22,22,15,7,7,3,113
SSC40055,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,5,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,3,14,8,12,3,0,0,48
SSC40056,0,0,3,0,3,0,0,0,0,6,0,0,0,0,0,0,4,0,0,3,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,3,0,0,0,4,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,3,0,0,0,0,0,4,8,0,0,13,5,3,19,12,23,31,44,10,3,141
SSC40057,0,0,0,0,0,0,0,0,0,4,0,0,0,3,0,0,0,0,0,3,0,0,0,3,0,3,0,0,0,9,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,3,0,0,0,4,3,7,4,15,8,21,7,4,3,69
SSC40058,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
SSC40059,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,3,0,0,0,3,0,0,0,12
SSC40060,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
SSC40061,0,13,20,27,20,30,10,5,0,129,0,3,14,8,17,8,3,3,0,66,0,0,9,9,20,7,9,3,0,63,0,0,10,3,14,13,0,0,0,38,0,3,3,10,18,10,7,0,0,45,0,0,0,8,4,4,3,3,3,17,6,11,16,17,6,14,29,18,26,134,107,108,199,221,247,257,268,163,120,1684
SSC40062,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,10,6,0,0,23
SSC40063,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,0,3
SSC40064,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,4,10,18,12,13,4,72
SSC40065,0,4,11,20,21,21,15,3,0,104,0,0,15,20,27,18,7,0,0,88,0,0,11,8,27,20,0,0,0,70,0,0,12,11,17,15,6,0,0,56,0,0,9,23,24,12,0,0,0,71,0,0,0,13,20,16,6,0,0,52,11,4,3,14,14,19,12,11,0,92,118,88,152,187,252,234,197,85,34,1346
SSC40066,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,3,0,4,0,0,0,16
SSC40067,0,0,0,0,3,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,5,0,5,11,14,12,7,0,0,51
SSC40068,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,3,0,0,8,3,0,0,3,9,12,0,4,0,39
SSC40069,0,17,63,56,62,38,33,10,0,272,0,6,40,42,42,29,7,0,0,172,0,3,33,41,39,23,6,0,3,156,0,0,31,34,22,20,7,0,0,114,0,0,10,31,25,22,3,0,0,96,0,0,0,7,3,5,3,0,0,19,9,5,31,28,29,20,31,16,4,190,185,158,404,456,423,370,450,175,42,2666
SSC40070,0,0,3,0,3,0,0,0,0,4,0,0,3,0,0,0,3,0,0,6,0,0,0,0,0,3,0,0,0,3,0,0,0,0,3,0,0,0,0,3,0,0,0,0,0,0,0,0,0,4,0,0,0,0,3,0,0,0,0,3,0,0,0,0,0,0,3,0,0,5,15,7,9,9,24,19,15,3,0,94
SSC40071,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,3,8,0,3,0,0,16
SSC40072,0,8,29,25,56,36,7,6,3,174,0,11,16,18,13,23,3,0,0,84,0,0,10,11,20,15,4,0,0,63,0,0,5,6,11,6,4,0,0,33,0,0,4,11,11,15,6,0,0,50,0,0,3,3,0,11,3,0,0,22,24,4,14,22,37,43,36,31,11,231,169,136,265,274,378,415,395,299,142,2467
SSC40073,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SSC40074,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,3
SSC40075,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,6,0,0,0,0,3,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,3,0,0,0,0,0,0,0,0,0,3,4,0,3,9,8,14,10,3,0,51
SSC40076,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,3,0,0,0,3,0,0,0,0,0,5,0,0,0,0,4,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,8,0,0,0,7,14,8,6,4,3,54
