SSC_CODE_2016,P_1000_1249_15_19_yrs,P_1000_1249_20_24_yrs,P_1000_1249_25_34_yrs,P_1000_1249_35_44_yrs,P_1000_1249_45_54_yrs,P_1000_1249_55_64_yrs,P_1000_1249_65_74_yrs,P_1000_1249_75_84_yrs,P_1000_1249_85ov,P_1000_1249_Tot,P_1250_1499_15_19_yrs,P_1250_1499_20_24_yrs,P_1250_1499_25_34_yrs,P_1250_1499_35_44_yrs,P_1250_1499_45_54_yrs,P_1250_1499_55_64_yrs,P_1250_1499_65_74_yrs,P_1250_1499_75_84_yrs,P_1250_1499_85ov,P_1250_1499_Tot,P_1500_1749_15_19_yrs,P_1500_1749_20_24_yrs,P_1500_1749_25_34_yrs,P_1500_1749_35_44_yrs,P_1500_1749_45_54_yrs,P_1500_1749_55_64_yrs,P_1500_1749_65_74_yrs,P_1500_1749_75_84_yrs,P_1500_1749_85ov,P_1500_1749_Tot,P_1750_1999_15_19_yrs,P_1750_1999_20_24_yrs,P_1750_1999_25_34_yrs,P_1750_1999_35_44_yrs,P_1750_1999_45_54_yrs,P_1750_1999_55_64_yrs,P_1750_1999_65_74_yrs,P_1750_1999_75_84_yrs,P_1750_1999_85ov,P_1750_1999_Tot,P_2000_2999_15_19_yrs,P_2000_2999_20_24_yrs,P_2000_2999_25_34_yrs,P_2000_2999_35_44_yrs,P_2000_2999_45_54_yrs,P_2000_2999_55_64_yrs,P_2000_2999_65_74_yrs,P_2000_2999_75_84_yrs,P_2000_2999_85ov,P_2000_2999_Tot,P_3000_more_15_19_yrs,P_3000_more_20_24_yrs,P_3000_more_25_34_yrs,P_3000_more_35_44_yrs,P_3000_more_45_54_yrs,P_3000_more_55_64_yrs,P_3000_more_65_74_yrs,P_3000_more_75_84_yrs,P_3000_more_85ov,P_3000_more_Tot,P_PI_NS_15_19_yrs,P_PI_NS_ns_20_24_yrs,P_PI_NS_ns_25_34_yrs,P_PI_NS_ns_35_44_yrs,P_PI_NS_ns_45_54_yrs,P_PI_NS_ns_55_64_yrs,P_PI_NS_ns_65_74_yrs,P_PI_NS_ns_75_84_yrs,P_PI_NS_ns_85_yrs_ovr,P_PI_NS_ns_Tot,P_Tot_15_19_yrs,P_Tot_20_24_yrs,P_Tot_25_34_yrs,P_Tot_35_44_yrs,P_Tot_45_54_yrs,P_Tot_55_64_yrs,P_Tot_65_74_yrs,P_Tot_75_84_yrs,P_Tot_85ov,P_Tot_Tot
SSC41032,0,3,19,23,31,39,21,3,3,135,0,0,14,23,35,25,9,6,3,106,0,0,8,21,45,17,3,3,3,105,0,0,8,17,31,17,3,0,7,74,0,0,13,35,26,39,5,0,0,116,0,0,3,22,18,13,3,0,0,64,8,8,7,22,38,51,43,13,16,207,149,90,144,272,392,373,269,129,88,1905
SSC41033,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,3,0,0,0,0,0,0,3,0,0,6
SSC41034,0,20,85,76,128,129,48,3,4,484,0,3,47,65,78,78,18,3,0,301,0,0,44,46,68,68,13,0,0,246,0,0,19,35,51,57,6,0,0,175,0,0,15,49,72,66,9,0,0,219,0,0,4,15,23,27,7,4,0,82,24,17,26,28,27,45,55,37,25,279,319,338,543,582,795,1119,750,293,121,4861
SSC41035,0,0,3,0,0,3,3,0,0,12,0,0,0,0,3,3,0,0,0,8,0,0,0,0,0,0,0,0,0,7,0,0,0,3,0,0,0,0,0,5,0,0,0,0,0,0,0,3,0,10,0,0,0,0,0,0,0,0,0,0,3,0,3,3,9,3,10,12,7,52,13,9,40,28,54,65,122,94,74,497
SSC41036,0,15,75,41,35,33,13,4,15,230,0,6,49,41,24,16,5,0,0,145,0,7,28,43,30,13,0,0,0,131,0,0,19,17,10,9,0,0,3,64,0,0,28,37,23,15,0,0,0,105,0,0,6,14,3,3,0,3,3,34,13,20,43,16,24,20,31,63,172,405,143,248,489,375,348,300,266,287,359,2806
SSC41037,0,0,4,3,7,4,3,0,0,20,0,0,3,4,4,3,0,0,0,15,0,0,3,5,3,3,0,0,0,10,0,0,0,0,0,4,0,0,0,9,0,0,3,5,6,3,0,0,0,17,0,0,0,0,0,0,0,0,0,0,7,0,0,5,6,3,6,5,4,34,18,4,34,44,60,69,49,25,6,310
SSC41038,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,13
SSC41039,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,4,3,0,3,0,3,7,0,0,0,14
SSC41040,0,0,4,0,7,4,0,0,0,19,0,0,0,0,0,3,0,0,0,6,0,0,0,0,3,3,0,0,0,6,0,0,0,0,0,3,0,0,0,4,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,11,11,3,0,30,22,23,24,20,45,63,29,8,13,238
SSC41041,0,11,94,66,42,33,11,3,0,253,0,0,57,35,20,10,4,0,0,128,0,0,37,34,19,11,0,0,0,100,0,0,18,19,3,9,3,0,0,51,0,0,11,22,10,3,0,0,0,47,0,0,3,6,0,0,0,0,0,9,39,120,333,283,156,56,49,36,12,1086,209,326,1069,808,520,368,312,204,82,3894
