SSC_CODE_2016,CF_C_BPBO_DC_0_4,CF_C_BPBO_DC_5_9,CF_C_BPBO_DC_10_12,CF_C_BPBO_DC_13_14,CF_C_BPBO_DC_15_17,CF_C_BPBO_DC_18_20,CF_C_BPBO_DC_21_24,CF_C_BPBO_Tot,CF_C_FBO_DC_0_4,CF_C_FBO_DC_5_9,CF_C_FBO_DC_10_12,CF_C_FBO_DC_13_14,CF_C_FBO_DC_15_17,CF_C_FBO_DC_18_20,CF_C_FBO_DC_21_24,CF_C_FBO_Tot,CF_C_MBO_DC_0_4,CF_C_MBO_DC_5_9,CF_C_MBO_DC_10_12,CF_C_MBO_DC_13_14,CF_C_MBO_DC_15_17,CF_C_MBO_DC_18_20,CF_C_MBO_DC_21_24,CF_C_MBO_Tot,CF_C_BPBAu_DC_0_4,CF_C_BPBAu_DC_5_9,CF_C_BPBAu_DC_10_12,CF_C_BPBAu_DC_13_14,CF_C_BPBAu_DC_15_17,CF_C_BPBAu_DC_18_20,CF_C_BPBAu_DC_21_24,CF_C_BPBAu_Tot,CF_C_BP_NS_DC_0_4,CF_C_BP_NS_DC_5_9,CF_C_BP_NS_DC_10_12,CF_C_BP_NS_DC_13_14,CF_C_BP_NS_DC_15_17,CF_C_BP_NS_DC_18_20,CF_C_BP_NS_DC_21_24,CF_C_BP_NS_Tot,CF_C_Tot_DC_0_4,CF_C_Tot_DC_5_9,CF_C_Tot_DC_10_12,CF_C_Tot_DC_13_14,CF_C_Tot_DC_15_17,CF_C_Tot_DC_18_20,CF_C_Tot_DC_21_24,CF_C_Tot_Tot,One_PF_BPBO_DC_0_4,One_PF_BPBO_DC_5_9,One_PF_BPBO_DC_10_12,One_PF_BPBO_DC_13_14,One_PF_BPBO_DC_15_17,One_PF_BPBO_DC_18_20,One_PF_BPBO_DC_21_24,One_PF_BPBO_Tot,One_PF_FBO_DC_0_4,One_PF_FBO_DC_5_9,One_PF_FBO_DC_10_12,One_PF_FBO_DC_13_14,One_PF_FBO_DC_15_17,One_PF_FBO_DC_18_20,One_PF_FBO_DC_21_24,One_PF_FBO_Tot,One_PF_MBO_DC_0_4,One_PF_MBO_DC_5_9,One_PF_MBO_DC_10_12,One_PF_MBO_DC_13_14,One_PF_MBO_DC_15_17,One_PF_MBO_DC_18_20,One_PF_MBO_DC_21_24,One_PF_MBO_Tot,One_PF_BPBAu_DC_0_4,One_PF_BPBAu_DC_5_9,One_PF_BPBAu_DC_10_12,One_PF_BPBAu_DC_13_14,One_PF_BPBAu_DC_15_17,One_PF_BPBAu_DC_18_20,One_PF_BPBAu_DC_21_24,One_PF_BPBAu_Tot,One_PF_BP_NS_DC_0_4,One_PF_BP_NS_DC_5_9,One_PF_BP_NS_DC_10_12,One_PF_BP_NS_DC_13_14,One_PF_BP_NS_DC_15_17,One_PF_BP_NS_DC_18_20,One_PF_BP_NS_DC_21_24,One_PF_BP_NS_Tot,One_PF_Tot_DC_0_4,One_PF_Tot_DC_5_9,One_PF_Tot_DC_10_12,One_PF_Tot_DC_13_14,One_PF_Tot_DC_15_17,One_PF_Tot_DC_18_20,One_PF_Tot_DC_21_24,One_PF_Tot_Tot,Tot_DC_0_4,Tot_DC_5_9,Tot_DC_10_12,Tot_DC_13_14,Tot_DC_15_17,Tot_DC_18_20,Tot_DC_21_24,Tot_Tot
SSC40386,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,3,0,0,0,0,0,0,0,3,3,13,11,3,8,0,0,34,0,0,0,0,0,0,0,0,8,14,11,3,7,0,0,38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,7,8,16,11,5,8,0,0,45
SSC40387,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,5,9,5,6,0,0,31,0,0,0,0,0,0,0,0,3,5,9,5,10,0,0,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,6,6,6,5,10,0,0,40
SSC40388,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SSC40389,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SSC40390,0,0,4,0,3,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,5,4,19,12,7,0,0,0,43,0,0,0,0,0,0,0,0,9,19,14,14,4,0,0,60,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,4,0,0,0,8,0,0,0,0,0,0,0,0,0,3,0,4,0,0,0,8,7,21,14,18,4,0,0,63
SSC40391,81,28,17,8,13,10,12,158,8,6,3,3,3,3,0,30,18,16,5,5,6,0,0,54,106,66,39,28,35,19,4,310,0,0,0,0,0,0,0,0,216,119,65,40,60,30,21,547,11,9,5,0,6,3,0,36,0,4,0,3,7,0,0,15,0,0,0,3,3,0,0,11,25,26,22,15,30,10,5,119,0,0,0,0,0,0,0,0,34,35,23,18,41,8,8,182,253,154,91,63,98,43,24,733
SSC40392,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,9,3,3,0,0,0,19,0,0,0,0,0,0,0,0,5,9,3,3,0,0,0,19,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,4,5,16,3,3,0,0,0,25
SSC40393,16,18,3,8,10,3,3,61,0,0,3,0,0,0,0,5,0,0,0,0,0,0,0,0,20,25,10,3,9,3,0,64,0,0,0,0,0,0,0,0,30,48,16,17,15,7,0,130,4,3,0,4,3,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,12,3,5,6,5,0,48,0,0,0,0,0,0,0,3,21,16,7,7,10,4,3,70,51,64,18,20,28,15,4,200
SSC40394,37,52,35,16,22,8,0,173,6,13,8,3,3,0,0,45,10,5,6,0,5,3,0,34,142,125,60,38,29,11,0,406,3,10,0,0,0,0,0,15,202,203,107,57,65,23,6,670,16,15,9,4,12,0,3,56,14,5,0,3,3,3,0,32,0,5,4,7,3,0,0,24,131,142,63,45,49,10,8,439,8,11,3,0,0,3,0,26,163,176,90,66,65,15,9,581,369,375,195,124,133,37,10,1248
SSC40395,52,52,22,18,27,22,12,204,4,10,4,3,4,3,0,36,10,15,3,0,3,5,3,36,82,73,56,34,34,9,3,296,3,4,3,0,0,0,0,11,152,154,89,54,75,38,21,585,9,15,10,3,12,8,3,61,9,8,5,3,4,0,5,40,0,5,0,3,3,0,0,16,73,73,43,22,37,11,4,258,7,6,3,5,0,0,0,22,97,113,67,40,57,16,11,395,247,268,155,95,131,56,29,979
SSC40396,42,53,35,17,11,7,0,162,0,0,3,3,3,3,0,12,0,4,0,0,0,0,0,8,45,33,18,19,26,3,0,142,3,0,0,0,0,0,0,5,91,82,61,40,40,11,4,336,10,14,7,4,4,0,0,44,0,4,3,0,6,0,0,16,3,4,0,0,5,0,0,14,48,49,16,15,15,4,0,147,8,10,3,4,0,4,0,24,69,77,34,27,27,12,3,245,159,161,97,67,71,21,4,578
SSC40397,30,20,17,7,9,3,0,96,6,4,3,3,4,3,3,25,7,12,4,4,0,0,0,20,89,78,37,17,27,6,0,256,0,0,0,0,3,0,0,6,134,114,55,30,45,16,3,398,9,3,6,3,0,5,3,30,3,4,3,3,3,3,3,24,0,9,0,0,4,0,0,10,103,80,52,22,25,11,3,297,3,7,0,0,0,0,0,10,119,101,62,31,39,12,10,367,255,218,121,57,80,25,8,770
SSC40398,64,53,34,10,23,11,4,199,7,6,0,0,0,0,0,20,9,8,0,4,4,3,0,23,94,71,31,20,27,6,0,254,0,0,0,4,0,0,0,9,170,141,70,40,51,26,7,507,11,10,9,3,9,4,3,54,3,8,0,3,3,0,0,24,3,5,3,0,0,0,0,17,100,89,43,24,17,11,0,288,3,0,0,0,0,0,0,11,118,118,63,40,35,20,6,387,289,255,133,72,85,45,11,894
SSC40399,39,25,14,6,15,12,4,121,3,3,0,0,3,3,0,16,4,4,0,0,0,0,0,11,64,54,35,4,20,0,0,176,0,3,3,0,0,0,0,9,105,86,52,15,35,18,8,330,15,17,5,3,8,0,3,44,0,4,3,3,4,0,0,19,3,0,3,3,0,0,0,7,49,49,25,19,30,9,4,184,0,4,6,0,0,0,0,21,74,74,43,30,35,12,9,279,177,159,100,51,77,28,14,607
SSC40400,92,63,40,25,39,26,13,300,8,0,4,3,3,3,3,23,8,15,5,0,0,0,0,34,67,60,35,17,21,8,0,207,8,4,0,0,0,0,0,15,175,142,86,45,68,39,20,577,14,13,14,10,8,6,0,62,3,5,5,3,0,0,0,22,4,0,0,0,0,0,0,10,55,61,39,27,24,3,0,217,0,4,0,3,0,0,0,13,77,89,58,40,37,14,0,315,254,229,142,87,108,52,26,895
SSC40401,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,5,21,21,15,7,0,0,0,58,0,0,0,0,0,0,0,0,26,21,12,7,0,0,0,66,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,3,0,0,10,0,0,0,0,0,0,0,0,0,3,0,0,3,0,0,10,26,28,12,9,0,0,0,76
SSC40402,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,6,3,3,8,0,0,26,0,0,0,0,0,0,0,0,3,6,6,3,8,0,0,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,9,5,3,8,0,0,30
SSC40403,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,3,3,4,0,0,0,0,0,10,0,0,0,0,0,0,0,0,9,4,0,0,0,0,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,9,4,0,0,0,0,0,14
SSC40404,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,5,0,0,0,0,11,0,0,0,0,0,0,0,0,3,3,5,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,5,0,0,0,0,15
SSC40405,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,3,3,0,0,15,0,0,0,0,0,0,0,0,0,6,3,3,3,0,0,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,6,7,3,3,0,0,22
SSC40406,9,5,7,4,0,3,0,27,5,10,12,3,7,4,0,46,8,7,5,3,7,0,3,36,102,78,44,31,40,4,0,296,0,0,0,0,0,0,0,0,123,102,68,38,52,11,4,402,0,3,0,3,3,0,0,12,3,8,3,0,9,0,0,24,0,3,0,0,3,0,0,8,24,46,34,21,28,0,0,152,0,0,0,0,0,0,0,0,32,58,40,28,38,0,0,194,160,160,104,70,94,12,7,597
SSC40407,156,106,62,28,53,34,18,466,20,12,12,5,9,0,0,63,14,12,0,3,7,4,0,33,124,92,46,28,35,6,4,336,0,0,0,0,0,3,0,8,312,226,124,64,107,54,25,902,17,17,12,9,13,11,0,76,5,5,4,3,3,0,0,22,3,4,3,0,4,6,0,16,34,32,20,14,21,3,0,127,3,5,0,0,0,3,0,11,58,66,42,26,44,17,0,259,373,294,166,90,147,73,27,1157
SSC40408,8,8,6,10,10,4,3,60,0,8,9,3,8,9,3,34,6,3,4,0,5,0,0,18,21,41,26,22,33,29,13,180,0,0,0,0,0,0,0,0,38,66,40,35,62,39,18,303,0,0,3,4,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,4,6,7,8,0,0,22,0,0,0,0,0,0,0,0,0,4,8,8,5,4,0,33,42,71,45,43,65,46,19,332
SSC40409,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,10,0,0,17,0,0,0,0,0,0,0,0,0,0,0,3,10,0,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,3,10,0,0,16
SSC40410,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SSC40411,10,8,8,0,4,0,3,34,4,12,0,0,0,0,0,16,3,3,4,0,6,0,0,12,35,40,21,8,7,4,0,111,0,0,0,0,3,0,0,5,57,57,32,7,21,9,3,188,0,0,0,3,0,3,0,6,0,0,0,3,0,0,0,8,0,0,0,0,0,0,0,0,13,24,14,8,9,4,0,79,0,0,0,0,0,0,0,4,14,31,17,12,8,7,0,89,73,90,47,20,26,12,6,276
SSC40412,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,8,5,3,0,0,0,15,0,0,0,0,0,0,0,0,3,8,5,3,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,8,5,3,0,0,0,15
SSC40413,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,18,26,20,21,10,3,0,98,0,0,0,0,0,0,0,0,23,26,20,21,13,3,0,103,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,5,7,0,5,11,0,0,38,0,0,0,0,0,0,0,0,8,7,0,5,8,0,0,36,32,36,23,24,21,5,0,142
SSC40414,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4
SSC40415,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SSC40416,16,17,4,0,0,4,0,32,4,6,3,0,4,0,0,20,13,13,0,0,4,3,0,29,51,43,20,16,15,11,4,163,0,0,0,0,0,0,0,0,74,74,34,18,24,12,3,252,0,4,0,0,0,0,0,6,0,0,0,0,3,0,0,3,0,0,3,0,0,0,0,3,8,7,0,0,3,3,0,26,0,0,0,3,0,0,0,4,7,14,6,3,5,4,3,41,84,92,39,21,33,18,11,297
SSC40417,7,0,0,8,3,0,0,21,3,5,0,3,0,0,0,11,3,4,3,4,4,0,0,25,85,70,32,23,25,4,3,239,0,0,0,0,0,0,0,0,96,81,39,28,29,9,5,291,0,0,5,3,4,3,0,18,3,0,0,0,0,0,0,4,0,0,3,3,6,0,0,13,47,36,27,24,26,6,0,160,6,0,0,3,0,0,0,7,55,49,33,29,27,10,3,208,154,128,76,61,62,18,3,500
SSC40418,10,10,4,3,10,3,3,44,8,10,3,0,3,3,0,23,7,9,3,0,3,4,0,24,110,50,17,7,17,0,3,203,0,0,0,0,0,0,0,0,133,76,29,10,29,5,3,291,0,0,0,0,4,0,0,3,3,3,7,4,3,0,0,17,3,3,3,0,3,0,0,9,46,55,29,12,15,3,0,169,3,0,0,0,0,0,0,7,58,64,39,19,26,7,0,203,190,136,65,28,52,14,7,497
SSC40419,5,7,12,16,21,9,0,68,16,20,13,10,8,4,0,75,22,8,10,3,13,8,0,62,182,172,103,66,74,26,6,628,0,0,0,0,0,0,0,0,232,210,136,93,108,44,12,831,0,3,0,0,3,4,0,10,3,6,3,0,8,0,0,17,0,0,0,0,3,7,0,9,44,56,35,33,42,10,4,217,3,0,0,0,4,0,0,7,46,62,38,37,54,17,3,266,280,273,175,129,165,66,13,1096
SSC40420,0,3,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,14,0,4,11,4,0,44,0,0,0,0,0,0,0,0,17,16,10,4,10,4,0,52,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,16,4,4,3,0,0,23,0,0,0,0,0,0,0,0,3,17,4,7,3,0,0,30,17,29,9,12,16,4,0,82
SSC40421,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,5
SSC40422,17,14,9,0,0,4,0,37,0,3,0,4,0,0,0,8,0,0,0,0,0,0,0,7,28,28,26,8,13,8,6,115,0,0,0,0,0,0,0,0,38,46,32,14,14,8,6,161,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,6,8,3,0,17,0,0,0,0,0,0,0,0,0,4,8,6,9,3,0,28,44,46,40,20,22,11,9,190
SSC40423,3,0,0,3,3,0,0,6,4,3,0,3,0,0,0,18,0,3,0,0,0,0,0,11,21,21,13,10,10,7,0,78,0,0,0,0,0,0,0,0,37,28,15,17,10,12,0,116,3,0,0,0,0,0,0,3,0,13,3,0,3,0,0,22,0,3,0,0,0,0,0,3,8,6,4,0,3,4,0,27,4,0,0,0,0,0,0,3,12,20,10,3,5,4,0,55,49,44,28,16,18,14,3,169
SSC40424,11,12,8,10,12,13,7,69,12,25,13,7,15,0,3,72,19,14,17,4,4,3,0,57,151,132,83,53,59,23,4,507,0,0,0,0,0,0,0,0,189,181,120,71,86,37,14,700,3,0,0,4,3,0,4,15,0,3,0,0,3,3,0,8,0,3,0,3,4,4,0,11,12,33,15,16,14,4,5,101,0,0,0,0,0,0,0,0,21,36,14,18,25,13,9,135,208,215,135,89,111,48,26,840
SSC40425,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SSC40426,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SSC40427,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,10,9,4,3,9,3,0,34,0,0,0,0,0,0,0,0,13,9,9,3,6,3,0,43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,3,0,0,8,0,0,0,0,0,0,0,0,3,0,3,3,3,0,0,9,14,13,11,7,7,3,0,52
SSC40428,24,26,14,4,9,8,0,90,3,3,10,5,0,0,0,30,8,3,5,3,0,3,3,28,38,47,16,9,19,9,4,154,0,0,0,0,0,0,0,0,82,86,40,19,36,25,5,298,5,0,0,0,4,3,3,21,0,0,5,0,0,3,0,17,3,0,0,3,3,0,0,9,4,8,3,6,12,6,0,35,0,0,0,0,0,0,0,3,18,8,14,11,24,8,13,92,94,93,55,30,52,36,17,387
SSC40429,116,126,75,60,77,46,36,539,18,10,8,4,5,0,0,43,8,12,4,0,0,0,0,27,40,46,22,13,22,3,5,155,0,3,6,0,0,0,0,8,192,196,107,75,103,54,42,770,9,19,17,7,17,10,9,91,5,12,0,0,7,3,0,20,0,8,0,3,0,5,0,13,22,24,17,6,10,6,0,83,3,0,3,0,0,0,0,7,37,61,37,17,32,20,9,221,234,253,145,98,136,79,48,990
SSC40430,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,3,0,0,0,0,12,0,0,0,0,0,0,0,0,5,6,3,3,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,3,5,6,3,3,0,0,0,16
SSC40431,116,81,46,23,41,25,14,345,24,15,7,0,12,7,0,68,13,16,8,6,6,9,3,59,155,110,58,46,63,22,3,459,0,0,0,0,0,0,0,4,314,220,121,77,116,55,23,926,5,17,12,7,6,7,4,61,3,10,3,12,10,0,0,45,0,3,3,0,0,4,0,10,27,39,27,21,39,25,3,185,0,0,0,0,0,0,0,4,43,61,45,42,64,34,8,306,357,285,169,117,181,89,31,1228
SSC40432,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,8,3,0,0,3,0,0,0,7,15,9,3,0,9,0,0,36,0,0,0,0,0,0,0,0,16,15,3,3,13,0,0,48,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,3,16,12,4,3,13,0,0,53
SSC40433,23,19,7,8,4,7,0,73,3,5,3,6,3,0,0,15,3,0,3,4,0,0,0,15,30,39,10,13,14,11,3,130,0,0,0,0,0,0,0,0,65,67,30,28,25,16,0,232,0,3,0,0,0,0,0,5,0,0,0,0,0,0,0,3,0,6,0,0,0,0,0,5,3,7,9,6,6,7,3,33,0,0,0,0,0,0,0,0,7,14,4,5,6,7,7,52,68,81,34,34,34,27,11,285
SSC40434,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,5,0,0,0,0,0,10,0,0,0,0,0,0,0,0,7,5,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,7,5,0,0,0,0,0,12
SSC40435,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,4
SSC40436,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,4,0,0,3,0,0,0,13
SSC40437,8,6,8,3,6,9,0,39,0,3,3,3,0,0,0,8,5,0,0,0,3,0,0,14,22,17,9,16,8,10,0,86,0,0,0,0,0,0,0,0,36,31,21,20,19,16,7,151,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,36,31,20,20,22,22,7,156
SSC40438,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SSC40439,81,127,76,42,94,64,33,511,43,53,36,22,30,4,7,207,43,37,27,20,40,14,10,188,250,299,185,104,167,90,51,1149,4,0,0,0,0,0,0,8,416,511,324,198,332,174,96,2061,3,10,5,3,9,3,3,39,9,10,3,8,5,0,0,27,3,4,4,3,9,3,0,26,29,51,34,24,26,14,8,184,0,4,3,0,0,0,0,12,43,78,42,37,47,21,10,288,458,590,371,236,381,195,114,2350
SSC40440,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,5,8,5,3,3,4,0,0,24,0,0,0,0,0,0,0,0,6,6,3,7,5,3,0,34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,4,9,12,6,7,7,3,0,45
SSC40441,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,3,0,0,6,9,14,14,4,7,0,0,46,0,0,0,0,0,0,0,0,9,20,13,3,12,3,0,56,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,9,20,18,3,9,3,0,64
SSC40442,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
