SSC_CODE_2016,P_85ov_DNPCC,P_85ov_UCC_NS,P_85ov_Total,P_Tot_CF_Own_CCO,P_Tot_CF_Oth_CCO,P_Tot_CF_Own_CC_Oth_CC,P_Tot_CF_Total,P_Tot_DNPCC,P_Tot_UCC_NS,P_Tot_Total
SSC41622,191,15,208,1953,792,110,2861,5782,340,8985
SSC41623,6,0,13,93,43,0,139,357,15,503
SSC41624,0,0,0,20,5,0,32,31,3,65
SSC41625,0,0,0,14,0,0,14,34,0,49
SSC41626,0,0,0,19,11,0,29,114,8,148
SSC41627,75,9,90,402,172,18,598,1370,195,2162
SSC41628,56,3,64,302,122,12,429,1185,88,1701
SSC41629,46,6,56,340,78,13,426,1419,169,2021
SSC41630,45,7,50,359,110,9,479,1416,126,2022
SSC41631,15,0,11,306,86,3,397,936,73,1404
SSC41632,91,17,112,513,175,24,711,1725,175,2610
SSC41633,102,9,119,495,147,23,663,1717,172,2555
SSC41634,8,0,8,9,6,0,20,107,4,134
SSC41635,0,0,0,5,0,0,5,6,3,11
SSC41636,0,0,0,6,3,0,4,21,0,23
SSC41637,0,0,0,3,3,0,3,20,3,27
SSC41638,0,0,0,8,3,0,16,38,8,59
SSC41639,0,0,0,0,0,0,0,7,0,9
SSC41640,0,0,0,8,7,0,21,93,18,135
SSC41641,0,0,0,0,0,0,0,4,0,5
SSC41642,0,0,0,173,60,11,239,419,27,691
SSC41643,0,0,0,7,7,0,15,17,0,32
SSC41644,23,4,24,117,47,6,173,292,43,508
SSC41645,0,0,0,13,3,0,17,38,0,58
SSC41646,0,0,0,13,3,0,20,51,3,75
SSC41647,0,0,0,6,7,0,15,39,0,57
SSC41648,80,17,96,1182,684,61,1927,4288,259,6475
SSC41649,4,0,4,10,9,0,12,73,3,92
SSC41650,3,0,3,16,4,0,21,92,6,121
SSC41651,23,7,32,188,77,5,267,334,49,653
SSC41652,0,0,0,8,0,0,10,3,0,14
SSC41653,0,0,0,31,21,3,56,63,69,188
SSC41654,0,0,0,16,8,0,26,30,11,68
SSC41655,0,0,0,3,0,0,3,0,0,3
SSC41656,0,0,0,0,0,0,0,3,0,3
SSC41657,0,0,0,0,0,0,0,3,0,4
SSC41658,3,0,3,12,6,0,18,30,4,57
SSC41659,56,5,53,108,64,3,179,522,82,781
SSC41660,0,0,0,3,0,0,3,7,0,9
SSC41661,0,0,0,0,0,0,0,0,3,6
SSC41662,0,0,0,0,0,0,0,0,0,0
SSC41663,0,0,0,3,0,0,3,9,0,13
SSC41664,0,0,0,43,29,3,75,121,15,207
SSC41665,0,0,0,3,0,0,9,11,4,22
SSC41666,4,0,4,49,26,0,80,167,26,272
SSC41667,0,0,0,14,4,0,22,30,3,62
SSC41668,0,0,0,0,0,0,0,0,0,0
SSC41669,0,0,0,0,0,0,0,11,0,13
SSC41670,4,0,4,9,0,0,6,13,0,20
SSC41671,0,0,0,6,3,0,15,48,13,76
SSC41672,0,0,0,0,3,0,8,14,3,23
SSC41673,21,0,23,120,63,9,186,572,45,806
SSC41674,5,0,5,30,9,5,41,133,14,185
SSC41675,0,0,0,0,0,0,0,0,0,0
SSC41676,0,0,0,12,5,0,14,28,3,42
SSC41677,0,0,0,0,0,0,0,0,0,0
SSC41678,0,0,4,25,10,0,35,84,18,131
SSC41679,0,0,0,12,3,0,11,49,4,71
SSC41680,0,0,0,4,5,0,9,11,0,22
SSC49494,16,4,22,262,141,16,411,1621,609,2648
SSC49797,0,0,0,0,0,0,0,6,0,3
